TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,"305,507,006,312","305,507,006,312","787,823,531,263",,"787,823,531,263","787,823,531,263","998,633,858,099","998,633,858,099","998,633,858,099","998,633,858,099","1,187,771,132,873","1,187,771,132,873","1,187,771,132,873","1,187,771,132,873","1,239,230,693,897","1,239,230,693,897","1,239,230,693,897","1,239,230,693,897","1,165,050,815,057","1,165,050,815,057","1,165,050,815,057","1,165,050,815,057","1,147,133,775,108","1,147,133,775,108","1,147,133,775,108","1,147,133,775,108","1,185,806,903,945","1,185,806,903,945","1,185,806,903,945","1,185,806,903,945",,"1,277,329,097,147",,,"1,457,823,549,053","1,643,231,929,126","1,648,044,373,289","1,926,213,004,847","1,798,788,931,349","1,983,490,093,483","2,136,727,287,988","2,807,834,365,979","2,667,643,160,412","2,901,791,301,511","3,042,529,283,372","3,067,355,165,281","2,807,895,589,994","2,996,392,808,409","2,954,573,366,622","3,116,982,803,032","3,154,196,030,546","3,681,212,292,756","4,051,857,413,032","3,920,370,313,044","3,630,422,963,338","4,221,908,049,638","3,957,269,606,980","3,690,906,362,752","3,810,049,244,962","3,745,991,400,881","3,703,256,989,563","3,794,260,294,196","4,131,967,784,097","4,032,525,893,247","4,031,704,404,348","4,852,757,474,390","4,543,145,732,534","4,633,543,317,344","4,536,587,507,248","4,639,900,987,396"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,"94,360,039,373","94,360,039,373","17,292,165,643",,"17,292,165,643","17,292,165,643","128,941,565,260","128,941,565,260","128,941,565,260","128,941,565,260","24,039,260,379","24,039,260,379","24,039,260,379","24,039,260,379","56,947,867,692","56,947,867,692","56,947,867,692","56,947,867,692","14,858,648,605","14,858,648,605","14,858,648,605","14,858,648,605","20,909,398,415","20,909,398,415","20,909,398,415","20,909,398,415","30,548,646,081","30,548,646,081","30,548,646,081","30,548,646,081",,"28,866,530,820",,,"17,743,865,300","53,906,433,730","142,420,443,081","226,732,044,282","142,561,264,960","160,597,302,747","95,637,941,193","264,027,865,579","442,644,185,597","290,836,828,585","230,036,462,459","212,893,168,538","115,828,600,708","97,930,262,943","43,252,238,029","61,411,798,088","105,209,334,305","290,331,546,191","347,823,793,622","340,926,305,697","214,039,446,589","221,070,491,100","297,699,566,779","256,136,123,821","334,344,838,179","271,131,757,792","116,485,264,538","94,855,677,019","390,074,800,566","32,717,473,081","78,155,847,314","670,938,407,866","451,601,867,239","341,170,454,817","204,306,720,130","374,339,414,296"
1. Tiền,,,,,,,,,,,,,"16,492,165,643",,"16,492,165,643","16,492,165,643","37,141,565,260","37,141,565,260","37,141,565,260","37,141,565,260","24,039,260,379","24,039,260,379","24,039,260,379","24,039,260,379","43,468,935,742","43,468,935,742","43,468,935,742","43,468,935,742","12,881,553,369","12,881,553,369","12,881,553,369","12,881,553,369","20,870,032,432","20,870,032,432","20,870,032,432","20,870,032,432","29,848,646,081","29,848,646,081","29,848,646,081","29,848,646,081",,"22,866,530,820",,,"17,743,865,300","53,906,433,730","36,420,443,081","80,232,044,282","73,061,264,960","150,097,302,747","95,637,941,193","261,027,865,579","196,644,185,597","191,836,828,585","127,212,120,802","136,068,826,881","109,120,376,997","95,470,262,943","38,838,638,029","61,411,798,088","5,209,334,305","190,331,546,191","177,563,793,622","242,181,305,697","214,039,446,589","221,070,491,100","254,094,566,779","244,536,123,821","317,744,838,179","235,031,757,792","23,865,264,538","32,005,677,019","304,054,800,566","27,217,473,081","28,155,847,314","484,938,407,866","368,868,663,939","288,421,405,917","156,542,795,830","265,060,486,996"
2. Các khoản tương đương tiền,,,,,,,,,,,,,"800,000,000",,"800,000,000","800,000,000","91,800,000,000","91,800,000,000","91,800,000,000","91,800,000,000",,,,,"13,478,931,950","13,478,931,950","13,478,931,950","13,478,931,950","1,977,095,236","1,977,095,236","1,977,095,236","1,977,095,236","39,365,983","39,365,983","39,365,983","39,365,983","700,000,000","700,000,000","700,000,000","700,000,000",,"6,000,000,000",,,,,"106,000,000,000","146,500,000,000","69,500,000,000","10,500,000,000",,"3,000,000,000","246,000,000,000","99,000,000,000","102,824,341,657","76,824,341,657","6,708,223,711","2,460,000,000","4,413,600,000",,"100,000,000,000","100,000,000,000","170,260,000,000","98,745,000,000",,,"43,605,000,000","11,600,000,000","16,600,000,000","36,100,000,000","92,620,000,000","62,850,000,000","86,020,000,000","5,500,000,000","50,000,000,000","186,000,000,000","82,733,203,300","52,749,048,900","47,763,924,300","109,278,927,300"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,"503,920,800",,"503,920,800","503,920,800","221,655,262,625","221,655,262,625","221,655,262,625","221,655,262,625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,000,000,000","351,659,519,500","77,000,000,000","77,000,000,000","77,000,000,000","96,000,000,000","20,000,000,000","26,000,000,000",,"19,000,000,000","41,000,000,000","26,430,000,000","4,430,000,000",,"38,745,000,000","45,350,000,000","25,032,451,700","259,432,451,700","113,432,451,700","13,432,451,700","96,375,842,809","51,995,842,809","21,075,842,809","208,405,103,109","67,020,477,309","64,580,996,609","26,495,980,109","16,516,170,809","208,467,453,008","17,181,424,696"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,000,000,000","351,659,519,500","77,000,000,000","77,000,000,000","77,000,000,000","96,000,000,000","20,000,000,000","26,000,000,000",,"19,000,000,000","41,000,000,000","26,430,000,000","4,430,000,000",,"38,745,000,000","45,350,000,000","25,032,451,700","259,432,451,700","113,432,451,700","13,432,451,700","96,375,842,809","51,995,842,809","21,075,842,809","208,405,103,109","67,020,477,309","64,580,996,609","26,495,980,109","16,516,170,809","208,467,453,008","17,181,424,696"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,"142,089,473,771","142,089,473,771","438,701,322,564",,"438,701,322,564","438,701,322,564","373,383,766,540","373,383,766,540","373,383,766,540","373,383,766,540","480,316,449,970","480,316,449,970","480,316,449,970","480,316,449,970","655,392,180,292","655,392,180,292","655,392,180,292","655,392,180,292","764,606,913,826","764,606,913,826","764,606,913,826","764,606,913,826","682,326,600,950","682,326,600,950","682,326,600,950","682,326,600,950","688,691,517,888","688,691,517,888","688,691,517,888","688,691,517,888",,"844,483,261,966",,,"1,045,625,996,241","1,174,922,462,864","1,087,575,795,973","1,053,219,386,474","1,136,701,671,140","1,308,589,225,694","1,412,264,243,754","1,618,612,785,846","1,501,531,829,836","1,624,472,787,145","1,837,870,693,474","1,874,773,680,548","1,720,870,176,412","2,145,826,986,890","2,147,425,948,440","2,142,514,414,703","1,968,747,878,650","2,351,112,710,568","2,720,985,798,127","2,799,827,668,816","2,714,915,908,892","3,291,933,120,232","2,817,478,183,546","2,248,794,850,295","2,243,968,510,216","2,252,951,138,195","2,168,926,879,599","2,351,646,812,389","2,395,799,962,433","2,577,108,125,229","2,501,078,419,280","2,749,855,067,549","2,284,593,801,022","2,367,831,256,652","2,075,522,501,984","1,919,465,119,762"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,"66,888,396,785",,"66,888,396,785","66,888,396,785","74,960,573,511","74,960,573,511","74,960,573,511","74,960,573,511","269,121,839,732","269,121,839,732","269,121,839,732","269,121,839,732","386,417,613,635","386,417,613,635","386,417,613,635","386,417,613,635","418,571,955,538","418,571,955,538","418,571,955,538","418,571,955,538","310,338,643,150","310,338,643,150","310,338,643,150","310,338,643,150","316,330,395,040","316,330,395,040","316,330,395,040","316,330,395,040",,"523,123,009,938",,,"658,356,771,206","759,452,225,724","6,849,914,013,647","633,256,182,760","697,036,525,534","670,027,470,281","596,588,330,356","742,306,710,441","598,335,611,048","832,393,145,571","1,168,215,010,771","1,091,677,307,775","1,110,238,845,779","1,263,426,473,109","1,502,652,823,233","1,577,422,272,802","1,312,082,386,294","1,574,910,654,995","1,727,051,973,203","2,088,857,408,292","2,087,200,610,646","2,664,141,424,948","2,152,225,598,078","1,659,450,227,672","1,566,421,883,179","1,641,860,576,892","1,590,164,713,842","1,627,190,816,068","1,822,885,045,284","1,955,214,274,526","1,835,275,087,689","2,028,462,776,023","1,529,723,468,793","1,525,331,156,639","1,284,851,147,896","1,341,366,981,244"
