TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,674,983,027,484",,,"1,517,203,048,283","1,500,813,051,929","1,567,131,256,730","1,875,453,999,793","1,843,419,304,423","1,937,429,744,638","2,052,957,265,591","1,889,947,694,722","2,041,879,156,499","2,780,196,290,413","3,174,150,775,442","3,749,721,971,281","4,028,263,231,594","4,302,838,422,648","4,823,604,147,885","3,943,309,591,344","4,615,816,799,169","4,489,870,276,168","3,784,469,735,796","4,065,819,047,391","4,331,755,983,555","4,593,403,946,388","4,829,122,062,788","4,748,957,739,497","4,894,227,794,293","5,493,459,745,718","5,440,944,493,492","4,514,840,591,451","5,387,079,533,004","5,437,305,626,290","5,496,650,410,164","5,311,641,626,221","4,761,181,402,217","4,463,717,028,086","3,501,636,422,357","4,122,897,778,616"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,836,196,038",,,"18,453,150,233","23,771,620,925","100,308,970,703","113,235,327,524","55,914,218,885","89,955,309,159","57,254,962,566","75,343,753,493","102,714,206,802","417,037,736,107","380,584,682,533","586,332,938,081","36,485,940,798","37,914,626,560","65,638,138,357","40,049,658,795","17,109,371,920","30,065,106,822","2,191,143,120","10,337,886,480","157,388,467,525","26,885,621,203","50,289,591,017","74,949,892,340","62,311,302,757","311,276,397,123","13,925,317,815","3,150,683,521","3,035,785,911","2,190,362,392","46,968,282,445","3,578,836,411","6,699,430,245","13,142,853,310","409,157,895","915,577,379"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,836,196,038",,,"16,453,150,233","10,271,620,925","4,634,595,703","62,010,772,074","30,944,634,988","34,980,352,388","17,757,798,657","69,243,753,493","95,114,206,802","148,102,010,080","94,107,076,425","163,965,175,527","18,885,940,798","37,914,626,560","65,638,138,357","35,002,472,034","17,109,371,920","30,065,106,822","2,191,143,120","10,337,886,480","157,388,467,525","26,885,621,203","50,289,591,017","74,949,892,340","62,311,302,757","11,276,397,123","13,925,317,815","3,150,683,521","3,035,785,911","2,190,362,392","46,968,282,445","3,578,836,411","6,699,430,245","13,142,853,310","409,157,895","915,577,379"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000,000","13,500,000,000","95,674,375,000","51,224,555,450","24,969,583,897","54,974,956,771","39,497,163,909","6,100,000,000","7,600,000,000","268,935,726,027","286,477,606,108","422,367,762,554","17,600,000,000",,,"5,047,186,761",,,,,,,,,,"300,000,000,000",,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"259,323,138,856",,,"271,847,124,917","311,495,830,972","315,284,846,002","672,209,029,461","543,969,924,840","647,668,805,988","732,795,978,035","742,069,505,649","846,442,208,649","794,450,568,834","1,340,300,253,700","1,150,233,462,036","1,750,518,897,331","1,992,445,744,613","2,333,825,459,067","1,833,964,292,728","2,445,105,189,483","2,505,173,667,329","2,418,473,836,318","2,700,963,614,254","2,780,156,386,770","3,138,531,658,294","3,390,429,738,003","3,508,272,573,437","3,688,912,758,831","3,786,901,652,957","4,026,026,413,338","3,130,285,910,585","4,118,414,417,236","4,164,543,563,845","4,047,855,037,175","3,878,567,093,255","3,562,183,820,641","3,287,024,896,982","2,320,182,219,841","2,904,085,965,426"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,130,600,302",,,"112,815,200,653","72,642,385,928","75,130,309,297","256,286,220,021","363,930,957,075","464,493,730,624","453,597,239,979","537,792,311,577","539,274,750,124","408,981,164,074","622,567,497,613","473,752,366,751","683,115,848,198","499,162,593,877","521,085,974,176","502,997,048,550","433,256,286,033","360,541,656,244","368,708,526,012","403,615,390,014","413,068,034,034","384,619,997,007","451,530,194,226","468,578,220,856","531,807,841,754","574,584,288,767","574,817,948,430","812,492,290,642","803,835,948,560","784,117,412,563","785,088,104,880","776,658,355,699","720,973,888,418","663,630,443,303","643,226,065,903","643,298,018,840"
