TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,"818,942,000,000","840,501,424,823","917,418,000,000","830,263,404,361","1,013,530,198,591","880,988,307,367","864,942,781,893","1,026,075,141,607","1,004,474,697,619","929,805,157,534","1,034,665,907,878","996,483,389,482","1,040,419,492,154","954,256,794,044","1,233,230,500,737","1,046,718,000,000","1,138,546,000,000","1,156,606,000,000","1,235,658,000,000","1,303,429,000,000","1,585,783,000,000","1,422,418,000,000","1,519,952,000,000","1,731,185,000,000","1,937,989,000,000","2,052,251,000,000","1,842,032,000,000","2,048,473,000,000","1,946,454,000,000","1,919,151,000,000","1,736,571,000,000","2,089,571,000,000","2,321,206,000,000","2,320,396,000,000","2,344,291,000,000","2,253,056,000,000","2,509,108,000,000","2,545,596,000,000","3,109,230,000,000","2,771,244,000,000","3,029,898,000,000","2,947,002,000,000","3,475,341,000,000","3,157,903,000,000","3,205,723,000,000","3,135,579,000,000","3,744,100,000,000","2,965,368,000,000","3,168,566,000,000","3,411,516,000,000","3,675,394,123,058","3,740,794,000,000",,"3,782,281,996,639","3,349,165,681,534"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,"1,065,565,000,000","3,063,145,510,867","6,033,993,000,000","2,558,620,817,597","7,457,328,383,072","6,125,290,618,439","6,239,058,244,702","6,572,889,917,850","1,055,881,942,147","1,274,175,106,899","3,615,772,573,891","4,805,798,862,981","2,411,415,311,098","3,367,335,539,603","6,067,481,774,744","7,510,438,000,000","3,064,495,000,000","1,530,310,000,000","8,181,894,000,000","7,179,360,000,000","4,133,283,000,000","6,587,729,000,000","10,002,478,000,000","7,060,582,000,000","3,544,632,000,000","7,411,959,000,000","6,683,682,000,000","4,826,686,000,000","6,866,616,000,000","8,988,483,000,000","10,548,084,000,000","7,596,756,000,000","3,426,842,000,000","7,117,589,000,000","14,347,180,000,000","6,763,149,000,000","9,173,365,000,000","8,209,927,000,000","17,296,506,000,000","8,771,043,000,000","1,443,851,000,000","13,754,420,000,000","38,051,039,000,000","16,517,561,000,000","14,222,237,000,000","12,383,244,000,000","39,654,541,000,000","19,077,374,000,000","27,503,661,000,000","21,634,416,000,000","66,321,652,073,366","11,915,805,000,000",,"10,684,040,920,591","29,825,252,917,361"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,553,002,573,081","41,145,505,000,000","42,792,717,685,643","36,990,163,048,620","41,059,921,375,261","42,823,106,823,433","31,972,094,152,817","35,212,458,393,383","29,452,917,671,693","26,789,344,638,303","24,217,190,243,027","19,190,711,623,781","12,165,844,283,771","21,415,257,070,182","12,957,227,000,000","19,157,519,000,000","30,179,323,000,000","28,658,950,000,000","31,443,729,000,000","28,565,208,000,000","24,932,083,000,000","26,952,799,000,000","21,418,978,000,000","27,860,139,000,000","36,696,708,000,000","53,497,402,000,000","37,657,981,000,000","48,793,974,000,000","44,647,498,000,000","45,061,628,000,000","43,249,072,000,000","52,651,532,000,000","47,469,375,000,000","39,691,364,000,000","47,792,908,000,000","39,202,383,000,000","30,609,927,000,000","47,888,802,000,000","42,550,511,000,000","32,592,326,000,000","50,452,980,000,000","35,983,193,000,000","48,938,002,000,000","57,116,354,000,000","37,194,092,000,000","32,937,210,000,000","32,264,103,000,000","21,618,233,000,000","36,980,878,000,000","46,343,810,598,687","77,809,357,000,000",,"77,398,093,680,054","76,785,620,243,454"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,553,002,573,081","40,535,315,000,000",,,,"42,823,106,823,433",,,,,"24,217,190,243,027",,,"21,415,257,070,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,119,632,330,268","77,809,357,000,000",,"63,104,121,055,487","63,887,836,385,549"
