TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"728,882,311,551","728,882,311,551","818,606,996,276","818,606,996,276","818,606,996,276","818,606,996,276","1,700,613,528,292","1,700,613,528,292","1,700,613,528,292","1,700,613,528,292","1,563,396,220,127","1,563,396,220,127","1,563,396,220,127","1,563,396,220,127","1,790,020,228,798","1,790,020,228,798","1,790,020,228,798","1,790,020,228,798","1,961,147,830,687","1,961,147,830,687","1,961,147,830,687","1,961,147,830,687","1,316,674,717,363","1,316,674,717,363","1,316,674,717,363","1,316,674,717,363",,"1,370,005,350,669",,,,"1,082,059,487,329","1,056,244,228,462","1,033,661,065,985","1,035,127,559,154","1,019,885,022,919","1,135,744,105,208","1,127,075,912,123","1,064,068,857,001","1,117,953,012,233","711,152,448,562","724,734,400,727","683,995,108,323","717,742,188,284","855,119,719,162","787,849,568,831","670,854,976,427","676,756,947,398","686,394,712,478","667,355,033,381","685,851,005,282","657,406,268,354","555,942,262,293","340,916,377,312","326,297,430,109","316,865,432,073","298,156,563,506","148,934,287,933","148,426,768,261","145,254,833,801","155,596,538,780","111,654,969,983","104,195,311,839","104,673,974,216","102,186,065,048","97,495,267,265"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"18,711,457,980","18,711,457,980","49,265,745,157","49,265,745,157","49,265,745,157","49,265,745,157","364,508,958,954","364,508,958,954","364,508,958,954","364,508,958,954","29,753,467,623","29,753,467,623","29,753,467,623","29,753,467,623","67,884,659,941","67,884,659,941","67,884,659,941","67,884,659,941","31,551,324,226","31,551,324,226","31,551,324,226","31,551,324,226","26,140,430,913","26,140,430,913","26,140,430,913","26,140,430,913",,"18,197,519,325",,,,"10,095,469,728","12,654,545,880","12,240,784,017","17,877,011,127","7,123,560,061","43,326,841,434","11,537,811,882","4,624,372,044","4,096,732,199","16,758,061,738","6,741,307,327","1,913,768,686","11,403,165,853","2,703,188,807","4,291,840,847","2,527,543,422","10,829,891,579","14,625,937,700","1,820,363,311","5,706,353,033","7,871,069,440","2,795,741,286","12,638,100,423","788,187,807","3,048,161,582","889,368,295","4,098,054,436","1,391,518,782","1,208,602,417","14,805,041,962","11,326,533,872","3,142,575,218","4,630,300,785","3,516,325,653","5,096,837,970"
1. Tiền,,,,,,,,,,,,,,,"18,711,457,980","18,711,457,980","41,265,745,157","41,265,745,157","41,265,745,157","41,265,745,157","14,594,092,956","14,594,092,956","14,594,092,956","14,594,092,956","11,253,467,623","11,253,467,623","11,253,467,623","11,253,467,623","67,634,659,941","67,634,659,941","67,634,659,941","67,634,659,941","31,551,324,226","31,551,324,226","31,551,324,226","31,551,324,226","26,140,430,913","26,140,430,913","26,140,430,913","26,140,430,913",,"16,169,713,769",,,,"7,063,817,459","9,622,893,611","9,104,111,576","14,740,338,686","7,123,560,061","43,326,841,434","11,537,811,882","4,624,372,044","4,096,732,199","16,758,061,738","6,741,307,327","1,913,768,686","11,403,165,853","2,703,188,807","4,291,840,847","2,527,543,422","10,829,891,579","14,625,937,700","1,820,363,311","5,706,353,033","7,871,069,440","2,795,741,286","12,638,100,423","788,187,807","3,048,161,582","889,368,295","4,098,054,436","1,391,518,782","1,208,602,417","14,805,041,962","6,434,413,946","3,142,575,218","4,630,300,785","3,516,325,653","5,096,837,970"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"8,000,000,000","8,000,000,000","8,000,000,000","8,000,000,000","349,914,865,998","349,914,865,998","349,914,865,998","349,914,865,998","18,500,000,000","18,500,000,000","18,500,000,000","18,500,000,000","250,000,000","250,000,000","250,000,000","250,000,000",,,,,,,,,,"2,027,805,556",,,,"3,031,652,269","3,031,652,269","3,136,672,441","3,136,672,441",,,,,,,,,,,,,,,,,,,,,,,,,,,"4,892,119,926",,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"107,280,427,000","107,280,427,000","107,280,427,000","107,280,427,000","66,867,853,419","66,867,853,419","66,867,853,419","66,867,853,419","247,877,371,500","247,877,371,500","247,877,371,500","247,877,371,500","6,978,660,200","6,978,660,200","6,978,660,200","6,978,660,200","205,406,100","205,406,100","205,406,100","205,406,100","13,644,434,456","13,644,434,456","13,644,434,456","13,644,434,456",,"15,536,218,777",,,,"20,181,590,900","13,952,119,950","157,504,000","157,504,000","260,224,000","273,920,000","318,432,000","342,250,000","280,768,000","334,952,800","265,017,600","10,779,740,800","10,750,294,400","10,742,932,800","10,739,252,000","11,833,827,291","11,850,086,225","11,594,703,155","11,643,864,163","3,299,624,609","2,576,237,860","212,800","237,300","227,150","183,050","162,400","190,750","204,400","206,500","5,620,699,360",,"894,129,003","1,857,500,000","1,752,117,818","906,801,515"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"634,362,977",,,,"342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","342,250,000","422,363,201","456,182,320","162,141,162","710,823,067","723,624,609","237,860","237,860","237,860","237,860","237,860","237,860","237,860","237,860","237,860","5,924,831,610",,"899,817,073","2,052,024,930","2,004,557,975","1,128,905,891"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-98,144,200",,,,"-160,659,100","-205,312,600","-184,746,000","-184,746,000","-82,026,000","-68,330,000","-23,818,000",,"-61,482,000","-7,297,200","-77,232,400","-62,509,200","-91,955,600","-99,317,200","-102,998,000","-21,577,006","-39,137,191","-479,103",,,,"-25,060",-560,"-10,710","-54,810","-75,460","-47,110","-33,460","-31,360","-304,132,250",,"-5,688,070","-194,524,930","-252,440,157","-222,104,376"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,"-56,665,600","-56,665,600","-56,665,600","-56,665,600",,,,,"-4,908,747,880","-4,908,747,880","-4,908,747,880","-4,908,747,880","-491,458,920","-491,458,920","-491,458,920","-491,458,920","-136,843,900","-136,843,900","-136,843,900","-136,843,900","-197,421,100","-197,421,100","-197,421,100","-197,421,100",,"15,000,000,000",,,,"20,000,000,000","13,815,182,550",,,,,,,,,,"10,500,000,000","10,500,000,000","10,500,000,000","10,500,000,000","11,433,041,096","11,433,041,096","11,433,041,096","10,933,041,096","2,576,000,000","2,576,000,000",,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"365,345,287,646","365,345,287,646","290,898,312,262","290,898,312,262","290,898,312,262","290,898,312,262","612,002,609,638","612,002,609,638","612,002,609,638","612,002,609,638","573,629,468,657","573,629,468,657","573,629,468,657","573,629,468,657","581,077,043,083","581,077,043,083","581,077,043,083","581,077,043,083","700,835,054,943","700,835,054,943","700,835,054,943","700,835,054,943","522,434,645,067","522,434,645,067","522,434,645,067","522,434,645,067",,"555,715,443,983",,,,"624,057,113,497","615,770,754,831","616,609,357,202","611,005,081,495","599,717,656,943","687,503,485,759","705,560,312,209","657,633,227,111","711,285,897,719","371,960,300,734","350,879,028,851","363,021,345,224","386,428,708,451","509,262,586,066","475,592,586,741","352,473,054,117","345,826,072,927","357,554,152,969","344,595,984,243","348,837,046,347","512,649,411,874","409,980,910,947","251,019,194,690","247,772,011,033","236,833,281,587","219,784,351,417","62,450,973,859","64,907,607,501","64,148,829,877","56,851,119,406","52,969,384,151","45,656,238,063","45,519,188,744","45,572,602,245","43,478,517,745"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"271,963,485,929","271,963,485,929","213,173,882,950","213,173,882,950","213,173,882,950","213,173,882,950","376,377,233,885","376,377,233,885","376,377,233,885","376,377,233,885","366,727,848,892","366,727,848,892","366,727,848,892","366,727,848,892","438,012,276,572","438,012,276,572","438,012,276,572","438,012,276,572","508,633,300,838","508,633,300,838","508,633,300,838","508,633,300,838","430,221,992,172","430,221,992,172","430,221,992,172","430,221,992,172",,"395,163,379,065",,,,"427,138,755,921","427,836,121,026","427,856,037,265","426,950,573,259","416,141,357,070","418,138,103,703","418,319,489,682","417,186,582,624","415,353,892,783","402,027,773,929","398,082,927,952","395,293,350,923","405,186,914,756","463,075,498,181","454,568,710,606","391,190,642,715","393,567,136,537","399,779,430,304","256,752,424,570","261,142,077,310","272,488,244,832","232,540,236,870","92,032,838,894","87,514,279,609","71,974,689,443","68,954,013,877","34,657,032,772","37,889,036,985","38,618,117,967","36,547,552,317","53,101,481,672","49,089,347,268","46,805,390,107","44,255,650,225","46,590,605,262"
