TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,"63,475,591,150","66,127,516,875","66,127,516,875","66,127,516,875","66,127,516,875","142,909,067,773","142,909,067,773","142,909,067,773","142,909,067,773","115,472,803,658","115,472,803,658","115,472,803,658","115,472,803,658","124,025,711,971","124,025,711,971","124,025,711,971","124,025,711,971","145,538,866,497","145,538,866,497","145,538,866,497","145,538,866,497","197,166,435,929","197,166,435,929","197,166,435,929","197,166,435,929","176,147,163,746","176,147,163,746","176,147,163,746","176,147,163,746","191,977,418,820","191,977,418,820","191,977,418,820","191,977,418,820","255,593,913,026","255,593,913,026","255,593,913,026","255,593,913,026",,"177,970,209,347",,,"181,412,089,767","187,696,749,320","183,230,641,615","188,555,927,121","193,904,119,470","199,094,136,759","180,160,367,441","212,025,378,588","185,254,204,388","196,474,141,833","181,843,922,790","182,955,207,372","165,041,910,491","167,321,044,521","187,331,933,488","231,391,104,673","631,295,066,017","280,478,740,253","328,677,980,636","320,110,253,055","256,015,020,435","226,007,698,980","250,021,191,390","244,557,378,946","290,372,434,307","310,376,530,800","254,483,381,877","222,294,292,559","219,136,855,286","212,979,118,906","227,700,167,320","238,737,717,775","229,113,003,650",,"243,233,201,071","295,421,289,328"
I. Tiền và các khoản tương đương tiền,,,,"621,281,446","1,684,712,500","1,684,712,500","1,684,712,500","1,684,712,500","47,747,834,723","47,747,834,723","47,747,834,723","47,747,834,723","1,161,743,623","1,161,743,623","1,161,743,623","1,161,743,623","25,917,924,988","25,917,924,988","25,917,924,988","25,917,924,988","9,320,993,642","9,320,993,642","9,320,993,642","9,320,993,642","12,900,105,816","12,900,105,816","12,900,105,816","12,900,105,816","5,622,310,872","5,622,310,872","5,622,310,872","5,622,310,872","11,866,984,022","11,866,984,022","11,866,984,022","11,866,984,022","6,270,728,702","6,270,728,702","6,270,728,702","6,270,728,702",,"10,348,457,368",,,"10,452,200,803","13,881,176,743","7,267,888,899","19,266,353,333","26,727,994,490","21,820,397,074","6,704,351,867","15,948,308,376","17,644,899,538","18,705,564,273","17,627,412,487","15,408,400,674","20,269,940,655","37,221,218,634","10,149,011,987","44,691,062,213","35,525,807,342","45,568,003,307","18,953,957,062","54,916,668,159","10,897,318,229","5,852,484,027","11,816,258,797","24,525,781,740","28,104,180,232","8,379,865,617","9,749,497,774","5,267,205,138","14,146,769,590","6,065,917,097","10,119,811,548","11,112,313,465","3,751,748,057",,"18,582,525,285","16,927,952,902"
1. Tiền,,,,"621,281,446","1,684,712,500","1,684,712,500","1,684,712,500","1,684,712,500","47,747,834,723","47,747,834,723","47,747,834,723","47,747,834,723","1,161,743,623","1,161,743,623","1,161,743,623","1,161,743,623","6,417,924,988","6,417,924,988","6,417,924,988","6,417,924,988","9,320,993,642","9,320,993,642","9,320,993,642","9,320,993,642","3,900,105,816","3,900,105,816","3,900,105,816","3,900,105,816","5,622,310,872","5,622,310,872","5,622,310,872","5,622,310,872","11,866,984,022","11,866,984,022","11,866,984,022","11,866,984,022","6,270,728,702","6,270,728,702","6,270,728,702","6,270,728,702",,"10,348,457,368",,,"10,452,200,803","13,881,176,743","7,267,888,899","19,266,353,333","26,727,994,490","21,820,397,074","6,704,351,867","15,948,308,376","17,644,899,538","18,705,564,273","17,627,412,487","15,408,400,674","20,269,940,655","37,221,218,634","9,149,011,987","44,691,062,213","35,525,807,342","45,568,003,307","18,953,957,062","54,916,668,159","10,897,318,229","5,852,484,027","11,816,258,797","24,525,781,740","28,104,180,232","8,379,865,617",,"5,267,205,138","14,146,769,590","6,065,917,097","10,119,811,548","11,112,313,465","3,751,748,057",,"16,582,525,285","15,927,952,902"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"19,500,000,000","19,500,000,000","19,500,000,000","19,500,000,000",,,,,"9,000,000,000","9,000,000,000","9,000,000,000","9,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000",,,,,,,,,,,,,,,,,,,,"2,000,000,000","1,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,"2,000,000,000","2,000,000,000","2,000,000,000","2,000,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000","43,000,000,000","58,000,000,000","79,000,000,000","105,000,000,000","71,000,000,000","56,000,000,000","38,200,000,000","41,200,000,000","7,200,000,000","27,200,000,000","51,200,000,000",,,,,"25,000,000,000","25,000,000,000","31,000,000,000",,"61,000,000,000","85,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000","43,000,000,000","58,000,000,000","79,000,000,000","105,000,000,000","71,000,000,000","56,000,000,000","38,200,000,000","41,200,000,000","7,200,000,000","27,200,000,000","51,200,000,000",,,,,"25,000,000,000","25,000,000,000","31,000,000,000",,"61,000,000,000","85,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,"18,906,550,207","17,909,541,317","17,909,541,317","17,909,541,317","17,909,541,317","20,710,495,462","20,710,495,462","20,710,495,462","20,710,495,462","21,514,643,384","21,514,643,384","21,514,643,384","21,514,643,384","27,519,145,167","27,519,145,167","27,519,145,167","27,519,145,167","32,051,982,976","32,051,982,976","32,051,982,976","32,051,982,976","35,952,196,085","35,952,196,085","35,952,196,085","35,952,196,085","53,242,568,616","53,242,568,616","53,242,568,616","53,242,568,616","49,427,658,954","49,427,658,954","49,427,658,954","49,427,658,954","108,102,791,411","108,102,791,411","108,102,791,411","108,102,791,411",,"48,429,544,038",,,"66,718,536,789","57,372,409,955","64,437,279,544","63,682,479,573","55,931,041,361","49,857,956,744","52,541,759,019","73,335,662,199","60,941,074,551","55,400,999,415","49,262,382,259","63,002,782,718","52,974,620,349","42,293,830,056","47,119,541,554","64,590,886,882","439,346,870,059","2,371,321,027","89,407,301,361","82,091,226,255","79,060,000,226","75,676,676,255","86,388,554,672","100,642,335,803","106,137,529,341","96,253,849,347","99,545,279,295","93,643,914,189","97,616,322,321","96,436,615,294","96,767,664,169","90,359,398,039","96,151,798,050",,"75,602,314,154","130,125,216,980"
1. Phải thu ngắn hạn của khách hàng,,,,"18,874,068,699","18,379,056,523","18,379,056,523","18,379,056,523","18,379,056,523","21,070,829,217","21,070,829,217","21,070,829,217","21,070,829,217","21,786,227,650","21,786,227,650","21,786,227,650","21,786,227,650","26,997,532,768","26,997,532,768","26,997,532,768","26,997,532,768","31,572,221,707","31,572,221,707","31,572,221,707","31,572,221,707","36,038,013,280","36,038,013,280","36,038,013,280","36,038,013,280","41,072,818,251","41,072,818,251","41,072,818,251","41,072,818,251","49,758,644,353","49,758,644,353","49,758,644,353","49,758,644,353","61,681,716,222","61,681,716,222","61,681,716,222","61,681,716,222",,"48,148,001,111",,,"64,532,547,821","57,086,132,268","60,900,174,645","62,885,123,098","47,234,933,609","49,829,571,784","49,065,875,586","72,689,473,898","54,819,970,156","55,057,555,405","47,154,133,310","62,789,545,924","52,796,013,106","42,509,612,650","42,762,674,306","62,675,452,154","405,723,834,798","41,393,011,093","55,000,057,778","79,590,241,184","73,644,932,542","73,461,371,496","80,423,853,030","99,444,191,832","96,884,437,626","93,132,712,035","96,208,385,694","92,101,223,880","96,297,747,271","89,836,799,425","89,645,944,162","85,874,087,881","88,676,045,711",,"69,041,917,108","65,496,808,725"
