TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,"232,820,431,840",,,,,,,,,,,,,,,,,,,,,,,,,,"1,075,014,749,539","1,213,187,286,892","1,305,795,105,388","1,461,285,653,139","1,162,064,893,584","1,433,256,560,801","1,392,191,242,824","1,469,379,098,137","1,403,083,161,736","1,698,702,404,933","1,870,437,368,439","1,880,826,934,841",,"1,944,800,558,910","1,949,352,018,210","1,906,157,951,792","1,841,702,302,390","2,057,929,412,534","1,942,731,129,177","1,918,242,577,202","2,118,428,094,064","2,379,373,698,913","2,527,579,881,188","2,489,368,113,261","2,393,325,985,329","2,782,591,720,789","2,885,770,970,872","2,317,126,578,028","2,443,218,965,271","2,695,649,133,324","2,865,133,067,891","2,552,594,388,012","2,756,292,783,178","3,313,308,328,382","3,411,928,173,573","3,249,615,903,700"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,"91,914,593,716",,,,,,,,,,,,,,,,,,,,,,,,,,"64,376,332,722","74,639,633,935","117,095,288,326","46,751,834,141","11,000,510,062","39,162,609,862","142,967,417,048","60,281,308,444","19,397,573,162","30,620,131,443","80,862,417,817","197,909,803,036",,"170,328,896,726","61,271,195,648","109,077,814,973","119,617,379,432","112,986,441,219","204,294,027,277","136,083,117,843","151,417,400,462","137,496,509,249","252,121,416,257","378,601,417,122","258,942,789,386","364,817,523,528","460,432,614,835","424,037,510,710","162,286,479,382","482,951,149,055","490,139,507,565","455,323,804,538","263,273,234,257","607,486,056,397","659,511,815,959","886,350,410,790"
1. Tiền,,,,,,,,,,,,,,,,,,,"91,914,593,716",,,,,,,,,,,,,,,,,,,,,,,,,,"64,376,332,722","74,639,633,935","117,095,288,326","46,751,834,141","11,000,510,062","39,162,609,862","142,967,417,048","60,281,308,444","19,397,573,162","30,620,131,443","80,862,417,817","197,909,803,036",,"97,328,896,726","61,271,195,648","109,077,814,973","119,617,379,432","112,986,441,219","204,294,027,277","132,083,117,843","151,417,400,462","137,496,509,249","206,121,416,257","153,686,326,711","238,942,789,386","179,817,523,528","112,432,614,835","404,037,510,710","91,286,479,382","192,951,149,055","68,139,507,565","134,298,489,578","193,273,234,257","140,991,109,645","285,127,416,938","210,360,392,258"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,000,000,000",,,,,,"4,000,000,000",,,"46,000,000,000","224,915,090,411","20,000,000,000","185,000,000,000","348,000,000,000","20,000,000,000","71,000,000,000","290,000,000,000","422,000,000,000","321,025,314,960","70,000,000,000","466,494,946,752","374,384,399,021","675,990,018,532"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,433,000,000","223,989,000,000","437,831,000,000","468,980,000,000","273,705,000,000","319,465,000,000","308,465,000,000","385,866,809,000","320,000,000,000","302,000,000,000","439,000,000,000","484,689,500,000",,"500,022,000,000","741,124,304,438","739,846,482,778","484,554,260,721","441,823,746,001","565,174,740,671","754,222,907,924","778,024,121,696","650,612,500,319","689,290,000,000","468,000,000,000","618,000,000,000","459,000,000,000","783,000,000,000","955,600,000,000","853,100,000,000","863,570,000,000","1,002,270,000,000","970,784,740,090","1,141,423,872,188","628,575,742,725","906,537,798,612","653,102,618,812"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,433,000,000","223,989,000,000","437,831,000,000","468,980,000,000","273,705,000,000","319,465,000,000","308,465,000,000","385,866,809,000","320,000,000,000","302,000,000,000","439,000,000,000","484,689,500,000",,"500,022,000,000","741,124,304,438","739,846,482,778","484,554,260,721","441,823,746,001","565,174,740,671","754,222,907,924","778,024,121,696","650,612,500,319","689,290,000,000","468,000,000,000","618,000,000,000","459,000,000,000","783,000,000,000","955,600,000,000","853,100,000,000","863,570,000,000","1,002,270,000,000","970,784,740,090","1,141,423,872,188","628,575,742,725","906,537,798,612","653,102,618,812"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,"93,470,984,415",,,,,,,,,,,,,,,,,,,,,,,,,,"330,971,529,668","358,551,807,085","356,103,977,867","501,967,624,683","374,957,997,950","479,587,087,053","465,429,010,248","496,121,192,126","443,569,360,686","623,562,500,388","738,071,707,830","523,286,625,014",,"453,470,651,069","490,773,214,409","418,311,588,823","471,171,016,045","747,447,975,672","608,314,132,964","395,670,356,347","475,142,266,749","693,424,851,137","685,019,182,610","664,276,271,577","558,885,396,148","800,692,995,163","832,703,256,538","340,391,723,980","270,034,101,824","471,465,262,366","747,889,144,004","598,359,982,387","411,449,313,626","921,840,664,117","1,101,055,192,752","991,662,262,409"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,"90,683,752,660",,,,,,,,,,,,,,,,,,,,,,,,,,"308,128,125,995","333,279,934,445","327,380,434,768","384,238,263,985","352,747,893,055","443,081,717,045","430,277,884,057","451,843,118,399","404,383,094,931","598,562,110,094","693,612,815,504","488,961,340,664",,"405,826,512,303","467,215,671,498","386,866,100,577","439,457,230,299","708,088,991,452","687,328,607,180","547,548,744,204","653,986,662,937","626,489,642,277","596,217,982,495","623,227,685,167","529,050,822,796","744,163,810,580","812,560,650,329","346,113,350,080","262,621,338,823","472,530,809,325","738,013,340,782","589,040,233,502","403,734,290,853","785,097,747,453","987,283,092,983","975,783,599,992"
