TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,865,166,180,486","2,865,166,180,486","2,865,166,180,486","2,865,166,180,486","3,390,886,030,630","3,390,886,030,630","3,390,886,030,630","3,390,886,030,630",,"3,637,878,160,440",,,"4,439,683,746,848","5,270,727,710,540","5,243,517,675,129","5,828,216,387,403","5,987,701,296,461","6,471,140,351,474","6,529,846,219,470","6,696,456,953,560","6,415,510,147,921","7,187,072,323,959","7,206,981,773,905",,"7,730,795,591,811","7,759,621,600,728","7,531,448,642,404","7,781,677,177,826","7,781,476,399,562","8,173,189,019,437","8,280,339,728,454","9,299,797,974,141","17,102,032,852,783","17,376,483,137,061","22,149,193,033,026","21,615,997,865,149","21,490,661,569,271","22,927,069,427,033","23,401,676,071,728","23,489,108,832,437","23,804,129,894,617","23,840,397,522,030","24,432,475,527,866","25,308,679,696,828","25,392,095,855,014",,"26,846,656,396,239","27,549,221,197,405"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"166,988,264,275","166,988,264,275","166,988,264,275","166,988,264,275","373,996,538,696","373,996,538,696","373,996,538,696","373,996,538,696",,"206,934,846,970",,,"184,395,626,315","848,582,750,596","701,316,256,767","931,562,883,084","960,963,162,987","1,167,165,809,340","1,523,985,342,396","2,082,081,217,039","1,808,781,814,379","2,518,165,088,714","2,846,838,896,132",,"1,592,229,487,284","1,810,233,351,167","1,529,545,504,027","1,894,488,673,379","1,424,092,982,471","1,390,212,126,572","981,231,263,343","1,096,219,425,836","1,346,887,027,663","1,221,094,516,994","895,870,832,225","3,111,621,576,852","2,884,314,321,749","3,715,458,857,947","3,902,425,239,214","3,773,258,514,376","3,425,938,734,113","2,320,274,634,954","2,677,470,299,186","2,540,150,681,806","2,473,299,299,968",,"1,530,489,381,436","5,443,293,611,458"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,588,264,275","117,588,264,275","117,588,264,275","117,588,264,275","304,165,538,696","304,165,538,696","304,165,538,696","304,165,538,696",,"173,634,846,970",,,"141,559,600,416","405,772,252,196","433,619,636,487","391,805,138,578","540,005,105,755","287,992,743,676","796,608,547,185","533,848,457,083","307,611,204,678","730,269,920,544","312,670,450,830",,"416,714,717,354","977,071,127,199","565,395,896,667","748,368,802,370","602,316,666,548","591,731,645,081","568,669,687,164","592,888,738,986","794,221,745,645","740,479,012,842","542,849,282,869","1,265,161,762,459","921,248,052,285","809,069,574,969","858,229,263,665","536,088,166,013","362,621,509,950","482,722,854,264","928,722,705,655","659,340,439,798","732,617,072,426",,"482,456,044,691","1,384,366,865,816"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,400,000,000","49,400,000,000","49,400,000,000","49,400,000,000","69,831,000,000","69,831,000,000","69,831,000,000","69,831,000,000",,"33,300,000,000",,,"42,836,025,899","442,810,498,400","267,696,620,280","539,757,744,506","420,958,057,232","879,173,065,664","727,376,795,211","1,548,232,759,956","1,501,170,609,701","1,787,895,168,170","2,534,168,445,302",,"1,175,514,769,930","833,162,223,968","964,149,607,360","1,146,119,871,009","821,776,315,923","798,480,481,491","412,561,576,179","503,330,686,850","552,665,282,018","480,615,504,152","353,021,549,356","1,846,459,814,393","1,963,066,269,464","2,906,389,282,978","3,044,195,975,549","3,237,170,348,363","3,063,317,224,163","1,837,551,780,690","1,748,747,593,531","1,880,810,242,008","1,740,682,227,542",,"1,048,033,336,745","4,058,926,745,642"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","16,000,000,000","16,000,000,000","16,000,000,000","16,000,000,000",,"16,000,000,000",,,,"48,920,940,285","169,000,000,000","38,869,085,285","9,000,000,000","44,615,650,676","50,740,000,000","60,497,573,374","45,857,924,736","112,974,648,676","156,624,648,676",,"81,304,166,098","43,515,386,823","44,445,568,799","72,846,344,417","55,142,703,967","27,440,156,992","36,372,379,000","46,350,356,992","89,356,902,901","62,076,912,592","1,358,322,590,171","743,668,846,722","157,160,704,195","224,516,406,274","276,483,679,275","987,365,844,583","855,227,919,677","1,172,434,058,928","829,587,293,788","1,049,998,195,767","701,519,200,291",,"935,491,310,883","791,729,931,466"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,000,000,000",,,,"48,920,940,285","169,000,000,000","38,869,085,285","9,000,000,000","44,615,650,676","50,740,000,000","60,497,573,374","45,857,924,736","112,974,648,676","156,624,648,676",,"81,304,166,098","43,515,386,823","44,445,568,799","72,846,344,417","55,142,703,967","27,440,156,992","36,372,379,000","46,350,356,992","89,356,902,901","62,076,912,592","1,358,322,590,171","743,668,846,722","157,160,704,195","224,516,406,274","276,483,679,275","987,365,844,583","855,227,919,677","1,172,434,058,928","829,587,293,788","1,049,998,195,767","701,519,200,291",,"935,491,310,883","791,729,931,466"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275,646,375,838","275,646,375,838","275,646,375,838","275,646,375,838","319,820,924,756","319,820,924,756","319,820,924,756","319,820,924,756",,"291,942,385,300",,,"574,318,501,399","727,715,762,107","871,641,563,210","1,094,934,187,907","1,120,135,400,276","1,687,056,243,106","1,136,168,171,840","577,853,039,172","608,436,904,605","701,813,039,151","894,005,892,725",,"1,035,024,248,040","1,274,384,013,618","1,136,470,887,943","1,500,130,823,491","1,822,895,049,225","1,709,028,109,541","1,734,143,255,971","1,968,581,399,877","1,918,161,199,299","1,849,815,428,986","1,921,040,124,581","2,019,142,436,152","2,094,013,473,962","2,457,477,034,492","2,555,752,367,901","3,569,671,848,128","3,276,585,767,337","3,392,269,650,659","3,426,757,074,570","3,634,089,671,546","3,353,362,527,872",,"3,254,715,935,220","2,628,692,223,736"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,265,207,672","195,265,207,672","195,265,207,672","195,265,207,672","113,724,956,354","113,724,956,354","113,724,956,354","113,724,956,354",,"119,841,487,744",,,"164,290,894,831","213,108,848,714","200,839,585,724","340,384,104,224","254,286,543,577","761,153,080,946","192,797,758,891","227,021,799,046","238,168,927,998","308,928,447,201","252,363,901,552",,"303,180,764,918","337,002,497,657","366,780,169,591","472,815,832,157","511,805,987,589","514,175,705,275","589,750,749,140","579,523,458,533","590,731,929,179","603,689,783,198","524,670,766,853","720,041,081,713","744,898,429,377","895,211,784,679","838,452,414,445","1,309,886,554,022","1,367,879,877,901","1,282,875,552,557","1,343,459,875,710","1,526,408,217,022","1,379,717,282,537",,"1,357,284,718,451","1,466,565,697,259"
