TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,464,171,862,762","27,267,744,945,837","31,343,570,283,811","35,476,715,736,531","40,410,416,346,203","40,923,465,853,502","42,158,468,449,390","50,630,008,750,611","43,766,617,918,031","50,785,405,901,013","51,909,519,546,558","56,907,253,035,343","56,823,768,158,008","71,272,427,321,769","73,347,312,297,126","76,671,001,797,081","103,086,310,873,329","114,312,818,131,574","121,615,274,984,872","136,602,950,265,651","144,695,276,879,439","155,626,883,884,917","177,218,519,798,787","189,030,009,521,950","205,124,839,309,776","198,276,179,843,700","197,806,114,574,434","198,160,029,395,902","199,429,637,838,952","191,577,252,376,491","189,060,198,977,043",,"194,988,181,533,732","207,831,379,624,673"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,317,908,760,347","3,336,969,432,791","3,209,346,228,643","4,712,594,963,976","4,452,270,397,492","6,650,160,994,741","5,765,709,949,403","8,840,789,438,874","4,869,248,099,742","12,326,942,295,680","8,615,715,051,750","7,325,834,929,936","4,300,966,912,717","6,513,219,516,007","3,874,954,562,514","5,879,568,292,345","9,697,718,598,051","11,558,787,555,672","12,556,238,887,122","12,132,195,071,948","15,223,064,990,931","17,249,164,003,763","17,724,337,297,580","17,004,752,901,103","21,167,861,688,403","8,599,941,962,436","5,363,772,012,819","4,035,618,643,443","3,434,802,946,356","3,412,094,527,252","3,138,663,556,178",,"3,819,734,643,584","4,607,596,587,083"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046,221,417,991","808,215,895,293","322,630,514,898","427,009,117,575","289,345,610,081","1,198,110,884,846","838,438,191,471","2,430,921,269,824","425,711,332,496","7,595,717,278,814","1,521,245,926,791","2,275,631,494,253","882,840,065,833","1,951,125,603,881","521,884,267,307","2,420,756,202,467","5,826,562,288,161","7,069,734,042,545","8,248,082,396,340","4,936,166,547,110","6,150,102,543,625","8,029,490,914,547","4,291,444,912,221","5,149,971,416,056","9,581,555,422,829","2,995,777,237,906","619,399,066,287","844,475,894,132","1,272,476,369,416","1,713,329,304,364","810,891,120,485",,"2,082,407,168,482","3,343,715,173,040"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,271,687,342,356","2,528,753,537,498","2,886,715,713,745","4,285,585,846,401","4,162,924,787,411","5,452,050,109,895","4,927,271,757,932","6,409,868,169,050","4,443,536,767,246","4,731,225,016,866","7,094,469,124,959","5,050,203,435,683","3,418,126,846,884","4,562,093,912,126","3,353,070,295,207","3,458,812,089,878","3,871,156,309,890","4,489,053,513,127","4,308,156,490,782","7,196,028,524,838","9,072,962,447,306","9,219,673,089,216","13,432,892,385,359","11,854,781,485,047","11,586,306,265,574","5,604,164,724,530","4,744,372,946,532","3,191,142,749,311","2,162,326,576,940","1,698,765,222,888","2,327,772,435,693",,"1,737,327,475,102","1,263,881,414,043"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,186,675,000","964,822,616,829","1,000,561,637,904","1,013,170,069,469","1,003,072,616,829","512,509,850,676","114,334,482,780","104,352,906,511","80,577,276,622","95,691,805,879","398,649,722,895","397,288,986,526","420,864,681,735","419,222,941,609","426,977,254,806","437,829,773,071","509,200,840,534","822,810,253,961","1,011,977,986,695","834,521,746,983","1,027,113,432,337","837,023,156,881","788,045,407,828","684,885,163,998","998,612,553,083","326,704,693,300","117,301,505,367","51,116,258,055","49,327,428,761","43,507,843,256","35,042,157,555",,"33,008,441,851","31,218,725,557"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,186,675,000","964,822,616,829","1,000,561,637,904","1,013,170,069,469","1,003,072,616,829","512,509,850,676","114,334,482,780","104,352,906,511","80,577,276,622","95,691,805,879","398,649,722,895","397,288,986,526","420,864,681,735","419,222,941,609","426,977,254,806","437,829,773,071","509,200,840,534","822,810,253,961","1,011,977,986,695","834,521,746,983","1,027,113,432,337","837,023,156,881","788,045,407,828","684,885,163,998","998,612,553,083","326,704,693,300","117,301,505,367","51,116,258,055","49,327,428,761","43,507,843,256","35,042,157,555",,"33,008,441,851","31,218,725,557"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,820,478,332,306","6,762,177,825,133","9,884,432,462,871","9,060,824,723,752","7,613,118,592,223","5,998,164,901,016","6,695,148,901,795","9,246,326,543,226","4,784,753,561,738","4,664,101,758,381","6,260,105,826,127","6,557,079,686,524","7,758,582,757,738","5,979,742,308,954","9,349,255,360,069","9,890,462,206,274","12,158,856,883,275","13,820,066,316,803","16,818,356,520,514","19,088,700,327,649","21,267,412,435,805","26,409,547,442,437","36,650,048,190,370","44,212,498,109,419","51,618,081,635,732","52,982,482,611,498","53,544,029,965,964","53,131,845,659,128","56,499,099,726,933","47,747,113,308,548","43,250,560,624,883",,"44,488,907,119,684","54,818,273,256,731"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"473,210,687,412","333,223,529,420","783,449,584,357","341,780,102,360","313,171,834,824","390,715,866,371","515,901,806,816","551,875,681,918","598,688,759,953","758,334,949,673","918,049,498,119","1,020,363,369,459","1,055,694,248,954","1,076,689,087,366","1,663,071,597,668","1,245,692,341,977","1,623,914,222,264","1,252,610,948,704","2,133,360,457,070","2,412,783,448,890","3,120,825,650,665","2,365,610,126,957","2,386,176,440,023","2,754,036,439,440","2,817,642,072,878","2,930,901,444,742","2,950,687,501,634","2,900,748,558,459","2,880,770,449,741","2,932,676,961,656","2,882,527,492,694",,"2,730,333,999,036","2,996,276,547,869"
