TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,"180,440,320,384","180,440,320,384","161,431,748,301","161,431,748,301","161,431,748,301","161,431,748,301","288,905,894,577","288,905,894,577","288,905,894,577","288,905,894,577","232,966,923,468","232,966,923,468","232,966,923,468","232,966,923,468","214,832,430,315","214,832,430,315","214,832,430,315","214,832,430,315","254,738,809,035","254,738,809,035","254,738,809,035","254,738,809,035","301,792,323,296","301,792,323,296","301,792,323,296","301,792,323,296","315,305,059,820","315,305,059,820","315,305,059,820","315,305,059,820",,"329,593,439,780",,,"380,846,997,066","453,605,617,977","594,982,024,369","530,205,783,153","544,243,251,478","584,407,664,752","612,456,166,035","598,996,065,763","633,079,864,490","691,905,355,402","656,032,569,750","691,030,662,661","704,309,093,668","696,524,577,253","850,628,753,712","827,990,275,186","847,855,215,382","833,323,567,352","803,809,340,488","790,207,722,105","895,246,379,374","836,611,408,603","879,657,597,714","886,325,096,318","854,752,471,048","797,096,372,471","805,536,203,156","910,931,849,039","888,574,389,731","861,519,917,148","859,364,974,614","931,391,699,155","877,253,114,987","820,602,333,313","836,620,038,620","904,085,324,897"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,"40,729,778,709","40,729,778,709","15,808,783,285","15,808,783,285","15,808,783,285","15,808,783,285","25,613,530,554","25,613,530,554","25,613,530,554","25,613,530,554","29,046,958,609","29,046,958,609","29,046,958,609","29,046,958,609","11,417,246,920","11,417,246,920","11,417,246,920","11,417,246,920","26,747,448,421","26,747,448,421","26,747,448,421","26,747,448,421","27,816,134,180","27,816,134,180","27,816,134,180","27,816,134,180","39,832,503,811","39,832,503,811","39,832,503,811","39,832,503,811",,"46,484,809,733",,,"59,972,058,360","108,457,570,906","135,592,625,002","97,534,723,897","123,788,012,876","90,534,560,648","116,157,539,567","125,589,512,610","111,632,933,235","117,924,390,339","98,158,069,694","95,511,870,590","109,883,032,553","110,711,540,424","98,196,513,329","62,116,676,458","69,273,228,726","94,830,722,826","57,780,936,904","59,436,849,289","75,934,718,945","50,811,771,865","96,251,163,326","194,563,596,790","198,695,850,806","160,761,198,641","81,085,896,829","91,565,340,163","76,491,050,449","180,591,279,731","189,551,525,448","294,273,724,378","270,727,742,657","172,305,031,198","197,350,966,578","207,594,075,576"
1. Tiền,,,,,,,,,,,"40,729,778,709","40,729,778,709","15,808,783,285","15,808,783,285","15,808,783,285","15,808,783,285","25,613,530,554","25,613,530,554","25,613,530,554","25,613,530,554","16,474,158,609","16,474,158,609","16,474,158,609","16,474,158,609","11,417,246,920","11,417,246,920","11,417,246,920","11,417,246,920","14,947,448,421","14,947,448,421","14,947,448,421","14,947,448,421","13,816,134,180","13,816,134,180","13,816,134,180","13,816,134,180","17,832,503,811","17,832,503,811","17,832,503,811","17,832,503,811",,"27,984,809,733",,,"30,972,058,360","68,757,570,906","35,552,625,002","35,523,257,230","41,775,412,876","32,485,546,730","46,430,930,977","58,562,904,020","41,106,324,645","43,114,390,339","29,358,069,694","60,511,870,590","50,883,032,553","57,511,540,424","42,596,513,329","62,116,676,458","55,573,228,726","45,830,722,826","33,380,936,904","47,436,849,289","48,834,718,945","45,711,771,865","41,851,163,326","65,663,596,790","52,695,850,806","38,661,198,641","36,785,896,829","73,065,340,163","66,421,372,200","170,475,122,949","172,332,919,703","272,310,756,953","204,728,573,296","151,979,103,307","78,987,831,537","108,192,528,527"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"12,572,800,000","12,572,800,000","12,572,800,000","12,572,800,000",,,,,"11,800,000,000","11,800,000,000","11,800,000,000","11,800,000,000","14,000,000,000","14,000,000,000","14,000,000,000","14,000,000,000","22,000,000,000","22,000,000,000","22,000,000,000","22,000,000,000",,"18,500,000,000",,,"29,000,000,000","39,700,000,000","100,040,000,000","62,011,466,667","82,012,600,000","58,049,013,918","69,726,608,590","67,026,608,590","70,526,608,590","74,810,000,000","68,800,000,000","35,000,000,000","59,000,000,000","53,200,000,000","55,600,000,000",,"13,700,000,000","49,000,000,000","24,400,000,000","12,000,000,000","27,100,000,000","5,100,000,000","54,400,000,000","128,900,000,000","146,000,000,000","122,100,000,000","44,300,000,000","18,500,000,000","10,069,678,249","10,116,156,782","17,218,605,745","21,962,967,425","65,999,169,361","20,325,927,891","118,363,135,041","99,401,547,049"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,"45,000,000,000","45,000,000,000","49,043,600,000","49,043,600,000","49,043,600,000","49,043,600,000","52,941,000,000","52,941,000,000","52,941,000,000","52,941,000,000",,,,,,,,,,,,,,,,,,,,,,"7,113,266,430",,,"5,068,954,572","68,954,572","17,068,954,572","17,068,954,572","17,068,954,572","17,068,954,572","17,068,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","3,068,954,572","35,068,954,572","49,968,954,572","30,068,954,572","30,068,954,572","30,403,995,881","83,403,995,881","23,403,995,881","18,403,995,881","23,538,418,556","18,603,131,188","23,603,131,188","123,567,976,067","223,567,976,067","217,158,118,912","47,979,567,892","36,038,731,723","26,838,731,723","31,568,954,572","36,068,954,572","40,068,954,572","39,068,954,572"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,100,000,000",,,"68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","139,268,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572","68,954,572"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,986,733,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000,000",,"17,000,000,000","17,000,000,000","17,000,000,000","17,000,000,000","17,000,000,000",,,,,,,,"3,000,000,000","35,000,000,000","49,900,000,000","30,000,000,000","30,000,000,000","30,335,041,309","83,335,041,309","23,335,041,309","18,335,041,309","23,469,463,984","18,534,176,616","23,534,176,616","123,499,021,495","223,499,021,495","77,889,164,340","47,910,613,320","35,969,777,151","26,769,777,151","31,500,000,000","36,000,000,000","40,000,000,000","39,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,"50,025,078,795","50,025,078,795","29,792,876,230","29,792,876,230","29,792,876,230","29,792,876,230","115,712,046,807","115,712,046,807","115,712,046,807","115,712,046,807","59,857,866,475","59,857,866,475","59,857,866,475","59,857,866,475","48,145,857,644","48,145,857,644","48,145,857,644","48,145,857,644","60,039,696,832","60,039,696,832","60,039,696,832","60,039,696,832","78,372,834,534","78,372,834,534","78,372,834,534","78,372,834,534","63,249,866,475","63,249,866,475","63,249,866,475","63,249,866,475",,"91,274,471,042",,,"99,495,872,276","122,432,528,169","164,153,916,351","133,261,179,258","149,891,433,232","166,957,645,125","158,829,197,767","158,711,334,698","179,173,226,249","170,987,490,526","163,382,179,885","150,542,610,472","168,696,473,793","180,515,133,240","228,637,674,425","171,332,982,767","181,683,428,247","133,733,658,455","146,535,226,143","149,278,338,347","165,305,053,311","150,137,997,277","159,960,878,255","133,380,003,104","162,618,481,718","146,542,137,438","166,818,063,283","172,037,128,922","173,889,110,866","232,709,543,783","229,936,440,856","235,362,632,369","193,322,627,930","231,119,464,502","212,133,588,291","261,461,292,358"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,"13,594,404,811","13,594,404,811","27,008,785,819","27,008,785,819","27,008,785,819","27,008,785,819","31,725,566,604","31,725,566,604","31,725,566,604","31,725,566,604","34,890,668,682","34,890,668,682","34,890,668,682","34,890,668,682","44,916,144,177","44,916,144,177","44,916,144,177","44,916,144,177","57,074,200,234","57,074,200,234","57,074,200,234","57,074,200,234","69,745,262,668","69,745,262,668","69,745,262,668","69,745,262,668","60,329,757,229","60,329,757,229","60,329,757,229","60,329,757,229",,"85,756,730,612",,,"84,685,164,619","97,616,711,155","146,950,692,551","122,120,331,187","137,211,115,616","148,804,869,882","155,922,137,281","158,037,365,673","164,013,504,288","172,906,031,863","162,282,009,041","158,396,623,781","172,408,533,626","186,750,353,275","202,201,613,613","165,180,254,145","182,977,864,976","149,529,834,216","157,218,449,973","169,058,957,889","185,039,523,623","169,320,789,185","180,265,055,414","159,798,362,592","191,264,410,832","173,220,883,174","190,480,329,003","193,017,824,919","196,873,900,101","258,325,672,775","250,191,961,216","251,324,146,331","210,917,767,366","248,326,401,502","233,117,249,736","282,554,793,685"
