TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,"936,173,190,107","936,173,190,107","936,173,190,107","936,173,190,107","1,293,963,961,733","1,293,963,961,733","1,293,963,961,733","1,293,963,961,733","2,754,894,711,572","2,754,894,711,572","2,754,894,711,572","2,754,894,711,572","3,604,394,847,993","3,604,394,847,993","3,604,394,847,993","3,604,394,847,993","3,314,288,464,552","3,314,288,464,552","3,314,288,464,552","3,314,288,464,552","3,653,796,151,783","3,653,796,151,783","3,653,796,151,783","3,653,796,151,783","5,661,287,613,235","5,661,287,613,235","5,661,287,613,235","5,661,287,613,235","5,282,004,772,886","5,282,004,772,886","5,282,004,772,886","5,282,004,772,886",,"4,892,502,990,700",,,"4,283,807,724,714","3,980,603,948,975","4,314,082,270,427","4,687,866,801,114","3,879,256,875,917","4,276,635,026,607","5,273,454,369,564","4,857,750,153,997","4,684,826,946,017","4,415,362,607,090","4,944,369,316,841",,"3,933,580,753,818","3,641,215,361,200","3,822,368,131,565","3,841,286,912,587","4,395,539,493,493","4,772,880,192,347","4,981,945,903,367","5,479,622,590,717","5,237,313,310,763","4,478,647,906,966","5,182,193,638,602","7,733,882,619,795","7,127,236,391,038","7,114,104,006,431","8,176,456,529,753","7,777,028,786,773","8,884,799,200,281","9,081,483,049,341","7,545,237,976,204","8,873,613,815,019","9,226,757,487,757","8,206,924,605,340","7,890,771,728,182","9,109,949,167,345"
I. Tiền và các khoản tương đương tiền,,,,,,,,,"38,692,488,822","38,692,488,822","38,692,488,822","38,692,488,822","77,643,507,863","77,643,507,863","77,643,507,863","77,643,507,863","431,280,211,670","431,280,211,670","431,280,211,670","431,280,211,670","533,465,818,080","533,465,818,080","533,465,818,080","533,465,818,080","363,906,568,157","363,906,568,157","363,906,568,157","363,906,568,157","1,129,910,129,741","1,129,910,129,741","1,129,910,129,741","1,129,910,129,741","2,100,533,189,502","2,100,533,189,502","2,100,533,189,502","2,100,533,189,502","2,050,148,166,048","2,050,148,166,048","2,050,148,166,048","2,050,148,166,048",,"1,640,881,231,703",,,"1,197,573,711,357","1,376,674,556,207","1,589,221,029,426","1,692,838,002,488","1,080,669,229,556","1,272,342,771,466","1,501,297,993,435","1,370,765,179,570","1,545,325,464,578","1,413,378,639,968","1,341,906,762,494",,"726,713,942,804","540,805,257,564","895,528,501,893","892,512,923,504","525,625,816,255","489,281,738,216","1,299,219,069,463","1,808,197,294,965","1,482,384,862,228","1,298,556,893,143","1,165,668,482,936","2,667,773,171,861","1,703,208,627,694","1,703,865,709,640","1,402,459,270,839","1,172,321,403,348","904,975,097,740","852,285,554,072","928,557,544,254","1,028,906,056,767","948,389,939,333","804,144,998,582","927,511,403,406","1,466,009,708,784"
1. Tiền,,,,,,,,,"38,692,488,822","38,692,488,822","38,692,488,822","38,692,488,822","77,643,507,863","77,643,507,863","77,643,507,863","77,643,507,863","301,052,986,337","301,052,986,337","301,052,986,337","301,052,986,337","281,478,772,769","281,478,772,769","281,478,772,769","281,478,772,769","291,890,033,431","291,890,033,431","291,890,033,431","291,890,033,431","291,383,755,869","291,383,755,869","291,383,755,869","291,383,755,869","463,227,203,818","463,227,203,818","463,227,203,818","463,227,203,818","1,021,835,761,315","1,021,835,761,315","1,021,835,761,315","1,021,835,761,315",,"813,699,626,299",,,"407,081,138,754","435,328,256,207","329,874,637,811","360,547,910,873","218,066,050,341","196,864,872,365","278,021,151,751","339,083,377,125","264,932,468,492","253,406,020,266","246,891,844,916",,"262,190,788,561","290,016,667,070","301,844,159,828","435,089,509,540","234,778,245,405","332,481,738,216","585,719,069,463","695,119,422,743","578,384,862,228","611,756,893,143","530,168,482,936","779,684,171,861","848,260,863,694","711,915,709,640","532,509,270,839","583,024,314,368","425,978,008,760","513,005,554,072","747,107,544,254","951,820,309,767","846,459,939,333","734,647,896,059","847,046,300,883","997,613,225,834"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"130,227,225,333","130,227,225,333","130,227,225,333","130,227,225,333","251,987,045,311","251,987,045,311","251,987,045,311","251,987,045,311","72,016,534,726","72,016,534,726","72,016,534,726","72,016,534,726","838,526,373,872","838,526,373,872","838,526,373,872","838,526,373,872","1,637,305,985,684","1,637,305,985,684","1,637,305,985,684","1,637,305,985,684","1,028,312,404,733","1,028,312,404,733","1,028,312,404,733","1,028,312,404,733",,"827,181,605,404",,,"790,492,572,603","941,346,300,000","1,259,346,391,615","1,332,290,091,615","862,603,179,215","1,075,477,899,101","1,223,276,841,684","1,031,681,802,445","1,280,392,996,086","1,159,972,619,702","1,095,014,917,578",,"464,523,154,243","250,788,590,494","593,684,342,065","457,423,413,964","290,847,570,850","156,800,000,000","713,500,000,000","1,113,077,872,222","904,000,000,000","686,800,000,000","635,500,000,000","1,888,089,000,000","854,947,764,000","991,950,000,000","869,950,000,000","589,297,088,980","478,997,088,980","339,280,000,000","181,450,000,000","77,085,747,000","101,930,000,000","69,497,102,523","80,465,102,523","468,396,482,950"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,"16,518,537,059","16,518,537,059","16,518,537,059","16,518,537,059","4,962,389,882","4,962,389,882","4,962,389,882","4,962,389,882","147,247,104,156","147,247,104,156","147,247,104,156","147,247,104,156","750,000,000","750,000,000","750,000,000","750,000,000","19,046,791,095","19,046,791,095","19,046,791,095","19,046,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095","18,376,791,095",,,,,,,,,,,,,,,,,"21,544,800,000","21,544,849,200","24,923,300,940","25,823,285,340","74,748,285,340","111,776,426,590","135,397,509,257","218,009,602,376","212,495,261,136","233,508,490,280","234,637,050,584","340,984,520,159","732,688,468,570","999,229,558,904","1,712,411,088,254","1,764,291,473,158","3,375,323,767,242","3,635,200,228,586","2,579,541,509,692","2,640,441,269,672","2,631,627,339,138","2,291,560,436,824","2,292,625,365,164","3,155,834,085,408"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,200","186,138","186,138","186,138",,"67,616,546,667","110,840,589,950","98,214,279,339","151,939,303,004","108,622,464,863","323,787,121,542","304,319,351,561","582,258,031,617","347,173,299,815","24,458,927,349",,"11,242,678,882",,"3,926,238,120","3,926,238,120","41,969,869,070","14,788,985,680","66,359,223,052"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-136,938","-152,538","-152,538",,,,,,,"-1,665,818,611","-796,890,208","-171,849,904,043","-166,319,711,398","-858,056,545",,"-150,155,191",,"-248,553,098","-248,553,098","-259,735,000","-437,970,670","-989,065,869"
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,"-12,679,438,000","-12,679,438,000","-12,679,438,000","-12,679,438,000",,,,,,,,,"-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905","-31,523,208,905",,,,,,,,,,,,,,,,,"21,544,800,000","21,544,800,000","24,923,251,740","25,823,251,740","74,748,251,740","111,776,426,590","67,780,962,590","107,169,012,426","114,280,981,797","81,569,187,276","126,014,585,721","18,863,217,228","429,166,007,217","588,821,431,330","1,531,557,499,837","1,740,690,602,354","3,375,323,767,242","3,624,107,704,895","2,579,541,509,692","2,636,763,584,650","2,627,949,654,116","2,249,850,302,754","2,278,274,350,154","3,090,463,928,225"
III. Các khoản phải thu ngắn hạn,,,,,,,,,"342,882,953,101","342,882,953,101","342,882,953,101","342,882,953,101","513,367,537,731","513,367,537,731","513,367,537,731","513,367,537,731","1,067,870,840,610","1,067,870,840,610","1,067,870,840,610","1,067,870,840,610","1,229,389,045,410","1,229,389,045,410","1,229,389,045,410","1,229,389,045,410","1,445,851,559,019","1,445,851,559,019","1,445,851,559,019","1,445,851,559,019","1,299,536,975,284","1,299,536,975,284","1,299,536,975,284","1,299,536,975,284","1,302,262,441,282","1,302,262,441,282","1,302,262,441,282","1,302,262,441,282","1,308,927,274,250","1,308,927,274,250","1,308,927,274,250","1,308,927,274,250",,"1,651,962,799,251",,,"1,504,328,708,229","1,303,589,099,679","1,415,678,445,798","1,664,136,741,660","1,641,811,520,534","1,803,365,026,680","2,640,577,007,353","2,301,078,523,474","2,077,254,491,777","1,922,954,074,633","2,105,395,048,725",,"1,725,446,140,276","1,741,668,805,289","1,767,098,073,891","1,540,210,917,055","1,730,280,237,861","1,962,992,369,273","2,125,180,168,077","2,484,484,049,157","2,115,333,011,201","1,693,947,907,618","2,509,238,533,123","3,043,039,251,404","2,403,689,131,254","1,948,889,862,550","2,407,948,092,192","2,023,593,859,952","2,087,111,359,260","2,831,030,981,640","2,053,818,072,056","2,986,235,711,750","3,232,427,896,313","2,813,476,764,330","3,122,875,228,709","2,458,826,333,853"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,"234,455,278,684","234,455,278,684","234,455,278,684","234,455,278,684","272,226,842,831","272,226,842,831","272,226,842,831","272,226,842,831","520,319,475,684","520,319,475,684","520,319,475,684","520,319,475,684","873,096,439,376","873,096,439,376","873,096,439,376","873,096,439,376","963,101,500,297","963,101,500,297","963,101,500,297","963,101,500,297","1,006,604,762,322","1,006,604,762,322","1,006,604,762,322","1,006,604,762,322","1,211,586,586,735","1,211,586,586,735","1,211,586,586,735","1,211,586,586,735","1,128,003,690,821","1,128,003,690,821","1,128,003,690,821","1,128,003,690,821",,"1,345,286,795,183",,,"1,179,061,223,275","1,056,744,820,808","1,256,767,841,803","1,390,969,315,578","1,369,988,129,653","1,499,199,798,265","2,075,544,835,687","1,771,611,915,349","1,563,173,999,716","1,459,980,904,801","1,854,192,877,451",,"1,482,643,619,729","1,484,699,700,824","1,557,362,405,930","1,391,122,631,752","1,573,189,283,897","1,731,651,930,404","1,981,211,089,429","2,008,943,348,129","1,776,101,339,090","1,198,564,104,231","2,496,019,450,201","2,536,107,104,184","2,371,065,115,255","1,861,944,121,525","2,307,848,655,117","2,093,606,196,623","2,029,191,166,573","2,557,269,006,413","2,110,201,470,989","2,473,284,074,036","2,548,324,221,965","2,575,725,189,029","3,010,343,897,891","2,476,852,800,086"
