TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,"204,149,122,227",,,,"377,371,489,415","377,371,489,415","377,371,489,415","377,371,489,415","332,558,334,093","332,558,334,093","332,558,334,093","332,558,334,093","396,617,526,952","396,617,526,952","396,617,526,952","396,617,526,952","307,655,270,606","307,655,270,606","307,655,270,606","307,655,270,606","311,854,538,947","311,854,538,947","311,854,538,947","311,854,538,947","430,721,842,108","430,721,842,108","430,721,842,108","430,721,842,108","524,015,560,688","524,015,560,688","524,015,560,688","524,015,560,688","519,490,033,116","519,490,033,116","519,490,033,116","519,490,033,116",,"1,217,413,534,519",,,"1,113,340,561,027","887,490,024,559","626,488,960,173","576,341,300,531","786,047,637,178","690,987,601,331","550,817,618,251","496,563,419,590","472,359,773,035","426,032,168,720","340,564,621,062","260,408,376,886","323,865,083,405","305,453,002,233","236,659,567,488","183,235,334,243","200,449,513,950","246,429,235,579","226,724,572,937","231,892,051,849","243,953,323,841","287,819,984,231","235,243,595,987","243,055,660,515","299,201,228,990","252,298,572,963","227,012,749,600","196,235,445,135","190,760,248,540","218,995,035,285","225,310,593,079","217,163,309,720","295,651,157,101","224,080,316,081","275,220,411,084","286,097,886,356"
I. Tiền và các khoản tương đương tiền,,,,,"32,901,456,292",,,,"24,168,216,511","24,168,216,511","24,168,216,511","24,168,216,511","22,148,821,059","22,148,821,059","22,148,821,059","22,148,821,059","48,155,154,365","48,155,154,365","48,155,154,365","48,155,154,365","44,127,104,849","44,127,104,849","44,127,104,849","44,127,104,849","80,654,647,047","80,654,647,047","80,654,647,047","80,654,647,047","76,668,931,697","76,668,931,697","76,668,931,697","76,668,931,697","168,074,018,889","168,074,018,889","168,074,018,889","168,074,018,889","65,937,429,214","65,937,429,214","65,937,429,214","65,937,429,214",,"320,280,432,994",,,"75,302,029,268","46,926,213,229","14,951,994,143","9,300,687,330","24,702,014,214","46,044,546,878","22,819,742,612","37,288,562,507","15,145,277,146","9,917,748,370","6,807,412,146","9,218,308,187","16,031,587,833","4,927,519,831","1,998,119,817","5,784,525,888","2,101,637,879","5,744,404,818","6,789,864,610","3,562,559,105","4,125,906,575","5,732,747,955","3,773,028,930","9,347,990,683","3,922,376,765","5,370,850,452","6,478,625,538","9,320,762,879","3,470,819,295","9,054,762,794","5,071,932,932","1,741,233,833","4,717,222,767","4,456,386,909","4,510,870,583","5,345,014,892"
1. Tiền,,,,,"32,901,456,292",,,,,,,,"22,148,821,059","22,148,821,059","22,148,821,059","22,148,821,059","41,675,646,945","41,675,646,945","41,675,646,945","41,675,646,945","7,793,352,849","7,793,352,849","7,793,352,849","7,793,352,849","23,524,591,491","23,524,591,491","23,524,591,491","23,524,591,491","8,806,931,697","8,806,931,697","8,806,931,697","8,806,931,697","54,057,610,652","54,057,610,652","54,057,610,652","54,057,610,652","41,566,327,749","41,566,327,749","41,566,327,749","41,566,327,749",,"207,047,067,994",,,"75,302,029,268","46,926,213,229","14,951,994,143","9,300,687,330","13,702,014,214","34,044,546,878","20,819,742,612","37,288,562,507","15,145,277,146","8,517,748,370","6,807,412,146","9,218,308,187","16,031,587,833","4,927,519,831","1,998,119,817","5,784,525,888","2,101,637,879","5,744,404,818","6,789,864,610","3,562,559,105","4,125,906,575","5,732,747,955","3,773,028,930","9,347,990,683","3,922,376,765","5,370,850,452","6,478,625,538","9,320,762,879","3,470,819,295","9,054,762,794","5,071,932,932","1,741,233,833","4,717,222,767","4,456,386,909","4,510,870,583","5,345,014,892"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"6,479,507,420","6,479,507,420","6,479,507,420","6,479,507,420","36,333,752,000","36,333,752,000","36,333,752,000","36,333,752,000","57,130,055,556","57,130,055,556","57,130,055,556","57,130,055,556","67,862,000,000","67,862,000,000","67,862,000,000","67,862,000,000","114,016,408,237","114,016,408,237","114,016,408,237","114,016,408,237","24,371,101,465","24,371,101,465","24,371,101,465","24,371,101,465",,"113,233,365,000",,,,,,,"11,000,000,000","12,000,000,000","2,000,000,000",,,"1,400,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,"19,182,330,839",,,,"36,434,838,757","36,434,838,757","36,434,838,757","36,434,838,757","17,364,828,365","17,364,828,365","17,364,828,365","17,364,828,365","25,109,061,969","25,109,061,969","25,109,061,969","25,109,061,969","4,066,250,000","4,066,250,000","4,066,250,000","4,066,250,000","2,100,500,003","2,100,500,003","2,100,500,003","2,100,500,003","7,735,000,000","7,735,000,000","7,735,000,000","7,735,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000",,"130,000,000",,,"130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","130,000,000","3,749,922,558","3,749,922,558","3,760,322,558","3,749,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","7,729,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","410,000,000","4,029,922,558","4,029,922,558","4,040,322,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558","4,029,922,558"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000",,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,"-5,368,155,522","-5,368,155,522","-5,368,155,522","-5,368,155,522","-2,998,795,813","-2,998,795,813","-2,998,795,813","-2,998,795,813","-1,165,330,847","-1,165,330,847","-1,165,330,847","-1,165,330,847","-4,609,500,000","-4,609,500,000","-4,609,500,000","-4,609,500,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000","-280,000,000",,,,,"-280,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,700,000,000",,,,,
III. Các khoản phải thu ngắn hạn,,,,,"61,484,614,634",,,,"128,537,468,656","128,537,468,656","128,537,468,656","128,537,468,656","113,854,772,803","113,854,772,803","113,854,772,803","113,854,772,803","151,965,601,340","151,965,601,340","151,965,601,340","151,965,601,340","112,164,757,230","112,164,757,230","112,164,757,230","112,164,757,230","117,490,853,529","117,490,853,529","117,490,853,529","117,490,853,529","158,766,831,384","158,766,831,384","158,766,831,384","158,766,831,384","139,344,022,162","139,344,022,162","139,344,022,162","139,344,022,162","123,549,556,243","123,549,556,243","123,549,556,243","123,549,556,243",,"277,986,035,194",,,"397,681,582,250","321,266,918,404","233,412,145,242","196,969,119,039","284,447,744,142","197,829,000,904","176,993,202,397","193,465,712,303","168,178,641,854","187,137,054,301","151,117,664,899","100,435,618,146","99,792,942,976","117,337,680,114","85,130,334,714","74,038,519,553","80,132,437,293","91,511,278,968","66,957,255,450","88,060,400,163","83,898,509,227","112,508,071,961","94,368,521,868","99,125,578,385","107,152,590,609","118,079,633,719","72,857,353,875","50,252,487,637","43,244,932,072","57,332,487,813","70,552,245,037","53,882,517,071","98,103,614,155","49,698,012,004","66,806,311,095","76,811,343,011"
1. Phải thu ngắn hạn của khách hàng,,,,,"61,484,614,634",,,,,,,,"68,977,000,812","68,977,000,812","68,977,000,812","68,977,000,812","127,904,258,850","127,904,258,850","127,904,258,850","127,904,258,850","92,779,042,877","92,779,042,877","92,779,042,877","92,779,042,877","91,784,922,875","91,784,922,875","91,784,922,875","91,784,922,875","87,663,399,165","87,663,399,165","87,663,399,165","87,663,399,165","107,179,339,000","107,179,339,000","107,179,339,000","107,179,339,000","97,922,950,227","97,922,950,227","97,922,950,227","97,922,950,227",,"261,047,954,531",,,"350,459,352,710","273,132,453,104","169,178,715,306","140,809,023,200","240,144,232,806","149,129,325,854","145,754,474,989","129,550,191,258","137,712,690,655","156,180,708,618","124,537,608,748","84,128,759,351","82,866,490,762","98,645,309,487","71,308,487,254","67,273,011,979","75,772,339,696","88,317,197,389","65,535,452,126","88,066,843,813","83,176,584,628","114,151,640,767","95,232,948,446","105,561,734,342","113,897,856,624","112,862,606,487","81,804,510,593","58,278,690,720","51,837,410,640","66,261,826,236","79,470,373,578","75,626,071,353","117,669,083,189","69,656,233,896","85,149,459,975","96,026,462,232"
