TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,"106,411,626,417","106,411,626,417","106,411,626,417","113,641,796,324","113,641,796,324","113,641,796,324","113,641,796,324","152,505,653,505","152,505,653,505","152,505,653,505","152,505,653,505","200,710,492,790","200,710,492,790","200,710,492,790","200,710,492,790","212,414,555,114","212,414,555,114","212,414,555,114","212,414,555,114","258,671,560,372","258,671,560,372","258,671,560,372","258,671,560,372","268,544,499,535","268,544,499,535","268,544,499,535","268,544,499,535","260,357,187,493","260,357,187,493","260,357,187,493","260,357,187,493","226,408,782,837","226,408,782,837","226,408,782,837","226,408,782,837","245,818,080,673","245,818,080,673","245,818,080,673","245,818,080,673",,"293,887,608,145",,,"322,429,848,714","336,310,031,370","329,689,169,727","351,050,539,108","344,675,522,374","378,054,405,074","374,692,287,688","297,179,533,068","308,445,961,943","346,658,962,678","369,475,977,193",,"332,310,134,534","372,076,383,768","389,273,436,838","380,492,488,034","418,840,363,502","421,653,905,386","443,021,334,310","443,209,513,875","448,550,226,660","477,753,144,231","460,740,420,784","464,556,324,620","454,520,770,144","490,268,524,298","542,811,735,382","502,223,939,269","532,198,377,796","525,145,715,463","536,697,450,420","494,537,492,479","503,639,328,148","519,773,615,943","548,678,774,042","514,712,510,937"
I. Tiền và các khoản tương đương tiền,,"4,890,501,749","4,890,501,749","4,890,501,749","7,704,139,464","7,704,139,464","7,704,139,464","7,704,139,464","6,881,057,312","6,881,057,312","6,881,057,312","6,881,057,312","7,270,474,201","7,270,474,201","7,270,474,201","7,270,474,201","12,712,622,388","12,712,622,388","12,712,622,388","12,712,622,388","14,805,507,614","14,805,507,614","14,805,507,614","14,805,507,614","5,388,109,144","5,388,109,144","5,388,109,144","5,388,109,144","7,792,476,950","7,792,476,950","7,792,476,950","7,792,476,950","6,054,808,196","6,054,808,196","6,054,808,196","6,054,808,196","24,028,877,336","24,028,877,336","24,028,877,336","24,028,877,336",,"26,826,980,405",,,"17,628,522,587","14,244,250,945","13,215,978,829","37,662,851,370","28,284,549,217","22,284,304,386","23,095,137,170","12,761,381,404","8,085,592,099","12,584,925,614","78,847,874,824",,"72,783,565,324","62,717,851,178","34,161,332,755","84,758,047,562","42,121,539,085","80,146,480,700","77,568,803,743","73,090,630,065","29,623,993,712","28,524,441,831","31,268,825,281","28,059,429,425","36,527,437,878","43,220,096,708","64,759,628,152","106,560,596,693","34,142,269,952","19,877,145,521","40,550,403,348","142,201,882,250","146,598,466,326","119,569,428,513","131,188,635,806","119,000,939,764"
1. Tiền,,"4,890,501,749","4,890,501,749","4,890,501,749","7,704,139,464","7,704,139,464","7,704,139,464","7,704,139,464","6,881,057,312","6,881,057,312","6,881,057,312","6,881,057,312","7,270,474,201","7,270,474,201","7,270,474,201","7,270,474,201","12,712,622,388","12,712,622,388","12,712,622,388","12,712,622,388","14,805,507,614","14,805,507,614","14,805,507,614","14,805,507,614","5,388,109,144","5,388,109,144","5,388,109,144","5,388,109,144","7,792,476,950","7,792,476,950","7,792,476,950","7,792,476,950","6,054,808,196","6,054,808,196","6,054,808,196","6,054,808,196","18,028,877,336","18,028,877,336","18,028,877,336","18,028,877,336",,"21,826,980,405",,,"8,628,522,587","12,244,250,945","11,215,978,829","19,162,851,370","9,884,549,217","12,284,304,386","11,495,137,170","9,761,381,404","8,085,592,099","12,584,925,614","16,847,874,824",,"18,683,565,324","23,017,851,178","14,461,332,755","24,558,047,562","38,121,539,085","21,146,480,700","15,568,803,743","21,090,630,065","13,823,993,712","11,224,441,831","13,468,825,281","11,559,429,425","15,227,437,878","30,620,096,708","37,259,628,152","27,960,596,693","16,142,269,952","19,577,145,521","19,150,403,348","16,101,882,250","14,898,466,326","12,819,428,513","22,727,880,608","13,090,184,299"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000",,"5,000,000,000",,,"9,000,000,000","2,000,000,000","2,000,000,000","18,500,000,000","18,400,000,000","10,000,000,000","11,600,000,000","3,000,000,000",,,"62,000,000,000",,"54,100,000,000","39,700,000,000","19,700,000,000","60,200,000,000","4,000,000,000","59,000,000,000","62,000,000,000","52,000,000,000","15,800,000,000","17,300,000,000","17,800,000,000","16,500,000,000","21,300,000,000","12,600,000,000","27,500,000,000","78,600,000,000","18,000,000,000","300,000,000","21,400,000,000","126,100,000,000","131,700,000,000","106,750,000,000","108,460,755,198","105,910,755,465"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,"38,000,000,000","38,000,000,000","38,000,000,000","38,000,000,000","9,000,000,000","9,000,000,000","9,000,000,000","9,000,000,000","11,000,000,000","11,000,000,000","11,000,000,000","11,000,000,000","12,300,000,000","12,300,000,000","12,300,000,000","12,300,000,000","1,800,000,000","1,800,000,000","1,800,000,000","1,800,000,000",,,,,"15,000,000",,"19,940,000","19,990,000","19,990,000",,,,,,,,,,,"5,000,000,000",,"50,200,000,000","72,200,000,000","62,200,000,000","42,200,000,000","42,640,000,000","29,640,000,000","33,200,000,000","37,200,000,000","44,200,000,000","74,200,000,000","25,600,000,000","24,300,000,000","43,800,000,000","46,600,000,000","45,900,000,000","45,900,000,000","44,700,000,000","59,000,000,000","50,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000",,"19,940,000","19,990,000","19,990,000",,,,,,,,,,,"5,000,000,000",,"50,200,000,000","72,200,000,000","62,200,000,000","42,200,000,000","42,640,000,000","29,640,000,000","33,200,000,000","37,200,000,000","44,200,000,000","74,200,000,000","25,600,000,000","24,300,000,000","43,800,000,000","46,600,000,000","45,900,000,000","45,900,000,000","44,700,000,000","59,000,000,000","50,000,000,000"
III. Các khoản phải thu ngắn hạn,,"39,926,359,173","39,926,359,173","39,926,359,173","36,209,485,459","36,209,485,459","36,209,485,459","36,209,485,459","44,905,676,211","44,905,676,211","44,905,676,211","44,905,676,211","57,335,059,002","57,335,059,002","57,335,059,002","57,335,059,002","57,873,951,873","57,873,951,873","57,873,951,873","57,873,951,873","61,784,581,209","61,784,581,209","61,784,581,209","61,784,581,209","71,343,643,049","71,343,643,049","71,343,643,049","71,343,643,049","58,309,952,121","58,309,952,121","58,309,952,121","58,309,952,121","35,621,419,032","35,621,419,032","35,621,419,032","35,621,419,032","44,372,166,772","44,372,166,772","44,372,166,772","44,372,166,772",,"54,644,740,723",,,"66,923,313,238","64,777,461,167","62,916,019,510","61,983,497,558","57,142,110,413","71,995,753,785","65,646,877,451","36,829,537,359","41,560,300,244","43,068,083,185","33,156,984,185",,"38,280,232,684","50,947,033,286","105,603,850,940","49,920,623,219","132,696,142,433","41,507,253,719","52,515,287,924","69,127,952,361","125,865,013,398","117,387,697,454","121,854,550,732","142,212,537,549","126,620,890,479","131,232,410,776","131,785,330,853","94,247,931,349","190,376,438,586","173,050,743,888","173,338,177,239","54,564,958,410","50,111,654,389","56,417,055,093","44,382,401,862","44,969,180,822"
1. Phải thu ngắn hạn của khách hàng,,"33,844,170,853","33,844,170,853","33,844,170,853","29,471,161,496","29,471,161,496","29,471,161,496","29,471,161,496","33,076,510,139","33,076,510,139","33,076,510,139","33,076,510,139","35,769,236,093","35,769,236,093","35,769,236,093","35,769,236,093","34,047,220,108","34,047,220,108","34,047,220,108","34,047,220,108","34,106,655,353","34,106,655,353","34,106,655,353","34,106,655,353","33,881,693,903","33,881,693,903","33,881,693,903","33,881,693,903","28,490,878,729","28,490,878,729","28,490,878,729","28,490,878,729","22,594,270,976","22,594,270,976","22,594,270,976","22,594,270,976","25,203,618,698","25,203,618,698","25,203,618,698","25,203,618,698",,"28,741,751,579",,,"30,685,608,349","33,892,874,793","27,247,514,023","33,169,589,650","28,732,756,820","28,999,693,321","30,464,283,247","25,111,510,049","23,427,921,587","23,570,384,156","20,995,171,814",,"23,696,218,828","20,616,625,457","23,475,400,719","20,460,625,928","18,624,519,763","17,237,603,133","29,062,317,428","40,907,034,428","33,289,302,524","30,073,533,491","30,370,945,964","43,313,070,253","30,849,075,831","33,091,870,822","28,177,870,587","30,732,857,172","35,577,750,433","33,736,543,235","37,125,766,271","35,149,192,885","34,795,384,704","32,123,066,952","30,565,742,943","31,374,671,627"
