TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"786,286,736,162","786,286,736,162","982,017,730,615","982,017,730,615","982,017,730,615","982,017,730,615","1,176,638,742,453","1,176,638,742,453","1,176,638,742,453","1,176,638,742,453","1,605,037,461,093","1,605,037,461,093","1,605,037,461,093","1,605,037,461,093","1,342,948,159,392","1,342,948,159,392","1,342,948,159,392","1,342,948,159,392","1,717,592,172,977","1,717,592,172,977","1,717,592,172,977","1,717,592,172,977","1,830,870,956,574","1,830,870,956,574","1,830,870,956,574","1,830,870,956,574",,"2,396,492,008,028",,,"2,403,312,820,944","2,600,942,303,205","2,682,807,813,233","3,108,046,307,584","3,106,733,884,652","3,055,471,974,810","3,480,268,461,950","3,896,408,805,576","3,872,677,138,687","4,233,070,851,415","4,491,049,840,793","5,280,216,054,578","5,065,794,862,560","5,334,241,444,101","6,396,512,783,624","7,330,560,395,743","7,097,183,484,440","6,858,204,123,453","6,786,221,907,161","7,144,153,839,482","6,821,147,568,701","7,879,395,270,586","7,887,307,408,212","9,220,118,021,024","10,092,832,404,086","9,707,246,758,752","11,157,831,550,618","11,957,919,037,553","11,431,928,999,885","12,082,561,770,023","11,615,760,175,676","12,960,105,195,555","11,535,215,072,835","11,534,098,923,868","13,535,308,084,055","15,690,882,937,410"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"617,517,376,652","617,517,376,652","274,965,948,571","274,965,948,571","274,965,948,571","274,965,948,571","337,769,093,757","337,769,093,757","337,769,093,757","337,769,093,757","454,113,948,194","454,113,948,194","454,113,948,194","454,113,948,194","468,655,700,806","468,655,700,806","468,655,700,806","468,655,700,806","507,821,745,184","507,821,745,184","507,821,745,184","507,821,745,184","272,305,336,075","272,305,336,075","272,305,336,075","272,305,336,075",,"26,658,810,975",,,"34,044,523,513","34,026,739,688","85,134,930,384","155,348,026,509","126,661,720,400","39,711,956,214","111,657,001,658","335,208,552,187","81,899,944,010","96,738,062,787","117,587,302,131","206,721,179,629","94,972,214,431","121,615,518,832","96,330,641,186","95,224,439,008","302,103,503,463","229,987,203,630","232,282,631,402","422,234,781,061","213,388,374,979","249,812,159,909","192,167,536,492","357,670,904,557","2,450,596,250,067","758,721,905,645","1,175,216,404,790","879,548,130,711","549,688,731,182","498,816,248,687","484,626,441,925","896,147,917,336","1,661,537,697,277","1,544,061,575,711","1,396,669,666,014","1,122,713,940,654"
1. Tiền,,,,,,,,,,,,,,,"78,731,661,992","78,731,661,992","87,772,462,002","87,772,462,002","87,772,462,002","87,772,462,002","51,495,543,237","51,495,543,237","51,495,543,237","51,495,543,237","82,732,710,340","82,732,710,340","82,732,710,340","82,732,710,340","34,076,003,469","34,076,003,469","34,076,003,469","34,076,003,469","53,915,192,251","53,915,192,251","53,915,192,251","53,915,192,251","37,706,071,196","37,706,071,196","37,706,071,196","37,706,071,196",,"26,658,810,975",,,"34,044,523,513","34,026,739,688","35,134,930,384","70,848,026,509","41,596,720,400","39,646,956,214","71,657,001,658","111,158,552,187","81,899,944,010","96,738,062,787","117,587,302,131","206,721,179,629","94,972,214,431","121,615,518,832","96,330,641,186","95,224,439,008","302,103,503,463","229,987,203,630","232,282,631,402","422,234,781,061","213,388,374,979","249,812,159,909","192,167,536,492","357,670,904,557","2,450,596,250,067","758,721,905,645","1,075,216,404,790","879,548,130,711","399,688,731,182","498,816,248,687","484,626,441,925","896,147,917,336","1,661,537,697,277","1,544,061,575,711","996,669,666,014","1,022,713,940,654"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,"538,785,714,660","538,785,714,660","187,193,486,569","187,193,486,569","187,193,486,569","187,193,486,569","286,273,550,520","286,273,550,520","286,273,550,520","286,273,550,520","371,381,237,854","371,381,237,854","371,381,237,854","371,381,237,854","434,579,697,337","434,579,697,337","434,579,697,337","434,579,697,337","453,906,552,933","453,906,552,933","453,906,552,933","453,906,552,933","234,599,264,879","234,599,264,879","234,599,264,879","234,599,264,879",,,,,,,"50,000,000,000","84,500,000,000","85,065,000,000","65,000,000","40,000,000,000","224,050,000,000",,,,,,,,,,,,,,,,,,,"100,000,000,000",,"150,000,000,000",,,,,,"400,000,000,000","100,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,"23,032,212,000","23,032,212,000","29,475,000,000","29,475,000,000","29,475,000,000","29,475,000,000",,,,,"70,000,000,000","70,000,000,000","70,000,000,000","70,000,000,000",,,,,,,,,,,,,,"65,000,000",,,"65,000,000","130,065,000,000","65,000,000","65,000,000",,,"160,065,000,000","65,000,000","65,000,000","65,000,000",,,,,,,,,,,,,,,,"750,000,000,000","400,000,000,000","200,000,000,000","720,000,000,000","1,000,067,000,000","990,100,000,000","810,100,000,000","100,170,000,000","170,000,000","950,170,000,000","1,020,170,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,"-1,099,062,000","-1,099,062,000",,,,,,,,,,,,,,,,,,,,,,,,,,"65,000,000",,,"65,000,000","130,065,000,000","65,000,000","65,000,000",,,"160,065,000,000","65,000,000","65,000,000","65,000,000",,,,,,,,,,,,,,,,"750,000,000,000","400,000,000,000","200,000,000,000","720,000,000,000","1,000,067,000,000","990,100,000,000","810,100,000,000","100,170,000,000","170,000,000","950,170,000,000","1,020,170,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"55,318,332,984","55,318,332,984","138,191,257,787","138,191,257,787","138,191,257,787","138,191,257,787","57,575,438,981","57,575,438,981","57,575,438,981","57,575,438,981","70,871,461,230","70,871,461,230","70,871,461,230","70,871,461,230","53,722,534,510","53,722,534,510","53,722,534,510","53,722,534,510","76,020,840,245","76,020,840,245","76,020,840,245","76,020,840,245","71,324,851,689","71,324,851,689","71,324,851,689","71,324,851,689",,"86,571,755,018",,,"66,789,405,292","74,362,675,325","56,593,460,998","68,187,622,387","83,361,232,464","77,491,735,468","83,624,988,524","84,889,368,233","108,604,897,949","125,498,489,397","171,250,035,910","175,780,393,688","263,389,389,780","220,781,075,435","329,967,505,655","138,567,465,634","139,070,900,485","124,646,558,120","152,348,983,567","100,363,015,565","120,418,640,082","112,039,307,879","130,549,895,333","110,020,597,981","131,493,899,893","171,293,270,697","220,264,984,992","292,693,996,754","318,431,448,191","382,804,171,033","340,516,675,915","217,022,941,135","178,219,136,989","195,854,790,073","278,283,783,093","401,134,922,152"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"27,262,281,228","27,262,281,228","39,023,700,978","39,023,700,978","39,023,700,978","39,023,700,978","28,962,855,812","28,962,855,812","28,962,855,812","28,962,855,812","39,634,363,771","39,634,363,771","39,634,363,771","39,634,363,771","15,555,505,035","15,555,505,035","15,555,505,035","15,555,505,035","52,341,746,512","52,341,746,512","52,341,746,512","52,341,746,512","43,282,823,370","43,282,823,370","43,282,823,370","43,282,823,370",,"39,049,492,522",,,"31,707,141,908","38,807,044,473","25,885,924,771","40,105,257,366","40,388,070,050","41,516,695,250","47,056,185,084","39,953,416,659","52,858,316,685","43,292,478,993","68,342,873,558","79,066,643,790","147,395,582,659","93,607,825,028","200,155,139,928","46,187,271,392","53,382,826,315","40,889,152,802","59,036,808,240","67,591,685,619","61,192,969,179","31,835,006,201","27,761,075,083","59,935,266,423","63,076,396,706","51,419,722,650","57,117,771,307","55,927,624,932","77,173,962,385","60,018,331,916","61,943,435,971","69,277,567,110","93,419,502,629","87,316,082,483","124,556,827,222","70,851,635,761"
