TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,"3,534,498,941,247","3,534,498,941,247","3,534,498,941,247","3,534,498,941,247","2,307,029,478,631","2,307,029,478,631","2,307,029,478,631","2,307,029,478,631","4,738,663,610,791","4,738,663,610,791","4,738,663,610,791","4,738,663,610,791","5,099,163,183,691","5,099,163,183,691","5,099,163,183,691","5,099,163,183,691","4,944,061,486,185","4,944,061,486,185","4,944,061,486,185","4,944,061,486,185","5,698,246,415,707","5,698,246,415,707","5,698,246,415,707","5,698,246,415,707","6,640,574,778,843","6,640,574,778,843","6,640,574,778,843","6,640,574,778,843","7,297,705,146,645","7,297,705,146,645","7,297,705,146,645","7,297,705,146,645","7,479,970,292,640","7,479,970,292,640","7,479,970,292,640","7,479,970,292,640",,"7,596,150,396,179",,,"5,841,649,992,173","4,286,054,569,006","5,299,523,834,811","6,182,292,902,075","4,722,018,720,340","4,492,266,169,500","3,656,661,679,902","3,585,740,711,219","3,769,724,484,906","4,160,262,008,310","4,329,162,276,108","3,926,265,561,485","4,051,277,704,446","4,106,376,375,835","4,183,286,956,783","4,208,160,334,837","3,870,105,447,779","3,778,151,313,017","3,862,088,189,853","4,259,404,906,424","3,517,413,125,234","3,339,070,836,414","2,699,461,725,926","2,632,179,069,343","2,378,342,149,376","2,621,068,252,954","2,693,575,528,422","2,738,149,352,351","2,652,415,557,873","2,989,446,982,503","2,969,209,489,825","2,998,857,746,695","4,065,682,617,396",,"2,584,230,580,450","2,730,308,223,771"
I. Tiền và các khoản tương đương tiền,,,,,"528,618,413,219","528,618,413,219","528,618,413,219","528,618,413,219","312,797,706,031","312,797,706,031","312,797,706,031","312,797,706,031","512,800,801,199","512,800,801,199","512,800,801,199","512,800,801,199","1,383,302,959,936","1,383,302,959,936","1,383,302,959,936","1,383,302,959,936","1,370,774,920,006","1,370,774,920,006","1,370,774,920,006","1,370,774,920,006","1,182,518,046,893","1,182,518,046,893","1,182,518,046,893","1,182,518,046,893","1,006,797,429,788","1,006,797,429,788","1,006,797,429,788","1,006,797,429,788","1,185,659,130,762","1,185,659,130,762","1,185,659,130,762","1,185,659,130,762","1,186,893,688,723","1,186,893,688,723","1,186,893,688,723","1,186,893,688,723",,"524,578,201,100",,,"271,625,987,355","550,035,588,947","617,867,411,643","785,549,135,022","169,985,989,337","259,835,073,519","359,032,107,672","208,919,479,866","456,806,761,784","261,021,200,094","485,643,983,305","143,402,399,271","671,424,900,119","238,417,815,183","296,774,543,295","240,627,598,805","290,234,688,675","14,970,322,697","227,920,939,128","273,399,825,071","92,489,991,919","306,713,872,503","366,489,825,929","526,546,317,489","6,545,984,722","206,079,447,757","179,005,521,233","60,340,860,070","28,167,209,364","545,618,085,492","393,906,485,160","23,485,928,018","55,068,997,052",,"12,784,047,525","25,465,520,493"
1. Tiền,,,,,"228,618,413,219","228,618,413,219","228,618,413,219","228,618,413,219","162,797,706,031","162,797,706,031","162,797,706,031","162,797,706,031","32,800,801,199","32,800,801,199","32,800,801,199","32,800,801,199","24,102,959,936","24,102,959,936","24,102,959,936","24,102,959,936","11,974,920,006","11,974,920,006","11,974,920,006","11,974,920,006","1,680,046,893","1,680,046,893","1,680,046,893","1,680,046,893","14,397,429,788","14,397,429,788","14,397,429,788","14,397,429,788","7,359,130,762","7,359,130,762","7,359,130,762","7,359,130,762","40,893,688,723","40,893,688,723","40,893,688,723","40,893,688,723",,"114,578,201,100",,,"18,625,987,355","68,035,588,947","83,867,411,643","45,549,135,022","169,985,989,337","109,835,073,519","59,032,107,672","32,919,479,866","56,806,761,784","61,021,200,094","85,643,983,305","43,402,399,271","101,424,900,119","88,417,815,183","46,774,543,295","10,627,598,805","90,234,688,675","14,970,322,697","67,920,939,128","23,399,825,071","22,489,991,919","6,713,872,503","16,489,825,929","26,546,317,489","6,545,984,722","16,079,447,757","24,005,521,233","60,340,860,070","28,167,209,364","55,618,085,492","43,906,485,160","23,485,928,018","5,068,997,052",,"12,784,047,525","25,465,520,493"
2. Các khoản tương đương tiền,,,,,"300,000,000,000","300,000,000,000","300,000,000,000","300,000,000,000","150,000,000,000","150,000,000,000","150,000,000,000","150,000,000,000","480,000,000,000","480,000,000,000","480,000,000,000","480,000,000,000","1,359,200,000,000","1,359,200,000,000","1,359,200,000,000","1,359,200,000,000","1,358,800,000,000","1,358,800,000,000","1,358,800,000,000","1,358,800,000,000","1,180,838,000,000","1,180,838,000,000","1,180,838,000,000","1,180,838,000,000","992,400,000,000","992,400,000,000","992,400,000,000","992,400,000,000","1,178,300,000,000","1,178,300,000,000","1,178,300,000,000","1,178,300,000,000","1,146,000,000,000","1,146,000,000,000","1,146,000,000,000","1,146,000,000,000",,"410,000,000,000",,,"253,000,000,000","482,000,000,000","534,000,000,000","740,000,000,000",,"150,000,000,000","300,000,000,000","176,000,000,000","400,000,000,000","200,000,000,000","400,000,000,000","100,000,000,000","570,000,000,000","150,000,000,000","250,000,000,000","230,000,000,000","200,000,000,000",,"160,000,000,000","250,000,000,000","70,000,000,000","300,000,000,000","350,000,000,000","500,000,000,000",,"190,000,000,000","155,000,000,000",,,"490,000,000,000","350,000,000,000",,"50,000,000,000",,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,"1,030,000,000,000","1,030,000,000,000","1,030,000,000,000","1,030,000,000,000","2,735,647,725,728","2,735,647,725,728","2,735,647,725,728","2,735,647,725,728","2,205,000,000,000","2,205,000,000,000","2,205,000,000,000","2,205,000,000,000","1,757,501,965,073","1,757,501,965,073","1,757,501,965,073","1,757,501,965,073","2,831,901,965,073","2,831,901,965,073","2,831,901,965,073","2,831,901,965,073","3,466,051,965,073","3,466,051,965,073","3,466,051,965,073","3,466,051,965,073","3,753,051,965,073","3,753,051,965,073","3,753,051,965,073","3,753,051,965,073","3,445,851,965,073","3,445,851,965,073","3,445,851,965,073","3,445,851,965,073",,"3,204,651,965,073",,,"2,174,351,965,073","1,500,000,000,000","2,430,000,000,000","2,110,000,000,000","1,100,000,000,000","500,000,000,000","450,000,000,000","550,000,000,000","100,000,000,000","700,000,000,000","1,400,000,000,000","1,180,000,000,000","320,000,000,000","860,000,000,000","1,310,000,000,000","1,060,000,000,000","550,000,000,000","700,000,000,000","1,540,000,000,000","1,515,000,000,000","1,595,000,000,000","976,000,000,000","641,000,000,000","615,000,000,000","585,000,000,000","250,000,000,000","170,000,000,000","90,000,000,000","20,000,000,000","150,000,000,000","250,000,000,000","100,000,000,000",,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,"-19,352,274,272","-19,352,274,272","-19,352,274,272","-19,352,274,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,174,351,965,073","1,500,000,000,000","2,430,000,000,000","2,110,000,000,000","1,100,000,000,000","500,000,000,000","450,000,000,000","550,000,000,000","100,000,000,000","700,000,000,000","1,400,000,000,000","1,180,000,000,000","320,000,000,000","860,000,000,000","1,310,000,000,000","1,060,000,000,000","550,000,000,000","700,000,000,000","1,540,000,000,000","1,515,000,000,000","1,595,000,000,000","976,000,000,000","641,000,000,000","615,000,000,000","585,000,000,000","250,000,000,000","170,000,000,000","90,000,000,000","20,000,000,000","150,000,000,000","250,000,000,000","100,000,000,000",,,,
III. Các khoản phải thu ngắn hạn,,,,,"2,652,598,454,646","2,652,598,454,646","2,652,598,454,646","2,652,598,454,646","494,195,498,344","494,195,498,344","494,195,498,344","494,195,498,344","931,920,868,294","931,920,868,294","931,920,868,294","931,920,868,294","876,954,166,119","876,954,166,119","876,954,166,119","876,954,166,119","1,147,533,456,015","1,147,533,456,015","1,147,533,456,015","1,147,533,456,015","957,052,480,506","957,052,480,506","957,052,480,506","957,052,480,506","1,365,390,021,451","1,365,390,021,451","1,365,390,021,451","1,365,390,021,451","1,413,056,564,169","1,413,056,564,169","1,413,056,564,169","1,413,056,564,169","2,138,802,782,394","2,138,802,782,394","2,138,802,782,394","2,138,802,782,394",,"3,120,770,940,423",,,"2,584,608,512,891","1,477,759,288,211","1,488,151,963,082","2,725,381,423,850","2,683,774,698,114","3,214,750,988,896",,"2,259,701,009,533","2,640,342,595,580","2,630,188,826,637","1,903,110,683,673","2,363,158,380,535","2,688,227,597,297","2,550,710,232,853","1,987,928,158,855","2,250,719,748,799","2,323,660,842,014","2,309,888,068,585","1,381,214,571,284","1,746,070,169,167","1,233,338,237,199","1,531,421,885,590","1,328,911,358,889","812,357,105,037","1,494,927,405,029","1,727,147,351,559","1,678,266,853,501","2,051,181,065,271","1,958,163,908,164","1,541,852,476,021","1,543,645,405,649","2,070,741,637,515","3,007,854,131,263",,"1,915,331,484,700","1,836,999,560,253"
1. Phải thu ngắn hạn của khách hàng,,,,,"2,632,414,072,344","2,632,414,072,344","2,632,414,072,344","2,632,414,072,344","468,786,366,269","468,786,366,269","468,786,366,269","468,786,366,269","915,396,364,260","915,396,364,260","915,396,364,260","915,396,364,260","867,117,307,022","867,117,307,022","867,117,307,022","867,117,307,022","1,127,997,764,695","1,127,997,764,695","1,127,997,764,695","1,127,997,764,695","909,092,142,759","909,092,142,759","909,092,142,759","909,092,142,759","1,245,715,489,317","1,245,715,489,317","1,245,715,489,317","1,245,715,489,317","1,410,412,054,960","1,410,412,054,960","1,410,412,054,960","1,410,412,054,960","2,141,587,608,472","2,141,587,608,472","2,141,587,608,472","2,141,587,608,472",,"3,117,796,068,887",,,"1,626,837,034,359","1,438,386,277,459","729,873,158,437","1,677,167,679,870","1,178,213,736,599","1,488,653,452,445","1,073,036,775,382","1,322,184,154,203","2,116,502,333,914","1,915,799,775,279","1,188,460,359,399","1,657,277,833,115","1,978,330,279,982","1,843,547,109,610","1,530,474,462,324","2,044,825,301,572","2,111,585,992,118","2,083,257,397,499","1,149,825,623,526","1,516,216,346,155","975,440,681,566","1,275,267,651,993","1,068,423,514,479","613,616,773,953","1,301,907,432,921","1,539,608,023,519","1,487,936,359,463","1,850,530,488,126","1,754,875,542,908","1,314,098,576,985","1,493,793,734,976","1,865,525,132,235","2,894,760,172,738",,"1,903,644,381,099","1,702,305,233,816"
