TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,"1,774,524,756,391","1,774,524,756,391","3,844,569,924,272","3,844,569,924,272","3,844,569,924,272","3,844,569,924,272","4,111,068,092,556","4,111,068,092,556","4,111,068,092,556","4,111,068,092,556","4,722,433,010,509","4,722,433,010,509","4,722,433,010,509","4,722,433,010,509","4,686,058,095,288","4,686,058,095,288","4,686,058,095,288","4,686,058,095,288","5,293,143,514,219","5,293,143,514,219","5,293,143,514,219","5,293,143,514,219",,"5,835,140,092,361",,,"7,152,452,135,139","7,445,591,217,204","7,259,789,356,590","6,627,933,670,499","6,691,719,870,304","8,156,398,917,056","8,758,741,479,858","9,684,813,778,659","9,320,627,317,036","9,769,953,012,168","9,977,588,015,863","8,876,782,453,794","8,430,098,881,931","8,574,267,777,014","8,464,130,273,474","9,146,717,487,264","9,046,387,791,164","8,374,499,340,379","8,122,931,019,264","8,002,920,600,295","7,727,791,923,590","7,722,800,828,027",,"7,640,058,552,441","7,710,224,352,752","7,567,325,366,380","7,663,864,131,228","7,835,410,862,000","7,637,309,040,646","7,572,761,257,563","7,596,005,926,233","7,531,076,879,015","7,632,894,690,326","7,508,829,117,201","7,555,116,482,436","7,412,916,486,769"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,"30,631,829,169","30,631,829,169","144,301,860,134","144,301,860,134","144,301,860,134","144,301,860,134","16,490,882,748","16,490,882,748","16,490,882,748","16,490,882,748","48,178,518,653","48,178,518,653","48,178,518,653","48,178,518,653","115,204,799,697","115,204,799,697","115,204,799,697","115,204,799,697","106,400,454,608","106,400,454,608","106,400,454,608","106,400,454,608",,"29,162,820,921",,,"38,598,190,019","15,792,630,258","7,106,293,464","48,142,069,123","101,145,910,540","62,259,107,143","73,626,636,791","98,039,104,216","91,168,201,567","95,537,589,568","211,867,829,931","133,194,055,567","53,007,919,915","29,157,292,087","38,538,842,141","16,208,178,631","8,017,971,785","72,439,539,715","37,413,246,400","40,533,348,625","25,282,848,339","62,002,801,255",,"30,809,847,480","24,607,233,201","38,825,335,188","64,109,554,208","76,888,894,151","24,542,710,812","25,001,604,947","30,092,129,252","28,484,961,022","29,652,180,320","27,560,088,425","52,724,251,276","114,845,653,817"
1. Tiền,,,,,,,,,,,,,,,,,,,"3,816,829,169","3,816,829,169","37,006,860,134","37,006,860,134","37,006,860,134","37,006,860,134","6,819,482,748","6,819,482,748","6,819,482,748","6,819,482,748","47,378,518,653","47,378,518,653","47,378,518,653","47,378,518,653","5,204,799,697","5,204,799,697","5,204,799,697","5,204,799,697","5,356,279,608","5,356,279,608","5,356,279,608","5,356,279,608",,"29,162,820,921",,,"38,598,190,019","15,792,630,258","7,106,293,464","5,142,069,123","51,145,910,540","12,259,107,143","23,626,636,791","48,039,104,216","41,168,201,567","30,537,589,568","44,067,829,931","28,994,055,567","44,707,919,915","9,757,292,087","36,638,842,141","16,208,178,631","8,017,971,785","72,439,539,715","37,413,246,400","40,533,348,625","25,282,848,339","62,002,801,255",,"30,809,847,480","24,607,233,201","38,825,335,188","64,109,554,208","76,888,894,151","17,542,710,812","25,001,604,947","30,092,129,252","28,484,961,022","29,652,180,320","27,560,088,425","52,724,251,276","114,845,653,817"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,"26,815,000,000","26,815,000,000","107,295,000,000","107,295,000,000","107,295,000,000","107,295,000,000","9,671,400,000","9,671,400,000","9,671,400,000","9,671,400,000","800,000,000","800,000,000","800,000,000","800,000,000","110,000,000,000","110,000,000,000","110,000,000,000","110,000,000,000","101,044,175,000","101,044,175,000","101,044,175,000","101,044,175,000",,,,,,,,"43,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","50,000,000,000","65,000,000,000","167,800,000,000","104,200,000,000","8,300,000,000","19,400,000,000","1,900,000,000",,,,,,,,,,,,,,"7,000,000,000",,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,"141,256,074,448","141,256,074,448","141,256,074,448","141,256,074,448",,,,,,,,,,,,,,,,,,"25,844,968,849",,,"16,959,400,000","16,959,400,000","17,609,400,000","67,609,400,000","16,650,000,000","16,650,000,000","17,351,864,583","17,351,864,583","17,351,864,583","17,351,864,583","18,099,983,992","18,099,983,992","18,099,983,992","18,099,983,992","6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000",,,,"200,000,000",,"200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","211,317,131","216,714,113",,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,650,000,000",,"17,351,864,583","17,351,864,583",,,,,"18,099,983,992",,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,844,968,849",,,"16,959,400,000","16,959,400,000","17,609,400,000","67,609,400,000",,"16,650,000,000",,,"17,351,864,583","17,351,864,583","18,099,983,992","18,099,983,992",,"18,099,983,992","6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000",,,,"200,000,000",,"200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","211,317,131","216,714,113",,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,"335,747,869,814","335,747,869,814","799,924,332,083","799,924,332,083","799,924,332,083","799,924,332,083","823,680,404,538","823,680,404,538","823,680,404,538","823,680,404,538","644,769,293,470","644,769,293,470","644,769,293,470","644,769,293,470","486,562,047,020","486,562,047,020","486,562,047,020","486,562,047,020","1,055,569,737,644","1,055,569,737,644","1,055,569,737,644","1,055,569,737,644",,"1,088,146,156,513",,,"1,342,590,929,274","658,438,755,651","876,959,627,626","510,310,981,102","672,105,412,730","1,748,846,670,244","1,735,250,782,989","2,616,511,223,949","2,274,630,254,809","2,454,373,364,746","2,361,013,899,597","1,178,046,768,912","909,151,184,855","678,842,747,413","495,084,553,296","454,502,822,835","809,386,408,107","888,971,195,196","975,747,290,507","447,822,095,690","464,615,635,791","478,202,526,257",,"360,408,845,277","300,449,286,804","338,499,612,400","431,407,657,145","523,915,359,471","496,376,263,705","417,239,403,586","433,206,144,875","441,601,066,907","546,240,423,443","429,348,282,637","556,516,921,029","634,717,973,609"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,"45,829,074,177","45,829,074,177","83,158,517,504","83,158,517,504","83,158,517,504","83,158,517,504","82,125,952,016","82,125,952,016","82,125,952,016","82,125,952,016","90,159,219,883","90,159,219,883","90,159,219,883","90,159,219,883","104,576,253,587","104,576,253,587","104,576,253,587","104,576,253,587","198,019,859,421","198,019,859,421","198,019,859,421","198,019,859,421",,"211,847,699,209",,,"148,256,331,167","372,065,963,168","450,352,236,924","122,176,973,681","93,912,080,652","126,989,577,889","130,119,481,174","199,103,938,910","138,758,212,558","157,634,352,012","110,585,331,787","136,260,121,072","56,559,736,357","98,096,549,878","98,590,121,440","96,999,812,273","290,867,966,735","197,130,132,812","155,329,258,355","157,155,988,170","156,205,167,329","162,748,273,023",,"191,448,533,098","206,251,143,565","234,903,030,327","276,628,808,915","274,824,640,649","249,521,499,210","264,757,877,176","274,920,444,749","284,787,071,015","388,082,268,745","257,375,030,646","286,352,719,242","302,936,217,061"
