TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,"409,000,682,000","409,000,682,000","409,000,682,000","409,000,682,000","901,711,356,000","901,711,356,000","901,711,356,000","901,711,356,000","1,615,206,630,000","1,615,206,630,000","1,615,206,630,000","1,615,206,630,000","1,118,977,987,000","1,118,977,987,000","1,118,977,987,000","1,118,977,987,000","1,408,236,808,000","1,408,236,808,000","1,408,236,808,000","1,408,236,808,000","2,653,821,284,000","2,653,821,284,000","2,653,821,284,000","2,653,821,284,000","2,480,357,822,897","2,480,357,822,897","2,480,357,822,897","2,480,357,822,897","3,122,711,167,618","3,122,711,167,618","3,122,711,167,618","3,122,711,167,618","2,561,941,483,792","2,561,941,483,792","2,561,941,483,792","2,561,941,483,792","2,966,586,420,754","2,966,586,420,754","2,966,586,420,754","2,966,586,420,754",,"3,119,241,767,697",,,"3,546,908,206,266","3,964,332,578,622","4,193,165,953,524","4,104,230,758,004","4,189,130,893,636","4,588,774,825,354","5,835,864,049,498","5,665,882,506,819","4,960,189,673,183","4,661,516,200,604","5,634,191,097,451","6,016,429,663,343","8,151,760,446,273","7,968,934,323,110","7,887,549,252,658","6,012,735,641,914","5,926,660,045,049","6,004,331,756,804","5,809,082,339,976","6,013,639,106,954","5,968,812,897,468","7,083,560,795,664",,"6,755,532,739,018","7,459,877,470,927","7,625,310,403,900","7,506,675,610,574","8,586,476,962,774","9,046,535,835,587","8,931,147,990,438","9,367,076,920,443","9,522,301,155,735","9,985,294,065,762",,"10,627,102,970,555","11,285,905,061,559"
I. Tiền và các khoản tương đương tiền,"170,555,530,000","170,555,530,000","170,555,530,000","170,555,530,000","318,352,313,000","318,352,313,000","318,352,313,000","318,352,313,000","305,885,177,000","305,885,177,000","305,885,177,000","305,885,177,000","359,042,809,000","359,042,809,000","359,042,809,000","359,042,809,000","244,409,919,000","244,409,919,000","244,409,919,000","244,409,919,000","1,171,788,846,000","1,171,788,846,000","1,171,788,846,000","1,171,788,846,000","427,326,473,974","427,326,473,974","427,326,473,974","427,326,473,974","834,707,800,990","834,707,800,990","834,707,800,990","834,707,800,990","535,795,614,565","535,795,614,565","535,795,614,565","535,795,614,565","1,036,655,683,725","1,036,655,683,725","1,036,655,683,725","1,036,655,683,725",,"1,271,166,573,992",,,"1,173,265,912,265","1,019,428,437,263","685,854,474,565","959,184,890,496","1,181,695,676,454","1,236,497,394,401","2,507,556,350,185","2,397,186,656,336","1,499,281,152,036","1,332,173,823,176","1,272,855,205,301","1,865,096,744,967","1,645,023,948,911","1,486,152,246,568","1,779,170,129,188","1,559,577,051,904","1,296,596,309,665","785,928,804,242","696,804,827,748","657,638,665,185","1,177,800,418,926","2,301,828,977,307",,"1,830,901,134,902","1,776,626,110,212","1,607,466,328,995","1,061,800,033,013","1,151,270,491,294","1,395,512,798,370","1,620,169,594,145","2,085,304,198,461","3,022,796,277,503","3,319,609,374,469",,"5,068,969,563,782","5,635,908,856,765"
1. Tiền,"170,555,530,000","170,555,530,000","170,555,530,000","170,555,530,000","318,352,313,000","318,352,313,000","318,352,313,000","318,352,313,000","57,963,628,000","57,963,628,000","57,963,628,000","57,963,628,000","25,450,192,000","25,450,192,000","25,450,192,000","25,450,192,000","91,399,269,000","91,399,269,000","91,399,269,000","91,399,269,000","77,317,157,000","77,317,157,000","77,317,157,000","77,317,157,000","69,561,203,062","69,561,203,062","69,561,203,062","69,561,203,062","238,167,711,642","238,167,711,642","238,167,711,642","238,167,711,642","67,561,903,838","67,561,903,838","67,561,903,838","67,561,903,838","131,144,669,536","131,144,669,536","131,144,669,536","131,144,669,536",,"115,664,367,464",,,"171,476,638,405","115,017,258,754","171,049,981,621","234,295,781,676","199,790,409,504","329,237,070,795","86,880,421,841","235,013,293,004","300,581,190,605","123,773,314,559","158,140,208,871","394,808,304,018","131,998,948,911","392,096,063,636","533,696,129,188","258,172,051,904","179,645,487,749","265,008,804,242","269,754,827,748","233,964,785,185","163,300,418,926","827,295,977,307",,"259,186,839,056","257,558,138,729","263,766,070,576","294,550,033,013","457,070,491,294","576,612,798,370","158,269,594,145","330,019,410,177","288,382,983,179","360,229,662,330",,"379,169,244,246","274,412,751,197"
2. Các khoản tương đương tiền,,,,,,,,,"247,921,549,000","247,921,549,000","247,921,549,000","247,921,549,000","333,592,617,000","333,592,617,000","333,592,617,000","333,592,617,000","153,010,650,000","153,010,650,000","153,010,650,000","153,010,650,000","1,094,471,689,000","1,094,471,689,000","1,094,471,689,000","1,094,471,689,000","357,765,270,912","357,765,270,912","357,765,270,912","357,765,270,912","596,540,089,348","596,540,089,348","596,540,089,348","596,540,089,348","468,233,710,727","468,233,710,727","468,233,710,727","468,233,710,727","905,511,014,189","905,511,014,189","905,511,014,189","905,511,014,189",,"1,155,502,206,528",,,"1,001,789,273,860","904,411,178,509","514,804,492,944","724,889,108,820","981,905,266,950","907,260,323,606","2,420,675,928,344","2,162,173,363,332","1,198,699,961,431","1,208,400,508,617","1,114,714,996,430","1,470,288,440,949","1,513,025,000,000","1,094,056,182,932","1,245,474,000,000","1,301,405,000,000","1,116,950,821,916","520,920,000,000","427,050,000,000","423,673,880,000","1,014,500,000,000","1,474,533,000,000",,"1,571,714,295,846","1,519,067,971,483","1,343,700,258,419","767,250,000,000","694,200,000,000","818,900,000,000","1,461,900,000,000","1,755,284,788,284","2,734,413,294,324","2,959,379,712,139",,"4,689,800,319,536","5,361,496,105,568"
II. Các khoản đầu tư tài chính ngắn hạn,"7,030,000,000","7,030,000,000","7,030,000,000","7,030,000,000","227,739,030,000","227,739,030,000","227,739,030,000","227,739,030,000","672,847,555,000","672,847,555,000","672,847,555,000","672,847,555,000","182,504,714,000","182,504,714,000","182,504,714,000","182,504,714,000","325,383,754,000","325,383,754,000","325,383,754,000","325,383,754,000","288,700,369,000","288,700,369,000","288,700,369,000","288,700,369,000","773,505,813,738","773,505,813,738","773,505,813,738","773,505,813,738","883,513,299,591","883,513,299,591","883,513,299,591","883,513,299,591","416,693,781,070","416,693,781,070","416,693,781,070","416,693,781,070","249,839,701,655","249,839,701,655","249,839,701,655","249,839,701,655",,"200,641,029,757",,,"464,371,841,600","817,338,151,752","771,050,850,916","750,013,228,917","569,705,045,595","359,981,044,388","336,625,694,961","516,561,743,653","565,831,751,646","628,808,503,985","1,396,192,364,858","1,168,925,962,847","2,718,607,852,912","2,266,348,176,637","1,746,371,167,518","1,201,295,628,592","1,371,111,357,788","1,413,803,945,521","1,207,674,282,801","1,328,559,221,660","865,891,279,760","899,880,457,718",,"863,912,122,575","1,239,184,012,457","1,521,644,344,567","1,634,634,684,811","1,749,361,611,727","1,310,184,212,591","1,410,207,981,733","1,436,290,479,678","1,132,366,903,888","1,259,688,234,197",,"1,119,089,292,234","1,060,073,372,989"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,691,326,465",,,"176,332,943,455","177,199,291,705","178,145,691,569","177,729,007,570","179,624,889,043","67,685,846,043","67,685,846,043","37,145,694,293","85,750,061,663","91,318,599,163","59,272,599,163","67,611,951,511","59,872,622,328","59,752,246,584","59,751,826,582","59,751,826,582","29,473,477,082","29,471,918,847","29,471,918,847","427,981,930,767","118,007,656,247","83,168,820,205",,"72,553,563,045","69,366,368,145","119,680,873,025","219,352,825,145","789,692,824,953","735,999,587,845","933,061,560,987","1,047,289,370,932","719,448,038,287","893,816,438,596",,"934,764,566,633","733,142,581,787"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-84,267,406,137",,,"-84,652,134,711","-84,288,842,401","-84,627,361,051","-84,395,028,952","-84,573,863,747","-8,305,996,347","-8,033,050,212","-8,414,878,081","-7,752,415,052","-11,240,415,051","-7,752,415,051","-11,120,818,717","-6,133,400,000","-6,133,400,000","-6,339,615,419","-6,378,080,419","-6,603,375,421","-6,482,358,365","-6,960,222,365","-953,161,365","-755,413,365","-766,399,365",,"-293,908,798","-293,908,798","-325,639,799","-558,558,798","-802,036,798","-854,966,798","-1,003,170,798","-918,482,798","-823,208,798","-770,278,798",,"-717,348,798","-823,208,798"
3. Đầu tư nắm giữ đến ngày đáo hạn,"-3,750,000,000","-3,750,000,000","-3,750,000,000","-3,750,000,000","-5,000,000,000","-5,000,000,000","-5,000,000,000","-5,000,000,000","-53,572,000,000","-53,572,000,000","-53,572,000,000","-53,572,000,000","-275,219,797,000","-275,219,797,000","-275,219,797,000","-275,219,797,000","-132,802,732,000","-132,802,732,000","-132,802,732,000","-132,802,732,000","-72,731,764,000","-72,731,764,000","-72,731,764,000","-72,731,764,000","-276,870,391,352","-276,870,391,352","-276,870,391,352","-276,870,391,352","-87,749,773,260","-87,749,773,260","-87,749,773,260","-87,749,773,260","-90,667,712,342","-90,667,712,342","-90,667,712,342","-90,667,712,342","-86,775,438,855","-86,775,438,855","-86,775,438,855","-86,775,438,855",,"160,217,109,429",,,"372,691,032,856","724,427,702,448","677,532,520,398","656,679,250,299","474,654,020,299","300,601,194,692","276,972,899,130","487,830,927,441","487,834,105,035","548,730,319,873","1,344,672,180,746","1,112,434,830,053","2,664,868,630,584","2,212,729,330,053","1,692,958,956,355","1,147,921,882,429","1,348,241,256,127","1,390,814,385,039","1,185,162,586,319","901,530,452,258","748,639,036,878","817,478,036,878",,"791,652,468,328","1,170,111,553,110","1,402,289,111,341","1,415,840,418,464","960,470,823,572","575,039,591,544","478,149,591,544","389,919,591,544","413,742,074,399","366,642,074,399",,"185,042,074,399","327,754,000,000"
III. Các khoản phải thu ngắn hạn,"101,957,258,000","101,957,258,000","101,957,258,000","101,957,258,000","258,557,833,000","258,557,833,000","258,557,833,000","258,557,833,000","407,464,268,000","407,464,268,000","407,464,268,000","407,464,268,000","457,622,941,000","457,622,941,000","457,622,941,000","457,622,941,000","575,146,029,000","575,146,029,000","575,146,029,000","575,146,029,000","600,330,974,000","600,330,974,000","600,330,974,000","600,330,974,000","564,789,877,975","564,789,877,975","564,789,877,975","564,789,877,975","858,974,723,435","858,974,723,435","858,974,723,435","858,974,723,435","1,002,628,925,985","1,002,628,925,985","1,002,628,925,985","1,002,628,925,985","1,031,317,335,346","1,031,317,335,346","1,031,317,335,346","1,031,317,335,346",,"1,176,393,660,189",,,"1,252,983,200,091","1,398,890,217,104","1,823,150,840,266","1,148,605,019,028","1,068,245,310,615","1,456,667,869,252","1,242,696,566,014","1,136,714,361,110","1,321,422,556,068","1,276,861,944,917","1,572,085,119,268","1,966,047,634,090","2,834,113,353,435","3,216,577,707,934","3,357,654,166,445","2,153,036,224,441","2,136,332,631,203","2,561,470,745,147","2,843,714,200,021","3,082,086,528,134","2,937,677,687,284","2,773,684,720,669",,"2,985,755,102,581","3,277,695,550,804","3,220,056,250,343","3,288,635,236,369","4,012,828,277,938","4,697,121,425,211","4,291,784,442,129","4,296,703,262,058","3,777,035,068,930","3,760,845,189,907",,"3,021,072,202,669","3,129,469,402,053"
1. Phải thu ngắn hạn của khách hàng,"73,862,248,000","73,862,248,000","73,862,248,000","73,862,248,000","176,394,258,000","176,394,258,000","176,394,258,000","176,394,258,000","135,073,777,000","135,073,777,000","135,073,777,000","135,073,777,000","195,130,680,000","195,130,680,000","195,130,680,000","195,130,680,000","224,871,531,000","224,871,531,000","224,871,531,000","224,871,531,000","271,735,934,000","271,735,934,000","271,735,934,000","271,735,934,000","320,930,086,539","320,930,086,539","320,930,086,539","320,930,086,539","496,528,157,576","496,528,157,576","496,528,157,576","496,528,157,576","685,334,062,970","685,334,062,970","685,334,062,970","685,334,062,970","662,576,397,969","662,576,397,969","662,576,397,969","662,576,397,969",,"795,052,437,009",,,"542,828,014,945","512,853,915,091","477,999,836,272","620,263,323,783","552,409,347,283","594,025,498,032","691,615,424,530","787,785,354,089","811,463,043,089","704,794,772,837","892,489,929,219","1,087,145,655,786","1,106,002,839,633","1,103,022,788,227","965,752,152,028","906,379,776,681","1,058,884,078,212","1,190,830,281,582","1,244,473,041,676","1,340,498,275,489","1,614,857,342,536","1,804,217,454,296",,"2,025,712,201,362","2,357,213,848,519","1,815,502,933,990","2,023,206,470,996","2,664,683,710,391","3,442,555,755,546","3,446,213,984,076","3,271,975,162,515","3,381,950,465,871","3,038,394,642,712",,"2,455,530,678,357","2,612,749,942,215"
