TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,514,162,093,219","4,470,885,413,195","5,732,032,270,994","4,958,910,425,822","4,193,326,566,744","4,479,751,213,630","5,143,427,581,805","5,478,607,773,992","5,487,557,320,190","7,240,264,400,375","6,669,091,354,541","6,579,224,869,346","6,975,695,025,935","7,795,654,498,247","7,838,751,927,213","7,226,746,543,850","7,371,658,965,290","7,641,534,445,811","6,718,008,972,199","6,825,975,386,393","6,728,214,734,986",,"8,008,228,803,100",,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,863,476,913","8,979,812,021","242,066,262,223","321,820,346,671","218,147,134,084","221,836,175,707","154,992,446,222","42,660,730,723","58,067,473,866","225,290,743,537","140,947,379,177","68,672,201,528","88,215,207,531","65,909,176,764","38,889,816,459","28,824,226,439","196,825,720,314","42,409,798,581","34,771,071,866","16,726,499,851","19,542,206,043",,"35,288,896,970",,,,,,,,,,,,
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,863,476,913","8,979,812,021","192,066,262,223","321,820,346,671","218,147,134,084","221,836,175,707","99,888,279,555","42,660,730,723","58,067,473,866","189,290,743,537","139,797,379,177","47,522,201,528","50,035,938,358","35,909,176,764","18,889,816,459","8,824,226,439","16,825,720,314","42,409,798,581","34,771,071,866","16,726,499,851","19,542,206,043",,"35,288,896,970",,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000,000",,,,"55,104,166,667",,,"36,000,000,000","1,150,000,000","21,150,000,000","38,179,269,173","30,000,000,000","20,000,000,000","20,000,000,000","180,000,000,000",,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,169,962,432,530","1,902,797,281,670","2,465,591,731,317","1,546,583,005,291","1,302,361,183,500","1,465,599,323,771","408,873,825,291","389,713,825,291","384,614,551,317","369,614,551,317",,"800,000,000","800,000,000",,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,169,962,432,530","1,902,797,281,670","2,465,591,731,317","1,546,583,005,291","1,302,361,183,500","1,465,599,323,771","408,873,825,291","389,713,825,291","384,614,551,317","369,614,551,317",,"800,000,000","800,000,000",,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"934,060,187,143","1,113,644,519,692","2,121,053,534,566","2,367,152,161,043","2,000,982,275,791","1,817,136,369,932","3,212,346,223,543","3,538,998,086,334","3,775,982,108,763","5,146,728,071,516","4,743,187,722,083","4,647,679,244,783","4,584,370,155,169","5,289,166,028,570","5,147,284,605,079","4,502,398,681,290","4,481,360,287,754","4,910,023,940,126","3,859,368,688,446","3,950,658,995,334","3,728,696,733,574",,"4,200,932,036,956",,,,,,,,,,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139,274,672,201","197,238,211,391","677,586,578,252","745,826,692,230","873,625,364,906","714,330,212,700","608,241,054,500","738,795,153,588","841,015,226,205","857,239,754,442","968,321,206,291","1,019,960,600,427","969,954,008,528","864,439,139,923","1,016,404,470,745","1,381,781,451,711","1,067,197,209,995","1,157,269,225,345","212,436,735,386","236,257,749,116","413,388,756,100",,"237,509,064,872",,,,,,,,,,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"663,295,299,251","789,373,901,617","1,322,469,263,353","1,457,661,442,358","935,515,288,390","818,003,665,424","791,739,946,223","966,753,736,690","1,281,486,701,131","1,523,688,822,392","964,890,451,427","1,089,708,113,036","1,283,133,216,937","1,321,190,420,032","1,102,729,124,466","1,174,074,947,216","1,475,635,004,601","1,859,833,099,336","1,651,090,001,279","1,543,196,673,652","1,542,630,265,148",,"1,941,040,525,174",,,,,,,,,,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
