TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,"115,732,844,563","115,732,844,563","115,732,844,563","115,732,844,563","84,624,960,827","84,624,960,827","84,624,960,827","84,624,960,827","69,232,596,302","69,232,596,302","69,232,596,302","69,232,596,302","39,515,235,001","39,515,235,001","39,515,235,001","39,515,235,001","112,998,774,904","112,998,774,904","112,998,774,904","112,998,774,904","62,806,368,680","62,806,368,680","62,806,368,680","62,806,368,680",,"38,903,981,815",,,"54,609,818,966","59,332,998,632","93,874,887,943","86,409,843,169","98,532,410,761","89,443,031,031","102,811,842,884","131,703,616,479","115,604,994,160","62,601,494,282","83,623,502,147","97,549,092,649","111,793,171,421","103,596,440,271","80,739,556,518","65,920,443,198","61,454,133,854","55,329,221,950","106,077,588,868","106,732,921,842","83,220,594,953","52,216,808,215","71,395,475,015","143,847,574,026","129,463,967,305","159,632,426,006","142,883,047,187","241,628,352,885","205,246,864,283","213,500,548,263","140,221,085,364","196,828,572,250","177,370,432,460",,"76,667,265,681","90,315,474,582"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,"13,570,960,803","13,570,960,803","13,570,960,803","13,570,960,803","5,318,511,122","5,318,511,122","5,318,511,122","5,318,511,122","15,049,252,581","15,049,252,581","15,049,252,581","15,049,252,581","11,847,774,270","11,847,774,270","11,847,774,270","11,847,774,270","20,406,121,445","20,406,121,445","20,406,121,445","20,406,121,445","4,521,506,023","4,521,506,023","4,521,506,023","4,521,506,023",,"8,708,309,161",,,"12,564,446,502","5,664,314,848","18,556,058,896","14,819,783,143","17,766,735,937","7,360,932,969","5,701,129,772","52,623,448,960","32,698,316,434","14,962,409,766","1,142,868,890","11,270,557,614","46,286,781,852","31,371,107,598","7,280,783,955","12,999,905,264","4,461,407,399","2,926,337,456","2,691,355,138","12,017,851,625","7,756,330,300","9,955,229,403","4,803,346,982","40,865,726,393","67,374,916,905","87,821,270,935","15,838,553,462","80,679,709,655","64,795,030,958","118,789,368,681","9,047,292,591","16,653,945,530","87,871,120,824",,"11,162,312,427","14,396,756,870"
1. Tiền,,,,,,,,,,,,,,,,,"9,542,279,956","9,542,279,956","9,542,279,956","9,542,279,956","5,318,511,122","5,318,511,122","5,318,511,122","5,318,511,122","15,049,252,581","15,049,252,581","15,049,252,581","15,049,252,581","11,847,774,270","11,847,774,270","11,847,774,270","11,847,774,270","14,406,121,445","14,406,121,445","14,406,121,445","14,406,121,445",,,,,,"8,708,309,161",,,"12,564,446,502","5,664,314,848","18,556,058,896","14,819,783,143","17,766,735,937","7,360,932,969","5,701,129,772","7,623,448,960","7,698,316,434","14,962,409,766","1,142,868,890","11,270,557,614","7,286,781,852","31,371,107,598","7,280,783,955","12,999,905,264","4,461,407,399","2,926,337,456","2,691,355,138","12,017,851,625","7,756,330,300","2,455,229,403","4,803,346,982","40,865,726,393","17,374,916,905","12,821,270,935","15,838,553,462","25,679,709,655","49,795,030,958","33,789,368,681","4,047,292,591","11,653,945,530","7,871,120,824",,"11,162,312,427","9,396,756,870"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"4,028,680,847","4,028,680,847","4,028,680,847","4,028,680,847",,,,,,,,,,,,,"6,000,000,000","6,000,000,000","6,000,000,000","6,000,000,000",,,,,,,,,,,,,,,,"45,000,000,000","25,000,000,000",,,,"39,000,000,000",,,,,,,,,"7,500,000,000",,,"50,000,000,000","75,000,000,000",,"55,000,000,000","15,000,000,000","85,000,000,000","5,000,000,000","5,000,000,000","80,000,000,000",,,"5,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,"93,206,631,864","93,206,631,864","93,206,631,864","93,206,631,864","75,813,585,088","75,813,585,088","75,813,585,088","75,813,585,088","44,876,361,473","44,876,361,473","44,876,361,473","44,876,361,473","24,630,458,730","24,630,458,730","24,630,458,730","24,630,458,730","88,918,817,145","88,918,817,145","88,918,817,145","88,918,817,145","52,735,577,766","52,735,577,766","52,735,577,766","52,735,577,766",,"26,315,683,049",,,"38,470,769,674","48,613,190,452","68,760,512,430","64,070,293,817","73,418,715,838","77,615,942,676","92,455,609,638","74,424,631,849","78,384,545,860","43,513,674,757","77,874,892,216","82,576,094,882","61,537,909,572","69,393,377,784","68,385,092,364","42,296,966,823","48,281,428,818","41,643,011,213","93,674,522,550","86,848,505,035","69,186,971,089","33,775,233,630","57,139,075,207","97,898,494,980","58,292,303,562","68,433,469,761","123,286,405,010","157,686,716,054","137,144,455,578","88,907,523,622","125,306,192,643","176,457,658,586","85,995,854,180",,"61,009,505,362","72,369,139,521"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,"11,589,379,386","11,589,379,386","11,589,379,386","11,589,379,386","56,659,390,254","56,659,390,254","56,659,390,254","56,659,390,254","30,009,515,907","30,009,515,907","30,009,515,907","30,009,515,907","11,354,100,508","11,354,100,508","11,354,100,508","11,354,100,508","78,123,593,325","78,123,593,325","78,123,593,325","78,123,593,325","41,059,835,315","41,059,835,315","41,059,835,315","41,059,835,315",,"15,087,290,247",,,"18,335,131,456","27,657,156,370","46,475,376,157","47,602,615,949","51,686,509,158","54,078,366,446","65,866,352,804","58,568,800,663","55,254,329,224","21,596,202,964","50,428,516,351","58,324,303,234","36,067,882,619","40,575,110,668","34,067,149,191","24,733,889,134","21,176,988,493","19,209,486,241","68,863,666,853","78,514,138,212","59,726,815,840","30,079,021,460","50,144,156,364","92,396,147,925","53,955,795,019","59,931,907,170","117,223,806,962","154,593,113,855","132,394,077,838","81,682,142,602","117,143,673,096","171,732,442,669","81,569,388,602",,"53,442,549,798","71,541,220,261"
