TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,"5,379,674,473,946","5,379,674,473,946","5,971,242,871,081",,"5,971,242,871,081","5,971,242,871,081","5,282,217,743,415","5,282,217,743,415","5,282,217,743,415","5,282,217,743,415","4,770,037,355,444","4,770,037,355,444","4,770,037,355,444","4,770,037,355,444","4,139,897,696,255","4,139,897,696,255","4,139,897,696,255","4,139,897,696,255","4,014,917,283,604","4,014,917,283,604","4,014,917,283,604","4,014,917,283,604",,"4,536,513,394,262",,,"4,697,391,496,297","5,581,560,184,714","5,707,348,217,102","6,316,745,220,010","6,636,411,539,373","7,323,528,115,065","7,160,345,920,123","7,843,076,489,803","7,968,248,277,426","7,789,251,700,895","8,151,138,378,255","8,547,933,969,405","8,368,597,376,757","9,161,804,810,365","8,627,878,619,965","8,921,119,989,965","9,004,288,539,100","9,275,756,875,708","9,901,548,859,904","8,443,673,376,437","8,334,058,533,999","8,292,701,891,666","7,674,141,087,232","6,722,960,816,710","6,330,272,650,211","6,358,120,733,023","6,297,784,383,425","6,000,405,698,832","6,106,907,359,451","6,899,092,037,279","6,882,374,960,474","7,531,569,091,983","7,630,409,157,257","7,945,746,369,330","8,017,873,053,435","7,126,530,091,332"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,"111,047,910,533","111,047,910,533","914,034,770,202",,"914,034,770,202","914,034,770,202","34,251,621,146","34,251,621,146","34,251,621,146","34,251,621,146","70,902,406,310","70,902,406,310","70,902,406,310","70,902,406,310","112,943,925,211","112,943,925,211","112,943,925,211","112,943,925,211","38,366,513,488","38,366,513,488","38,366,513,488","38,366,513,488",,"507,667,593,313",,,"239,126,775,605","361,526,921,636","221,430,903,491","450,832,933,775","195,661,069,505","201,981,234,100","128,313,648,031","104,436,830,282","179,687,690,544","464,818,271,224","195,488,913,836","158,244,579,555","66,645,449,502","220,000,603,526","66,274,579,696","83,538,083,050","103,983,438,601","69,990,864,897","182,715,930,364","208,422,315,619","74,810,745,553","186,105,083,309","125,904,970,658","40,948,032,398","174,794,217,452","41,078,025,263","90,750,512,311","121,781,677,897","64,756,355,193","123,517,873,124","36,789,309,752","114,897,411,668","81,085,904,299","95,561,370,230","92,551,762,282","174,842,635,149"
1. Tiền,,,,,,,,,,,,,,,,,,,"39,047,910,533","39,047,910,533","19,034,770,202",,"19,034,770,202","19,034,770,202","19,251,621,146","19,251,621,146","19,251,621,146","19,251,621,146","63,502,406,310","63,502,406,310","63,502,406,310","63,502,406,310","99,843,925,211","99,843,925,211","99,843,925,211","99,843,925,211","33,366,513,488","33,366,513,488","33,366,513,488","33,366,513,488",,"507,667,593,313",,,"91,103,211,825","72,993,233,264","33,819,569,438","354,485,860,026","152,607,449,862","57,907,865,181","51,887,624,601","56,459,881,039","73,467,600,150","208,254,361,629","130,595,311,948","142,047,007,872","54,745,257,441","109,149,138,675","54,067,255,221","61,210,930,784","77,338,921,037","47,308,939,156","152,289,558,611","116,481,959,777","47,314,443,989","108,534,260,666","94,055,151,646","24,818,505,243","140,122,856,247","30,299,652,569","17,374,179,108","25,179,013,993","12,018,223,737","33,668,750,092","4,118,519,169","40,175,541,194","9,638,062,320","24,868,241,434","79,462,546,917","151,439,112,928"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,"72,000,000,000","72,000,000,000","895,000,000,000",,"895,000,000,000","895,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000","7,400,000,000","7,400,000,000","7,400,000,000","7,400,000,000","13,100,000,000","13,100,000,000","13,100,000,000","13,100,000,000","5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000",,,,,"148,023,563,780","288,533,688,372","187,611,334,053","96,347,073,749","43,053,619,643","144,073,368,919","76,426,023,430","47,976,949,243","106,220,090,394","256,563,909,595","64,893,601,888","16,197,571,683","11,900,192,061","110,851,464,851","12,207,324,475","22,327,152,266","26,644,517,564","22,681,925,741","30,426,371,753","91,940,355,842","27,496,301,564","77,570,822,643","31,849,819,012","16,129,527,155","34,671,361,205","10,778,372,694","73,376,333,203","96,602,663,904","52,738,131,456","89,849,123,032","32,670,790,583","74,721,870,474","71,447,841,979","70,693,128,796","13,089,215,365","23,403,522,221"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,"653,200,339,664","653,200,339,664","1,085,738,861,178",,"1,085,738,861,178","1,085,738,861,178","900,758,292,330","900,758,292,330","900,758,292,330","900,758,292,330","630,987,112,619","630,987,112,619","630,987,112,619","630,987,112,619","447,321,043,500","447,321,043,500","447,321,043,500","447,321,043,500","536,381,394,476","536,381,394,476","536,381,394,476","536,381,394,476",,"41,904,398,334",,,"53,745,060,505","44,271,708,229","44,909,372,533","80,437,267,108","112,952,962,042","101,842,670,190","162,675,439,673","157,484,229,897","128,484,229,897","154,326,078,175","129,678,567,694","182,729,724,638","149,604,724,638","78,805,056,944","93,633,169,173","100,501,261,233","100,501,261,233","102,994,006,438","91,620,546,021","84,347,079,452","91,347,079,452","96,347,079,452","93,307,539,894","90,949,087,204","91,049,087,204","104,936,787,204","50,353,086,346","62,672,729,432","100,158,748,432","26,368,013,132","53,679,279,888","18,115,148,432","18,115,148,432","19,382,863,432","98,699,754,011","98,562,754,011"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,863,432","76,551,438,274","74,350,132,887","2,863,432","2,863,432","2,863,432","2,863,432","2,863,432","2,863,432","2,863,432"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-24,481,408,842","-5,084,455",,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,"-51,027,340,000","-51,027,340,000","-90,222,097,590",,"-90,222,097,590","-90,222,097,590","-66,566,921,198","-66,566,921,198","-66,566,921,198","-66,566,921,198","-18,483,591,490","-18,483,591,490","-18,483,591,490","-18,483,591,490","-27,737,416,553","-27,737,416,553","-27,737,416,553","-27,737,416,553","-35,000,000,000","-35,000,000,000","-35,000,000,000","-35,000,000,000",,"41,904,398,334",,,"53,745,060,505","44,271,708,229","44,909,372,533","80,437,267,108","112,952,962,042","101,842,670,190","162,675,439,673","157,484,229,897","128,484,229,897","154,326,078,175","129,678,567,694","182,729,724,638","149,604,724,638","78,805,056,944","93,633,169,173","100,501,261,233","100,501,261,233","102,994,006,438","91,620,546,021","84,347,079,452","91,347,079,452","96,347,079,452","93,307,539,894","90,949,087,204","91,049,087,204","104,936,787,204","50,350,222,914","10,602,700,000","25,813,700,000","26,365,149,700","53,676,416,456","18,112,285,000","18,112,285,000","19,380,000,000","98,696,890,579","98,559,890,579"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,"1,697,044,022,899","1,697,044,022,899","1,482,139,323,179",,"1,482,139,323,179","1,482,139,323,179","1,578,685,763,614","1,578,685,763,614","1,578,685,763,614","1,578,685,763,614","570,743,856,051","570,743,856,051","570,743,856,051","570,743,856,051","562,717,375,299","562,717,375,299","562,717,375,299","562,717,375,299","736,376,719,216","736,376,719,216","736,376,719,216","736,376,719,216",,"1,430,757,611,741",,,"1,566,564,973,964","1,728,331,622,728","1,830,325,409,950","2,155,199,561,694","2,606,259,228,680","3,195,847,308,861","2,876,064,371,439","3,502,810,424,659","3,512,557,986,248","3,241,045,478,165","3,152,162,327,956","4,142,394,199,934","3,833,206,707,005","4,104,711,073,909","4,149,738,398,006","4,511,133,214,474","4,599,778,213,623","4,819,328,884,674","5,234,601,719,498","4,811,334,244,895","4,776,399,102,818","5,016,921,143,166","4,538,290,577,115","3,762,861,945,589","3,256,102,630,610","3,333,820,222,513","3,264,721,473,104","2,980,933,129,171","3,038,038,824,393","3,832,869,884,941","3,804,145,499,559","3,569,276,405,265","3,349,463,469,895","3,567,734,679,870","3,650,369,218,409","3,222,925,859,203"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,"235,694,397,211","235,694,397,211","789,695,739,917",,"789,695,739,917","789,695,739,917","776,581,845,141","776,581,845,141","776,581,845,141","776,581,845,141","64,929,396,349","64,929,396,349","64,929,396,349","64,929,396,349","196,584,818,518","196,584,818,518","196,584,818,518","196,584,818,518","194,198,312,793","194,198,312,793","194,198,312,793","194,198,312,793",,"461,847,901,396",,,"161,371,221,951","294,341,935,211","359,703,070,024","633,721,857,135","961,756,685,199","905,271,267,957","923,841,647,960","1,365,169,953,467","1,440,604,161,727","835,288,960,278","713,371,980,153","461,482,046,438","311,171,168,470","407,438,224,118","358,592,017,335","555,962,421,158","433,513,485,620","363,437,466,274","256,750,568,167","352,112,518,139","215,636,790,384","249,536,566,665","269,006,413,466","241,137,045,987","275,942,155,367","285,714,355,223","253,228,201,045","216,073,177,843","189,387,476,210","211,793,620,731","245,994,745,552","441,396,105,942","203,883,158,488","196,312,881,265","239,602,027,889","251,856,406,232"
