TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,986,721,307",,"40,986,721,307","40,986,721,307",,"45,734,707,203",,,"104,742,083,942","74,311,793,888","114,300,111,395",,"231,242,852,084","89,631,700,335","138,699,586,547","236,247,176,594","181,372,817,745","285,023,640,859","266,860,491,600","213,881,448,667","291,629,750,404","264,967,761,181","436,845,004,420","414,645,568,118","537,737,801,246","650,255,892,429","516,908,847,726","482,488,448,209","639,973,099,856","788,285,102,752","665,471,351,737","851,983,242,854","1,001,889,129,103","990,346,330,282","1,134,804,714,957","1,000,419,909,813","1,136,257,315,528","1,270,527,089,096","1,079,016,579,799","1,162,520,723,548","1,119,281,662,321",,"1,234,863,985,933","1,388,384,079,763"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,581,678,878",,"16,581,678,878","16,581,678,878",,"12,567,242,510",,,"44,517,224,134","17,151,375,507","47,886,868,872",,"169,971,637,279","35,750,802,381","83,078,290,816","47,313,663,845","31,194,649,249","132,182,166,659","41,445,775,000","47,320,836,132","85,462,774,703","41,847,090,332","46,464,989,357","66,098,893,888","74,603,745,193","117,297,624,691","58,525,586,291","36,053,777,988","78,908,312,347","141,009,583,777","34,206,798,219","58,353,859,889","49,979,656,294","48,338,130,445","61,912,704,403","51,311,279,255","82,078,777,555","199,463,566,849","73,557,946,694","163,005,751,357","73,448,385,316",,"50,884,817,141","317,288,629,554"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,581,678,878",,"16,581,678,878","16,581,678,878",,"12,567,242,510",,,"14,517,224,134","17,151,375,507","15,886,868,872",,"29,971,637,279","35,750,802,381","18,078,290,816","47,313,663,845","31,194,649,249","102,182,166,659","41,445,775,000","47,320,836,132","45,462,774,703","41,847,090,332","46,464,989,357","66,098,893,888","54,603,745,193","24,797,624,691","58,525,586,291","36,053,777,988","78,908,312,347","81,009,583,777","34,206,798,219","58,353,859,889","49,979,656,294","48,338,130,445","61,912,704,403","51,311,279,255","82,078,777,555","52,463,566,849","73,557,946,694","148,005,751,357","73,448,385,316",,"50,884,817,141","125,288,629,554"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000",,"32,000,000,000",,"140,000,000,000",,"65,000,000,000",,,"30,000,000,000",,,"40,000,000,000",,,,"20,000,000,000","92,500,000,000",,,,"60,000,000,000",,,,,,,,"147,000,000,000",,"15,000,000,000",,,,"192,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,000,000,000","78,000,000,000","83,000,000,000","30,000,000,000","30,000,000,000","30,000,000,000","110,000,000,000","260,000,000,000","180,000,000,000","295,000,000,000","276,000,000,000","201,000,000,000","201,000,000,000","390,000,000,000","445,000,000,000","405,000,000,000","480,000,000,000","639,000,000,000","684,000,000,000","840,000,000,000","860,000,000,000","974,000,000,000","969,000,000,000","889,000,000,000","899,000,000,000","937,000,000,000",,"1,084,000,000,000","954,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,000,000,000","78,000,000,000","83,000,000,000","30,000,000,000","30,000,000,000","30,000,000,000","110,000,000,000","260,000,000,000","180,000,000,000","295,000,000,000","276,000,000,000","201,000,000,000","201,000,000,000","390,000,000,000","445,000,000,000","405,000,000,000","480,000,000,000","639,000,000,000","684,000,000,000","840,000,000,000","860,000,000,000","974,000,000,000","969,000,000,000","889,000,000,000","899,000,000,000","937,000,000,000",,"1,084,000,000,000","954,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,605,478,020",,"20,605,478,020","20,605,478,020",,"27,133,560,791",,,"58,608,491,892","55,489,960,433","62,942,529,001",,"57,778,973,717","51,141,805,912","53,057,792,929","63,308,707,053","69,630,559,194","66,999,663,401","192,784,828,344","133,180,050,587","172,638,426,799","72,627,514,845","78,014,467,681","126,536,145,493","132,746,507,959","231,133,154,023","241,064,873,838","235,682,552,060","166,426,702,409","198,832,637,695","223,521,046,772","312,326,532,655","310,109,472,512","254,212,520,930","229,070,892,017","85,280,107,766","74,910,967,781","96,879,002,931","112,536,404,072","96,198,896,360","103,940,468,805",,"92,986,076,650","111,448,088,987"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,709,368,535",,"19,709,368,535","19,709,368,535",,"26,230,903,540",,,"39,775,249,499","50,186,526,486","50,607,432,582",,"53,653,409,394","46,407,970,176","49,778,742,399","55,014,082,543","64,536,776,048","62,160,097,975","69,881,158,481","72,497,736,139","65,952,502,318","70,012,379,540","70,764,221,867","60,452,361,226","73,683,729,766","59,296,496,897","61,899,455,346","61,347,114,468","63,416,310,775","69,731,654,368","65,684,724,122","90,308,247,599","84,900,826,326","73,744,650,165","67,008,042,237","64,930,868,401","55,232,093,032","59,022,371,654","62,705,630,077","61,055,074,935","85,393,087,919",,"78,382,892,148","89,430,541,706"
