TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"432,882,274,240",,,,,,"421,547,858,948","421,547,858,948","421,547,858,948","421,547,858,948",,"433,383,618,275",,,"218,531,444,257","206,349,897,466","232,600,450,324","198,631,521,209","155,159,193,018","209,604,721,401","254,393,098,191","247,686,012,014","189,388,712,061","195,937,884,850","284,144,214,204","255,300,202,546","220,287,167,377","243,057,126,807","288,174,350,628","215,790,671,298","185,628,699,709","188,363,872,960","173,914,733,063","128,519,733,284","135,150,590,635","180,074,502,264","270,762,877,766","292,301,012,316","281,479,200,497","371,562,265,027","411,407,204,249","378,470,521,320","265,489,052,287","334,522,112,466","389,045,225,766","307,528,638,650","195,757,947,666",,"405,182,509,351","319,987,491,489"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182,894,255,652",,,,,,"107,431,742,724","107,431,742,724","107,431,742,724","107,431,742,724",,"83,497,908,218",,,"124,632,934,833","71,502,589,966","19,186,362,405","48,233,374,014","74,337,162,009","52,391,399,385","82,513,769,264","130,626,127,825","130,258,766,845","17,300,522,046","108,067,929,225","139,662,761,402","122,980,406,806","120,186,190,204","74,661,709,105","92,624,824,888","118,746,633,271","90,809,166,827","83,192,472,140","14,135,318,226","94,250,438,357","70,708,528,243","78,442,299,845","152,634,773,926","171,458,415,390","228,737,964,289","148,828,259,251","219,129,969,371","112,241,679,305","169,601,959,150","139,456,220,905","58,887,637,630","91,459,009,569",,"222,884,968,656","48,963,623,029"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,137,139,718",,,,,,"104,931,742,724","104,931,742,724","104,931,742,724","104,931,742,724",,"80,997,908,218",,,"122,132,934,833","69,002,589,966","16,686,362,405","45,733,374,014","71,837,162,009","24,780,316,052","82,513,769,264","110,626,127,825","110,034,958,768","17,300,522,046","108,067,929,225","79,662,761,402","22,980,406,806","40,186,190,204","54,661,709,105","52,624,824,888","17,966,450,674","9,406,956,900","11,828,372,585","14,135,318,226","94,250,438,357","70,708,528,243","78,442,299,845","52,634,773,926","55,704,345,573","112,037,986,708","16,707,001,313","22,648,581,133","19,643,012,832","148,049,358","16,876,836,330","13,835,034,890","31,209,787,305",,"86,840,448,955","6,963,623,029"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,757,115,934",,,,,,"2,500,000,000","2,500,000,000","2,500,000,000","2,500,000,000",,"2,500,000,000",,,"2,500,000,000","2,500,000,000","2,500,000,000","2,500,000,000","2,500,000,000","27,611,083,333",,"20,000,000,000","20,223,808,077",,,"60,000,000,000","100,000,000,000","80,000,000,000","20,000,000,000","40,000,000,000","100,780,182,597","81,402,209,927","71,364,099,555",,,,,"100,000,000,000","115,754,069,817","116,699,977,581","132,121,257,938","196,481,388,238","92,598,666,473","169,453,909,792","122,579,384,575","45,052,602,740","60,249,222,264",,"136,044,519,701","42,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,821,364,689",,,,,,"3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689",,"3,821,364,689",,,"3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689",,,,,,,,,,,,,,,,,,,,,"30,000,000,000","30,000,000,000",,,,"20,000,000,000",,,"22,013,746,584"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,821,364,689",,,"3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689","3,821,364,689",,,,,,,,,,,,,,,,,,,,,"30,000,000,000","30,000,000,000",,,,"20,000,000,000",,,"22,013,746,584"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"197,754,554,586",,,,,,"296,404,270,847","296,404,270,847","296,404,270,847","296,404,270,847",,"330,839,521,154",,,"68,853,451,088","102,728,219,907","197,768,005,323","127,300,842,439","69,591,326,114","146,181,363,139","160,451,346,589","109,156,034,292","49,080,012,528","168,607,640,380","165,590,618,027","104,355,314,531","84,865,121,159","110,464,408,092","199,512,740,024","107,467,821,708","51,142,574,061","82,185,980,171","79,106,744,161","110,685,849,483","36,554,273,580","103,954,186,846","186,240,654,399","133,351,372,952","103,574,245,840","136,978,000,384","256,510,488,454","122,881,994,110","116,974,941,244","158,578,492,168","242,764,214,277","242,359,807,828","78,851,098,286",,"176,764,459,711","242,481,340,015"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,728,416,372",,,,,,"69,589,345,252","69,589,345,252","69,589,345,252","69,589,345,252",,"99,550,490,510",,,"48,812,700,253","91,633,776,169","182,383,385,183","123,310,531,210","65,996,748,381","142,795,453,895","156,112,755,759","99,619,995,434","44,787,041,606","166,539,006,220","164,086,708,352","94,034,322,278","71,254,582,751","102,857,309,469","195,219,841,065","105,958,258,071","49,289,062,858","79,776,888,786","77,603,144,503","109,673,409,433","33,163,371,169","99,959,730,503","182,435,762,760","130,466,632,468","99,174,780,709","135,369,190,200","254,991,021,601","118,514,076,751","108,233,856,293","152,554,841,420","240,829,865,825","239,588,417,336","77,331,030,108",,"175,796,196,789","236,061,550,356"
