TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,"31,630,674,127","32,679,253,529","32,679,253,529","32,679,253,529","32,679,253,529","27,501,068,186","27,501,068,186","27,501,068,186","27,501,068,186","28,788,723,912","28,788,723,912","28,788,723,912","28,788,723,912","41,038,012,608","41,038,012,608","41,038,012,608","41,038,012,608","63,051,855,781","63,051,855,781","63,051,855,781","63,051,855,781","99,855,310,624","99,855,310,624","99,855,310,624","99,855,310,624","197,241,216,678","197,241,216,678","197,241,216,678","197,241,216,678","272,704,888,601","272,704,888,601","272,704,888,601","272,704,888,601",,"321,736,668,576","321,736,668,576","321,736,668,576",,"370,108,119,581",,,"403,438,807,953","466,472,216,857","535,329,736,595","479,999,362,140","507,235,312,050","608,662,439,965","740,769,027,606","598,963,405,574","635,145,807,316","728,990,346,666","869,895,048,744","701,466,695,911","578,266,042,667","614,121,139,659","744,763,763,787","675,303,410,199","669,090,128,469","632,568,537,958","709,104,874,006","690,909,348,645","669,144,790,478","654,377,154,936","766,208,165,065","836,881,706,120","763,571,893,575","823,159,938,779","950,632,704,138","973,361,659,416","973,866,188,419","1,027,046,255,673","1,163,417,112,907","976,765,461,340","970,540,612,088",,"1,172,925,935,135","1,067,313,411,257"
I. Tiền và các khoản tương đương tiền,,,,"881,089,206","473,980,977","473,980,977","473,980,977","473,980,977","298,248,449","298,248,449","298,248,449","298,248,449","1,513,205,855","1,513,205,855","1,513,205,855","1,513,205,855","2,769,669,934","2,769,669,934","2,769,669,934","2,769,669,934","1,688,532,844","1,688,532,844","1,688,532,844","1,688,532,844","1,030,277,267","1,030,277,267","1,030,277,267","1,030,277,267","2,983,872,821","2,983,872,821","2,983,872,821","2,983,872,821","25,054,485,687","25,054,485,687","25,054,485,687","25,054,485,687",,"43,138,236,988","43,138,236,988","43,138,236,988",,"106,917,198,235",,,"63,554,638,345","58,510,797,621","41,935,775,363","49,780,687,164","36,789,413,587","84,245,381,020","116,733,663,666","42,863,292,748","48,439,079,297","39,824,861,955","52,509,654,387","48,771,007,153","44,736,137,743","33,764,322,593","71,641,866,848","97,826,168,193","52,342,553,860","58,935,833,505","53,819,945,563","59,955,191,305","13,087,938,110","7,690,943,175","24,589,740,113","29,472,025,740","4,696,838,382","20,995,608,449","78,224,677,758","183,458,771,103","152,827,468,088","157,981,651,065","166,162,567,851","171,003,987,206","156,334,292,092",,"230,518,622,378","269,276,037,051"
1. Tiền,,,,"881,089,206","473,980,977","473,980,977","473,980,977","473,980,977","298,248,449","298,248,449","298,248,449","298,248,449","1,513,205,855","1,513,205,855","1,513,205,855","1,513,205,855","2,769,669,934","2,769,669,934","2,769,669,934","2,769,669,934","1,688,532,844","1,688,532,844","1,688,532,844","1,688,532,844","1,030,277,267","1,030,277,267","1,030,277,267","1,030,277,267","2,983,872,821","2,983,872,821","2,983,872,821","2,983,872,821","25,054,485,687","25,054,485,687","25,054,485,687","25,054,485,687",,"13,138,236,988","13,138,236,988","13,138,236,988",,"11,917,198,235",,,"18,554,638,345","13,510,797,621","16,935,775,363","24,780,687,164","11,789,413,587","17,245,381,020","11,733,663,666","15,363,292,748","23,439,079,297","14,824,861,955","27,509,654,387","20,771,007,153","18,236,137,743","13,764,322,593","16,641,866,848","27,826,168,193","12,342,553,860","8,935,833,505","8,819,945,563","24,955,191,305","13,087,938,110","7,690,943,175","24,589,740,113","29,472,025,740","4,696,838,382","20,995,608,449","78,224,677,758","13,458,771,103","42,827,468,088","52,981,651,065","21,162,567,851","51,003,987,206","41,334,292,092",,"65,518,622,378","23,276,037,051"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000,000","30,000,000,000","30,000,000,000",,"95,000,000,000",,,"45,000,000,000","45,000,000,000","25,000,000,000","25,000,000,000","25,000,000,000","67,000,000,000","105,000,000,000","27,500,000,000","25,000,000,000","25,000,000,000","25,000,000,000","28,000,000,000","26,500,000,000","20,000,000,000","55,000,000,000","70,000,000,000","40,000,000,000","50,000,000,000","45,000,000,000","35,000,000,000",,,,,,,,"170,000,000,000","110,000,000,000","105,000,000,000","145,000,000,000","120,000,000,000","115,000,000,000",,"165,000,000,000","246,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,300,847,787","51,300,847,787","51,300,847,787","51,300,847,787","55,307,145,137","55,307,145,137","55,307,145,137","55,307,145,137",,"55,307,145,137","55,307,145,137","55,307,145,137",,,,,"50,000,000,000","65,000,000,000","85,000,000,000","85,000,000,000","100,000,000,000","95,000,000,000","95,000,000,000","135,000,000,000","130,000,000,000","130,000,000,000","135,000,000,000","115,000,000,000","130,000,000,000","130,000,000,000","101,000,000,000","50,000,000,000","45,000,000,000","15,000,000,000",,,,,,,,,,,,"15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000",,"15,000,000,000","15,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000,000","65,000,000,000","85,000,000,000","85,000,000,000","100,000,000,000","95,000,000,000","95,000,000,000","135,000,000,000","130,000,000,000","130,000,000,000","135,000,000,000","115,000,000,000","130,000,000,000","130,000,000,000","101,000,000,000","50,000,000,000","45,000,000,000","15,000,000,000",,,,,,,,,,,,"15,000,000,000","15,000,000,000","15,000,000,000","15,000,000,000",,"15,000,000,000","15,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,"17,653,618,925","20,354,302,396","20,354,302,396","20,354,302,396","20,354,302,396","15,093,098,388","15,093,098,388","15,093,098,388","15,093,098,388","15,936,082,600","15,936,082,600","15,936,082,600","15,936,082,600","26,927,015,999","26,927,015,999","26,927,015,999","26,927,015,999","50,001,064,371","50,001,064,371","50,001,064,371","50,001,064,371","84,890,442,432","84,890,442,432","84,890,442,432","84,890,442,432","131,416,784,848","131,416,784,848","131,416,784,848","131,416,784,848","174,338,218,596","174,338,218,596","174,338,218,596","174,338,218,596",,"197,404,095,080","197,404,095,080","197,404,095,080",,"255,629,549,969",,,"282,713,467,698","334,447,609,864","400,258,354,572","337,182,521,936","363,130,712,752","421,404,157,411","520,648,817,266","411,693,185,195","448,704,776,928","551,755,811,518","673,920,499,810","529,199,291,448","395,521,073,534","443,965,514,274","566,160,029,180","522,308,876,930","568,403,192,328","555,559,724,506","650,306,559,807","625,192,374,737","650,468,412,831","641,401,580,832","738,634,790,207","802,198,149,610","754,196,206,142","797,644,599,855","869,570,900,838","787,217,735,505","816,379,995,263","849,493,128,763","977,998,757,769","787,989,185,826","794,072,412,831",,"925,458,369,389","781,042,501,454"
1. Phải thu ngắn hạn của khách hàng,,,,"16,477,464,493","15,130,768,682","15,130,768,682","15,130,768,682","15,130,768,682","8,961,177,138","8,961,177,138","8,961,177,138","8,961,177,138","8,831,866,448","8,831,866,448","8,831,866,448","8,831,866,448","12,417,875,548","12,417,875,548","12,417,875,548","12,417,875,548","34,996,706,950","34,996,706,950","34,996,706,950","34,996,706,950","58,087,265,665","58,087,265,665","58,087,265,665","58,087,265,665","125,081,877,161","125,081,877,161","125,081,877,161","125,081,877,161","139,120,608,480","139,120,608,480","139,120,608,480","139,120,608,480",,"152,548,702,868","152,548,702,868","152,548,702,868",,"167,679,429,984",,,"204,013,230,495","254,524,157,259","345,273,046,186","281,546,085,857","307,984,952,029","384,892,871,707","483,428,738,130","387,819,120,100","423,561,656,388","527,405,659,841","665,827,610,880","519,489,330,982","386,272,517,332","434,678,257,157","556,365,589,987","513,293,572,776","554,816,100,604","547,879,896,609","642,735,990,611","617,900,514,811","632,041,866,619","612,162,626,702","686,379,903,763","791,416,530,896","731,228,597,867","753,023,694,204","783,856,538,358","753,881,237,621","778,102,668,142","804,036,803,703","898,839,415,269","765,152,549,685","763,299,613,036",,"848,656,067,612","749,951,515,079"
