TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,"244,017,000,332","244,017,000,332","386,252,135,014","386,252,135,014","386,252,135,014","386,252,135,014","487,199,867,839","487,199,867,839","487,199,867,839","487,199,867,839","549,159,222,469","549,159,222,469","549,159,222,469","549,159,222,469","1,264,877,314,285","1,264,877,314,285","1,264,877,314,285","1,264,877,314,285","2,085,058,720,625","2,085,058,720,625","2,085,058,720,625","2,085,058,720,625","2,047,189,859,482","2,047,189,859,482","2,047,189,859,482","2,047,189,859,482","1,723,024,746,334","1,723,024,746,334","1,723,024,746,334","1,723,024,746,334","2,505,947,037,714","2,505,947,037,714","2,505,947,037,714","2,505,947,037,714","3,571,518,286,505","3,571,518,286,505","3,571,518,286,505","3,571,518,286,505",,"3,330,916,616,896",,,"2,604,950,180,288","3,100,969,508,675","3,373,737,155,796","4,106,279,432,522","4,064,346,315,735","3,808,983,733,904","4,205,420,645,965","4,036,634,402,377","4,075,298,381,428","4,562,148,882,851","4,172,616,363,013","3,875,466,053,141","4,534,312,086,183","4,423,803,893,098","4,040,695,798,391","3,861,723,698,479","4,190,120,927,579","4,368,851,159,926","4,443,846,864,740","5,517,096,771,047","6,570,576,891,743","8,013,866,531,309","7,298,631,778,332","7,036,938,409,833","7,916,057,625,826","9,034,292,483,146","7,458,292,649,269","6,277,444,677,365","6,473,987,127,398","5,357,596,238,775","4,578,486,959,382","3,896,635,981,306","3,544,064,055,354","3,279,260,183,618","3,197,190,823,475","2,813,664,989,983"
I. Tiền và các khoản tương đương tiền,,,"23,024,636,990","23,024,636,990","22,115,068,383","22,115,068,383","22,115,068,383","22,115,068,383","58,123,324,363","58,123,324,363","58,123,324,363","58,123,324,363","180,889,165,564","180,889,165,564","180,889,165,564","180,889,165,564","64,397,514,413","64,397,514,413","64,397,514,413","64,397,514,413","142,769,790,702","142,769,790,702","142,769,790,702","142,769,790,702","236,432,641,518","236,432,641,518","236,432,641,518","236,432,641,518","196,944,258,472","196,944,258,472","196,944,258,472","196,944,258,472","302,957,529,361","302,957,529,361","302,957,529,361","302,957,529,361","458,542,581,066","458,542,581,066","458,542,581,066","458,542,581,066",,"424,651,148,008",,,"122,898,372,836","131,027,078,168","231,280,629,721","265,899,958,236","259,191,512,261","213,810,856,306","213,273,127,139","391,426,274,862","281,344,915,763","376,973,394,484","396,523,271,215","190,346,116,691","298,939,757,953","239,992,536,095","366,953,670,470","596,391,443,759","677,571,571,691","726,631,739,745","836,758,548,333","1,183,353,090,185","376,617,229,619","400,098,102,098","600,363,291,365","624,568,484,588","1,431,081,327,690","887,887,293,241","774,136,566,235","813,928,562,709","682,745,469,582","966,990,807,023","402,238,316,184","669,710,791,326","277,378,813,073","285,069,454,378","158,727,976,381","144,731,856,962"
1. Tiền,,,"23,024,636,990","23,024,636,990","22,115,068,383","22,115,068,383","22,115,068,383","22,115,068,383","58,123,324,363","58,123,324,363","58,123,324,363","58,123,324,363","180,889,165,564","180,889,165,564","180,889,165,564","180,889,165,564","45,476,555,238","45,476,555,238","45,476,555,238","45,476,555,238","95,591,388,466","95,591,388,466","95,591,388,466","95,591,388,466","233,126,974,641","233,126,974,641","233,126,974,641","233,126,974,641","91,944,258,472","91,944,258,472","91,944,258,472","91,944,258,472","135,704,729,361","135,704,729,361","135,704,729,361","135,704,729,361","170,817,581,066","170,817,581,066","170,817,581,066","170,817,581,066",,"374,651,148,008",,,"107,725,872,836","115,681,990,980","215,441,597,681","156,853,998,086","170,145,552,111","160,235,909,740","165,910,185,898","298,610,871,687","210,840,523,447","283,263,016,242","322,812,892,973","190,346,116,691","254,939,757,953","209,992,536,095","286,953,670,470","386,391,443,759","421,571,571,691","319,631,739,745","385,758,548,333","456,353,090,185","282,617,229,619","212,098,102,098","363,363,291,365","276,568,484,588","704,797,931,711","421,603,897,262","375,353,170,256","230,145,166,730","243,962,073,603","214,489,807,023","151,738,316,184","127,210,791,326","223,178,813,073","234,569,454,378","95,327,976,381","45,781,856,962"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"18,920,959,175","18,920,959,175","18,920,959,175","18,920,959,175","47,178,402,236","47,178,402,236","47,178,402,236","47,178,402,236","3,305,666,877","3,305,666,877","3,305,666,877","3,305,666,877","105,000,000,000","105,000,000,000","105,000,000,000","105,000,000,000","167,252,800,000","167,252,800,000","167,252,800,000","167,252,800,000","287,725,000,000","287,725,000,000","287,725,000,000","287,725,000,000",,"50,000,000,000",,,"15,172,500,000","15,345,087,188","15,839,032,040","109,045,960,150","89,045,960,150","53,574,946,566","47,362,941,241","92,815,403,175","70,504,392,316","93,710,378,242","73,710,378,242",,"44,000,000,000","30,000,000,000","80,000,000,000","210,000,000,000","256,000,000,000","407,000,000,000","451,000,000,000","727,000,000,000","94,000,000,000","188,000,000,000","237,000,000,000","348,000,000,000","726,283,395,979","466,283,395,979","398,783,395,979","583,783,395,979","438,783,395,979","752,501,000,000","250,500,000,000","542,500,000,000","54,200,000,000","50,500,000,000","63,400,000,000","98,950,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,"10,018,897,100","10,018,897,100","22,844,564,165","22,844,564,165","22,844,564,165","22,844,564,165","35,924,326,949","35,924,326,949","35,924,326,949","35,924,326,949","10,723,809,000","10,723,809,000","10,723,809,000","10,723,809,000","56,787,157,799","56,787,157,799","56,787,157,799","56,787,157,799","56,672,146,245","56,672,146,245","56,672,146,245","56,672,146,245","8,129,860,614","8,129,860,614","8,129,860,614","8,129,860,614","18,883,098,000","18,883,098,000","18,883,098,000","18,883,098,000","24,689,928,000","24,689,928,000","24,689,928,000","24,689,928,000","617,395,045,167","617,395,045,167","617,395,045,167","617,395,045,167",,"634,769,894,000",,,"690,536,118,838","892,953,262,841","937,313,704,189","778,945,441,677","728,186,810,121","758,059,469,489","671,935,657,139","100,300,089,528","79,578,284,000","61,504,996,329","148,500,000,000","238,500,000,000","256,690,000,000","277,200,000,000","324,263,013,698","274,460,000,000","287,554,200,110","301,254,200,110","400,002,145,315","557,363,131,616","651,180,016,298","738,037,824,518","700,737,824,518","703,805,703,430","719,245,640,612","766,745,640,612","780,317,882,848","686,685,571,204","695,986,482,877","504,668,788,213","506,468,788,213","483,150,000,000","389,750,000,000","490,500,000,000","498,550,000,000","503,550,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,887,000,622","7,914,222,548","7,674,663,896","7,147,698,766","3,915,843,214","3,574,603,031","3,574,603,031","632,908,200","632,908,200","632,908,200",,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,850,881,784","-4,260,959,707","-4,260,959,707","-4,302,257,089","-2,147,902,537","-2,298,947,431","-2,307,219,031","-454,624,200","-454,624,200","-454,624,200",,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,"-9,073,374,595","-9,073,374,595","-9,073,374,595","-9,073,374,595","-2,234,277,349","-2,234,277,349","-2,234,277,349","-2,234,277,349","-1,419,353,306","-1,419,353,306","-1,419,353,306","-1,419,353,306","-4,346,415,305","-4,346,415,305","-4,346,415,305","-4,346,415,305","-3,088,147,925","-3,088,147,925","-3,088,147,925","-3,088,147,925","-2,895,359,362","-2,895,359,362","-2,895,359,362","-2,895,359,362","-3,618,464,622","-3,618,464,622","-3,618,464,622","-3,618,464,622",,,,,"687,500,000,000","889,300,000,000","933,900,000,000","776,100,000,000","726,418,869,444","756,783,813,889","670,668,273,139","100,121,805,528","79,400,000,000","61,326,712,329","148,500,000,000","238,500,000,000","256,690,000,000","277,200,000,000","324,263,013,698","274,460,000,000","287,554,200,110","301,254,200,110","400,002,145,315","557,363,131,616","651,180,016,298","738,037,824,518","700,737,824,518","703,805,703,430","719,245,640,612","766,745,640,612","780,317,882,848","686,685,571,204","695,986,482,877","504,668,788,213","506,468,788,213","483,150,000,000","389,750,000,000","490,500,000,000","498,550,000,000","503,550,000,000"
III. Các khoản phải thu ngắn hạn,,,"133,751,474,652","133,751,474,652","220,618,349,112","220,618,349,112","220,618,349,112","220,618,349,112","230,263,271,285","230,263,271,285","230,263,271,285","230,263,271,285","227,570,522,863","227,570,522,863","227,570,522,863","227,570,522,863","702,906,466,535","702,906,466,535","702,906,466,535","702,906,466,535","943,443,126,866","943,443,126,866","943,443,126,866","943,443,126,866","1,187,249,323,760","1,187,249,323,760","1,187,249,323,760","1,187,249,323,760","1,092,160,256,750","1,092,160,256,750","1,092,160,256,750","1,092,160,256,750","938,878,834,238","938,878,834,238","938,878,834,238","938,878,834,238","1,185,409,030,335","1,185,409,030,335","1,185,409,030,335","1,185,409,030,335",,"1,087,843,598,275",,,"923,619,135,082","1,074,183,773,016","1,162,644,583,266","1,475,728,604,045","1,442,859,942,515","1,533,802,221,181","1,455,720,710,205","1,659,256,136,553","1,676,270,886,873","1,837,180,081,650","1,723,510,376,780","1,632,933,914,293","1,952,280,914,207","1,788,931,216,181","1,659,392,791,455","1,464,065,884,621","1,643,697,386,696","1,777,133,919,810","1,763,681,354,787","1,716,825,128,082","2,318,943,349,968","2,321,237,363,583","2,113,562,203,808","2,851,865,321,139","2,368,877,889,445","3,631,572,678,291","3,296,097,476,831","2,954,612,183,827","2,889,036,613,964","2,227,506,744,740","2,045,692,180,377","1,561,314,256,767","1,604,834,938,598","1,467,463,277,992","1,427,844,789,181","1,236,025,943,021"
1. Phải thu ngắn hạn của khách hàng,,,"131,211,163,594","131,211,163,594","216,488,576,942","216,488,576,942","216,488,576,942","216,488,576,942","206,121,114,385","206,121,114,385","206,121,114,385","206,121,114,385","209,923,533,073","209,923,533,073","209,923,533,073","209,923,533,073","693,516,058,809","693,516,058,809","693,516,058,809","693,516,058,809","896,689,111,273","896,689,111,273","896,689,111,273","896,689,111,273","1,178,622,211,479","1,178,622,211,479","1,178,622,211,479","1,178,622,211,479","1,040,338,914,386","1,040,338,914,386","1,040,338,914,386","1,040,338,914,386","950,532,833,707","950,532,833,707","950,532,833,707","950,532,833,707","1,026,115,494,425","1,026,115,494,425","1,026,115,494,425","1,026,115,494,425",,"1,146,272,258,204",,,"856,693,610,948","956,641,879,269","1,011,728,190,306","1,234,652,176,119","1,275,478,617,382","1,432,015,296,077","1,293,063,508,959","1,422,838,525,161","1,446,699,180,265","1,656,322,661,186","1,628,600,563,504","1,529,298,680,838","1,839,468,251,760","1,742,477,108,360","1,612,163,505,216","1,320,104,259,346","1,620,900,080,316","1,610,546,603,083","1,597,708,204,610","1,349,095,524,835","2,064,238,405,374","1,966,177,930,955","1,783,984,971,995","2,473,068,819,662","2,147,645,799,731","3,180,321,570,143","3,000,681,195,585","2,705,293,426,922","2,605,212,424,863","2,354,318,832,790","2,108,365,354,274","1,914,221,372,993","1,988,238,964,844","1,948,436,658,818","1,900,877,768,605","1,773,566,850,606"
