TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,936,460,000","320,209,620,000","318,729,670,000","321,511,200,000","322,922,950,000","371,035,020,000","343,574,230,000","338,965,030,000","337,647,790,000","344,950,270,000","353,004,460,000","414,445,130,000","403,520,930,000","357,629,940,000","484,912,270,000","736,141,590,000","951,151,470,000","1,083,705,240,000","918,927,150,000","1,478,899,320,000","1,410,109,570,000","1,199,743,600,000","1,254,220,430,000","1,080,753,040,000","1,066,682,970,000","1,415,716,530,000","1,744,543,300,000","1,728,033,590,000","1,655,639,780,864","1,751,638,886,893","1,629,275,499,819","2,077,520,343,415"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315,519,270,000","319,366,220,000","317,893,450,000","320,764,990,000","321,986,940,000","370,075,460,000","341,605,120,000","337,258,410,000","326,300,160,000","340,109,790,000","333,080,430,000","413,313,170,000","394,256,370,000","356,310,520,000","482,634,410,000","734,649,080,000","947,197,320,000","1,082,222,420,000","914,672,470,000","1,477,092,780,000","1,399,757,440,000","1,183,252,180,000","1,234,699,880,000","1,078,446,000,000","1,063,072,620,000","1,412,929,100,000","1,739,390,400,000","1,725,844,550,000","1,653,309,795,892","1,749,222,218,049","1,627,229,169,051","2,072,840,324,110"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"246,459,730,000","312,172,420,000","306,373,860,000","307,604,370,000","298,163,360,000","302,282,950,000","236,314,070,000","108,113,200,000","42,860,630,000","96,152,080,000","42,618,390,000","30,935,100,000","93,401,540,000","18,665,370,000","277,300,000","80,201,640,000","146,170,890,000","53,002,030,000","50,717,300,000","287,410,730,000","303,613,220,000","239,165,700,000","80,068,090,000","444,274,440,000","392,923,980,000","287,493,130,000","507,694,730,000","363,752,040,000","347,324,433,799","545,706,180,802","258,976,704,908","264,497,973,756"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,240,000","1,290,000","1,280,000","1,470,000","1,580,000","3,561,260,000","79,391,170,000","144,580,380,000","142,061,330,000","91,114,950,000","121,834,350,000","164,349,370,000","116,617,690,000","140,339,680,000","84,684,570,000","28,875,710,000","61,813,030,000","99,523,450,000","107,476,040,000","143,824,960,000","108,685,150,000","105,825,020,000","100,103,540,000","11,390,430,000","51,749,790,000","54,000,780,000","60,860,190,000","53,653,680,000","61,700,787,000","64,198,551,000","67,762,960,750","71,217,782,500"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,156,610,000","4,156,610,000","4,156,610,000","4,520,210,000","4,597,360,000","4,417,860,000","4,164,110,000","9,461,630,000","14,127,860,000","16,546,020,000","4,242,700,000","4,564,490,000","4,132,600,000","4,244,110,000","4,288,580,000","4,097,750,000","4,280,400,000","5,326,170,000","7,664,680,000","4,539,330,000","4,474,100,000","85,048,850,000","100,998,500,000","6,334,980,000","4,282,240,000","4,273,060,000","4,101,540,000","4,823,130,000","4,006,501,000",,"48,743,671,133",
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"417,180,000","843,400,000","836,220,000","746,210,000","936,010,000","959,550,000","1,969,110,000","1,706,620,000","11,347,620,000","4,840,480,000","19,924,030,000","1,131,960,000","9,264,560,000","1,319,420,000","2,277,860,000","1,492,510,000","3,954,160,000","1,482,820,000","4,254,680,000","1,806,550,000","10,352,130,000","16,491,420,000","19,520,550,000","2,307,040,000","3,610,350,000","2,787,430,000","5,152,900,000","2,189,040,000","2,329,984,972","2,416,668,844","2,046,330,768","4,680,019,305"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,600,000","21,260,000","8,220,000","175,280,000","5,000,000","19,770,000","12,100,000","6,500,000","9,406,000,000","4,016,000,000","19,428,080,000",,"8,198,000,000","11,000,000","1,143,000,000","10,390,000","2,621,100,000","85,780,000","352,230,000","138,650,000","8,629,890,000","14,502,840,000","17,744,960,000","30,110,000","615,420,000","107,980,000","3,144,570,000","25,850,000","102,180,000","29,361,400","30,346,894","49,534,494"
