TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"128,128,648,131","128,128,648,131","243,103,518,174","243,103,518,174","243,103,518,174","243,103,518,174","309,829,849,033","309,829,849,033","309,829,849,033","309,829,849,033","363,505,430,311","363,505,430,311","363,505,430,311","363,505,430,311","319,425,433,202","319,425,433,202","319,425,433,202","319,425,433,202","351,453,198,026","351,453,198,026","351,453,198,026","351,453,198,026","292,535,895,757","292,535,895,757","292,535,895,757","292,535,895,757",,"329,397,493,293",,,"284,521,899,460","272,233,314,319","303,409,911,937","315,129,660,090","329,426,116,572","363,915,515,759","409,433,311,992","389,771,986,179","416,346,174,835","434,294,714,568","463,939,066,036","425,719,040,827","446,955,225,678","480,721,637,775","523,424,878,340","461,096,126,686","509,209,532,420","494,752,683,120","478,244,987,475","396,653,641,393","436,999,531,063","498,270,647,525","457,581,582,519","390,736,189,112","397,893,741,695","469,508,965,124","421,207,161,958","335,178,333,756","471,539,154,564","483,479,294,637","525,109,659,754","479,985,551,938","485,839,550,904",,"585,400,841,391","659,120,318,659"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"58,946,641,093","58,946,641,093","94,099,994,680","94,099,994,680","94,099,994,680","94,099,994,680","89,121,950,659","89,121,950,659","89,121,950,659","89,121,950,659","75,284,893,022","75,284,893,022","75,284,893,022","75,284,893,022","90,080,891,095","90,080,891,095","90,080,891,095","90,080,891,095","110,718,668,272","110,718,668,272","110,718,668,272","110,718,668,272","70,106,891,711","70,106,891,711","70,106,891,711","70,106,891,711",,"54,323,309,591",,,"40,208,916,503","60,060,620,992","59,058,528,417","52,312,615,623","95,132,814,959","107,566,035,018","170,162,210,729","181,464,863,806","115,315,193,718","160,087,329,562","156,029,154,756","131,210,242,209","122,838,424,610","129,945,361,459","157,997,592,655","126,997,698,132","85,315,956,009","85,378,136,504","83,162,986,236","57,520,994,812","48,145,085,853","73,993,757,320","17,518,928,599","16,210,708,945","51,660,541,300","87,992,644,510","55,864,364,018","90,954,305,256","105,346,304,835","82,552,714,226","103,577,117,615","71,871,180,963","46,720,070,455",,"47,305,835,553","46,519,125,648"
1. Tiền,,,,,,,,,,,,,,,"8,946,641,093","8,946,641,093","29,099,994,680","29,099,994,680","29,099,994,680","29,099,994,680","38,121,950,659","38,121,950,659","38,121,950,659","38,121,950,659","36,163,684,689","36,163,684,689","36,163,684,689","36,163,684,689","8,080,891,095","8,080,891,095","8,080,891,095","8,080,891,095","6,718,668,272","6,718,668,272","6,718,668,272","6,718,668,272","12,106,891,711","12,106,891,711","12,106,891,711","12,106,891,711",,"14,323,309,591",,,"3,087,877","6,060,620,992","9,658,528,417","3,912,615,623","8,732,814,959","17,166,035,018","25,762,210,729","16,064,863,806","11,915,193,718","11,687,329,562","15,629,154,756","2,810,242,209","3,438,424,610","8,545,361,459","20,097,592,655","21,997,698,132","17,015,956,009","16,378,136,504","14,742,916,729","19,784,514,574","10,401,359,175","9,243,035,801","13,661,270,786","12,346,565,829","12,789,863,842","13,115,173,382","10,479,815,424","23,654,305,256","41,546,304,835","13,752,714,226","27,577,117,615","20,071,180,963","20,720,070,455",,"14,305,835,553","13,519,125,648"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,"50,000,000,000","50,000,000,000","65,000,000,000","65,000,000,000","65,000,000,000","65,000,000,000","51,000,000,000","51,000,000,000","51,000,000,000","51,000,000,000","39,121,208,333","39,121,208,333","39,121,208,333","39,121,208,333","82,000,000,000","82,000,000,000","82,000,000,000","82,000,000,000","104,000,000,000","104,000,000,000","104,000,000,000","104,000,000,000","58,000,000,000","58,000,000,000","58,000,000,000","58,000,000,000",,"40,000,000,000",,,"40,205,828,626","54,000,000,000","49,400,000,000","48,400,000,000","86,400,000,000","90,400,000,000","144,400,000,000","165,400,000,000","103,400,000,000","148,400,000,000","140,400,000,000","128,400,000,000","119,400,000,000","121,400,000,000","137,900,000,000","105,000,000,000","68,300,000,000","69,000,000,000","68,420,069,507","37,736,480,238","37,743,726,678","64,750,721,519","3,857,657,813","3,864,143,116","38,870,677,458","74,877,471,128","45,384,548,594","67,300,000,000","63,800,000,000","68,800,000,000","76,000,000,000","51,800,000,000","26,000,000,000",,"33,000,000,000","33,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,000,000,000","65,000,000,000","65,000,000,000","65,000,000,000","74,000,000,000","74,000,000,000","74,000,000,000","74,000,000,000","26,000,000,000","26,000,000,000","26,000,000,000","26,000,000,000",,"13,000,000,000",,,,,,"4,500,000,000","6,000,000,000","7,500,000,000","29,500,000,000","29,500,000,000","49,200,000,000","38,700,000,000","66,700,000,000","79,100,000,000","88,000,000,000","96,600,000,000","106,600,000,000","130,500,000,000","210,000,000,000","201,800,000,000","202,400,000,000","172,400,000,000","149,000,000,000","151,000,000,000","133,900,000,000","133,000,000,000","77,000,000,000","77,000,000,000","92,000,000,000","92,000,000,000","104,000,000,000","131,000,000,000","138,800,000,000","138,000,000,000","140,800,000,000",,"141,800,000,000","154,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000,000",,,,,,"4,500,000,000","6,000,000,000","7,500,000,000","29,500,000,000","29,500,000,000","49,200,000,000","38,700,000,000","66,700,000,000","79,100,000,000","88,000,000,000","96,600,000,000","106,600,000,000","130,500,000,000","210,000,000,000","201,800,000,000","202,400,000,000","172,400,000,000","149,000,000,000","151,000,000,000","133,900,000,000","133,000,000,000","77,000,000,000","77,000,000,000","92,000,000,000","92,000,000,000","104,000,000,000","131,000,000,000","138,800,000,000","138,000,000,000","140,800,000,000",,"141,800,000,000","154,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"61,448,299,848","61,448,299,848","132,054,453,688","132,054,453,688","132,054,453,688","132,054,453,688","184,862,827,184","184,862,827,184","184,862,827,184","184,862,827,184","222,107,779,114","222,107,779,114","222,107,779,114","222,107,779,114","127,926,292,475","127,926,292,475","127,926,292,475","127,926,292,475","153,023,640,968","153,023,640,968","153,023,640,968","153,023,640,968","182,359,769,775","182,359,769,775","182,359,769,775","182,359,769,775",,"252,030,132,281",,,"240,692,078,843","208,386,550,681","240,493,444,798","253,015,751,081","224,005,657,201","246,514,416,918","206,895,396,894","175,466,638,556","248,821,437,271","233,418,584,720","238,720,213,502","212,315,507,484","233,046,788,646","250,788,527,055","255,601,851,393","198,090,422,450","201,612,211,836","196,249,400,157","187,387,981,188","158,403,591,992","232,729,853,682","264,101,804,441","297,410,366,557","230,294,553,412","258,761,384,091","296,613,594,279","265,245,741,036","140,743,877,263","248,436,803,663","261,709,446,992","271,472,056,701","254,013,775,745","278,570,486,168",,"380,138,211,729","440,436,548,516"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"54,185,452,774","54,185,452,774","117,452,731,930","117,452,731,930","117,452,731,930","117,452,731,930","120,771,355,392","120,771,355,392","120,771,355,392","120,771,355,392","210,326,843,405","210,326,843,405","210,326,843,405","210,326,843,405","117,649,178,095","117,649,178,095","117,649,178,095","117,649,178,095","126,060,541,898","126,060,541,898","126,060,541,898","126,060,541,898","154,677,918,979","154,677,918,979","154,677,918,979","154,677,918,979",,"222,733,930,498",,,"226,080,684,712","193,045,454,211","225,462,435,308","239,509,002,626","218,878,932,806","239,519,248,461","203,447,598,249","144,983,378,384","222,043,891,100","214,675,148,409","227,545,534,911","204,461,208,811","225,096,543,574","239,168,072,903","251,711,338,638","168,703,844,110","185,481,967,570","175,015,705,990","167,601,775,918","141,876,369,858","219,048,553,743","251,052,437,737","283,664,963,761","217,911,151,639","247,793,767,444","279,946,866,370","233,587,396,350","123,150,794,261","210,806,900,837","219,376,075,595","226,687,954,227","231,060,542,699","258,510,387,745",,"363,760,304,949","428,124,364,646"
