TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,"402,873,852,022",,,,"266,847,865,556","266,847,865,556","266,847,865,556","266,847,865,556","187,568,904,959","187,568,904,959","187,568,904,959","187,568,904,959","288,653,239,397","288,653,239,397","288,653,239,397","288,653,239,397","385,455,758,537","385,455,758,537","385,455,758,537","385,455,758,537","484,556,754,805","484,556,754,805","484,556,754,805","484,556,754,805","674,324,250,697","674,324,250,697","674,324,250,697","674,324,250,697",,"729,676,448,865",,,"711,465,419,782","699,880,129,741","713,962,896,186","515,179,720,509","542,697,310,925","570,183,597,078","677,673,575,428","677,183,589,541","752,716,561,599","825,751,023,893","983,856,340,145","1,046,035,897,568","979,093,938,339","971,951,354,055","1,091,261,847,793","1,123,228,229,962","1,104,198,358,626","1,027,226,075,099","907,366,639,168","881,338,885,561","840,044,765,635","593,934,091,604","653,911,827,031","751,957,819,831","888,865,645,262","907,022,303,834","1,030,690,382,447","1,117,185,618,938","1,146,567,786,273","1,180,926,044,734","1,254,095,439,896","1,019,942,053,001","720,147,116,634","777,709,652,851","950,649,608,572","944,076,540,753"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,"4,787,653,835",,,,"108,965,928,799","108,965,928,799","108,965,928,799","108,965,928,799","1,875,564,395","1,875,564,395","1,875,564,395","1,875,564,395","31,203,874,984","31,203,874,984","31,203,874,984","31,203,874,984","199,517,254,347","199,517,254,347","199,517,254,347","199,517,254,347","212,873,059,571","212,873,059,571","212,873,059,571","212,873,059,571","188,495,115,029","188,495,115,029","188,495,115,029","188,495,115,029",,"193,012,693,269",,,"106,973,899,824","59,452,797,617","79,971,585,654","78,710,172,666","64,865,031,868","28,454,019,090","111,840,239,693","101,586,601,625","70,913,472,366","148,912,215,713","119,032,356,556","75,153,247,082","45,207,638,784","39,591,531,743","74,895,430,439","30,516,156,074","26,574,745,066","228,381,830,320","183,726,635,071","64,340,714,699","40,854,052,394","28,046,172,315","68,688,532,474","91,051,265,774","135,197,533,884","144,834,088,633","90,284,140,847","30,381,921,951","52,335,828,064","216,475,729,279","266,750,533,543","78,051,572,515","112,001,061,188","107,259,026,243","46,430,760,034","107,538,737,741"
1. Tiền,,,,,,,,,,,,,"4,787,653,835",,,,"73,965,928,799","73,965,928,799","73,965,928,799","73,965,928,799","1,375,564,395","1,375,564,395","1,375,564,395","1,375,564,395","3,265,279,553","3,265,279,553","3,265,279,553","3,265,279,553","4,724,184,996","4,724,184,996","4,724,184,996","4,724,184,996","5,160,778,324","5,160,778,324","5,160,778,324","5,160,778,324","4,823,569,352","4,823,569,352","4,823,569,352","4,823,569,352",,"12,607,599,363",,,"9,324,362,477","26,726,733,486","2,766,446,836","4,448,399,455","2,175,717,378","11,154,019,090","9,040,239,693","64,777,317,978","27,173,586,900","4,331,006,217","7,032,356,556","2,862,021,614","4,670,210,852","10,941,531,743","12,795,430,439","916,156,074","3,874,745,066","10,581,830,320","7,126,635,071","2,440,714,699","4,204,052,394","4,626,172,315","8,288,532,474","5,291,265,774","6,147,533,884","1,474,088,633","7,244,140,847","6,471,921,951","1,675,828,064","3,475,729,279","11,450,533,543","10,051,572,515","10,721,061,188","11,309,026,243","14,000,760,034","6,258,737,741"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,"35,000,000,000","35,000,000,000","35,000,000,000","35,000,000,000","500,000,000","500,000,000","500,000,000","500,000,000","27,938,595,431","27,938,595,431","27,938,595,431","27,938,595,431","194,793,069,351","194,793,069,351","194,793,069,351","194,793,069,351","207,712,281,247","207,712,281,247","207,712,281,247","207,712,281,247","183,671,545,677","183,671,545,677","183,671,545,677","183,671,545,677",,"180,405,093,906",,,"97,649,537,347","32,726,064,131","77,205,138,818","74,261,773,211","62,689,314,490","17,300,000,000","102,800,000,000","36,809,283,647","43,739,885,466","144,581,209,496","112,000,000,000","72,291,225,468","40,537,427,932","28,650,000,000","62,100,000,000","29,600,000,000","22,700,000,000","217,800,000,000","176,600,000,000","61,900,000,000","36,650,000,000","23,420,000,000","60,400,000,000","85,760,000,000","129,050,000,000","143,360,000,000","83,040,000,000","23,910,000,000","50,660,000,000","213,000,000,000","255,300,000,000","68,000,000,000","101,280,000,000","95,950,000,000","32,430,000,000","101,280,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,"178,701,000,000",,,,"138,981,000,000","138,981,000,000","138,981,000,000","138,981,000,000","119,126,251,282","119,126,251,282","119,126,251,282","119,126,251,282","44,318,141,795","44,318,141,795","44,318,141,795","44,318,141,795","36,429,314,572","36,429,314,572","36,429,314,572","36,429,314,572","115,848,141,795","115,848,141,795","115,848,141,795","115,848,141,795","257,384,941,666","257,384,941,666","257,384,941,666","257,384,941,666",,"243,446,567,196",,,"495,003,572,805","481,003,572,805","459,823,572,805","262,277,212,219","295,756,657,252","312,556,657,252","389,556,657,252","436,677,737,524","472,139,042,469","440,781,681,358","591,781,681,358","715,142,638,889","670,142,638,889","707,500,000,000","726,000,000,000","832,500,000,000","823,000,000,000","598,000,000,000","429,000,000,000","674,000,000,000","586,000,000,000","346,500,000,000","320,500,000,000","433,000,000,000","427,500,000,000","396,500,000,000","524,500,000,000","752,000,000,000","653,500,000,000","424,000,000,000","380,000,000,000","246,500,000,000","180,500,000,000","228,000,000,000","283,000,000,000","455,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243,446,567,196",,,"495,003,572,805","481,003,572,805","459,823,572,805","262,277,212,219","295,756,657,252","312,556,657,252","389,556,657,252","436,677,737,524","472,139,042,469","440,781,681,358","591,781,681,358","715,142,638,889","670,142,638,889","707,500,000,000","726,000,000,000","832,500,000,000","823,000,000,000","598,000,000,000","429,000,000,000","674,000,000,000","586,000,000,000","346,500,000,000","320,500,000,000","433,000,000,000","427,500,000,000","396,500,000,000","524,500,000,000","752,000,000,000","653,500,000,000","424,000,000,000","380,000,000,000","246,500,000,000","180,500,000,000","228,000,000,000","283,000,000,000","455,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,"214,596,592,422",,,,"12,616,164,929","12,616,164,929","12,616,164,929","12,616,164,929","60,428,795,573","60,428,795,573","60,428,795,573","60,428,795,573","205,773,087,028","205,773,087,028","205,773,087,028","205,773,087,028","139,393,405,685","139,393,405,685","139,393,405,685","139,393,405,685","103,092,697,423","103,092,697,423","103,092,697,423","103,092,697,423","174,410,691,118","174,410,691,118","174,410,691,118","174,410,691,118",,"239,589,078,399",,,"98,151,946,464","149,034,762,546","163,383,566,029","162,709,109,166","170,430,879,193","220,462,140,717","166,952,439,891","129,089,209,880","201,981,326,827","227,623,182,052","264,825,884,059","252,646,261,372","259,957,497,309","219,754,729,555","286,384,010,188","256,850,536,271","250,620,389,576","189,870,366,308","279,273,125,817","130,497,450,090","205,792,030,072","215,311,203,613","261,711,604,487","223,964,292,302","323,417,616,287","363,160,250,117","413,225,329,402","331,649,006,166","437,190,611,233","536,586,497,705","603,599,653,156","693,053,798,325","425,424,023,903","439,332,504,869","617,692,815,460","379,015,129,118"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,"213,622,433,130",,,,"5,526,419,639","5,526,419,639","5,526,419,639","5,526,419,639","38,407,465,375","38,407,465,375","38,407,465,375","38,407,465,375","191,544,010,713","191,544,010,713","191,544,010,713","191,544,010,713","87,703,348,858","87,703,348,858","87,703,348,858","87,703,348,858","63,553,915,778","63,553,915,778","63,553,915,778","63,553,915,778","133,772,053,697","133,772,053,697","133,772,053,697","133,772,053,697",,"182,009,784,338",,,"53,698,286,138","92,667,806,550","107,452,997,740","125,268,225,410","135,087,064,176","175,705,646,468","123,468,936,703","88,443,041,942","163,708,834,289","181,296,747,515","217,919,438,981","209,715,459,629","216,460,255,923","167,531,523,563","247,522,115,061","210,441,806,493","206,225,199,049","130,876,552,696","117,147,430,760","89,944,848,866","165,552,471,892","173,869,377,792","221,189,045,781","184,663,472,697","277,007,415,220","318,849,169,253","365,111,527,348","285,510,913,462","388,043,832,513","475,038,656,254","550,907,397,050","636,906,591,679","381,079,311,600","420,154,133,533","598,206,509,783","353,040,268,868"
