TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"83,869,978,856","212,726,118,536","289,246,436,127",,"152,185,647,247","99,169,037,700","87,429,836,490",,,,,,,,,,"313,745,993,475","311,813,558,492",,,"492,756,000,000","528,537,456,767",,,"554,370,000,000",,"684,695,000,000",,"784,449,000,000","816,315,000,000","1,031,154,000,000","1,176,978,000,000","1,319,470,000,000","1,001,188,000,000","1,120,451,000,000","1,332,025,000,000","1,315,204,000,000","1,936,606,000,000","1,567,186,000,000","1,654,531,000,000","1,608,090,000,000","181,339,877,000,000","1,789,875,000,000","2,214,265,000,000","1,829,035,000,000","2,022,546,000,000","2,558,712,000,000","292,827,078,000,000","2,476,525,000,000","1,834,965,000,000","2,392,363,000,000","2,426,932,000,000","3,421,333,000,000","2,182,092,000,000","2,102,795,000,000","2,338,561,000,000","1,789,390,000,000",,"1,692,781,000,000","1,292,735,000,000"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,"189,601,239,079","180,112,000,141","172,403,204,424",,"176,048,263,756","81,080,282,775","60,576,656,135",,,,,,,,,,"36,317,076,567","105,795,453,383",,,"103,296,000,000","120,558,435,458",,,"822,930,000,000",,"912,888,000,000",,"1,162,538,000,000","1,079,606,000,000","755,056,000,000","2,364,130,000,000","1,091,716,000,000","5,777,653,000,000","1,372,914,000,000","4,692,735,000,000","4,912,162,000,000","5,394,560,000,000","6,087,591,000,000","7,760,937,000,000","3,249,808,000,000","7,702,277,000,000","8,870,437,000,000","9,108,762,000,000","10,467,415,000,000","16,421,498,000,000","11,574,314,000,000","2,553,309,000,000","14,077,084,000,000","14,590,366,000,000","9,188,049,000,000","11,988,501,000,000","8,982,501,000,000","9,213,239,000,000","10,397,108,000,000","9,211,968,000,000","11,378,128,000,000",,"13,214,550,000,000","22,708,369,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,"2,328,730,994,401","1,196,229,651,983","1,334,512,168,071",,"6,759,549,484,383","6,622,158,351,154","12,461,492,715,198",,,,,,,,,,"1,935,670,416,859","1,799,018,900,809",,,"4,840,169,000,000","9,470,845,017,189",,,"12,762,425,000,000",,"18,577,694,000,000",,"26,405,957,000,000","27,883,028,000,000","23,785,324,000,000","22,488,409,000,000","14,556,358,000,000","15,734,248,000,000","17,486,927,000,000","16,340,793,000,000","19,121,044,000,000","17,084,356,000,000","21,379,254,000,000","21,023,865,000,000","23,885,054,000,000","23,349,975,000,000","19,326,156,000,000","12,698,296,000,000","14,595,304,000,000","24,762,767,000,000","28,117,144,000,000","48,752,914,000,000","37,628,452,000,000","40,738,575,000,000","46,897,369,000,000","53,364,944,000,000","56,285,508,000,000","56,630,247,000,000","58,926,396,000,000","52,351,827,000,000","56,447,319,000,000",,"54,515,768,000,000","70,520,700,000,000"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,"2,328,730,994,401","1,196,229,651,983","1,334,512,168,071",,"6,759,549,484,383","6,622,158,351,154","11,842,008,715,198",,,,,,,,,,"1,338,484,126,200","831,580,117,475",,,"3,710,236,000,000","8,722,760,433,856",,,,,"12,510,850,000,000",,"25,035,957,000,000","25,523,028,000,000","21,835,324,000,000","22,088,409,000,000","14,256,358,000,000","14,829,248,000,000","16,986,927,000,000","15,680,793,000,000","18,461,044,000,000","17,084,356,000,000","21,279,254,000,000","19,261,332,000,000","20,490,801,000,000","18,961,680,000,000","16,100,752,000,000","8,685,780,000,000","8,733,887,000,000","14,085,647,000,000","27,187,801,000,000","35,868,051,000,000","28,992,946,000,000","26,523,222,000,000","31,424,834,000,000","36,886,065,000,000","38,777,945,000,000","39,363,356,000,000","41,232,919,000,000","33,887,940,000,000","41,430,265,000,000",,"42,047,089,000,000","62,182,536,000,000"
