TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,"997,994,445,160","997,994,445,160","997,994,445,160","997,994,445,160","1,301,227,341,725","1,301,227,341,725","1,301,227,341,725","1,301,227,341,725","1,661,290,278,489","1,661,290,278,489","1,661,290,278,489","1,661,290,278,489","1,957,691,709,903","1,957,691,709,903","1,957,691,709,903","1,957,691,709,903","2,557,211,591,592","2,557,211,591,592","2,557,211,591,592","2,557,211,591,592","2,539,083,769,284","2,539,083,769,284","2,539,083,769,284","2,539,083,769,284","2,786,452,860,182","2,786,452,860,182","2,786,452,860,182","2,786,452,860,182","3,254,991,188,370","3,254,991,188,370","3,254,991,188,370","3,254,991,188,370","3,173,517,281,485","3,331,800,792,795","3,807,118,962,616","3,666,802,346,803","3,642,057,614,062","2,529,681,847,181","2,343,525,997,184","2,352,583,222,246","2,684,282,128,651","2,841,585,821,789","3,016,465,971,415","2,856,446,851,213","2,885,289,812,692","2,336,093,435,945","2,058,773,913,761","1,918,069,531,513","1,923,170,981,767","1,632,305,130,012","1,429,467,053,957","1,248,903,260,845","1,236,963,559,358","1,195,449,791,477","1,258,918,635,509","1,318,783,633,717","1,596,662,414,179","1,697,440,103,518",,"2,021,246,792,090","1,885,988,641,661","1,977,828,882,917","2,000,935,642,916","1,982,614,572,587","1,990,396,114,033","1,878,786,942,616","1,950,166,009,324","1,870,473,200,597","1,688,517,904,329","1,432,162,558,097","1,471,384,957,735","1,553,305,480,797"
I. Tiền và các khoản tương đương tiền,,,,,,,,,"13,662,990,021","13,662,990,021","13,662,990,021","13,662,990,021","38,909,504,022","38,909,504,022","38,909,504,022","38,909,504,022","6,930,111,951","6,930,111,951","6,930,111,951","6,930,111,951","17,156,911,559","17,156,911,559","17,156,911,559","17,156,911,559","24,463,160,737","24,463,160,737","24,463,160,737","24,463,160,737","6,318,406,469","6,318,406,469","6,318,406,469","6,318,406,469","65,513,443,900","65,513,443,900","65,513,443,900","65,513,443,900","85,895,452,344","85,895,452,344","85,895,452,344","85,895,452,344","56,851,384,684","172,449,117,029","246,117,224,507","7,972,720,975","160,507,153,453","99,921,754,936","77,025,145,094","112,288,731,312","74,314,904,015","50,677,770,280","39,595,040,798","53,864,546,026","65,337,426,674","89,307,061,500","60,015,065,130","126,811,434,956","235,375,925,153","247,480,960,238","140,782,611,944","162,912,619,340","127,754,672,821","106,924,797,897","62,252,768,440","76,460,547,390","114,655,066,873","83,375,659,740",,"127,780,771,442","176,540,837,870","158,221,091,590","253,321,793,841","169,707,794,741","140,925,599,529","99,931,074,619","207,105,363,325","157,041,301,485","96,589,534,314","104,894,528,284","125,961,676,743","106,204,925,292"
1. Tiền,,,,,,,,,"13,662,990,021","13,662,990,021","13,662,990,021","13,662,990,021","38,909,504,022","38,909,504,022","38,909,504,022","38,909,504,022","6,930,111,951","6,930,111,951","6,930,111,951","6,930,111,951","13,956,911,559","13,956,911,559","13,956,911,559","13,956,911,559","4,948,585,254","4,948,585,254","4,948,585,254","4,948,585,254","6,318,406,469","6,318,406,469","6,318,406,469","6,318,406,469","27,393,443,900","27,393,443,900","27,393,443,900","27,393,443,900","48,975,452,344","48,975,452,344","48,975,452,344","48,975,452,344","56,851,384,684","101,451,948,663","215,834,328,438","7,922,295,994","107,592,842,483","41,616,802,195","50,398,696,597","111,535,899,521","71,714,904,015","47,121,756,577","39,095,040,798","49,864,546,026","48,437,426,674","34,631,500,796","21,289,855,331","66,714,668,163","35,641,175,348","94,164,954,317","34,844,298,726","21,119,792,142","10,502,005,408","16,786,895,235","23,883,257,031","43,559,261,578","44,572,997,912","49,855,530,358",,"47,540,103,194","63,516,212,832","68,419,470,498","174,611,394,839","125,647,404,030","103,992,765,231","64,883,511,630","69,101,656,808","92,373,850,074","48,354,906,800","34,033,218,432","87,746,518,770","57,100,352,503"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"3,200,000,000","3,200,000,000","3,200,000,000","3,200,000,000","19,514,575,483","19,514,575,483","19,514,575,483","19,514,575,483",,,,,"38,120,000,000","38,120,000,000","38,120,000,000","38,120,000,000","36,920,000,000","36,920,000,000","36,920,000,000","36,920,000,000",,"70,997,168,366","30,282,896,069","50,424,981","52,914,310,970","58,304,952,741","26,626,448,497","752,831,791","2,600,000,000","3,556,013,703","500,000,000","4,000,000,000","16,900,000,000","54,675,560,704","38,725,209,799","60,096,766,793","199,734,749,805","153,316,005,921","105,938,313,218","141,792,827,198","117,252,667,413","90,137,902,662","38,369,511,409","32,901,285,812","70,082,068,961","33,520,129,382",,"80,240,668,248","113,024,625,038","89,801,621,092","78,710,399,002","44,060,390,711","36,932,834,298","35,047,562,989","138,003,706,517","64,667,451,411","48,234,627,514","70,861,309,852","38,215,157,973","49,104,572,789"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,"59,996,135,000","59,996,135,000","59,996,135,000","59,996,135,000","151,231,926,330","151,231,926,330","151,231,926,330","151,231,926,330","11,688,443,950","11,688,443,950","11,688,443,950","11,688,443,950","15,085,100,000","15,085,100,000","15,085,100,000","15,085,100,000","20,184,224,750","20,184,224,750","20,184,224,750","20,184,224,750","6,256,127,777","6,256,127,777","6,256,127,777","6,256,127,777","51,548,700,012","51,548,700,012","51,548,700,012","51,548,700,012","41,088,064,000","41,088,064,000","41,088,064,000","41,088,064,000","61,050,548,957","25,925,421,978","131,938,445,141","116,330,930,061","1,798,174,228","3,110,348,877",,,"470,862,099","470,862,099","75,902,000,000","109,801,189,482","92,674,314,226","39,996,155,932","84,292,240,823","131,823,923,876","73,092,450,967","58,507,123,816","105,597,829,501","46,059,652,113","45,135,163,390","5,755,000,000","17,599,839,732","3,670,000,000","7,746,580,608","2,866,580,608",,"123,285,376,527","14,817,216,515","48,177,800,000","52,128,900,000","46,815,900,000","51,835,600,000","50,733,600,000","50,441,627,439","51,441,627,439","50,107,640,960","40,085,640,960","75,986,702,213","30,674,402,573"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,"-17,705,085,416","-17,705,085,416","-17,705,085,416","-17,705,085,416",,,,,"-1,163,700,000","-1,163,700,000","-1,163,700,000","-1,163,700,000",,,,,,,,,,,,,,,,,,"25,925,421,978","131,938,445,141","116,330,930,061","1,798,174,228","3,110,348,877",,,"470,862,099","470,862,099","75,902,000,000","109,801,189,482","92,674,314,226","39,996,155,932","84,292,240,823","131,823,923,876","73,092,450,967","58,507,123,816","105,597,829,501","46,059,652,113","45,135,163,390","5,755,000,000","17,599,839,732","3,670,000,000","7,746,580,608","2,866,580,608",,"123,285,376,527","14,817,216,515","48,177,800,000","52,128,900,000","46,815,900,000","51,835,600,000","50,733,600,000","50,441,627,439","51,441,627,439","50,107,640,960","40,085,640,960","75,986,702,213","30,674,402,573"
III. Các khoản phải thu ngắn hạn,,,,,,,,,"116,308,348,079","116,308,348,079","116,308,348,079","116,308,348,079","195,825,857,900","195,825,857,900","195,825,857,900","195,825,857,900","600,496,805,404","600,496,805,404","600,496,805,404","600,496,805,404","506,969,413,602","506,969,413,602","506,969,413,602","506,969,413,602","822,619,130,943","822,619,130,943","822,619,130,943","822,619,130,943","544,896,664,564","544,896,664,564","544,896,664,564","544,896,664,564","390,023,029,967","390,023,029,967","390,023,029,967","390,023,029,967","705,417,529,366","705,417,529,366","705,417,529,366","705,417,529,366","806,893,190,578","834,217,838,621","921,621,391,621","1,130,882,392,244","915,903,874,914","597,448,699,846","265,789,766,069","384,345,076,073","800,854,647,137","1,041,878,307,008","1,106,756,301,746","1,020,740,654,514","986,436,100,663","428,489,043,979","551,925,401,614","540,759,272,582","560,776,514,792","415,345,412,680","309,632,264,610","401,600,175,198","424,737,955,798","439,395,909,714","354,566,962,020","386,697,532,753","357,611,295,864","382,308,081,621",,"524,377,281,943","441,715,090,123","655,713,050,953","566,833,314,404","712,454,809,501","768,665,886,374","772,856,608,239","765,744,973,058","846,805,256,025","786,402,536,760","820,244,888,752","770,670,348,929","1,027,145,322,155"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,"66,302,018,619","66,302,018,619","66,302,018,619","66,302,018,619","77,459,015,676","77,459,015,676","77,459,015,676","77,459,015,676","499,581,225,109","499,581,225,109","499,581,225,109","499,581,225,109","446,955,148,229","446,955,148,229","446,955,148,229","446,955,148,229","724,825,722,407","724,825,722,407","724,825,722,407","724,825,722,407","452,616,847,809","452,616,847,809","452,616,847,809","452,616,847,809","273,661,750,405","273,661,750,405","273,661,750,405","273,661,750,405","596,802,950,966","596,802,950,966","596,802,950,966","596,802,950,966","600,744,622,331","612,198,866,476","603,763,202,058","864,981,034,308","633,959,190,057","705,433,137,702","640,503,372,132","745,516,560,692","699,113,634,045","631,449,687,712","640,545,479,441","749,412,952,245","874,038,591,328","732,979,862,859","735,038,133,702","626,157,415,005","553,977,985,264","492,999,714,547","469,396,240,510","490,608,510,850","513,978,480,077","540,300,801,341","516,102,565,316","479,040,694,954","462,268,719,679","481,005,805,540",,"529,534,195,334","528,299,034,515","742,663,903,352","654,973,770,503","690,370,827,748","783,423,294,134","505,472,660,093","515,452,103,798","587,568,307,925","562,664,642,768","588,626,999,738","512,416,680,428","624,701,936,818"
2. Trả trước cho người bán ngắn hạn,,,,,,,,,"7,978,755,064","7,978,755,064","7,978,755,064","7,978,755,064","4,620,967,642","4,620,967,642","4,620,967,642","4,620,967,642","17,862,679,975","17,862,679,975","17,862,679,975","17,862,679,975","47,420,142,844","47,420,142,844","47,420,142,844","47,420,142,844","33,812,491,115","33,812,491,115","33,812,491,115","33,812,491,115","52,960,831,346","52,960,831,346","52,960,831,346","52,960,831,346","60,285,374,811","60,285,374,811","60,285,374,811","60,285,374,811","72,166,880,512","72,166,880,512","72,166,880,512","72,166,880,512","109,453,564,409","92,793,908,977","188,232,922,438","97,647,077,048","77,291,695,608","59,075,467,498","62,447,875,460","77,013,710,747","78,941,162,540","93,431,681,745","95,694,958,874","86,012,448,545","83,166,535,294","82,220,430,893","91,529,423,767","57,873,572,807","19,146,738,634","24,387,409,866","56,497,606,815","102,007,848,566","116,226,866,744","95,089,816,258","92,880,988,021","140,030,319,559","112,989,375,851","96,790,999,662",,"108,516,483,792","102,355,021,077","83,958,903,349","89,499,911,061","126,465,401,951","118,829,651,333","100,636,969,382","105,843,078,288","100,965,468,817","83,334,151,123","83,557,002,977","93,932,011,717","328,214,915,191"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"126,880,338,615","349,828,713,232","384,292,174,910","228,607,369,225","59,612,476,987","50,717,172,675","142,923,748,723","137,544,774,473","317,925,382,256","202,757,356,859","94,880,418,075","112,584,941,133","30,127,663,728","31,849,359,072","7,582,331,308","41,141,443,587","52,261,825,758","27,321,711,408",,"10,045,211,083","10,045,211,083","10,045,211,083","10,045,211,083","7,256,450,927","9,306,469,602","7,256,450,927","7,256,450,927","7,256,450,927","7,256,450,927","7,256,450,927","7,256,450,927","7,256,450,927"
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,420,016,000","52,787,912,600","53,513,424,000","74,481,260,000","31,085,731,726","31,078,967,726","37,797,696,619","23,715,584,688","112,730,206,828","116,495,039,328","81,110,379,225","115,913,197,335","80,202,770,232","61,874,770,572","51,384,135,307","50,019,350,307","49,819,350,307","49,819,350,307","57,676,750,307","83,902,252,307","93,047,070,307","93,159,910,307","105,004,860,307","107,424,794,307","103,690,431,507",,"105,735,757,107","127,809,167,380","108,331,375,380","131,201,395,380","150,767,353,625","133,316,763,380","83,596,833,073","87,032,335,073","90,987,915,073","93,781,499,073","93,781,499,073","98,121,757,473","337,137,846,152"
