TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"865,244,742,990","995,180,082,065","900,043,798,998","820,967,700,700","898,967,179,502","908,698,858,679","1,019,964,597,413","895,203,927,410","909,061,145,605",,"916,811,936,960","958,234,729,115","862,614,662,043","910,208,964,820","1,099,040,336,378","1,011,220,640,059","974,202,773,929","1,073,127,110,178","887,702,468,117","857,286,626,084","1,097,899,105,230","1,359,710,811,704","1,388,565,788,101","1,381,171,512,247","1,211,177,621,417","893,321,943,882","947,288,856,803","974,824,030,934","867,770,861,302","945,689,745,127","876,864,006,567","924,279,892,629"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,674,957,230","118,431,452,701","154,146,988,217","70,632,829,414","196,191,837,827","192,215,287,270","195,813,951,242","91,189,734,569","120,571,374,094",,"184,505,324,754","153,802,573,073","161,641,074,945","157,044,596,092","198,953,556,566","224,145,897,135","135,881,391,882","124,605,338,536","96,416,994,131","105,904,657,085","233,462,483,250","345,546,988,676","292,531,068,456","270,070,377,523","328,322,878,984","104,055,611,980","147,374,113,504","156,362,612,466","125,333,960,905","143,887,477,561","151,847,010,684","197,056,104,685"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,674,957,230","25,461,452,701","87,176,988,217","40,162,829,414","148,942,410,904","91,465,860,347","101,313,951,242","67,189,734,569","50,571,374,094",,"89,505,324,754","78,802,573,073","61,641,074,945","99,544,596,092","128,953,556,566","154,145,897,135","59,881,391,882","52,605,338,536","96,416,994,131","85,904,657,085","153,462,483,250","215,546,988,676","242,531,068,456","264,979,281,633","328,322,878,984","104,055,611,980","126,374,113,504","155,362,612,466","123,333,960,905","141,872,683,040","151,847,010,684","197,056,104,685"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,000,000,000","92,970,000,000","66,970,000,000","30,470,000,000","47,249,426,923","100,749,426,923","94,500,000,000","24,000,000,000","70,000,000,000",,"95,000,000,000","75,000,000,000","100,000,000,000","57,500,000,000","70,000,000,000","70,000,000,000","76,000,000,000","72,000,000,000",,"20,000,000,000","80,000,000,000","130,000,000,000","50,000,000,000","5,091,095,890",,,"21,000,000,000","1,000,000,000","2,000,000,000","2,014,794,521",,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000,000,000","16,049,150,685","121,083,670,685",,"30,500,000,000","54,500,000,000","94,500,000,000","91,649,589,041","239,000,000,000","245,000,000,000","307,000,000,000","307,000,000,000","185,000,000,000","172,000,000,000","237,096,164,384","292,596,164,384","377,596,164,384","352,500,000,000","165,500,000,000","60,200,000,000","89,700,000,000","109,000,000,000","81,000,000,000","27,000,000,000","2,000,000,000","2,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000,000,000","16,049,150,685","121,083,670,685",,"30,500,000,000","54,500,000,000","94,500,000,000","91,649,589,041","239,000,000,000","245,000,000,000","307,000,000,000","307,000,000,000","185,000,000,000","172,000,000,000","237,096,164,384","292,596,164,384","377,596,164,384","352,500,000,000","165,500,000,000","60,200,000,000","89,700,000,000","109,000,000,000","81,000,000,000","27,000,000,000","2,000,000,000","2,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"310,993,022,599","416,179,817,683","426,553,913,504","360,753,967,916","360,367,803,946","386,870,802,988","441,321,653,493","375,721,455,097","246,004,983,885",,"327,484,325,226","364,638,459,094","315,214,705,481","283,457,427,471","367,193,614,122","292,026,691,559","226,361,162,885","297,334,257,120","261,163,453,419","289,638,649,928","214,411,941,484","322,263,204,778","278,442,286,694","241,801,493,729","271,142,244,076","237,929,146,413","245,968,096,745","198,703,103,459","179,094,018,100","204,434,047,439","237,376,315,372","201,408,757,320"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"248,808,201,609","357,178,465,268","405,809,520,227","348,000,847,947","311,363,162,560","322,997,194,480","380,992,966,980","339,569,066,763","202,819,726,656",,"311,260,114,849","349,694,181,227","295,724,113,445","268,862,668,742","354,901,690,008","289,513,083,257","215,621,013,481","269,800,080,003","233,504,948,896","275,499,219,678","203,360,118,947","316,724,820,273","264,087,696,466","228,037,703,971","244,554,220,132","214,446,527,787","237,858,511,645","191,293,681,982","172,360,457,495","204,382,416,157","234,845,337,338","199,124,382,220"
