TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,"336,224,521,430",,"401,060,601,550",,,,,,,,,,,,,,,,,,,"258,301,916,988","228,693,665,688","230,635,584,564","221,810,387,640","236,451,862,794","242,775,997,552",,"271,495,461,088","335,565,334,916","350,456,560,424","336,749,940,277","534,925,907,149","526,510,636,998","406,955,940,473","449,651,702,106","503,293,616,759","402,348,639,672","396,371,540,376","298,161,326,861","227,604,791,308","226,190,972,066","302,357,070,519","491,087,538,207","387,720,246,048","515,189,973,755","512,934,629,558","539,737,691,175","474,563,612,503","314,184,150,075","362,378,367,947","394,801,106,635","342,540,599,068","244,345,089,965","359,599,516,836","326,582,739,690","245,377,828,225","294,871,007,160"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,"23,908,147,964",,"17,560,150,577",,,,,,,,,,,,,,,,,,,"70,869,272,827","88,857,917,496","13,276,837,364","52,676,803,259","46,456,265,470","61,163,300,632",,"82,634,740,814","58,894,357,452","23,039,259,147","19,159,360,227","8,937,204,321","8,869,593,419","13,390,477,003","9,574,287,177","9,231,641,322","13,058,411,431","15,250,042,459","11,679,367,307","21,147,604,412","46,574,174,332","28,990,576,849","4,457,732,261","30,331,397,998","20,763,229,800","15,692,146,436","13,310,162,350","17,083,934,394","19,154,703,046","13,097,027,536","5,336,657,077","20,092,046,423","18,369,443,481","2,532,597,839","13,703,044,831","6,220,596,976","28,034,599,442"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,"23,908,147,964",,"17,560,150,577",,,,,,,,,,,,,,,,,,,"70,869,272,827","3,857,917,496","13,276,837,364","7,676,803,259","46,456,265,470","31,163,300,632",,"40,634,740,814","23,894,357,452","23,039,259,147","19,159,360,227","8,937,204,321","8,869,593,419","13,390,477,003","9,574,287,177","9,231,641,322","13,058,411,431","15,250,042,459","11,679,367,307","6,147,604,412","8,574,174,332","28,990,576,849","4,457,732,261","30,331,397,998","20,763,229,800","15,692,146,436","13,310,162,350","17,083,934,394","19,154,703,046","13,097,027,536","5,336,657,077","20,092,046,423","18,369,443,481","2,532,597,839","13,703,044,831","6,220,596,976","28,034,599,442"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,000,000,000",,"45,000,000,000",,"30,000,000,000",,"42,000,000,000","35,000,000,000",,,,,,,,,,,"15,000,000,000","38,000,000,000",,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,"85,939,833,179",,"91,999,612,194",,,,,,,,,,,,,,,,,,,"21,413,515,652","56,021,364,895","72,900,341,460","51,551,172,109","66,547,303,978","35,543,886,267",,"31,460,949,902","138,648,644,812","133,791,622,974","128,647,829,913","235,478,994,355","140,677,457,213","157,464,008,332","158,337,325,435","204,113,424,310","114,299,454,480","93,306,789,892","126,359,787,505","115,148,803,910","56,325,493,909","146,788,414,191","82,371,461,096","77,801,933,784","122,698,638,577","90,666,305,239","83,083,341,066","66,377,599,723","97,350,090,046","95,717,294,913","48,026,564,383","73,792,797,489","55,223,076,790","78,695,491,632","91,212,975,918","79,292,168,074","63,446,360,178"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,"79,162,851,982",,"91,061,724,938",,,,,,,,,,,,,,,,,,,"21,643,110,066","54,324,037,553","69,341,074,711","48,718,085,935","68,154,554,904","36,045,880,727",,"29,568,339,543","136,501,280,536","133,933,469,249","126,078,582,540","226,824,573,026","129,501,388,329","155,750,699,743","154,085,084,032","199,199,629,943","111,826,691,985","90,527,077,400","125,489,830,831","113,136,468,460","53,632,246,260","143,157,173,486","79,544,562,600","74,510,176,179","117,812,597,314","86,338,222,260","78,105,658,863","64,298,799,446","96,180,999,458","93,503,939,351","46,047,738,055","73,629,865,106","54,106,027,951","76,760,744,497","91,108,028,028","76,757,472,029","63,153,395,560"
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,"5,644,190,135",,"617,816,100",,,,,,,,,,,,,,,,,,,"1,924,660,000","3,496,654,000","5,284,318,001","4,491,550,000","191,878,808","1,307,824,980",,"3,785,092,872","2,726,640,000","1,404,382,000","3,716,939,382","9,877,585,782","10,383,611,057","1,644,462,620","3,801,593,691","4,578,777,791","1,883,463,162","2,069,937,625","520,744,640","1,802,977,141","2,191,838,800","1,631,976,305","2,587,639,476","3,018,348,476","3,053,557,943","2,209,728,456","4,909,908,382","1,976,199,788","1,089,045,788","2,125,723,708","1,908,192,728","55,852,502","925,164,047","1,596,227,783","22,207,389","2,185,941,736","180,714,618"
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,"1,132,791,062",,"320,071,156",,,,,,,,,,,,,,,,,,,"219,803,313","173,057,227","242,332,633","303,920,059","295,616,889","274,927,183",,"182,264,110","1,200,257,361","233,304,810","463,317,647","353,006,731","877,457,827","153,845,969","530,647,712","405,016,576","654,299,333","769,774,867","404,212,034","259,358,309","546,408,849","2,039,264,400","279,259,020","313,409,129","1,867,483,320","2,153,354,523","102,773,821","132,600,489","110,044,800","117,631,854","100,633,600","107,079,881","191,884,792","338,519,352","82,740,501","348,754,309","112,250,000"
