TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,"71,808,182,560","71,808,182,560","84,893,975,530","84,893,975,530","84,893,975,530","84,893,975,530","99,467,184,455","99,467,184,455","99,467,184,455","99,467,184,455","109,258,666,958","109,258,666,958","109,258,666,958","109,258,666,958","125,612,259,228","125,612,259,228","125,612,259,228","125,612,259,228","138,052,832,027","138,052,832,027","138,052,832,027","138,052,832,027","245,152,736,267","245,152,736,267","245,152,736,267","245,152,736,267","231,300,987,377","238,532,212,697","245,097,513,347","252,053,682,487","233,573,309,218","233,702,282,629","238,088,060,667","247,581,223,775","259,414,080,619","253,992,726,321","269,201,917,814","262,975,236,999","263,091,959,377","231,373,005,261","238,106,099,952","239,596,835,488","224,106,161,821","233,386,918,811","235,955,806,000","232,599,870,305","246,998,065,828","288,019,205,130","264,278,979,844","290,586,941,728","285,401,393,427","308,808,085,578","275,635,559,563","317,073,377,885","275,436,222,814","290,305,779,015","283,926,435,077","272,354,430,010","266,503,756,426","274,257,264,255","280,098,696,926","294,763,771,975","294,000,474,521","337,873,868,768","362,775,507,188","359,500,564,189"
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,"31,025,785,548","31,025,785,548","33,763,127,790","33,763,127,790","33,763,127,790","33,763,127,790","42,900,654,506","42,900,654,506","42,900,654,506","42,900,654,506","35,163,560,121","35,163,560,121","35,163,560,121","35,163,560,121","52,804,286,480","52,804,286,480","52,804,286,480","52,804,286,480","42,537,241,656","42,537,241,656","42,537,241,656","42,537,241,656","140,920,449,173","140,920,449,173","140,920,449,173","140,920,449,173","128,732,976,478","118,513,715,857","88,261,595,285","133,330,165,061","118,752,727,422","124,577,320,534","130,810,169,313","129,341,256,404","137,239,810,972","111,020,566,317","121,747,646,382","123,008,073,611","124,413,698,902","66,108,885,079","58,408,290,213","61,800,125,526","59,760,816,311","67,489,413,184","76,642,790,650","74,035,149,911","57,825,390,689","60,732,166,919","66,622,336,684","66,443,291,046","49,037,681,525","46,059,966,191","55,615,135,326","55,560,434,999","41,926,166,840","70,218,431,924","98,663,772,529","85,975,264,733","76,862,244,032","65,688,626,627","80,934,372,813","82,187,750,644","49,811,899,645","53,506,452,953","70,141,764,230","85,191,102,924"
1. Tiền,,,,,,,,,,,,,,,"16,479,235,548","16,479,235,548","17,763,127,790","17,763,127,790","17,763,127,790","17,763,127,790","31,900,654,506","31,900,654,506","31,900,654,506","31,900,654,506","25,915,160,121","25,915,160,121","25,915,160,121","25,915,160,121","43,389,286,480","43,389,286,480","43,389,286,480","43,389,286,480","31,662,396,007","31,662,396,007","31,662,396,007","31,662,396,007","33,866,957,942","33,866,957,942","33,866,957,942","33,866,957,942","31,782,991,035","30,660,737,566","32,317,484,121","61,196,421,509","48,757,389,535","56,578,519,367","62,999,927,390","68,206,733,729","76,100,088,011","42,875,469,685","50,397,116,810","52,152,152,919","53,552,558,880","27,222,470,558","24,516,546,472","32,502,798,160","30,457,818,154","43,278,409,381","52,445,547,578","49,605,797,196","27,390,135,083","35,756,042,835","37,119,392,554","39,935,815,173","22,527,521,114","22,544,382,308","37,862,935,326","37,808,234,999","33,173,966,840","34,066,231,924","50,663,772,529","52,975,264,733","29,862,244,032","33,688,626,627","24,934,372,813","33,187,750,644","27,811,899,645","31,506,452,953","45,141,764,230","55,191,102,924"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,"14,546,550,000","14,546,550,000","16,000,000,000","16,000,000,000","16,000,000,000","16,000,000,000","11,000,000,000","11,000,000,000","11,000,000,000","11,000,000,000","9,248,400,000","9,248,400,000","9,248,400,000","9,248,400,000","9,415,000,000","9,415,000,000","9,415,000,000","9,415,000,000","10,874,845,649","10,874,845,649","10,874,845,649","10,874,845,649","107,053,491,231","107,053,491,231","107,053,491,231","107,053,491,231","96,949,985,443","87,852,978,291","55,944,111,164","72,133,743,552","69,995,337,887","67,998,801,167","67,810,241,923","61,134,522,675","61,139,722,961","68,145,096,632","71,350,529,572","70,855,920,692","70,861,140,022","38,886,414,521","33,891,743,741","29,297,327,366","29,302,998,157","24,211,003,803","24,197,243,072","24,429,352,715","30,435,255,606","24,976,124,084","29,502,944,130","26,507,475,873","26,510,160,411","23,515,583,883","17,752,200,000","17,752,200,000","8,752,200,000","36,152,200,000","48,000,000,000","33,000,000,000","47,000,000,000","32,000,000,000","56,000,000,000","49,000,000,000","22,000,000,000","22,000,000,000","25,000,000,000","30,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,"5,000,000,000","5,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000","3,000,000,000",,,,,,,,,"620,000,000","620,000,000","620,000,000","620,000,000",,,,,"900,000,000","900,000,000","900,000,000","900,000,000",,,,,,,,,,,,,,,,,,,,,,,"988,500,000","1,088,500,000","1,088,500,000","1,088,500,000","528,500,000","528,500,000","928,500,000","528,500,000",,"15,000,000,000",,"30,000,000,000","15,000,000,000","15,000,000,000","25,000,000,000","20,000,000,000","10,000,000,000","10,000,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"988,500,000","1,088,500,000","1,088,500,000","1,088,500,000","528,500,000","528,500,000","928,500,000","528,500,000",,"15,000,000,000",,"30,000,000,000","15,000,000,000","15,000,000,000","25,000,000,000","20,000,000,000","10,000,000,000","10,000,000,000"
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,"32,105,310,192","32,105,310,192","45,134,841,126","45,134,841,126","45,134,841,126","45,134,841,126","52,117,538,725","52,117,538,725","52,117,538,725","52,117,538,725","68,384,160,923","68,384,160,923","68,384,160,923","68,384,160,923","68,569,116,498","68,569,116,498","68,569,116,498","68,569,116,498","91,490,286,105","91,490,286,105","91,490,286,105","91,490,286,105","98,870,389,588","98,870,389,588","98,870,389,588","98,870,389,588","97,516,184,663","116,835,631,401","155,239,426,872","118,710,637,472","110,149,301,808","105,545,610,495","105,053,701,583","117,981,402,113","116,500,655,987","139,380,794,052","145,324,097,712","139,511,748,459","133,395,156,055","161,104,353,596","174,889,840,860","175,205,336,542","161,314,033,434","163,912,641,514","157,781,936,606","157,670,307,149","187,638,674,007","226,519,315,772","195,778,559,644","222,418,061,160","233,984,576,288","260,617,863,626","218,424,160,875","260,147,623,622","231,651,127,123","218,670,452,153","184,539,317,150","170,361,893,313","188,203,255,846","177,437,422,116","182,325,535,430","195,721,027,210","216,602,540,255","261,370,152,373","278,191,846,969","259,548,764,000"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,"17,216,360,308","17,216,360,308","24,782,244,963","24,782,244,963","24,782,244,963","24,782,244,963","31,173,887,546","31,173,887,546","31,173,887,546","31,173,887,546","42,907,140,301","42,907,140,301","42,907,140,301","42,907,140,301","46,275,808,840","46,275,808,840","46,275,808,840","46,275,808,840","65,124,596,541","65,124,596,541","65,124,596,541","65,124,596,541","82,868,705,306","82,868,705,306","82,868,705,306","82,868,705,306","89,329,836,687","101,013,891,941","111,107,526,992","111,535,621,609","100,611,869,647","98,813,204,161","95,838,859,217","115,955,922,927","109,472,542,881","128,240,396,824","134,749,651,667","137,498,726,964","123,265,586,265","145,231,258,529","162,522,251,647","162,867,525,647","138,578,310,891","140,782,952,438","138,336,257,665","138,290,390,071","168,009,965,528","206,276,524,716","180,751,167,779","216,686,723,745","224,645,848,842","243,995,318,057","210,344,731,233","253,479,568,445","225,819,004,882","208,888,093,841","178,146,126,234","171,116,830,900","180,648,287,846","177,497,675,904","175,855,488,335","202,894,366,629","221,733,199,094","265,160,392,832","283,248,034,328","267,566,341,972"
