TÀI SẢN,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,"147,662,015,515","147,662,015,515",,,"61,445,995,800","61,445,995,800","61,445,995,800","61,445,995,800","136,190,333,628","136,190,333,628","136,190,333,628","136,190,333,628","192,888,258,361","192,888,258,361","192,888,258,361","192,888,258,361","206,499,021,517","206,499,021,517","206,499,021,517","206,499,021,517","203,883,317,462","203,883,317,462",,"203,883,317,462","406,857,514,505","406,857,514,505","406,857,514,505","406,857,514,505","401,898,899,423","401,898,899,423","401,898,899,423","401,898,899,423","361,606,079,030","361,595,160,566","432,159,178,147","399,810,066,114","367,548,692,370","361,189,200,838","372,623,506,843","319,701,949,818","286,652,315,648","259,359,225,949","294,556,765,910","316,976,034,833","260,775,987,761","287,458,721,591","340,129,849,176","319,313,116,300","366,714,834,820","341,468,977,058","486,402,786,233","431,219,489,808","422,049,153,856","384,012,854,029","329,871,857,779","441,178,645,123","506,587,447,432",,"428,957,865,177","627,505,986,271","589,561,958,625","677,395,552,840","681,160,681,613","717,776,251,397","779,225,791,026","755,863,757,760","554,523,372,934","549,222,011,937","593,042,576,340","527,855,505,350","442,454,730,944","395,770,686,485"
I. Tiền và các khoản tương đương tiền,,,,,,,,,"97,633,595,203","97,633,595,203",,,"8,626,578,734","8,626,578,734","8,626,578,734","8,626,578,734","59,256,954,589","59,256,954,589","59,256,954,589","59,256,954,589","62,994,066,009","62,994,066,009","62,994,066,009","62,994,066,009","38,484,494,950","38,484,494,950","38,484,494,950","38,484,494,950","28,297,580,375","28,297,580,375",,"28,297,580,375","208,554,172,466","208,554,172,466","208,554,172,466","208,554,172,466","288,084,077,587","288,084,077,587","288,084,077,587","288,084,077,587","250,202,317,607","239,954,178,220","307,220,666,482","267,170,733,600","235,697,389,215","214,565,166,637","229,771,229,262","164,599,609,945","125,538,107,163","105,823,720,320","136,240,920,254","152,133,892,668","104,206,263,890","123,900,445,846","177,696,136,473","167,753,672,919","208,369,788,472","183,071,193,671","298,036,721,466","226,543,255,916","230,202,654,592","208,221,622,650","152,925,441,254","241,166,832,227","330,137,270,415",,"300,861,216,632","329,223,238,445","100,475,318,685","174,060,195,164","165,028,944,747","196,769,080,578","166,567,296,131","172,262,212,311","122,613,397,179","121,322,977,371","207,901,041,120","160,355,185,676","171,636,056,231","98,235,505,846"
1. Tiền,,,,,,,,,"97,633,595,203","97,633,595,203",,,"8,626,578,734","8,626,578,734","8,626,578,734","8,626,578,734","59,256,954,589","59,256,954,589","59,256,954,589","59,256,954,589","12,968,788,231","12,968,788,231","12,968,788,231","12,968,788,231","38,484,494,950","38,484,494,950","38,484,494,950","38,484,494,950","27,097,580,375","27,097,580,375",,"27,097,580,375","208,554,172,466","208,554,172,466","208,554,172,466","208,554,172,466","288,084,077,587","288,084,077,587","288,084,077,587","288,084,077,587","250,202,317,607","239,954,178,220","307,220,666,482","267,170,733,600","235,697,389,215","214,565,166,637","229,771,229,262","164,599,609,945","125,538,107,163","105,823,720,320","126,240,920,254","62,133,892,668","74,206,263,890","88,900,445,846","78,696,136,473","53,753,672,919","68,369,788,472","61,071,193,671","43,036,721,466","82,543,255,916","59,202,654,592","53,221,622,650","27,425,441,254","35,166,832,227","50,137,270,415",,"35,061,216,632","44,206,800,090","53,419,387,620","62,013,264,278","47,991,816,062","59,704,807,923","59,559,296,132","52,211,892,672","70,477,768,407","47,110,610,641","54,693,780,306","14,081,999,196","19,301,177,622","24,235,505,846"
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,"50,025,277,778","50,025,277,778","50,025,277,778","50,025,277,778",,,,,"1,200,000,000","1,200,000,000",,"1,200,000,000",,,,,,,,,,,,,,,,,,,"10,000,000,000","90,000,000,000","30,000,000,000","35,000,000,000","99,000,000,000","114,000,000,000","140,000,000,000","122,000,000,000","255,000,000,000","144,000,000,000","171,000,000,000","155,000,000,000","125,500,000,000","206,000,000,000","280,000,000,000",,"265,800,000,000","285,016,438,355","47,055,931,065","112,046,930,886","117,037,128,685","137,064,272,655","107,007,999,999","120,050,319,639","52,135,628,772","74,212,366,730","153,207,260,814","146,273,186,480","152,334,878,609","74,000,000,000"
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000","41,800,000,000","288,800,000,000","316,776,534,557","314,920,986,300","345,920,986,300","426,055,861,100","416,102,970,690","281,308,931,046","281,363,307,666","251,500,522,318","231,529,436,242","121,651,610,722","171,972,557,034"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000,000","41,800,000,000","288,800,000,000","316,776,534,557","314,920,986,300","345,920,986,300","426,055,861,100","416,102,970,690","281,308,931,046","281,363,307,666","251,500,522,318","231,529,436,242","121,651,610,722","171,972,557,034"
III. Các khoản phải thu ngắn hạn,,,,,,,,,"28,545,023,704","28,545,023,704",,,"28,616,777,961","28,616,777,961","28,616,777,961","28,616,777,961","52,146,622,969","52,146,622,969","52,146,622,969","52,146,622,969","95,714,798,519","95,714,798,519","95,714,798,519","95,714,798,519","123,553,419,337","123,553,419,337","123,553,419,337","123,553,419,337","138,199,497,214","138,199,497,214",,"138,199,497,214","162,963,097,759","162,963,097,759","162,963,097,759","162,963,097,759","73,187,588,016","73,187,588,016","73,187,588,016","73,187,588,016","63,011,373,377","78,195,461,846","77,631,050,830","84,795,207,167","91,357,847,912","109,571,522,712","105,784,706,595","118,072,031,601","119,268,786,553","112,895,016,902","116,208,870,734","117,555,897,429","109,893,571,857","120,476,263,113","119,569,817,723","110,845,227,126","115,998,523,971","118,791,757,753","151,103,742,833","167,039,533,051","156,389,953,419","146,402,873,956","146,709,987,630","172,414,368,833","152,135,524,517",,"108,328,238,823","236,208,321,749","182,580,177,002","170,870,227,826","183,576,239,429","155,792,813,688","167,609,129,848","149,855,677,752","132,145,742,110","128,495,782,880","116,043,724,424","117,319,220,931","114,901,125,009","96,681,229,817"
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,"4,125,293,922","4,125,293,922",,,"17,554,001,550","17,554,001,550","17,554,001,550","17,554,001,550","22,518,738,652","22,518,738,652","22,518,738,652","22,518,738,652","46,227,623,796","46,227,623,796","46,227,623,796","46,227,623,796","49,394,473,998","49,394,473,998","49,394,473,998","49,394,473,998","55,503,477,827","55,503,477,827",,"55,503,477,827","53,484,606,018","53,484,606,018","53,484,606,018","53,484,606,018","64,165,839,254","64,165,839,254","64,165,839,254","64,165,839,254","54,802,659,043","68,382,291,704","67,054,041,908","71,614,734,683","66,463,354,297","83,217,173,053","83,673,679,440","99,506,574,749","96,093,242,736","91,284,930,626","90,513,305,364","98,793,321,749","89,147,677,914","94,523,418,360","100,424,295,391","94,449,664,681","99,173,342,630","101,990,634,803","133,473,135,097","145,754,381,642","131,585,957,506","132,844,088,420","132,837,199,994","160,194,021,347","138,190,143,977",,"83,041,892,033","210,657,971,972","158,489,363,910","146,378,605,276","145,388,971,284","123,821,826,204","123,778,508,098","123,931,376,798","116,768,029,535","109,258,138,868","95,951,481,047","91,389,845,212","88,953,495,671","83,343,586,013"
