,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,"122,307,997,211","158,883,023,419","201,591,882,748","200,561,048,884","194,872,832,232","203,847,189,806","223,147,266,894","289,397,787,725","264,816,767,562","216,970,872,766","245,126,917,503","286,550,639,844","244,127,568,184","276,507,520,180","309,420,233,314","328,621,274,434","296,795,235,022","384,124,309,870","409,562,169,408","447,735,206,783",,"369,473,524,831",,,"424,294,778,325","517,208,434,394","536,306,787,098","667,686,749,630","733,501,156,775","853,825,654,192","1,062,929,005,862","1,426,507,835,174","1,298,291,954,567","2,321,958,210,748","2,188,614,583,530","2,209,962,396,990","2,616,643,195,140","2,438,667,426,222","2,367,421,386,693","1,837,237,323,176","1,573,567,523,917","1,813,708,066,994","1,929,838,085,125","2,121,135,981,877","2,284,373,757,361","3,269,796,291,844","3,409,264,544,303","4,201,845,098,822","4,027,853,795,475","4,616,083,413,219","3,291,406,943,915","3,415,845,425,613","3,617,596,915,511","2,792,257,990,090","3,531,352,090,707","2,687,154,224,910","2,964,878,299,224","2,784,044,828,229","3,194,720,984,754","3,844,194,043,922"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,"299,245,243","145,630,406","152,866,939","70,950,262","47,194,200","123,316,050","297,895,260","162,540,640","82,316,227","382,251,861","1,341,825,851","1,625,571,284","196,489,932","435,239,055","383,757,869","153,326,387","14,412,313","274,024,822","255,157,449","3,462,290,601",,"365,629,589",,,"742,035,443","113,449,599","719,625,826","151,829,729","4,766,214,896","94,043,728","1,257,823,584","1,037,266,654","333,284,102","3,776,658,553","2,106,916,397","1,037,673,394","4,306,411,839","8,633,028,459","3,238,652,136","4,000,354,301","1,220,192,091","3,112,083,642","2,681,072,633","2,679,294,503","756,449,265","5,050,435,836","2,084,430,427","3,008,748,801","169,397,008","3,873,387,481","11,072,289,994","9,286,091,326","883,996,058","944,663,741","2,273,196,017","2,575,473,135","1,046,971,601","1,564,742,697","1,321,449,422","1,549,525,461"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,"122,008,751,968","158,737,393,013","201,439,015,809","200,490,098,622","194,825,638,032","203,723,873,756","222,849,371,634","289,235,247,085","264,734,451,335","216,588,620,905","243,785,091,652","284,925,068,560","243,931,078,252","276,072,281,125","309,036,475,445","328,467,948,047","296,780,822,709","383,850,285,048","409,307,011,959","444,272,916,182",,"369,107,895,242",,,"423,552,742,882","517,094,984,795","535,587,161,272","667,534,919,901","728,734,941,879","853,731,610,464","1,061,671,182,278","1,425,470,568,520","1,297,958,670,465","2,318,181,552,195","2,186,507,667,133","2,208,924,723,596","2,612,336,783,301","2,430,034,397,763","2,364,182,734,557","1,833,236,968,875","1,572,347,331,826","1,810,595,983,352","1,927,157,012,492","2,118,456,687,374","2,283,617,308,096","3,264,745,856,008","3,407,180,113,876","4,198,836,350,021","4,027,684,398,467","4,612,210,025,738","3,280,334,653,921","3,406,559,334,287","3,616,712,919,453","2,791,313,326,349","3,529,078,894,690","2,684,578,751,775","2,963,831,327,623","2,782,480,085,532","3,193,399,535,332","3,842,644,518,461"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,"90,790,066,566","119,370,717,163","131,951,744,828","153,424,355,091","149,339,363,098","161,969,085,217","172,676,766,371","228,905,984,362","216,094,982,255","174,062,936,877","200,654,244,052","232,881,551,863","195,830,687,906","231,419,606,297","265,312,830,107","286,409,479,825","276,673,092,011","335,407,866,981","358,015,776,197","405,609,189,336",,"323,297,008,095",,,"367,388,672,113","447,802,096,702","452,794,707,854","568,748,920,481","626,990,411,059","730,816,635,256","932,638,640,218","1,228,777,511,440","1,150,432,871,108","2,148,078,103,742","2,028,667,698,513","2,011,457,866,835","2,237,684,096,383","2,138,619,937,880","2,164,606,410,027","1,656,741,060,921","1,393,581,779,831","1,627,230,324,269","1,719,945,872,561","1,910,863,817,019","2,044,520,172,452","2,910,330,501,951","3,089,423,538,078","3,818,147,546,774","3,634,008,629,551","4,269,180,045,101","2,972,146,306,598","3,372,303,457,270","3,370,542,435,514","2,569,592,122,032","3,209,329,498,857","2,375,451,450,167","2,632,000,466,517","2,424,146,450,534","2,848,063,506,913","3,389,271,003,694"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,"31,218,685,402","39,366,675,850","69,487,270,981","47,065,743,531","45,486,274,934","41,754,788,539","50,172,605,263","60,329,262,723","48,639,469,080","42,525,684,028","43,130,847,600","52,043,516,697","48,100,390,346","44,652,674,828","43,723,645,338","42,058,468,222","20,107,730,698","48,442,418,067","51,291,235,762","38,663,726,846",,"45,810,887,147",,,"56,164,070,769","69,292,888,093","82,792,453,418","98,785,999,420","101,744,530,820","122,914,975,208","129,032,542,060","196,693,057,080","147,525,799,357","170,103,448,453","157,839,968,620","197,466,856,761","374,652,686,918","291,414,459,883","199,576,324,530","176,495,907,954","178,765,551,995","183,365,659,083","207,211,139,931","207,592,870,355","239,097,135,644","354,415,354,057","317,756,575,798","380,688,803,247","393,675,768,916","343,029,980,637","308,188,347,323","34,255,877,017","246,170,483,939","221,721,204,317","319,749,395,833","309,127,301,608","331,830,861,106","358,333,634,998","345,336,028,419","453,373,514,767"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,"4,202,627,262","670,212,411","3,509,924,156","2,696,815,705","6,373,033,860","1,714,976,918","369,527,317","1,407,574,253","457,799,351","235,073,086","154,096,729","213,193,746","2,156,111,356","1,799,374,307","1,069,569,982","1,584,829,239","3,814,782,022","1,739,069,197","2,610,326,060","2,848,872,567",,"3,670,513,258",,,"4,088,654,022","11,943,366,860","4,802,491,049","9,364,336,931","82,364,864,741","-63,976,584,292","4,124,651,624","33,262,328,034","7,085,646,051","11,991,921,482","21,541,918,835","20,898,115,374","52,666,033,396","40,394,208,201","42,473,731,933","44,141,482,621","36,043,002,254","49,809,253,203","44,835,095,737","37,983,730,931","45,537,795,466","50,031,313,543","55,774,446,901","78,107,573,142","31,625,143,230","62,151,890,682","43,749,317,209","76,956,511,432","47,003,239,324","61,416,035,204","63,082,764,650","67,921,370,313","47,863,280,080","98,092,361,110","33,516,838,128","91,696,585,033"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,"5,672,165,685","7,073,043,123","4,599,124,693","5,979,087,751","6,886,618,769","8,068,280,375","9,746,669,585","10,139,057,863","9,031,367,946","8,486,300,044","6,523,593,158","5,321,345,487","5,222,906,057","4,796,952,169","4,261,851,028","2,826,480,156","5,492,109,235","2,416,397,337","5,681,141,129","6,059,642,453",,"12,703,391,558",,,"9,554,498,445","9,270,588,887","8,643,546,827","26,458,847,770","53,244,735,002","-9,304,630,309","20,723,543,611","30,389,199,454","25,591,419,044","60,387,322,612","55,395,778,502","67,212,717,328","62,767,516,140","82,288,903,731","58,484,445,893","62,238,460,705","56,993,723,826","66,895,670,460","53,099,248,518","51,588,379,475","42,748,982,353","54,678,764,618","42,326,671,031","59,979,045,743","50,899,286,147","59,187,504,578","61,887,618,795","85,428,295,752","56,006,994,655","59,379,004,371","52,837,104,055","67,250,781,564","39,801,387,126","83,593,673,505","38,092,712,972","77,485,079,109"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,"5,672,165,685","7,073,043,123","4,599,124,693","5,979,087,751","6,886,618,769","8,068,280,375","9,746,669,585","10,139,057,863","9,031,367,946","8,486,300,044","6,523,593,158","5,321,345,487","5,222,906,057","4,796,952,169","4,261,851,028","2,826,480,156","5,492,109,235","2,416,397,337","5,681,141,129","6,059,642,453",,"5,519,155,453",,,"6,293,816,656","7,087,632,513","6,637,193,744","7,265,829,226","16,833,826,448","17,746,808,506","17,065,679,630","28,945,734,767","23,245,616,132","45,754,572,288","41,475,666,353","40,295,506,565","45,933,094,039","50,365,537,428","53,172,638,656","49,945,222,265","50,524,146,818","53,578,102,302","49,063,026,634","48,081,193,362","37,769,042,726","44,492,122,484","32,749,759,815","36,654,735,524","39,865,290,941","35,891,150,019","40,362,653,734","57,560,677,981","45,134,977,429","46,607,049,754","46,635,327,606","48,476,740,408","35,048,921,226","40,781,649,677","33,905,226,424","49,795,330,050"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,536,050,924",,,"2,423,823,607","-4,295,308,753","2,294,446,474","1,328,378,471",,"24,288,655,000",,"-24,288,655,000",,,,,,,,"-56,550,198","191,019,839","280,167,868","810,923,830","15,621,701,593","3,919,288,485","3,161,056,598","8,614,922,080","7,177,874,375","16,318,624,809","8,438,343,001","16,495,471,816","16,543,417,620","14,564,670,455","3,570,709,663","11,922,389,158","22,819,564,892","23,727,758,055","20,515,036,526","7,564,464,721","3,971,654,058"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,"7,453,409,286","9,817,443,206","12,614,198,462","12,319,247,125","12,173,363,592","12,708,688,289","11,936,418,693","15,760,631,478","14,431,970,836","14,272,091,024","16,247,392,924","16,329,359,857","15,523,150,822","15,082,913,674","15,794,443,389","16,951,883,981","18,615,256,632","16,862,841,649","20,554,326,466","23,800,951,388",,"22,891,956,537",,,"10,229,653,180","12,901,285,065","19,223,067,035","14,528,130,182","22,944,376,417","7,482,917,746","13,398,174,851","61,898,852,480","31,202,480,069","34,097,236,248","39,008,660,761","52,254,432,906","67,805,674,204","53,853,853,069","57,806,654,702","37,062,485,062","58,328,519,747","56,663,819,282","55,642,770,831","85,209,410,170","102,440,067,463","174,720,812,628","198,261,662,585","253,505,725,452","213,685,606,963","178,910,187,534","140,819,634,222","129,385,434,583","109,390,083,352","106,043,912,799","146,527,042,033","135,967,900,119","123,010,462,870","173,233,226,618","191,007,387,234","234,308,358,376"
