,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,"79,168,362,198","111,074,436,852",,"133,031,876,155","133,262,856,121","158,769,185,809","148,326,051,857","180,741,706,016","190,020,744,059","132,121,018,961","122,932,286,936","173,905,272,459","176,440,845,957","252,335,738,844","252,782,267,770","267,517,688,021","262,105,655,814","297,300,033,320","252,025,337,847","374,025,799,308","311,131,170,475","355,056,880,378","233,318,761,679","302,482,500,064","250,944,814,446","246,921,363,068","217,538,693,796","276,292,158,658","231,952,794,681","265,035,729,674","223,939,130,134","210,658,471,499","170,071,085,272","251,044,521,298",,"319,835,666,001",,,"271,012,666,924","337,097,141,755","370,190,367,973","311,723,431,165","282,676,713,606","319,034,499,478","286,684,043,561","302,033,507,840","332,334,226,430","391,974,485,263","469,477,955,444","499,738,258,192","446,187,016,157","376,274,856,696","261,674,920,908","339,528,586,779","237,392,033,417","242,208,660,100","180,248,348,487","299,284,277,938","331,733,191,447","339,547,117,381","224,045,739,382","312,917,611,026","325,465,870,770","248,458,636,653","323,557,459,887","268,624,839,610","139,744,903,928","224,574,352,894","339,190,363,391","414,321,764,902","321,122,335,924","562,175,227,473","418,552,950,182","456,330,082,066"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,"438,781,045","442,434,571","573,229,342","51,076,800","37,217,400","59,149,125","1,927,184,172","1,489,910,650","1,386,904,503","1,875,371,683","725,413,657","737,826,037","14,409,580","213,400,500","300,953,000","442,563,898","666,677,328","1,682,203,604","1,407,162,888","191,734,734","718,313,362","512,687,314","49,866,398","191,117,728","1,558,644,843","977,972,248","879,983,000","140,415,300","1,083,059,496",,,,"431,400,030",,,"802,507,950","633,031,000","247,500,000","424,560,430","243,812,051","210,663,588","1,952,924,600","322,435,053","258,554,450","2,669,231,205","542,598,270","1,201,017,000","997,827,945","2,873,702,960","723,236,545","1,536,323,045","3,095,341,328","674,556,000","1,104,954,220","2,501,173,098","9,580,612,300","516,450,800","169,671,300","34,500,000","113,400,000","3,327,546,050","8,800,800","3,619,960,000","34,282,389","60,271,389","606,599,364","372,716,930","5,038,933,398","222,303,550","3,308,738,340","875,558,286"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,"79,168,362,198","111,074,436,852",,"132,593,095,110","132,820,421,550","158,195,956,467","148,274,975,057","180,704,488,616","189,961,594,934","130,193,834,789","121,442,376,286","172,518,367,956","174,565,474,274","251,610,325,187","252,044,441,733","267,503,278,441","261,892,255,314","296,999,080,320","251,582,773,949","373,359,121,980","309,448,966,871","353,649,717,490","233,127,026,945","301,764,186,702","250,432,127,132","246,871,496,670","217,347,576,068","274,733,513,815","230,974,822,433","264,155,746,674","223,798,714,834","209,575,412,003","170,071,085,272","251,044,521,298",,"319,404,265,971",,,"270,210,158,974","336,464,110,755","369,942,867,973","311,298,870,735","282,432,901,555","318,823,835,890","284,731,118,961","301,711,072,787","332,075,671,980","389,305,254,058","468,935,357,174","498,537,241,192","445,189,188,212","373,401,153,736","260,951,684,363","337,992,263,734","234,296,692,089","241,534,104,100","179,143,394,267","296,783,104,840","322,152,579,147","339,030,666,581","223,876,068,082","312,883,111,026","325,352,470,770","245,131,090,603","323,548,659,087","265,004,879,610","139,710,621,539","224,514,081,505","338,583,764,027","413,949,047,972","316,083,402,526","561,952,923,923","415,244,211,842","455,454,523,780"
4. Giá vốn hàng bán,,,,,,,"60,843,195,914","87,232,239,463",,"104,595,626,011","108,467,645,112","128,411,076,049","117,839,796,784","139,728,440,285","150,614,726,433","107,521,720,506","105,523,736,641","139,961,171,098","142,809,528,060","209,018,306,548","204,395,522,133","221,982,549,393","222,451,307,528","253,846,553,088","211,354,265,085","281,100,270,597","240,170,837,560","314,498,027,745","208,353,427,578","256,109,729,035","218,470,431,261","221,984,340,812","190,811,753,522","228,018,937,923","196,125,007,144","217,902,294,010","196,292,925,469","172,480,408,387","137,119,766,201","226,417,252,803",,"276,365,210,834",,,"233,873,594,955","283,792,937,576","316,744,666,469","262,715,275,009","244,059,453,189","260,584,356,650","241,234,867,698","262,813,562,737","286,901,512,544","292,876,434,940","320,446,666,803","360,043,841,585","346,067,920,923","270,529,380,155","203,523,425,523","282,307,427,070","205,046,060,094","205,637,499,896","139,275,639,918","251,664,564,051","289,368,385,075","300,362,732,211","196,847,247,075","256,762,127,785","215,110,969,384","168,576,860,976","268,781,268,517","230,943,055,085","113,345,422,876","184,181,546,424","293,239,742,892","359,965,335,015","276,818,957,853","514,427,276,570","365,221,750,833","402,939,301,947"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,"18,325,166,284","23,842,197,389",,"27,997,469,099","24,352,776,438","29,784,880,418","30,435,178,273","40,976,048,331","39,346,868,501","22,672,114,283","15,918,639,645","32,557,196,858","31,755,946,214","42,592,018,639","47,648,919,600","45,520,729,048","39,440,947,786","43,152,527,232","40,228,508,864","92,258,851,383","69,278,129,311","39,151,689,745","24,773,599,367","45,654,457,667","31,961,695,871","24,887,155,858","26,535,822,546","46,714,575,890","34,849,815,289","46,253,452,664","27,505,789,365","37,095,003,616","32,951,319,070","24,627,268,495",,"43,039,055,137",,,"36,336,564,019","52,671,173,179","53,198,201,504","48,583,595,726","38,373,448,366","58,239,479,240","43,496,251,263","38,897,510,050","45,174,159,436","96,428,819,118","148,488,690,371","138,493,399,607","99,121,267,289","102,871,773,581","57,428,258,840","55,684,836,664","29,250,631,995","35,896,604,204","39,867,754,349","45,118,540,789","32,784,194,072","38,667,934,370","27,028,821,007","56,120,983,241","110,241,501,386","76,554,229,627","54,767,390,570","34,061,824,525","26,365,198,663","40,332,535,081","45,344,021,135","53,983,712,957","39,264,444,673","47,525,647,353","50,022,461,009","52,515,221,833"
6. Doanh thu hoạt động tài chính,,,,,,,"73,907,328","70,505,098",,"974,807,376","746,363,227","957,064,193","713,547,781","5,821,246,859","3,869,862,906","4,945,129,745","4,840,725,755","3,729,578,074","4,916,585,767","11,789,674,188","10,031,880,613","6,759,913,288","6,963,943,731","12,701,413,647","22,184,018,110","13,622,284,618","773,625,539","3,412,412,250","4,469,198,740","1,381,288,181","586,314,515","880,142,593","154,008,849","410,202,293","1,992,847,645","965,140,519","729,374,804","609,879,521","966,620,421","545,728,217",,"1,669,764,244",,,"941,507,144","829,252,036","633,199,379","5,193,596,180","1,203,888,399","861,137,463","805,360,596","559,383,625","942,597,535","3,172,410,291","3,236,714,822","1,014,933,618","904,023,195","2,364,859,691","874,797,025","1,304,179,581","1,928,083,652","1,231,599,366","391,964,677","845,601,087","662,167,516","2,478,640,069","1,472,802,754","2,055,230,249","1,890,466,464","3,054,673,596","2,900,450,170","3,308,788,802","1,353,045,984","701,471,559","2,854,004,317","3,341,771,437","2,960,377,052","7,133,558,342","1,016,558,368","7,733,234,524"
7. Chi phí tài chính,,,,,,,"92,454,013","1,590,497,579",,"995,738,327","636,181,029","1,009,453,190","1,949,288,674","2,342,664,548","6,597,883,783","6,846,052,457",,"2,066,502,710","2,732,317,140","5,423,551,402","9,175,260,230","7,253,763,106","7,899,655,371","13,986,543,938","16,091,548,769","14,262,687,925","5,296,823,244","8,395,374,854","10,053,927,422","6,815,800,858","5,125,942,910","5,371,774,669","6,337,838,233","8,204,107,909","7,064,555,873","5,357,143,970","3,974,893,087","5,000,242,023","5,009,354,596","5,978,463,690",,"10,763,004,889",,,"13,130,612,173","17,221,061,453","14,018,496,134","14,887,741,054","12,377,759,262","13,722,607,790","11,459,466,759","12,496,153,678","9,642,936,359","12,096,144,658","10,101,532,091","11,460,644,049","10,565,432,325","11,158,885,869","10,796,017,042","12,541,576,277","10,169,436,099","13,184,232,674","11,017,465,029","12,191,046,293","9,000,993,007","8,434,769,024","7,895,152,800","10,553,553,866","6,660,484,339","10,320,947,567","7,462,087,393","12,914,388,401","9,211,555,933","14,181,720,193","10,990,695,744","12,012,446,456","7,656,536,674","7,909,567,482","8,409,733,759","9,446,094,392"
- Trong đó: Chi phí lãi vay,,,,,,,"92,454,013","1,590,497,579",,"995,738,327","636,181,029","1,009,453,190","1,949,288,674","2,342,664,548","6,597,883,783","6,846,052,457",,"2,066,502,710","2,732,317,140","5,423,551,402","9,175,260,230","7,253,763,106","7,899,655,371","13,986,543,938","16,091,548,769","14,262,687,925","5,296,823,244","8,395,374,854","10,053,927,422","6,815,800,858","5,125,942,910","5,371,774,669","6,337,838,233","8,204,107,909","7,064,555,873","5,357,143,970","3,974,893,087","5,000,242,023","5,009,354,596","5,978,463,690",,"8,388,043,506",,,"13,557,926,908","17,644,504,755","15,780,204,782","16,286,788,808","13,544,247,517","15,189,044,076","11,425,178,286","12,267,744,624","9,610,360,360","11,944,656,504","9,874,740,566","10,502,099,388","10,548,451,565","11,045,689,050","10,108,982,638","11,476,160,632","10,159,149,764","11,571,830,449","10,942,208,208","12,034,126,428","8,758,499,036","8,205,387,892","7,533,478,287","8,991,910,241","6,136,309,565","10,220,721,346","7,287,283,869","10,029,315,641","8,628,115,400","13,902,368,584","10,955,421,582","11,383,826,749","7,457,867,138","7,780,766,778","6,262,729,996","8,598,369,424"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,"6,085,307,208","5,837,946,603",,"7,510,222,287","6,563,499,033","9,192,735,375","8,862,507,603","11,961,907,597","11,343,160,333","8,378,996,797","8,695,065,872","9,405,919,655","10,188,329,301","16,601,605,227","16,717,101,128","17,290,623,717","18,800,383,523","22,591,850,519","14,538,282,019","19,119,550,057","16,424,300,732","18,852,806,810","11,677,867,544","17,753,605,892","14,658,384,863","16,139,309,019","22,197,241,242","30,353,961,937","21,692,405,043","23,212,283,961","16,319,830,165","15,201,023,339","13,549,264,953","12,495,829,061",,"19,384,417,707",,,"15,420,752,850","18,574,112,122","23,043,023,252","19,868,894,666","17,374,075,431","22,945,171,374","16,302,213,123","17,635,005,331","16,989,843,860","19,955,269,128","22,753,005,842","15,776,586,960","19,767,116,263","17,270,164,521","14,149,223,648","16,535,727,737","12,974,541,564","11,569,112,634","8,287,339,699","11,578,375,636","8,007,480,523","11,061,865,338","10,763,596,790","18,201,744,873","21,332,080,393","15,691,815,861","19,819,767,284","11,613,340,476","9,826,584,709","12,372,990,516","18,887,195,730","25,873,231,373","21,016,685,396","28,316,085,008","28,796,764,766","37,319,593,901"
