,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"477,810,435,264",,"318,114,115,533",,,"301,574,845,370","369,594,894,986","346,047,495,973","429,436,672,923","291,627,970,632","165,063,966,798","203,105,255,869","1,412,377,406,504","493,481,212,904","708,803,425,279","741,136,811,562","640,670,361,245","389,174,964,190","760,587,956,836","528,126,679,181","557,837,502,682","215,998,376,107","385,448,697,783","275,272,877,182","244,800,151,449","361,675,297,409","425,674,123,274","533,921,632,487","222,466,610,884","369,684,868,441","34,430,785,181","60,785,937,010","20,880,960,699","54,986,598,697","28,007,256,767",,,,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"441,983,564",,"165,925,924",,,"171,865,263","78,172,870","23,783,042,855","38,665,997,915",,"19,968,000",,,,"376,436,200",,,,,,,"71,729,839",,,"68,181,818",,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"477,368,451,700",,"317,948,189,609",,,"301,402,980,107","369,516,722,116","322,264,453,118","390,770,675,008","291,627,970,632","165,043,998,798","203,105,255,869","1,412,377,406,504","493,481,212,904","708,426,989,079","741,136,811,562","640,670,361,245","389,174,964,190","760,587,956,836","528,126,679,181","557,837,502,682","215,926,646,268","385,448,697,783","275,272,877,182","244,731,969,631","361,675,297,409","425,674,123,274","533,921,632,487","222,466,610,884","369,684,868,441","34,430,785,181","60,785,937,010","20,880,960,699","54,986,598,697","28,007,256,767",,,,,,
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450,784,688,036",,"306,878,864,798",,,"271,607,138,145","342,359,527,610","298,648,393,519","366,248,965,142","265,097,210,504","139,297,416,485","178,841,892,057","1,365,746,460,623","472,653,187,312","685,793,924,593","718,494,431,219","612,170,816,914","368,538,274,958","738,463,942,564","506,932,198,520","522,978,142,482","195,681,151,308","364,094,088,375","258,602,110,620","212,279,675,873","343,035,171,239","415,518,513,487","523,932,461,177","213,694,157,770","362,462,125,850","27,357,976,903","56,094,183,817","19,704,447,837","48,267,117,721","20,965,740,747",,,,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,583,763,664",,"11,069,324,811",,,"29,795,841,962","27,157,194,506","23,616,059,599","24,521,709,866","26,530,760,128","25,746,582,313","24,263,363,812","46,630,945,881","20,828,025,592","22,633,064,486","22,642,380,343","28,499,544,331","20,636,689,232","22,124,014,272","21,194,480,661","34,859,360,200","20,245,494,960","21,354,609,408","16,670,766,562","32,452,293,758","18,640,126,170","10,155,609,787","9,989,171,310","8,772,453,114","7,222,742,591","7,072,808,278","4,691,753,193","1,176,512,862","6,719,480,976","7,041,516,020",,,,,,
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,973,693,815",,"996,289,896",,,"79,025,584","237,621,131","281,346,571","408,817,130","503,030,176","980,941,342","6,222,174,699","492,689,299","12,455,359,323","63,612,765,098","8,845,268,995","7,786,576,950","6,998,865,342","6,442,817,957","4,214,115,160","3,142,262,167","717,080,945","846,755,675","947,901,763","287,929,812","651,009,167","10,142,194,360","6,355,540,931","5,854,962,708","5,605,198,738","4,694,510,209","5,728,877,536","6,118,953,218","5,985,482,897","6,051,980,516",,,,,,
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213,862,980",,"100,474,664",,,"12,957,708","127,771,472","520,335,170","1,361,502,873","3,333,773,496","4,953,090,979","4,343,714,242","4,712,739,797","4,963,567,946","53,040,610,986","5,628,194,950","7,718,641,044","5,892,532,369","6,935,383,791","7,260,104,052","9,640,617,336","7,068,772,922","10,217,142,874","8,309,263,138","10,253,770,685","7,319,970,463","9,055,510,110","8,563,849,701","8,081,108,217","6,054,763,210","5,665,824,699","7,096,583,506","6,121,394,262","6,398,924,550","12,287,330,307",,,,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"213,862,980",,"59,842,256",,,"153,003,967","91,789,205","478,051,178","1,240,753,671","3,178,557,585","4,937,527,122","4,298,667,403","4,703,356,354","4,638,446,488","5,638,850,269","5,622,415,376","6,503,964,065","5,886,493,618","6,941,422,542","7,160,313,982","9,533,086,375","7,061,022,706","10,651,257,813","8,269,250,639","9,899,819,568","7,314,372,504","9,018,662,502","8,490,074,020","7,750,007,774","5,895,964,928","5,573,174,103","6,816,419,122","5,983,694,262","6,249,916,575","12,117,330,307",,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,467,378","-11,962,328","31,764,277","-132,711,574","-163,547,300","-163,547,300","-163,547,300",,"-2,939,212",,,"-2,280,000","-551,073","-1,415,537",,"-1,380,000","-1,200,000",,,,"-2,672,215","-30,984","-30,984",,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189,316,124",,"191,129,996",,,"59,189,230","442,129,660","788,733,781","810,160,875","2,138,223,358","909,746,067","2,134,560,974","1,322,881,299","4,249,004,452","5,912,535,265","6,340,957,889","6,433,886,904","3,070,100,395","2,456,179,899","1,804,818,920","2,176,875,821","2,158,405,206","3,035,486,892","2,124,117,543","3,891,017,359","2,987,721,833","2,237,283,331","1,271,845,763","1,789,969,777","976,392,757","746,785,330","658,251,678","768,501,288","441,444,608","336,117,885",,,,,,
