,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,"769,772,570,927","648,877,609,646","700,508,003,478","657,326,508,314","1,167,996,487,101","832,444,060,913","407,174,526,518","558,713,882,129","480,403,062,212","439,717,040,135","362,325,264,885","378,672,693,970","322,624,960,969","400,233,038,133","255,133,644,394","470,856,784,171","485,493,337,973","558,043,144,903","327,732,857,659","597,528,138,027","388,651,125,871","432,981,470,565","491,916,162,860","693,581,817,262","659,676,256,684","671,561,166,551","625,131,220,108","582,815,254,692","716,191,687,609","855,702,466,184",,"572,376,333,848",,,"584,428,190,582","769,508,846,825","731,807,258,164","761,012,711,294","701,300,942,857","670,072,183,496","740,407,586,642","855,778,677,007","817,634,535,287","876,206,980,429","1,053,380,730,613","1,388,976,804,999","914,017,921,907","1,067,603,733,185","1,140,926,947,404","1,396,604,174,653","826,045,260,744","898,297,235,114","810,544,253,041","943,834,750,954","707,322,627,336","1,080,731,742,346","656,115,814,848","1,060,255,737,260","1,219,478,753,489","1,305,830,174,794","1,247,978,424,052","1,161,218,492,134","1,157,603,357,241","1,090,877,619,337","1,100,743,562,157","1,112,562,956,111","1,016,226,486,382","1,209,204,299,276","1,344,998,186,838","1,368,682,928,274"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,"579,121,847","723,097,235","239,328,052","6,719,382,969","4,739,088,073","5,225,556,386","16,294,552,870","3,445,224,142","3,286,745,425","3,631,247,518","2,330,869,294","2,962,956,229","4,692,823,360","330,761,376","4,578,826,909","917,216,208","1,443,079,994","7,233,235,655","2,942,414,467","6,723,136,926","3,350,091,116","5,373,116,421","2,533,973,011","3,193,148,944","7,739,693,520","2,941,995,885","2,852,233,800","1,778,025,762","2,900,645,581","2,566,180,886",,"16,015,891,616",,,"8,096,667,512","5,015,633,888","5,406,490,256","4,069,166,457","3,302,471,524","1,974,207,975","2,894,706,049","5,127,079,707","2,903,667,746","7,690,570,899","1,930,440,719","5,684,978,759","3,751,640,854","3,110,519,139","13,513,606,476","17,910,544,055","14,880,565,202","14,203,785,577","2,246,855,537","7,475,583,490","1,463,542,818","6,363,731,565","316,091,318","2,356,234,815","311,032,327","11,312,062,857","9,296,349,764","16,939,359,083","2,404,970,502","16,583,485,410","1,922,667,174","1,753,738,880","217,782,258","15,791,434,691","3,976,876,226","7,859,834,682"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,"769,193,449,080","648,154,512,411","700,268,675,426","650,607,125,345","1,163,257,399,028","827,218,504,527","390,879,973,648","555,268,657,987","477,116,316,787","436,085,792,617","359,994,395,591","375,709,737,741","317,932,137,609","399,902,276,757","250,554,817,485","469,939,567,963","484,050,257,979","550,809,909,248","324,790,443,192","590,805,001,101","385,301,034,755","427,608,354,144","489,382,189,849","690,388,668,318","651,936,563,164","668,619,170,666","622,278,986,308","581,037,228,930","713,291,042,028","853,136,285,298",,"556,360,442,232",,,"576,331,523,070","764,493,212,937","726,400,767,908","756,943,544,837","697,998,471,333","668,097,975,521","737,512,880,593","850,651,597,300","814,730,867,541","868,516,409,530","1,051,450,289,894","1,383,291,826,240","910,266,281,053","1,064,493,214,046","1,127,413,340,928","1,378,693,630,598","811,164,695,542","884,093,449,537","808,297,397,504","936,359,167,464","705,859,084,518","1,074,368,010,781","655,799,723,530","1,057,899,502,445","1,219,167,721,162","1,294,518,111,937","1,238,682,074,288","1,144,279,133,051","1,155,198,386,739","1,074,294,133,927","1,098,820,894,983","1,110,809,217,231","1,016,008,704,124","1,193,412,864,585","1,341,021,310,612","1,360,823,093,592"
4. Giá vốn hàng bán,,,,,,,,,,,"631,767,341,031","449,001,188,691","551,911,276,434","519,490,440,226","960,038,335,098","824,341,549,306","408,552,881,110","549,801,181,928","451,261,938,880","490,686,749,145","317,044,666,691","312,296,772,820","283,623,343,041","335,247,831,927","234,052,740,990","424,458,004,390","442,626,595,422","472,692,886,188","284,973,762,390","511,622,646,567","342,916,623,951","361,073,753,656","431,324,381,469","588,211,939,179","544,974,212,015","584,664,334,112","553,841,454,786","476,331,872,946","601,461,422,197","717,493,883,241",,"470,196,608,602",,,"507,371,913,945","661,514,856,466","626,171,772,177","668,068,324,888","610,509,458,161","566,881,661,267","646,980,644,409","709,959,004,594","676,345,003,175","744,631,072,687","883,086,569,779","951,604,071,071","633,008,091,160","839,922,597,110","890,807,754,838","1,074,555,698,641","689,808,534,919","794,134,407,471","701,232,031,898","770,068,477,899","563,561,220,829","936,210,796,006","586,791,196,775","854,049,642,369","860,306,359,468","839,825,105,428","951,858,384,309","909,114,878,733","951,899,894,183","1,026,112,650,257","1,014,020,341,511","996,514,859,337","914,753,549,094","1,050,185,704,754","1,168,357,194,650","1,222,183,723,943"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,"137,426,108,049","199,153,323,720","148,357,398,992","131,116,685,119","203,219,063,930","2,876,955,221","-17,672,907,462","5,467,476,059","25,854,377,907","-54,600,956,528","42,949,728,900","63,412,964,921","34,308,794,568","64,654,444,830","16,502,076,495","45,481,563,573","41,423,662,557","78,117,023,060","39,816,680,802","79,182,354,534","42,384,410,804","66,534,600,488","58,057,808,380","102,176,729,139","106,962,351,149","83,954,836,554","68,437,531,522","104,705,355,984","111,829,619,831","135,642,402,057",,"86,163,833,630",,,"68,959,609,125","102,978,356,471","100,228,995,731","88,875,219,949","87,489,013,172","101,216,314,254","90,532,236,184","140,692,592,706","138,385,864,366","123,885,336,843","168,363,720,115","431,687,755,169","277,258,189,893","224,570,616,936","236,605,586,090","304,137,931,957","121,356,160,623","89,959,042,066","107,065,365,606","166,290,689,565","142,297,863,689","138,157,214,775","69,008,526,755","203,849,860,076","358,861,361,694","454,693,006,509","286,823,689,979","235,164,254,318","203,298,492,556","48,181,483,670","84,800,553,472","114,294,357,894","101,255,155,030","143,227,159,831","172,664,115,962","138,639,369,649"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,"18,552,672,639","23,288,486,432","28,418,694,072","72,196,659,311","34,108,859,984","37,943,986,925","13,035,915,453","25,017,583,988","21,453,277,576","40,214,955,565","20,342,436,826","13,182,259,778","20,572,134,923","33,725,652,731","27,266,965,698","22,426,206,616","13,365,977,485","31,513,367,546","5,737,736,776","5,111,189,553","1,568,356,111","9,197,205,477","6,412,336,766","14,633,751,729","5,842,114,955","2,516,145,205","3,257,592,608","5,396,492,269","3,046,293,448","8,685,275,441",,"14,817,441,015",,,"7,806,784,929","25,280,017,080","4,045,752,212","7,525,912,028","7,034,669,599","4,918,096,358","1,823,264,534","5,848,521,122","1,716,939,799","31,693,371,349","22,740,274,569","17,629,244,645","7,905,298,001","18,570,103,870","13,708,596,720","12,243,828,117","13,058,402,489","11,999,663,095","8,453,202,842","9,399,630,904","7,444,867,562","7,198,730,484","11,936,836,497","14,446,836,484","11,298,773,346","16,591,231,477","15,757,773,274","36,023,954,719","9,064,545,904","7,725,908,093","8,333,288,294","6,976,266,293","5,238,300,146","10,747,529,101","2,418,259,578","14,212,851,162"
7. Chi phí tài chính,,,,,,,,,,,"4,300,276,407","856,706,903","6,636,165,646","15,935,774,712","27,720,706,167","39,837,898,175","18,097,294,452","8,059,123,233",,"7,954,139,261","9,412,717,513","8,809,936,243","6,899,135,704","5,743,852,039","11,418,667,969","10,469,667,888","11,606,962,089","15,288,042,700","15,741,941,214","22,495,596,618","12,765,111,803","12,935,506,951","14,292,499,142","-8,811,208,564","15,987,248,169","19,412,256,896","16,064,182,365","16,915,139,969","14,557,935,252","18,314,677,617",,"35,287,179,858",,,"21,582,259,810","26,130,377,672","17,748,255,579","27,694,306,638","19,241,402,366","19,716,062,477","12,622,360,601","12,262,104,601","9,321,568,275","23,372,848,576","20,723,559,469","21,666,578,654","9,521,686,516","15,733,494,893","16,438,975,712","18,949,174,265","16,692,449,279","22,105,745,549","13,805,921,619","27,402,665,089","24,028,304,667","31,376,113,680","21,310,502,936","39,200,472,429","24,068,290,680","45,130,634,729","49,513,736,666","69,445,744,526","36,272,402,336","46,362,153,774","36,018,746,959","45,917,400,450","24,606,734,179","27,239,372,700","28,078,018,440","23,559,258,822"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,"4,300,276,407","856,706,903","6,636,165,646","15,935,774,712","27,720,706,167","39,837,898,175","18,097,294,452","8,059,123,233",,"7,954,139,261","9,412,717,513","8,809,936,243","6,899,135,704","5,743,852,039","11,418,667,969","10,469,667,888","11,606,962,089","15,288,042,700","15,741,941,214","22,495,596,618","12,765,111,803","12,935,506,951","14,292,499,142","-8,811,208,564","15,987,248,169","19,412,256,896","16,064,182,365","16,915,139,969","14,557,935,252","18,314,677,617",,"21,649,852,764",,,"19,441,539,785","20,592,418,671","17,170,306,186","19,058,984,233","16,428,220,399","16,243,639,785","12,407,783,877","11,754,647,154","8,861,893,761","13,430,647,540","11,338,280,607","12,287,564,846","9,151,787,091","11,430,374,978","13,794,125,096","14,979,573,262","13,754,138,276","16,573,468,546","13,348,678,523","18,935,920,279","21,238,504,666","28,939,223,970","18,036,176,168","34,745,448,073","21,904,877,982","24,311,534,118","25,778,737,202","33,152,241,631","32,525,322,422","42,982,913,781","29,299,027,468","32,485,759,646","22,401,908,444","26,566,099,893","20,471,326,945","21,907,206,275"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-114,528,390,993","113,654,704,673","-2,747,439,565",,"-3,575,522,209",,"-1,182,042,848",,"-190,308,173",,"-1,841,272,521",,,,,,"-22,666,094",,"-269,655,707",,"-178,533,769",,"286,875,516",,"-97,368,931",,"42,800,285",,"-1,989,053,272",,"-2,034,180,615",,"-2,090,711,241",,"-1,994,963,699"
9. Chi phí bán hàng,,,,,,,,,,,"59,804,633,107","63,162,976,130","64,998,120,998","50,505,989,616","102,375,444,949","92,813,330,404","30,968,438,869","32,650,586,537","28,641,518,204","36,246,187,511","28,101,546,838","36,908,863,118","28,504,603,686","33,883,627,886","15,163,882,254","24,649,212,834","22,222,239,480","32,194,852,981","17,004,649,575","34,493,192,215","19,760,651,587","46,399,910,140","34,154,582,249","67,411,760,047","49,233,477,572","46,580,854,241","37,355,218,493","41,341,341,158","44,837,019,478","68,942,900,557",,"47,276,259,000",,,"25,607,116,251","36,942,121,156","32,719,133,944","40,522,426,726","30,819,045,009","34,914,770,184","30,828,566,066","50,461,904,753","34,951,134,193","45,368,201,357","30,272,116,567","50,244,519,048","41,991,650,739","45,946,208,037","46,855,356,899","55,915,834,395","55,221,933,916","36,339,674,998","38,005,675,365","55,696,129,460","43,157,670,535","86,075,731,664","65,687,005,897","86,036,531,960","97,147,082,058","113,203,829,899","97,363,648,627","70,483,909,981","54,722,486,860","42,521,766,564","37,580,664,764","53,591,974,975","34,495,714,110","68,747,384,460","82,102,647,292","94,978,099,346"
