,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,815,092,019,039","1,347,823,222,759","1,539,329,848,108",,"1,919,778,877,710","2,159,076,836,318","817,382,671,717","1,638,553,376,416","1,223,238,177,211","1,625,072,566,985","1,292,083,923,890","1,226,080,757,256","1,313,813,843,295","1,626,827,808,295"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"308,107,225","176,339,100","338,071,600",,"131,972,250","881,231,238","843,174,238","297,877,871","4,244,133,000","60,240,000","70,440,000","98,136,000","51,000,000","125,734,400"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,814,783,911,814","1,347,646,883,659","1,538,991,776,508",,"1,919,646,905,460","2,158,195,605,080","816,539,497,479","1,638,255,498,545","1,218,994,044,211","1,625,012,326,985","1,292,013,483,890","1,225,982,621,256","1,313,762,843,295","1,626,702,073,895"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,742,728,965,454","1,207,423,539,979","1,397,880,385,928",,"1,704,052,993,031","2,095,706,114,984","753,059,199,190","1,535,935,276,215","1,075,743,458,140","1,583,790,564,648","1,120,215,810,444","1,052,354,613,516","1,090,972,364,334","1,397,201,780,719"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,054,946,360","140,223,343,680","141,111,390,580",,"215,593,912,429","62,489,490,096","63,480,298,289","102,320,222,330","143,250,586,071","41,221,762,337","171,797,673,446","173,628,007,740","222,790,478,961","229,500,293,176"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"314,650,905","4,351,554,795","299,316,493",,"776,452,583","4,008,906,102","528,341,255","22,745,416,413","2,935,638,473","11,268,408,408","6,928,585,078","1,590,578,354","4,088,465,955","4,492,692,511"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,078,414,629","25,598,113,998","4,271,868,274",,"5,176,655,366","25,416,530,070","22,312,547,473","45,657,172,605","44,065,277,616","55,126,819,018","46,923,194,690","66,356,304,054","55,126,128,780","58,436,112,465"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,078,414,629","1,751,379,049","4,270,742,621",,"4,590,956,007","24,127,334,712","22,341,251,473","45,628,468,605","47,070,849,334","53,739,792,335","46,444,720,138","66,099,388,423","61,259,457,454","58,642,574,593"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-421,214,752",,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,405,373,638","7,487,692,038","9,780,539,886",,"24,234,776,518","22,310,332,708","20,813,170,169","23,691,340,645","23,815,400,305","25,882,420,510","22,937,435,711","46,017,298,157","68,151,435,051","19,769,083,063"
