,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"61,197,678,076",,,,"75,667,764,366",,,"112,317,862,060",,,,,"84,844,327,722","104,116,643,260","56,184,007,329","99,165,442,020","114,599,785,238","160,064,888,341","95,471,115,015","108,042,394,314","100,638,228,268","149,548,932,944",,"129,722,749,149",,,"82,557,688,582","151,260,493,405","134,484,441,103","156,279,312,458","98,733,576,131","149,398,214,796","132,601,196,651","179,666,802,512","134,682,354,568","192,631,328,492","198,767,460,720","196,252,193,811","129,971,252,900","197,493,266,675","207,103,735,713","267,709,502,115","163,373,810,662","192,901,436,763","159,701,266,881","122,255,915,042","81,805,087,562","134,534,769,149","86,311,358,555","213,241,368,938","122,536,245,011","157,665,382,363","153,130,309,571","138,462,874,812","96,784,410,456","123,330,990,354","131,334,764,305","142,665,857,094",,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,"11,234,249",,,,,,,,,,,,,,,,,"16,633,810",,,,"39,853,145",,,,,,,"2,134,782,363","2,177,655,979","332,679,000",,"319,671,238","1,430,000",,,,,,"29,500,000",,"135,395,739",,"8,082,130",,"4,984,000",,,,,"6,545,600",,"25,006,400",,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"61,186,443,827",,,,"75,667,764,366",,,"112,317,862,060",,,,,"84,844,327,722","104,116,643,260","56,184,007,329","99,165,442,020","114,599,785,238","160,048,254,531","95,471,115,015","108,042,394,314","100,638,228,268","149,509,079,799",,"129,722,749,149",,,"82,557,688,582","151,260,493,405","132,349,658,740","154,101,656,479","98,400,897,131","149,398,214,796","132,281,525,413","179,665,372,512","134,682,354,568","192,631,328,492","198,767,460,720","196,252,193,811","129,971,252,900","197,463,766,675","207,103,735,713","267,574,106,376","163,373,810,662","192,893,354,633","159,701,266,881","122,250,931,042","81,805,087,562","134,534,769,149","86,311,358,555","213,241,368,938","122,529,699,411","157,665,382,363","153,105,303,171","138,462,874,812","96,784,410,456","123,330,990,354","131,334,764,305","142,665,857,094",,,,
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"44,609,404,576",,,,"51,653,681,172",,,"84,729,412,820",,,,,"66,020,221,980","85,318,798,037","43,737,479,392","67,939,380,097","79,107,671,916","127,694,484,699","70,873,058,581","83,057,416,861","73,969,104,300","116,963,980,594",,"95,877,495,291",,,"52,994,360,017","111,618,583,297","92,561,923,146","119,477,069,959","73,537,480,107","110,620,844,472","89,469,382,748","144,867,802,490","108,199,255,979","135,645,596,348","146,011,427,904","168,904,749,112","108,599,193,283","167,947,540,547","178,804,160,192","233,805,172,563","126,673,305,010","148,481,246,800","137,579,327,234","99,779,120,716","67,806,013,119","115,915,834,402","78,257,000,407","188,206,887,431","105,431,148,432","137,227,729,828","135,370,491,829","122,150,180,423","84,845,711,702","108,305,565,994","121,319,056,843","131,887,995,252",,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"16,577,039,251",,,,"24,014,083,194",,,"27,588,449,240",,,,,"18,824,105,742","18,797,845,223","12,446,527,937","31,226,061,923","35,492,113,322","32,353,769,832","24,598,056,434","24,984,977,453","26,669,123,968","32,545,099,205",,"33,845,253,858",,,"29,563,328,565","39,641,910,108","39,787,735,594","34,624,586,520","24,863,417,024","38,777,370,324","42,812,142,665","34,797,570,022","26,483,098,589","56,985,732,144","52,756,032,816","27,347,444,699","21,372,059,617","29,516,226,128","28,299,575,521","33,768,933,813","36,700,505,652","44,412,107,833","22,121,939,647","22,471,810,326","13,999,074,443","18,618,934,747","8,054,358,148","25,034,481,507","17,098,550,979","20,437,652,535","17,734,811,342","16,312,694,389","11,938,698,754","15,025,424,360","10,015,707,462","10,777,861,842",,,,
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"135,495,033",,,,"496,395,058",,,"853,788,089",,,,,"366,553,358","1,151,446,581","737,886,136","627,023,654","345,062,218","1,425,338,098","805,116,283","1,572,063,517","1,456,587,466","638,342,339",,"1,005,782,981",,,"1,509,524,264","3,499,770,248","1,738,938,235","3,035,120,423","2,089,949,933","3,573,904,226","3,604,278,464","2,559,212,764","1,627,573,471","1,634,738,941","1,801,222,197","3,205,760,980","1,685,184,513","7,482,747,977","2,113,905,750","4,498,158,242","2,459,224,725","6,373,034,042","2,406,501,743","5,167,946,918","7,490,664,229","6,070,266,555","28,783,079,368","20,149,642,254","1,985,264,610","1,706,663,138","1,756,625,170","2,317,967,860","2,323,410,146","3,146,969,792","1,545,288,206","754,371,894",,,,
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"358,375,268",,,,"210,689,188",,,"1,293,744,216",,,,,"755,206,186","858,666,666","839,999,999","819,933,333","729,868,000","729,868,000","403,545,553","72,033,757","82,201,054","32,292,320",,"864,133",,,"98,837,822","800,051,414","709,306,912","822,008,140","1,021,868,076","1,410,155,025","1,895,936,199","2,198,500,917","2,717,140,243","2,416,473,691","1,894,619,902","2,175,364,336","2,331,536,255","4,448,351,046","4,224,456,006","3,669,064,594","4,905,885,972","8,634,514,427","4,445,676,049","3,899,618,670","3,360,780,916","3,137,785,018","2,951,079,272","3,782,599,774","2,399,564,938","6,310,056,425","4,484,096,194","8,454,695,547","3,598,598,960","4,052,797,166","1,377,956,948","5,830,767,602",,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"358,375,268",,,,"210,689,188",,,"1,293,744,216",,,,,"755,206,186","858,666,666","839,999,999","819,933,333","729,868,000","729,868,000","403,545,553","72,033,757","82,201,054","32,292,320",,"864,133",,,"93,837,822","800,051,414","709,306,912","822,008,140","1,021,868,076","1,410,155,025","1,895,936,199","2,198,500,917","2,717,140,243","2,402,539,478","2,402,539,478","2,137,932,128","2,331,536,255","3,304,288,838","4,223,056,006","3,669,064,594","4,905,885,972","4,752,332,219","4,221,017,571","3,899,618,670","3,523,089,754","3,137,785,018","2,849,045,302","2,778,178,482","2,645,798,066","3,506,576,780","4,067,624,239","4,993,347,568","5,356,358,960","4,919,696,243","3,755,874,023","4,048,272,954",,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,016,706,186","-3,472,214,595","-3,824,897,884","-5,123,694,619","-6,969,463,181","-5,304,274,100","-6,430,878,485",,"-7,271,062,791","1,576,550,778","2,555,829,299","621,587,834","2,187,731,070","2,884,966,847","1,382,278,501","452,104,047","6,315,519,966","2,079,605,663","3,328,213,069","235,634,987","698,112,223","5,746,591,592","1,260,910,824","403,697,271","2,362,676,065","1,437,779,313","338,879,253",,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,"353,307,795",,,,"787,039,238",,,"1,062,453,932",,,,,"1,091,838,725","1,521,417,756","939,916,529","1,127,583,926","1,176,510,835","1,830,070,514","1,660,468,640","2,528,026,330","1,634,805,361","2,993,230,096",,"2,919,412,573",,,"2,438,726,779","4,565,809,955","5,171,947,852","4,080,659,839","3,032,619,048","4,114,235,255","4,154,289,195","5,458,172,447","4,884,974,730","4,802,641,599","5,370,084,342","5,196,006,976","6,461,245,322","5,719,556,657","6,833,676,553","8,309,722,927","7,447,607,022","10,030,022,866","8,345,336,652","9,328,883,944","6,852,138,661","7,341,382,708","2,652,772,922","7,995,282,180","5,424,277,679","5,345,852,986","5,034,393,165","6,283,310,504","6,021,285,236","8,658,081,192","5,816,069,017","7,289,890,925",,,,
