,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"84,435,919,297","86,286,460,503","86,517,222,854","123,549,916,538","124,324,102,896","122,419,914,786","133,629,606,499","142,901,870,716","143,706,848,253","145,612,602,936","150,938,732,048","163,699,352,337","166,750,047,801","170,417,693,867","176,559,930,236","190,285,684,785","189,695,474,183","195,706,788,072","185,527,075,045","202,428,087,318","198,452,648,622","207,153,068,663",,"213,740,087,821",,,"229,245,164,940","245,787,415,721","247,959,305,948","251,460,577,318","233,978,566,581","271,693,865,676","230,051,982,321","340,940,604,659","234,690,646,194","250,812,298,711","259,347,211,376","271,554,291,508","254,330,750,647","267,884,600,754","271,889,310,866","277,134,946,299","299,265,104,404","286,989,006,158","297,982,066,438","293,872,539,837","294,075,131,322","309,715,968,775","272,028,508,060","279,439,960,437","282,833,962,333","319,521,791,973","324,732,011,253","328,038,930,167","338,691,508,364","334,587,792,620","330,404,714,097","301,140,523,297","326,710,050,259","321,764,782,630","321,764,782,630","317,827,818,794"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,"68,178,626","115,041,628","56,533,007","127,859,079","145,223,630","167,088,610","46,130,555","24,149,569","142,219,437","120,538,482","78,688,686","36,797,408","63,857,794","79,087,389","46,928,369","51,895,549",,,"60,189,537","125,859,554","63,844,385","52,383,788",,"44,769,432",,,"25,599,511","121,873,262","200,447,654","154,173,856","39,818,250","68,757,896","106,499,103","45,161,833","157,494,334","106,496,894","116,399,811","5,132,118,646","88,617,403","504,342,917","3,380,985,716","175,663,565","962,064,936","71,606,613","438,186,664","70,829,797","49,992,114","154,709,826","275,600","607,914,728","224,311,778","87,534,520","238,967,417","114,097,038","70,697,931","106,731,046","113,569,641","120,591,269","126,263,534","162,412,898","162,412,898","117,789,688"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"84,367,740,671","86,171,418,875","86,460,689,847","123,422,057,459","124,178,879,266","122,252,826,176","133,583,475,944","142,877,721,147","143,564,628,816","145,492,064,454","150,860,043,362","163,662,554,929","166,686,190,007","170,338,606,478","176,513,001,867","190,233,789,236","189,695,474,183","195,706,788,072","185,466,885,508","202,302,227,764","198,388,804,237","207,100,684,875",,"213,695,318,389",,,"229,219,565,429","245,665,542,459","247,758,858,294","251,306,403,462","233,938,748,331","271,625,107,780","229,945,483,218","340,895,442,826","234,533,151,860","250,705,801,817","259,230,811,565","266,422,172,862","254,242,133,244","267,380,257,837","268,508,325,150","276,959,282,734","298,303,039,468","286,917,399,545","297,543,879,774","293,801,710,040","294,025,139,208","309,561,258,949","272,028,232,460","278,832,045,709","282,609,650,555","319,434,257,453","324,493,043,836","327,924,833,129","338,620,810,433","334,481,061,574","330,291,144,456","301,019,932,028","326,583,786,725","321,602,369,732","321,602,369,732","317,710,029,106"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"76,671,926,429","79,157,793,239","76,325,062,561","113,889,178,682","117,416,559,059","112,950,298,218","122,236,699,608","127,848,746,599","131,336,290,382","133,106,809,076","139,345,155,226","153,871,967,016","157,238,535,752","142,394,592,683","164,075,969,113","182,255,900,390","176,011,018,119","166,355,910,269","174,099,995,065","191,312,466,346","184,967,734,666","191,434,537,686",,"215,865,290,610",,,"224,124,703,294","239,958,803,708","228,423,354,270","219,969,941,699","226,650,688,384","256,636,108,086","227,980,537,877","301,818,043,128","225,735,270,371","237,263,064,379","240,303,231,718","236,513,949,886","234,130,504,295","238,193,628,169","237,363,555,056","259,984,162,710","265,436,598,830","269,396,661,188","269,446,814,438","266,805,004,075","265,683,862,659","281,524,987,844","251,500,763,116","243,052,890,482","268,420,035,660","282,531,843,926","280,322,632,076","291,116,234,373","290,132,384,589","284,077,467,871","291,335,962,592","271,679,589,610","270,759,501,773","274,168,391,127","274,168,391,127","274,516,306,846"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"7,695,814,242","7,013,625,636","10,135,627,286","9,532,878,777","6,762,320,207","9,302,527,958","11,346,776,336","15,028,974,548","12,228,338,434","12,385,255,378","11,514,888,136","9,790,587,913","9,447,654,255","27,944,013,795","12,437,032,754","7,977,888,846","13,684,456,064","29,350,877,803","11,366,890,443","10,989,761,418","13,421,069,571","15,666,147,189",,"-2,169,972,221",,,"5,094,862,135","5,706,738,751","19,335,504,024","31,336,461,763","7,288,059,947","14,988,999,694","1,964,945,341","39,077,399,698","8,797,881,489","13,442,737,438","18,927,579,847","29,908,222,976","20,111,628,949","29,186,629,668","31,144,770,094","16,975,120,024","32,866,440,638","17,520,738,357","28,097,065,336","26,996,705,965","28,341,276,549","28,036,271,105","20,527,469,344","35,779,155,227","14,189,614,895","36,902,413,527","44,170,411,760","36,808,598,756","48,488,425,844","50,403,593,703","38,955,181,864","29,340,342,418","55,824,284,952","47,433,978,605","47,433,978,605","43,193,722,260"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"1,621,057,179","262,353,570","1,107,865,980","577,922,928","1,630,370,761","3,054,459,161","536,581,636","1,468,255,950","1,277,904,441","3,761,002,617","1,578,374,582","2,062,720,869","946,887,613","1,448,760,581","923,813,527","1,272,633,203","440,469,136","2,008,595,852","435,070,862","1,312,420,450","580,332,020","1,455,229,261",,"1,090,277,446",,,"488,944,587","554,060,199","45,999,371","822,963,155","109,343,341","177,831,257","255,454,620","698,786,172","142,981,665","448,355,939","48,528,706","2,490,832,443","249,859,722","689,804,718","1,270,120,849","2,554,588,258","311,655,201","2,255,065,168","928,689,777","2,825,087,983","748,466,326","2,430,807,575","1,266,567,720","993,468,311","1,174,238,750","1,566,359,824","1,942,143,286","2,123,351,886","643,884,843","1,489,202,871","2,777,773,665","8,479,461,757","1,318,512,918","2,624,534,170","2,624,534,170","2,391,541,360"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"271,809,544","172,023,293","203,820,122","-203,820,122","219,240,502","214,534,346","222,385,940","195,549,609","187,858,360",,"166,285,790","140,946,197",,"137,874,428","130,364,645","163,711,154","371,714,419","436,053,776","440,067,064","430,269,621","414,252,297","391,438,645",,"342,052,525",,,"284,929,508","268,156,168","254,316,808","237,530,677","215,945,750","201,741,475","187,172,285","465,717,983","156,470,636","183,990,783","404,190,161","599,277,868","644,973,105","624,704,713","763,965,866","821,054,899","770,356,913","799,313,962","791,951,698","845,425,236","945,379,555","946,238,587","919,317,739","894,638,235","958,857,772","948,566,085","1,081,101,286","1,618,397,828","1,899,114,600","2,088,616,756","1,366,297,356","2,219,804,409","1,724,622,037","1,569,987,256","1,569,987,256","1,310,803,320"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"271,809,544","172,023,293","203,820,122","-203,820,122","219,240,502","214,534,346","222,385,940","195,549,609","187,858,360",,"166,285,790","140,946,197",,"137,874,428","130,364,645","163,711,154","371,714,419","436,053,776","440,067,064","430,269,621","414,252,297","391,438,645",,,,,"284,929,508","268,156,168","254,316,808","237,530,677","215,945,750","201,741,473","187,172,285","465,717,983","156,470,636","183,990,783","404,190,161","599,277,868","644,973,105","624,704,713","763,965,866","821,054,899","770,356,913","799,313,962","791,951,698","845,425,236","945,379,535","946,238,587","919,317,739","894,638,235","958,857,772","948,566,085","1,081,101,286","1,618,397,828","1,899,114,600","2,088,616,756","1,366,297,356","2,219,804,409","1,724,622,037","1,569,987,256","1,569,987,256","1,310,803,320"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,"1,053,764,914","1,408,931,533","946,808,853","1,116,390,319","1,115,469,552","2,365,164,187","1,290,248,201","1,440,902,579","1,847,504,310","2,679,996,945","1,853,117,908","2,875,885,396","2,065,117,258","2,254,375,525","1,763,011,861","1,995,301,509","2,300,834,053","2,438,282,964","2,038,088,971","2,549,247,787","2,259,010,106","3,179,180,603",,"2,557,059,359",,,"2,362,794,023","3,279,706,710","2,734,394,525","4,406,509,963","3,116,951,185","3,403,505,064","2,966,216,908","4,055,427,795","3,645,802,364","4,360,528,921","3,954,928,620","5,314,037,756","4,529,075,218","4,385,678,187","4,571,488,846","9,219,735,029","8,135,514,701","3,306,897,248","6,340,846,509","7,117,362,728","6,731,912,815","7,315,051,503","8,271,852,630","10,392,885,768","7,334,638,482","7,945,493,625","8,040,645,905","9,769,413,208","8,543,329,557","9,087,933,321","8,779,853,001","10,656,736,212","8,334,240,101","10,021,606,357","10,021,606,357","10,528,492,739"
