,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,"504,731,004,020","759,110,361,655","924,997,074,870","1,327,318,522,751","639,976,453,870","992,168,864,141","1,000,046,780,489","999,421,415,635","832,998,714,453","724,030,066,781","782,251,317,990","704,023,430,045","554,867,098,393","1,343,996,030,675","881,465,143,504","795,602,769,933","568,302,607,103","707,676,027,682","848,765,709,733","914,288,118,897","649,213,798,159","855,144,459,413","876,049,901,618","919,925,650,059",,"888,690,174,906",,,"1,002,003,600,070","1,215,727,463,933","1,171,824,680,177","1,072,225,116,804","1,043,651,003,608","1,361,229,114,357","1,421,863,788,910","1,051,853,084,906","1,218,770,193,713","1,260,222,552,257","1,485,405,761,792","1,332,547,420,829","1,125,700,835,465","1,196,490,318,376","2,296,181,066,665",,"1,058,051,157,974","1,245,743,465,230","1,545,958,511,959","1,438,982,213,825","1,300,978,002,218","1,373,646,381,256","1,838,358,831,869","1,781,232,277,447","1,709,653,313,475","1,838,533,347,550","2,302,108,141,457","1,835,962,848,264","1,772,547,904,851","1,789,629,790,782","2,117,794,495,739","1,649,223,424,367",,"1,793,656,400,604","2,184,511,898,410",
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,"9,335,605,242","30,625,743,249","57,815,150,231","9,775,412,831","9,664,432,063","12,145,232,576","89,492,378,791","22,121,598,484","11,579,961,414","5,032,264,450","96,694,994,493","13,913,494,150","24,050,598,524","62,094,408,561","75,221,107,206","27,829,946,982","8,460,096,999","19,851,043,226","23,696,433,242","77,825,668,165","13,974,919,975","52,124,065,994","33,653,685,239","-16,098,435,113",,"3,554,134,305",,,"14,696,797,690","47,512,651,050","7,944,671,201","2,118,708,473","3,295,304,978","6,647,628,070","4,649,944,072","6,276,917,229","16,561,064,295","3,669,799,580","33,008,841,355","8,792,051,833","18,832,301,040","3,194,916,101","1,352,445,681",,"23,320,456","39,034,909","15,757,520","69,258,871,027","109,128,007","296,237,008","71,055,127","11,760,000","380,748,388","3,275,897,474",,"4,941,537,239","1,080,078,311","56,863,636","1,047,637,445","181,429,600",,"212,500,000",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,"495,395,398,778","728,484,618,406","867,181,924,639","1,317,543,109,920","630,312,021,807","980,023,631,565","910,554,401,698","977,299,817,151","821,418,753,039","718,997,802,331","685,556,323,497","690,109,935,895","530,816,499,869","1,281,901,622,114","806,244,036,298","767,772,822,951","559,842,510,104","687,824,984,456","825,069,276,491","836,462,450,732","635,238,878,184","803,020,393,419","842,396,216,379","936,024,085,172",,"885,136,040,601",,,"987,306,802,380","1,168,214,812,883","1,163,880,008,976","1,070,106,408,331","1,040,355,698,630","1,354,581,486,287","1,417,213,844,838","1,045,576,167,677","1,202,209,129,418","1,256,552,752,677","1,452,396,920,437","1,323,755,368,996","1,106,868,534,425","1,193,295,402,275","2,294,828,620,984",,"1,058,027,837,518","1,245,704,430,321","1,545,942,754,439","1,369,723,342,798","1,300,868,874,211","1,373,350,144,248","1,838,287,776,742","1,781,220,517,447","1,709,272,565,087","1,835,257,450,076","2,302,108,141,457","1,831,021,311,025","1,771,467,826,540","1,789,572,927,146","2,116,746,858,294","1,649,041,994,767",,"1,793,443,900,604","2,184,511,898,410",
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,"432,782,817,361","635,939,149,266","780,355,924,861","1,140,169,229,793","547,906,256,712","869,877,092,508","819,025,762,292","852,294,362,338","727,106,867,289","631,891,872,484","611,058,565,280","661,827,487,182","474,672,039,183","1,120,797,292,772","711,633,769,221","650,510,511,612","481,238,537,255","590,051,108,689","708,679,864,807","726,520,567,584","541,298,384,219","690,103,688,707","699,940,615,709","812,399,200,126",,"753,665,038,763",,,"859,328,681,710","1,021,905,371,172","1,005,685,224,746","911,611,785,634","900,207,022,043","1,131,942,841,177","1,199,316,517,026","855,273,987,278","1,009,479,599,514","1,059,809,629,397","1,223,634,152,334","1,080,172,454,155","916,595,697,024","943,257,816,403","1,888,085,871,956",,"864,266,805,852","1,020,136,833,338","1,243,178,955,424","1,113,405,136,937","1,065,977,861,558","1,101,470,831,740","1,495,339,930,806","1,449,626,812,162","1,387,275,481,244","1,473,734,419,893","1,902,394,978,529","1,458,394,703,626","1,466,816,664,311","1,481,152,125,761","1,710,084,141,633","1,316,177,035,151",,"1,453,960,475,032","1,856,568,001,773",
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,"62,612,581,417","92,545,469,140","86,825,999,778","177,373,880,127","82,405,765,095","110,146,539,057","91,528,639,406","125,005,454,813","94,311,885,750","87,105,929,847","74,497,758,217","28,282,448,713","56,144,460,686","161,104,329,342","94,610,267,077","117,262,311,339","78,603,972,849","97,773,875,767","116,389,411,685","109,941,883,148","93,940,493,965","112,916,704,712","142,455,600,670","123,624,885,046",,"131,471,001,838",,,"127,978,120,670","146,309,441,711","158,194,784,230","158,494,622,697","140,148,676,587","222,638,645,110","217,897,327,812","190,302,180,399","192,729,529,904","196,743,123,280","228,762,768,103","243,582,914,841","190,272,837,401","250,037,585,872","406,742,749,028",,"193,761,031,666","225,567,596,983","302,763,799,015","256,318,205,861","234,891,012,653","271,879,312,508","342,947,845,936","331,593,705,285","321,997,083,843","361,523,030,183","399,713,162,928","372,626,607,399","304,651,162,229","308,420,801,385","406,662,716,661","332,864,959,616",,"339,483,425,572","327,943,896,637",
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,"6,487,282,703","-3,332,184,591","8,541,857,657","5,085,912,991","7,056,387,826","-1,876,857,829","15,276,647,233","6,033,008,366","10,088,229,669","552,713,135","35,643,541,390","7,052,774,858","1,935,670,681","4,295,275,496","3,769,789,334","10,074,604,041","3,266,888,293","863,871,089","1,454,660,207","1,466,490,043","1,682,695,330","2,340,943,193","1,447,996,526","1,112,044,005",,"5,275,201,211",,,"4,859,623,518","4,768,330,547","5,348,678,793","5,684,623,718","5,041,739,477","3,276,633,831","4,325,449,941","4,710,462,109","3,604,801,081","6,642,573,530","4,578,962,128","8,246,216,713","8,594,604,030","9,072,958,366","16,300,135,868",,"21,675,412,155","23,034,756,417","22,144,737,385","19,331,534,237","20,908,015,795","24,258,581,947","19,115,595,448","21,059,241,702","16,497,771,106","25,986,669,480","21,961,446,318","36,741,290,836","27,050,361,269","35,129,608,072","28,759,035,960","27,770,602,566",,"26,612,169,333","33,857,109,847",
7. Chi phí tài chính,,,,,,,,,,,,,,,,,"13,552,333,864","7,412,774,850","10,754,575,695","20,636,651,679","17,801,595,144","18,092,750,176","47,833,430,818","12,112,193,799","27,891,743,676","19,032,852,847",,,"11,394,572,290","23,549,734,845","17,277,630,894","24,627,986,083",,"19,223,359,111","14,366,589,929","9,479,996,842","10,293,001,831","11,153,801,904","10,241,538,590","8,887,622,566",,"10,214,918,249",,,"8,208,476,685","7,365,365,585","5,490,882,267","6,875,394,957","7,179,157,618","7,184,412,259","8,288,346,012","6,093,269,690","11,056,821,051","11,621,487,404","13,968,479,735","13,011,593,098","20,255,625,470","15,117,099,381","33,087,305,764",,"17,548,891,895","21,952,663,714","20,269,700,804","16,781,838,501","17,240,908,820","18,398,132,220","20,145,678,818","18,113,067,049","22,948,208,335","29,678,104,805","32,536,167,666","35,703,595,203","25,771,614,641","25,969,669,468","29,481,896,960","19,995,256,689",,"23,446,923,323","25,642,068,945",
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,"13,552,333,864","7,412,774,850","10,754,575,695","20,636,651,679","17,801,595,144","18,092,750,176","47,833,430,818","12,112,193,799","27,891,743,676","19,032,852,847",,,"11,394,572,290","23,549,734,845","17,277,630,894","24,627,986,083",,"19,223,359,111","14,366,589,929","9,479,996,842","10,293,001,831","11,153,801,904","10,241,538,590","8,887,622,566",,"6,297,588,025",,,"7,941,119,254","7,140,215,837","5,192,329,473","6,254,110,492","7,114,810,323","4,839,707,313","7,859,722,305","5,552,289,979","10,692,733,308","10,799,651,895","13,578,863,693","12,480,372,573","19,629,527,220","13,795,040,299","32,329,200,646",,"16,972,481,045","20,782,490,473","19,513,642,160","16,524,064,472","17,482,399,080","17,702,554,318","1,918,289,079","16,341,496,200","17,992,174,016","29,054,239,362","25,871,195,744","28,883,314,737","20,487,444,338","22,802,533,994","24,797,266,527","16,072,795,006",,"18,209,569,564","20,326,909,911",
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,719,025,547",,,"3,178,286,718","3,353,148,651","3,802,269,031","2,645,187,655","3,443,460,405","6,128,165,409","4,978,200,241","2,845,702,468","4,423,010,768","5,807,023,809","5,784,914,120","5,081,560,491","7,959,497,474","4,995,798,148","12,949,957,295",,"4,114,523,964","5,729,285,611","6,135,823,917","6,475,176,070","5,654,261,716","5,758,185,347","6,902,754,848","6,479,448,583","7,180,349,499","8,971,179,326","9,244,079,037","7,845,151,181","9,093,047,521","11,669,078,136","12,907,222,705","9,189,287,689",,"8,940,586,791","10,136,874,865",
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,"22,992,996,570","37,253,630,659","34,542,783,588","18,055,862,239","23,640,830,517","33,308,418,476","28,663,247,689","27,134,573,123","34,419,825,033","33,310,433,613","26,816,201,924","43,843,760,483","24,267,810,102","70,856,585,579","45,908,202,119","54,352,448,219","41,795,464,262","49,517,995,934","40,065,880,257","67,000,449,400","49,953,584,148","48,926,626,192","55,954,304,569","53,937,307,591",,"51,687,131,280",,,"51,378,407,581","55,178,492,154","59,033,141,490","63,790,151,289","56,722,489,036","79,693,091,426","75,427,337,917","65,404,952,121","65,300,825,762","78,951,340,385","85,206,863,567","102,337,912,888","78,915,718,568","84,478,307,463","170,617,384,232",,"76,727,542,654","92,097,760,061","96,338,050,145","84,627,747,996","91,510,612,671","94,216,966,832","110,758,647,036","138,278,494,735","103,279,889,675","130,783,852,300","141,944,646,412","162,610,926,451","99,387,896,087","113,411,313,314","121,770,534,145","140,704,571,490",,"120,246,938,151","131,288,108,928",
