,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,"107,390,402,858",,,"192,722,249,824","215,049,532,639","150,599,678,573","206,362,526,892","211,250,875,317","232,975,314,144","197,807,377,921","249,980,458,624","261,153,608,583","240,839,112,718","232,171,944,368","277,989,802,314","299,749,076,765","275,102,433,305",,"245,410,037,944",,,"206,661,964,924","231,803,868,763","227,700,826,249","224,400,236,293","291,118,579,717","341,324,467,659","333,492,865,421","348,718,174,831","363,302,810,357","449,718,844,106","507,623,373,035","498,580,841,723","467,206,778,600","588,347,624,211","566,311,847,394","508,503,340,550","537,097,261,228","497,372,552,462","622,399,873,906","681,021,511,070","642,935,060,209","828,574,692,194","683,052,582,550","889,479,455,750","999,202,183,033","1,199,042,251,316","1,061,567,571,653","925,774,015,573","739,427,253,285","841,507,122,953","785,174,099,866","745,899,575,131","631,424,291,153",,"988,680,907,030","1,056,322,880,315"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,"107,390,402,858",,,"192,722,249,824","215,049,532,639","150,599,678,573","206,362,526,892","211,250,875,317","232,975,314,144","197,807,377,921","249,980,458,624","261,153,608,583","240,839,112,718","232,171,944,368","277,989,802,314","299,749,076,765","275,102,433,305",,"245,410,037,944",,,"206,661,964,924","231,803,868,763","227,700,826,249","224,400,236,293","291,118,579,717","341,324,467,659","333,492,865,421","348,718,174,831","363,302,810,357","449,718,844,106","507,623,373,035","498,580,841,723","467,206,778,600","588,347,624,211","566,311,847,394","508,503,340,550","537,097,261,228","497,372,552,462","622,399,873,906","681,021,511,070","642,935,060,209","828,574,692,194","683,052,582,550","889,479,455,750","999,202,183,033","1,199,042,251,316","1,061,567,571,653","925,774,015,573","739,427,253,285","841,507,122,953","785,174,099,866","745,899,575,131","631,424,291,153",,"988,680,907,030","1,056,322,880,315"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,"51,600,897,919",,,"113,297,075,850","172,326,550,459","113,855,561,097","148,477,761,376","171,624,236,012","177,574,001,256","153,189,467,226","193,897,145,302","207,374,158,783","189,830,044,310","179,269,634,653","215,378,181,798","236,336,939,929","223,072,818,182",,"178,012,802,083",,,"161,627,312,977","158,813,086,063","172,422,110,816","165,400,185,586","234,718,238,029","286,974,361,492","275,469,380,713","288,693,141,940","318,330,046,109","393,300,532,982","430,688,478,767","438,409,539,079","430,419,588,532","526,650,934,545","516,236,808,235","468,383,970,759","499,175,210,149","477,795,508,977","590,133,694,946","620,486,484,983","601,950,644,102","773,823,938,423","646,419,300,093","814,293,624,253","931,109,967,953","1,112,477,473,508","1,001,894,852,621","839,846,422,183","693,602,983,548","787,982,026,986","713,837,959,424","659,961,398,654","601,231,863,625",,"911,794,527,155","969,548,822,393"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,"55,789,504,939",,,"79,425,173,974","42,722,982,180","36,744,117,476","57,884,765,516","39,626,639,305","55,401,312,888","44,617,910,695","56,083,313,322","53,779,449,800","51,009,068,408","52,902,309,715","62,611,620,516","63,412,136,836","52,029,615,123",,"67,397,235,861",,,"45,034,651,947","72,990,782,700","55,278,715,433","59,000,050,707","56,400,341,688","54,350,106,167","58,023,484,708","60,025,032,891","44,972,764,248","56,418,311,124","76,934,894,268","60,171,302,644","36,787,190,068","61,696,689,666","50,075,039,159","40,119,369,791","37,922,051,079","19,577,043,485","32,266,178,960","60,535,026,087","40,984,416,107","54,750,753,771","36,633,282,457","75,185,831,497","68,092,215,080","86,564,777,808","59,672,719,032","85,927,593,390","45,824,269,737","53,525,095,967","71,336,140,442","85,938,176,477","30,192,427,528",,"76,886,379,875","86,774,057,922"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,"1,493,422,979",,,"4,866,689,171","5,929,679,539","6,994,206,563","5,225,193,968","4,234,328,593","4,384,279,701","3,572,765,529","7,252,908,067","4,372,301,803","4,252,909,210","3,204,530,808","5,265,743,758","3,892,824,155","2,359,729,235",,"2,572,729,345",,,"1,903,246,369","1,662,590,539","1,822,387,915","2,060,393,124","2,093,774,539","2,062,899,724","2,098,943,903","2,865,898,424","2,785,590,874","2,963,788,977","2,585,502,905","3,303,415,959","3,342,770,716","3,387,017,057","3,207,989,989","3,545,316,436","3,266,456,054","2,916,175,179","2,420,951,455","2,121,339,425","1,299,195,282","1,246,306,455","799,228,062","912,829,410","1,174,506,279","1,736,886,674","2,158,946,808","3,228,611,646","3,323,672,370","3,199,735,341","2,437,163,941","1,724,164,305","1,153,107,867",,"1,097,336,365","938,541,325"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,"2,180,263,055",,,"6,835,969,218","8,298,923,548","7,011,347,684","6,892,000,213","5,133,984,054","4,384,906,286","4,452,584,365","-4,060,925,603","-3,185,750,219","2,808,811,186","2,026,493,946","1,778,835,484","1,931,546,335","1,746,276,193",,"1,119,485,759",,,"1,680,779,530","1,757,789,159","1,433,115,221","1,283,348,435","1,041,516,744","800,311,218","139,145,311","26,318,269","22,792,742","19,739,099","16,306,370","13,086,650","9,227,622","5,895,015","2,480,522",,,"1,089,809","176,066","157,735","469,123,926","132,172,302","-100,069,326","57,358","22,243,308","1,161,570,628","1,437,513,442","1,404,584,703","1,418,348,259","1,487,418,271","1,288,052,753","1,116,743,124","948,237,292",,"921,002,216","863,332,027"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,"2,180,263,055",,,"6,835,969,218","8,298,923,548","7,011,347,684","6,892,000,213","5,133,984,054","4,384,906,286","4,452,584,365","-4,060,925,603","-3,185,750,219","2,808,811,186","2,026,493,946","1,778,835,484","1,931,546,335","1,746,276,193",,"1,068,962,363",,,"1,680,779,530","1,757,272,933","1,433,115,221","1,283,348,435","1,041,516,744","800,251,581","139,115,493","26,243,722","22,792,742","19,739,099","16,306,370","12,684,097","9,212,712","5,895,015","2,241,973",,,,,,"468,994,869","132,172,302","-100,814,985",,"22,071,233","1,161,570,628","1,436,171,916","1,404,539,119","1,418,343,702","1,299,375,694","1,145,235,721","990,015,780","839,659,432",,"745,056,161","658,911,539"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,011,863,659","-8,177,586,789","-9,619,482,649","-6,110,359,417","-5,569,247,764","-9,587,779,295","-14,565,377,977","-6,389,833,730",,"-6,236,188,169","-7,375,391,285","-5,903,813,804",,"-6,896,936,351","-8,477,535,869","-5,927,502,797","-4,710,709,152","-3,961,574,944","-12,182,636,944","-5,383,175,280","-13,259,099,520",,,,"-7,313,401,520",,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,"-120,255,307",,,"1,103,645,139","942,710,858","2,200,651,705","1,226,031,902","889,945,653","2,970,539,268","4,816,828,176","-2,461,858,734","2,566,243,647","1,960,974,004","2,336,726,269","2,043,250,612","4,532,384,060","2,703,829,404",,"5,860,248,554",,,"4,506,764,052","7,942,600,258","7,989,153,699","9,127,686,745","9,525,795,307","20,687,420,201","16,503,753,909","11,213,355,348","18,119,904,597","28,055,321,062","22,500,584,134","6,969,441,160","19,026,602,434","4,923,964,582","19,330,343,439","9,649,908,865","18,250,903,397","4,254,944,802","21,202,017,719","14,894,849,468","18,380,480,732","19,050,859,674","20,359,026,660","18,674,453,188","19,371,606,128","28,033,718,902","5,604,983,692","11,366,026,796","7,360,317,030","30,721,715,323","6,867,289,603","16,018,419,237","6,594,971,021",,"9,602,199,275","33,513,841,603"
