,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,"640,430,003,041","706,892,589,112","688,894,362,054","618,471,585,282","591,682,820,029","658,852,112,497","832,043,453,542","663,306,217,098","732,022,970,741","785,319,568,103","758,240,493,531","709,836,633,564","826,470,122,353","771,744,363,146","770,413,022,821","712,242,700,675","833,883,997,192","810,208,164,648","809,947,262,549","687,422,988,964","787,483,710,722","803,205,613,302","910,800,007,761",,"1,261,859,722,089",,,"696,583,942,151","819,065,719,651","793,061,118,059","1,015,528,054,032","756,519,680,436","973,580,057,493","931,041,064,736","983,909,543,164","809,055,668,517","1,003,451,098,590","1,082,738,728,909","1,104,070,433,957","877,810,671,813","1,046,947,312,711","1,183,589,736,581","1,254,914,343,295","971,435,337,485","1,264,455,541,518","1,311,868,804,644","1,251,709,692,305","1,098,516,116,396","1,427,301,366,779","1,033,501,228,480","1,404,594,021,953","1,291,511,986,721","1,462,865,633,241","1,544,456,474,610","1,260,948,178,266","1,293,222,033,179","1,427,738,590,042","1,423,676,611,448","1,352,958,045,143","1,218,535,662,177",,"1,189,199,262,832","1,260,808,479,958"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,"120,295,750","6,815,331,218","221,219,752","116,956,920","166,397,441","915,820,706","197,370,317","34,261,007","624,005,831","5,392,987,038","8,492,968,823","8,362,766,276","6,615,365,268","11,553,042,187","8,118,211,691","10,753,915,414","7,866,777,056","5,119,011,299","8,753,473,605","3,123,249,483","3,362,107,756","1,412,362,397","2,789,495,618",,"6,231,492,640",,,"11,836,169,080","12,435,437,870","5,597,074,995","7,604,345,804","8,171,299,781","27,324,544,301","53,132,797,600","39,003,971,031","13,370,301,034","21,803,738,304","41,282,608,066","30,875,293,663","30,925,044,106","19,501,585,087","17,617,960,124","30,025,100,395","27,107,603,798","18,840,770,568","36,337,383,712","25,149,364,497","19,091,443,539","34,305,747,724","21,899,190,392","49,108,692,263","62,343,265,218","61,069,202,465","58,531,388,432","57,206,334,235","58,135,582,022","59,346,863,001","70,964,746,460","74,241,154,600","71,378,631,527",,"81,707,259,544","68,393,224,887"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,"640,309,707,291","700,077,257,894","688,673,142,302","618,354,628,362","591,516,422,588","657,936,291,791","831,846,083,225","663,271,956,091","731,398,964,910","779,926,581,065","749,747,524,708","701,473,867,288","819,854,757,085","760,191,320,959","762,294,811,130","701,488,785,261","826,017,220,136","805,089,153,349","801,193,788,944","684,299,739,481","784,121,602,966","801,793,250,905","908,010,512,143",,"1,255,628,229,449",,,"684,747,773,071","806,630,281,781","787,464,043,064","1,007,923,708,228","748,348,380,655","946,255,513,192","877,908,267,136","944,905,572,133","795,685,367,483","981,647,360,286","1,041,456,120,843","1,073,195,140,294","846,885,627,707","1,027,445,727,624","1,165,971,776,457","1,224,889,242,900","944,327,733,687","1,245,614,770,950","1,275,531,420,932","1,226,560,327,808","1,079,424,672,857","1,392,995,619,055","1,011,602,038,088","1,355,485,329,690","1,229,168,721,503","1,401,796,430,776","1,485,925,086,178","1,203,741,844,031","1,235,086,451,157","1,368,391,727,041","1,352,711,864,988","1,278,716,890,543","1,147,157,030,650",,"1,107,492,003,288","1,192,415,255,071"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,"472,538,753,273","494,418,240,856","526,401,380,782","516,023,245,613","498,392,998,487","568,480,339,874","744,480,655,969","620,191,182,409","670,614,122,450","726,223,605,493","644,893,353,664","567,777,485,271","631,343,844,238","580,431,966,226","557,087,800,244","523,026,495,513","606,855,681,183","583,897,037,970","582,608,066,216","499,986,109,940","567,043,931,806","590,940,420,844","694,003,592,385",,"995,817,859,943",,,"517,172,676,310","630,827,668,902","626,302,456,674","832,491,381,368","645,750,958,495","823,048,613,047","791,600,643,262","824,198,126,857","713,085,602,314","877,766,802,808","936,196,419,709","941,785,432,866","745,015,515,205","878,591,068,553","1,012,075,281,274","1,051,104,115,313","798,124,392,568","1,050,241,248,237","1,054,347,840,140","1,054,914,034,758","914,323,016,288","1,244,267,374,991","947,252,353,913","1,213,343,497,539","1,108,346,667,165","1,242,922,845,898","1,313,976,104,235","1,065,830,097,346","1,153,535,575,147","1,244,619,307,060","1,184,443,396,321","1,095,142,494,671","999,613,828,291",,"966,757,786,585","1,055,147,352,037"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,"167,770,954,018","205,659,017,038","162,271,761,520","102,331,382,749","93,123,424,101","89,455,951,917","87,365,427,256","43,080,773,682","60,784,842,460","53,702,975,572","104,854,171,044","133,696,382,017","188,510,912,847","179,759,354,733","205,207,010,886","178,462,289,748","219,161,538,953","221,192,115,379","218,585,722,728","184,313,629,541","217,077,671,160","210,852,830,061","214,006,919,758",,"259,810,369,506",,,"167,575,096,761","175,802,612,879","161,161,586,390","175,432,326,860","102,597,422,160","123,206,900,145","86,307,623,874","120,707,445,276","82,599,765,169","103,880,557,478","105,259,701,134","131,409,707,428","101,870,112,502","148,854,659,071","153,896,495,183","173,785,127,587","146,203,341,119","195,373,522,713","221,183,580,792","171,646,293,050","165,101,656,569","148,728,244,064","64,349,684,175","142,141,832,151","120,822,054,338","158,873,584,878","171,948,981,943","137,911,746,685","81,550,876,010","123,772,419,981","168,268,468,667","183,574,395,872","147,543,202,359",,"140,734,216,703","137,267,903,034"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,"19,091,348,680","23,202,878,118","8,791,173,307","3,136,366,575","5,676,986,749","3,162,595,007","6,571,875,799","8,659,948,028","5,762,321,061","455,235,124","2,462,299,259","2,530,845,675","376,351,384","1,190,304,473","2,433,570,325","19,549,773,312","5,065,171,715","1,547,222,979","19,137,016,973","126,443,027","1,077,511,076","7,973,881,011","7,110,994,598",,"4,700,885,736",,,"4,334,164,315","435,825,635","1,038,893,192","8,097,498,003","2,779,373,062","4,366,649,837","4,839,081,061","4,667,305,469","2,676,488,173","2,397,140,085","691,767,455","229,318,587","7,754,435,371","1,357,131,144","2,750,603,948","2,850,092,080","471,891,927","5,363,108,448","321,692,422","5,518,586,841","1,157,694,939","7,888,415,187","6,192,290,313","8,137,123,098","694,839,592","12,931,818,186","12,198,358,341","18,834,585,786","11,657,695,386","8,966,606,077","15,736,276,889","15,122,507,402","1,854,020,626",,"8,308,099,931","32,780,457,062"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,"7,965,467,138","9,611,612,939","10,970,917,357","12,606,035,213","8,039,642,315","6,892,966,612","9,991,387,002","16,259,267,175","16,784,512,164","22,182,131,843","20,693,904,699","26,932,375,619","18,447,790,200","9,127,624,649","22,856,034,583","12,034,702,299","9,271,651,248","9,445,303,090","9,884,004,598","10,427,064,024","9,004,559,198","17,175,283,994","17,314,772,964",,"39,265,624,467",,,"17,797,285,040","16,789,591,299","17,436,778,376","31,789,197,039","25,791,244,197","25,780,123,926","27,981,468,449","31,774,170,145","33,435,651,712","34,262,416,212","41,902,146,618","49,640,382,404","36,080,087,381","38,819,585,587","34,911,122,900","35,170,023,782","44,075,291,458","38,549,402,887","36,660,484,768","32,966,194,154","29,771,456,777","32,214,652,567","24,528,152,379","35,716,565,967","30,010,138,397","50,477,321,329","60,176,920,761","46,426,233,177","39,326,570,135","43,410,076,035","39,639,282,110","37,389,363,744","31,050,467,222",,"40,746,344,596","29,859,936,500"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,"7,965,467,138","9,611,612,939","10,970,917,357","12,606,035,213","8,039,642,315","6,892,966,612","9,991,387,002","16,259,267,175","16,784,512,164","22,182,131,843","20,693,904,699","26,932,375,619","18,447,790,200","9,127,624,649","22,856,034,583","12,034,702,299","9,271,651,248","9,445,303,090","9,884,004,598","10,427,064,024","9,004,559,198","17,175,283,994","17,314,772,964",,"17,516,353,861",,,"15,100,903,270","13,641,629,767","15,014,785,015","16,282,333,043","20,906,467,437","22,518,136,358","24,674,354,872","28,555,320,403","27,704,606,780","32,116,512,387","28,618,234,679","33,809,472,113","30,912,781,302","33,066,721,143","31,022,320,373","31,472,883,613","31,882,157,494","32,742,345,693","30,359,089,340","29,933,450,976","27,335,235,596","29,209,842,662","27,022,175,841","25,711,800,606","23,701,190,772","27,653,559,362","29,784,563,159","33,595,837,710","37,627,154,864","41,767,591,673","37,902,836,181","35,376,836,319","29,536,554,335",,"19,037,478,213","23,976,654,124"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,"45,866,382,460","50,845,115,162","55,244,642,390","31,019,520,249","23,259,235,866","27,663,060,067","10,639,022,145","10,570,435,629","21,281,842,069","17,176,598,441","24,156,646,259","28,001,088,698","34,877,813,560","30,788,353,181","15,223,083,810","20,005,378,096","23,472,481,450","33,177,849,171","20,486,740,732","32,023,952,814","31,993,276,582","34,344,647,729","34,848,237,802",,"38,950,086,749",,,"35,133,981,503","36,681,033,119","37,907,234,930","39,952,943,554","19,524,804,006","41,816,220,819","31,025,064,373","53,678,586,344","20,047,451,101","28,079,968,517","34,734,251,837","45,854,745,303","41,732,118,712","65,508,298,667","64,608,151,092","52,423,735,269","46,404,210,215","69,751,357,113","68,331,940,511","55,117,037,738","47,024,498,555","39,472,613,235","38,143,983,376","53,958,834,318","48,527,231,552","50,119,239,789","41,805,767,750","33,293,808,875","28,905,423,506","42,997,164,761","56,882,229,685","71,320,052,015","46,623,574,248",,"23,484,838,805","50,795,426,437"
