,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,"82,020,912,449","87,911,338,991","94,946,971,648","82,642,537,931","188,053,535,785","109,368,619,366","146,363,819,597","50,865,841,197","153,297,008,993","64,673,086,354","137,470,948,190","73,497,048,443","49,009,883,702","73,151,018,450","134,805,042,636","73,776,478,375","105,861,558,418","84,583,650,207","94,939,131,966","77,808,129,734","133,606,063,920","96,149,911,811","101,905,033,667",,"232,424,656,257",,,"262,081,812,361","308,515,388,357","254,193,270,904","237,648,785,147","248,038,943,873","301,572,724,399","305,464,895,194","236,473,290,106","188,208,352,747","229,812,045,514","291,105,851,019","207,596,001,658","191,561,135,585","208,477,194,155","192,317,145,048","206,520,461,008","153,295,961,912","157,540,730,045","157,732,136,320","449,200,728,372","195,734,432,965","202,764,412,255","81,622,464,583","284,420,967,442","221,867,662,912","252,448,207,503","242,425,542,850","208,089,170,127","191,328,564,498","203,040,915,740","178,804,631,422","262,247,936,792","257,338,250,265","254,362,453,720","273,429,609,837","331,386,766,523"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,"31,419,062",,,"16,826,857","16,826,857",,"483,994,971","66,772,925","75,967,325",,,"262,210,735",,,,,"27,984,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,209,446","103,108,960","25,580,994","93,993,622","47,983,056","57,927,560","30,326,840","58,567,400","5,917,100","11,727,620",,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,"81,989,493,387","87,911,338,991","94,946,971,648","82,625,711,074","188,036,708,928","109,368,619,366","145,879,824,626","50,799,068,272","153,221,041,668","64,673,086,356","137,470,948,190","73,234,837,708","49,009,883,702","73,151,018,450","134,805,042,638","73,776,478,379","105,833,574,018","84,583,650,207","94,939,131,966","77,808,129,734","133,606,063,920","96,149,911,811","101,905,033,667",,"232,424,656,257",,,"262,081,812,361","308,515,388,357","254,193,270,904","237,648,785,147","248,038,943,873","301,572,724,399","305,464,895,194","236,473,290,106","188,208,352,747","229,812,045,514","291,105,851,019","207,596,001,658","191,561,135,585","208,477,194,155","192,317,145,048","206,520,461,008","153,295,961,912","157,540,730,045","157,732,136,320","449,200,728,372","195,632,223,519","202,661,303,295","81,596,883,589","284,326,973,820","221,819,679,856","252,390,279,943","242,395,216,010","208,030,602,727","191,322,647,398","203,029,188,120","178,804,631,422","262,247,936,792","257,338,250,265","254,362,453,720","273,429,609,837","331,386,766,523"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,"57,214,281,189","54,562,039,857","66,791,693,822","62,717,400,867","141,468,226,064","89,490,211,160","113,238,472,494","36,255,839,936","115,685,249,838","47,289,302,355","118,003,946,578","55,897,074,182","40,191,284,289","57,772,585,531","110,716,524,367","59,246,410,200","88,162,641,794","70,990,731,843","75,580,287,529","64,217,716,108","105,548,598,511","35,182,817,553","48,175,800,930",,"161,783,427,969",,,"180,384,226,877","206,957,072,077","154,150,474,017","121,576,496,908","135,471,709,393","180,263,321,864","182,913,636,398","98,437,490,320","83,950,784,433","115,617,749,342","167,815,684,949","96,257,882,867","87,796,254,038","110,360,656,699","112,303,708,175","114,305,539,836","78,048,597,365","118,028,208,937","83,902,595,863","358,661,628,351","113,297,633,824","117,539,580,701","60,979,693,705","209,199,094,447","109,760,563,892","139,036,359,793","117,037,889,305","100,828,690,519","105,070,734,530","77,634,782,853","86,950,740,290","141,802,901,497","145,540,477,921","153,905,320,587","168,422,465,248","219,059,878,514"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,"24,775,212,198","33,349,299,134","28,155,277,826","19,908,310,207","46,568,482,864","19,878,408,206","32,641,352,132","14,543,228,336","37,535,791,830","17,383,784,001","19,467,001,612","17,337,763,526","8,818,599,413","15,378,432,919","24,088,518,271","14,530,068,179","17,670,932,224","13,592,918,364","19,358,844,437","13,590,413,626","28,057,465,409","60,967,094,258","53,729,232,737",,"70,641,228,288",,,"81,697,585,484","101,558,316,280","100,042,796,887","116,072,288,239","112,567,234,480","121,309,402,535","122,551,258,796","138,035,799,786","104,257,568,314","114,194,296,172","123,290,166,070","111,338,118,791","103,764,881,547","98,116,537,456","80,013,436,873","92,214,921,172","75,247,364,547","39,512,521,108","73,829,540,457","90,539,100,021","82,334,589,695","85,121,722,594","20,617,189,884","75,127,879,373","112,059,115,964","113,353,920,150","125,357,326,705","107,201,912,208","86,251,912,868","125,394,405,267","91,853,891,132","120,445,035,295","111,797,772,344","100,457,133,133","105,007,144,589","112,326,888,009"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,"148,804,937","20,630,207","259,127,856","290,824,099","2,073,878,890","49,898,557","130,863,045","37,039,393","649,650,224","10,657,003","932,716,224","36,112,607","562,110,585","278,162,889","54,511,513","64,347,303","385,298,641","8,024,435","727,388,102","470,654,353","648,195,414","37,398,487","15,457,718,478",,"375,413,590",,,"54,297,028","1,237,718,673","4,341,170,888","3,020,812,060","1,987,299,079","2,555,934,131","1,845,154,684","3,890,944,228","957,020,504","-1,207,259,820","5,293,115,839","1,932,312,851","1,834,830,694","1,920,981,167","2,176,136,248","1,497,638,522","1,912,199,720","2,070,731,087","8,400,350,739","13,211,003,570","10,630,447,007","3,674,091,332","4,314,954,673","6,041,968,133","281,830,695","185,702,953","46,593,218","111,735,961","1,123,369,987","-100,620,340","1,880,625,041","753,479,972","376,385,005","121,615,717","149,298,032","196,788,542"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,"2,997,881,414","2,058,233,052","2,511,634,664","3,423,390,260","8,957,478,603","4,870,873,773","5,221,870,833","6,476,039,962","13,606,350,786","8,709,879,224","8,013,609,259","7,309,983,769","9,111,479,906","7,281,540,410","7,229,484,886","6,074,536,495","6,426,475,655","5,637,378,363","5,236,370,576","5,926,394,338","11,006,419,516","31,699,626,434","27,241,840,425",,"27,422,867,991",,,"28,786,377,971","48,396,429,627","48,729,955,372","51,840,405,331","49,720,701,886","55,319,267,697","53,337,818,454","56,065,330,680","50,462,633,316","53,315,613,644","52,026,819,085","53,019,526,188","52,200,837,887","52,331,417,463","45,905,990,546","50,940,377,428","40,014,696,124","44,932,450,035","53,649,099,468","53,316,564,679","41,785,960,561","49,436,116,225","17,764,825,375","82,165,507,202","54,564,504,611","57,268,181,379","54,701,017,887","55,917,308,736","56,182,314,623","56,738,903,562","63,132,151,949","49,298,350,712","50,645,266,166","45,627,731,298","36,680,016,057","52,278,377,495"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,"2,997,881,414","2,058,233,052","2,511,634,664","3,423,390,260","8,957,478,603","4,870,873,773","5,221,870,833","6,476,039,962","13,606,350,786","8,709,879,224","8,013,609,259","7,309,983,769","9,111,479,906","7,281,540,410","7,229,484,886","6,074,536,495","6,426,475,655","5,637,378,363","5,236,370,576","5,926,394,338","11,006,419,516","31,699,626,434","27,241,840,425",,"26,068,053,249",,,"28,786,377,971","47,041,586,863","48,554,559,019","50,660,958,920","49,720,701,886","52,721,123,581","54,141,588,885","55,940,330,680","50,462,633,316","53,315,613,644","52,026,819,085","52,801,841,188","52,200,837,887","52,331,417,463","45,905,990,546","50,940,377,428","40,014,696,124","44,932,450,035","43,288,384,763","46,736,251,719","40,951,591,169","45,603,589,261","14,248,965,077","57,309,813,880","45,901,672,824","49,008,395,268","30,680,218,487","48,848,557,028","49,894,001,372","56,535,721,743","49,925,867,375","49,095,168,893","50,172,084,347","45,626,822,224","38,551,137,844","50,400,681,482"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-123,570,166",,,,,"-123,570,166",,,,"-123,570,166",,01,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,"3,789,438,584","4,664,137,513","4,193,643,571","2,108,173,283","10,169,369,502","5,005,401,660","9,864,281,293","1,048,688,000","6,117,656,464","2,119,902,657","2,514,769,361","1,050,104,577","1,737,652,893","1,249,699,058","1,915,205,655","616,055,018","616,055,018","1,195,891,087","1,048,296,994","710,209,446","2,051,614,151","2,586,461,249","3,118,015,102",,"9,195,770,249",,,"1,588,448,116","1,262,845,532","391,565,988","1,592,368,086","291,685,774","4,211,206,727","9,001,450,153","2,814,621,277","1,667,993,339","3,282,173,334","2,155,061,888","2,012,685,473","2,610,209,522","1,479,938,972","598,670,662","626,535,148","593,463,014","558,821,188","535,634,292","1,918,611,541","1,355,225,786","1,669,738,177","684,366,611","2,382,926,189","2,014,302,450","1,866,914,151","1,811,180,893","2,206,443,537","2,053,935,388","2,047,548,096","1,751,023,969","1,184,071,364","980,729,623","1,434,008,818","827,651,249","857,239,926"
