,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244,028,979,318","332,719,951,602","185,298,909,815","252,222,973,410",,"337,856,504,672","358,413,595,607","229,885,463,395","291,378,653,872","304,343,982,428","468,529,618,027",,,,,"304,024,694,127","455,783,353,195","359,464,351,141","548,857,752,026","433,046,149,929","839,852,154,728","910,621,136,454","1,075,064,592,949","963,986,366,366","1,052,661,119,631","1,090,277,977,704","1,189,684,419,586","1,209,200,575,366","1,212,375,981,544","1,253,256,701,525","1,371,435,266,879","1,380,246,680,813","1,305,433,468,855","1,549,767,941,338","2,124,185,888,244","1,749,879,728,661","1,795,784,275,945","1,921,717,823,691","1,989,783,241,541","2,001,424,304,873","2,225,051,865,712","2,605,466,731,853","2,539,336,363,776","2,339,471,714,755","2,701,273,919,676","3,083,433,833,895","3,174,681,752,702","2,623,099,908,208","3,011,553,962,076","3,475,567,349,174","3,573,601,788,330"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"244,028,979,318","332,719,951,602","185,298,909,815","252,222,973,410",,"337,856,504,672","358,413,595,607","229,885,463,395","291,378,653,872","304,343,982,428","468,529,618,027",,,,,"304,024,694,127","455,783,353,195","359,464,351,141","548,857,752,026","433,046,149,929","839,852,154,728","910,621,136,454","1,075,064,592,949","963,986,366,366","1,052,661,119,631","1,090,277,977,704","1,189,684,419,586","1,209,200,575,366","1,212,375,981,544","1,253,256,701,525","1,371,435,266,879","1,380,246,680,813","1,305,433,468,855","1,549,767,941,338","2,124,185,888,244","1,749,879,728,661","1,795,784,275,945","1,921,717,823,691","1,989,783,241,541","2,001,424,304,873","2,225,051,865,712","2,605,466,731,853","2,539,336,363,776","2,339,471,714,755","2,701,273,919,676","3,083,433,833,895","3,174,681,752,702","2,623,099,908,208","3,011,553,962,076","3,475,567,349,174","3,573,601,788,330"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,722,077,395","352,479,676,596","169,993,578,386","232,715,077,214",,"292,314,168,101","331,920,595,162","204,830,946,716","266,355,404,976","276,724,410,827","391,740,226,386",,,,,"270,563,600,968","403,868,448,784","321,584,029,362","510,718,099,063","395,234,506,028","786,153,949,595","867,185,513,979","1,007,256,462,476","909,936,400,147","987,426,547,370","1,020,452,683,598","1,085,593,234,616","1,129,177,109,232","1,171,339,741,763","1,170,756,078,882","1,280,165,122,487","1,292,902,681,665","1,221,792,832,964","1,434,595,798,197","1,938,064,523,448","1,625,790,245,523","1,665,271,649,771","1,760,898,599,354","1,780,223,058,245","1,850,498,142,333","2,062,073,615,748","2,394,753,030,871","2,346,256,832,791","2,165,645,839,422","2,497,660,691,755","2,851,011,273,001","2,900,216,227,579","2,435,086,629,019","2,788,664,416,828","3,254,670,787,753","3,315,947,051,650"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,693,098,077","-19,759,724,994","15,305,331,429","19,507,896,196",,"45,542,336,571","26,493,000,445","25,054,516,679","25,023,248,896","27,619,571,601","76,789,391,641",,,,,"33,461,093,159","51,914,904,411","37,880,321,779","38,139,652,963","37,811,643,901","53,698,205,133","43,435,622,475","67,808,130,473","54,049,966,219","65,234,572,261","69,825,294,106","104,091,184,970","80,023,466,134","41,036,239,781","82,500,622,643","91,270,144,392","87,343,999,148","83,640,635,891","115,172,143,141","186,121,364,796","124,089,483,138","130,512,626,174","160,819,224,337","209,560,183,296","150,926,162,540","162,978,249,964","210,713,700,982","193,079,530,985","173,825,875,333","203,613,227,921","232,422,560,894","274,465,525,123","188,013,279,189","222,889,545,248","220,896,561,421","257,654,736,680"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,881,344,430","4,030,423,864","1,607,076,474","449,376,800",,"35,212,902","31,680,818","31,794,381","204,193,872","162,330,425","2,174,107,907",,,,,"1,216,404,210","2,246,875,498","853,251,917","2,282,067,884","986,257,438","1,003,634,767","4,012,381,314","271,357,732","1,047,671,055","2,655,128,402","4,022,767,727","7,459,794,273","2,901,281,087","4,924,338,505","6,078,731,887","7,695,099,610","5,999,592,077","5,383,807,282","5,866,998,110","3,534,555,596","2,084,428,572","3,045,685,892","4,316,226,937","5,014,132,098","1,605,661,354","1,726,279,309","3,041,874,806","19,297,584,899","26,886,869,480","24,484,624,509","22,684,479,396","30,214,815,185","11,689,473,139","11,597,466,638","12,316,218,419","13,005,226,962"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,462,600,351","2,052,501,903","701,672,528",,,,,,"419,453,236","941,370,232","1,764,874,575",,,,,"2,482,113,376","7,893,495,777","1,240,385,779","977,673,375","160,803,296","551,173,577","1,790,898,489","872,697,450","221,327,040","295,704,370","66,896,514","34,255,340,325","517,099,724","416,712,717","13,420,968","814,399,855","484,493,536","948,551,476","366,196,023","204,817,345","77,967,504","2,184,608,737","1,425,745,638","3,543,856,287","1,643,801,355","1,355,813,734","1,202,048,170","22,195,130,482","23,493,700,447","20,385,775,276","22,989,389,094","26,533,852,977","15,628,352,211","42,868,166,871","15,689,430,947","15,934,437,399"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,462,600,351","2,052,501,903","701,672,528",,,,,,"419,453,236","941,370,232","1,764,874,575",,,,,"1,924,349,893","5,911,224,717","922,031,961",,,"264,286,025","1,502,349,081","612,027,886","218,762,027",,,,,,,,,,,,,,"1,028,682,584","3,537,977,423","1,256,740,246","1,340,380,317","1,170,117,990","21,523,146,620","23,381,937,778","20,205,804,771","22,784,522,555","18,283,290,994","15,516,502,911","14,523,226,937","15,626,372,156","15,131,290,822"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,752,520","116,811,680",,"10,237,536",,,"42,881,350",,"11,512,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
