,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353,330,612,493",,,"421,798,515,767","355,773,134,530","321,845,001,775","366,310,360,916","415,592,945,807","361,154,724,884","311,785,415,116","374,874,965,243","415,592,945,807","261,684,255,234","308,544,337,052","315,111,117,044","437,337,582,487","382,673,161,886","277,001,513,177","295,364,519,634","384,840,551,537","305,070,870,163","326,399,470,654","560,800,467,876","442,413,016,650","371,303,614,764","357,459,678,392","406,813,495,783","481,432,184,619","387,851,646,036","431,699,998,493","429,861,468,034","482,312,669,902","397,684,968,762","452,963,888,514","451,184,764,996","515,425,541,811"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,857,095,410",,,"36,947,924,213","13,135,652,669","14,845,040,500","17,161,211,953","26,152,139,499","12,770,617,178","16,280,130,615","7,937,120,979","26,152,139,499","9,624,613,411","9,746,150,640","6,259,581,824","28,472,967,172","2,503,441,959","21,138,165,583","17,569,404,521","28,698,103,892","16,095,419,853","15,554,166,411","6,972,743,069","37,557,162,727","12,531,979,698","20,508,955,280","12,797,026,597","16,354,016,766","6,048,848,940","17,606,378,948","18,483,577,993","37,817,397,625","13,906,302,865","19,913,400,929","18,366,435,962","37,524,636,756"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"347,473,517,083",,,"384,850,591,554","342,637,481,861","306,999,961,275","349,149,148,963","389,440,806,308","348,384,107,706","295,505,284,501","366,937,844,264","389,440,806,308","252,059,641,823","298,798,186,412","308,851,535,220","408,864,615,315","380,169,719,927","255,863,347,594","277,795,115,113","356,142,447,645","288,975,450,310","310,845,304,243","553,827,724,807","404,855,853,923","358,771,635,066","336,950,723,112","394,016,469,186","465,078,167,853","381,802,797,096","414,093,619,545","411,377,890,041","444,495,272,277","383,778,665,897","433,050,487,585","432,818,329,034","477,900,905,055"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,733,881,943",,,"266,300,169,507","216,531,253,763","190,945,600,374","221,562,262,841","268,515,814,558","229,147,512,226","187,291,730,019","267,271,696,020","268,515,814,558","175,139,454,433","190,469,266,014","196,031,309,867","287,724,513,979","232,193,533,592","157,821,208,145","156,986,875,486","223,529,588,126","170,814,610,674","164,645,197,984","361,065,184,785","239,413,719,709","186,808,716,777","168,183,777,359","192,685,776,638","239,491,536,708","190,890,436,293","208,466,818,173","211,665,501,464","242,226,765,467","195,297,615,078","219,886,105,663","218,374,162,391","261,417,255,583"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,739,635,140",,,"118,550,422,047","126,106,228,098","116,054,360,901","127,586,886,122","120,924,991,750","119,236,595,480","108,213,554,482","99,666,148,244","120,924,991,750","76,920,187,390","108,328,920,398","112,820,225,353","121,140,101,336","147,976,186,335","98,042,139,449","120,808,239,627","132,612,859,519","118,160,839,636","146,200,106,259","192,762,540,022","165,442,134,214","171,962,918,289","168,766,945,753","201,330,692,548","225,586,631,145","190,912,360,803","205,626,801,372","199,712,388,577","202,268,506,810","188,481,050,819","213,164,381,922","214,444,166,643","216,483,649,472"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,332,351",,,"8,201,034,329","5,235,285,219","5,150,188,965","4,188,884,455","4,199,037,945","5,170,842,183","4,081,874,361","3,435,919,086","4,199,037,945","3,458,003,154","4,514,197,190","2,785,592,198","2,290,558,897","2,933,244,314","2,015,258,557","12,226,927,371","1,102,495,288","1,873,599,492","1,127,795,283","1,541,951,497","1,776,837,581","2,460,055,188","2,352,144,981","2,552,531,417","5,154,205,842","4,728,828,505","3,104,522,381","2,424,029,269","3,982,201,317","3,000,659,127","2,361,071,239","3,369,164,852","4,628,253,140"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,986,589,594",,,"-3,583,726,348","2,536,479,361","2,586,674,464","3,215,126,923","2,473,062,282","3,944,436,255","3,164,464,098","2,490,093,798","2,473,062,282","2,416,289,949","4,218,106,682","3,584,178,857","4,404,355,858","4,595,200,448","3,914,504,996","3,267,890,563","2,661,330,302","2,186,078,180","1,481,044,290","2,675,409,076","2,304,485,500","2,062,111,697","2,479,072,171","2,353,178,339","5,075,589,556","3,646,997,296","5,273,791,834","4,625,335,914","4,345,457,710","3,487,274,297","4,501,176,924","4,742,823,946","4,197,235,229"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,279,546,490",,,"734,302,414","1,435,994,942","1,475,135,843","2,063,291,905","1,853,771,452","3,258,398,696","2,193,386,608","1,379,556,097","1,851,771,152","1,712,980,142","3,008,309,194","2,690,724,897","2,902,140,553","2,948,271,151","2,051,321,984","1,210,431,768","378,829,834","515,447,378","311,666,470","385,612,532","111,800,973","61,620,209","40,995,927","90,458,340","1,722,567,218","1,471,854,704","2,841,696,019","1,418,375,017","1,266,493,498","1,122,618,676","1,130,825,599","817,753,000","986,940,645"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"860,323,723",,"4,555,726,672","583,449,885","2,576,060,437","4,889,758,159","4,555,726,672","3,276,600,833","3,708,272,594","-386,813,663","8,429,069,660","3,378,986,588","-2,572,118,948","6,645,254,483","6,932,401,799","3,930,452,615","3,758,470,306","-1,499,759,351","9,893,965,064","3,933,067,828","6,250,706,582","-172,211,754","14,774,507,100","5,455,194,378","6,006,749,861","5,870,279,816","11,371,795,614","9,056,654,093","-2,561,777,801","6,952,120,989","13,616,092,650"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,594,781,620",,,"56,607,449,489","57,098,996,342","58,359,323,202","52,127,968,338","43,371,147,231","50,010,183,262","42,837,236,223","35,711,793,908","43,371,147,231","27,794,356,980","48,690,431,299","56,957,161,787","42,422,323,244","78,416,821,361","31,078,095,071","56,052,519,212","72,842,006,397","59,232,295,018","61,053,972,434","90,147,501,371","66,005,554,127","89,321,670,482","76,239,861,768","97,973,902,168","95,022,914,393","90,757,267,293","99,847,383,582","100,461,193,966","84,459,034,469","92,501,354,756","100,861,342,607","110,617,547,889","100,214,850,783"
