,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,"234,749,974,738","253,617,800,562","127,580,503,523","95,854,205,075","303,432,081,611","199,491,542,700","104,199,311,339","174,927,828,080","196,699,486,272","276,682,798,426","156,712,884,671","152,198,867,582","363,721,932,259","355,787,008,065","441,539,635,421","654,400,687,995","626,158,376,824","543,711,560,692","301,079,538,557","197,463,856,684","461,017,518,538","440,487,625,546","229,457,607,418","183,095,398,692","325,573,671,198","386,652,005,445","176,635,052,397","138,100,123,283","317,175,288,837","392,026,344,944",,"123,577,571,780",,,"118,924,549,581","158,987,061,542","218,703,003,247","328,389,942,651","243,969,878,338","156,996,618,919","387,993,510,008","283,062,812,036","251,553,144,630",,"221,504,316,714","416,496,693,335","175,752,312,489","157,097,087,765","291,971,652,150","409,128,009,857","101,866,758,008","190,842,830,435","334,235,331,524","508,577,297,342","101,866,758,008","218,700,767,398","303,022,946,175","488,364,229,409","204,338,925,812","296,133,176,035","340,817,781,668","381,884,831,003","204,338,925,812","146,362,673,564","286,092,320,297","407,624,908,298","186,534,618,637",,"348,431,868,049","457,635,929,730"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,593,140,630","4,158,695,376","1,309,279,220","413,012,706","1,998,174,326","1,838,103,478","388,863,346","148,547,934","527,334,984","7,152,253",,"49,128,136",,,"59,811,138","39,433,554","515,771,552","73,678,909",,,,"22,890,000",,,,"29,408,251","13,399,091","38,120,000",,"123,876,364","165,000,905",,"87,160,907","190,726,903","165,000,905","654,556,336","2,090,658,764","510,735,870","486,781,848","203,532,737",,"119,109,096","486,781,848",,,"690,110,284",,,"51,574,074","787,442,741"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,"234,749,974,738","253,617,800,562","127,580,503,523","95,854,205,075","303,432,081,611","199,491,542,700","104,199,311,339","174,927,828,080","196,699,486,272","276,682,798,426","156,712,884,671","152,198,867,582","363,721,932,259","355,787,008,065","441,539,635,421","654,400,687,995","626,158,376,824","543,711,560,692","301,079,538,557","197,463,856,684","459,424,377,908","436,328,930,170","228,148,328,198","182,682,385,986","323,575,496,872","384,813,901,967","176,246,189,051","137,951,575,349","316,647,953,853","392,019,192,691",,"123,528,443,644",,,"118,864,738,443","158,947,627,988","218,187,231,695","328,316,263,742","243,969,878,338","156,996,618,919","387,993,510,008","283,039,922,036","251,553,144,630",,"221,504,316,714","416,467,285,084","175,738,913,398","157,058,967,765","291,971,652,150","409,004,133,493","101,701,757,103","190,842,830,435","334,148,170,617","508,386,570,439","101,701,757,103","218,046,211,062","300,932,287,411","487,853,493,539","203,852,143,964","295,929,643,298","340,817,781,668","381,765,721,907","203,852,143,964","146,362,673,564","286,092,320,297","406,934,798,014","186,534,618,637",,"348,380,293,975","456,848,486,989"
4. Giá vốn hàng bán,,,,,,,,,,,"167,098,652,863","182,140,277,717","76,264,941,985","47,052,705,310","199,700,008,303","151,058,994,935","80,547,356,962","129,075,901,066","124,644,994,623","161,814,700,605","94,319,333,348","87,938,726,713","212,767,829,646","169,208,462,084","275,068,581,056","377,780,174,358","401,022,321,607","182,768,222,253","209,377,323,226","105,708,014,968","284,378,158,538","251,625,977,599","146,128,385,681","94,999,653,856","220,608,702,891","222,253,506,702","121,115,888,142","107,273,524,355","215,010,031,557","321,708,906,425",,"80,580,254,929",,,"73,761,969,779","124,338,644,835","182,286,375,225","224,762,493,649","127,724,789,100","88,391,825,330","302,792,359,833","222,482,877,457","121,823,435,319",,"166,978,110,131","309,997,112,162","99,926,188,355","110,450,127,267","243,844,146,041","297,023,427,737","64,122,890,971","153,615,788,935","225,986,249,350","375,636,358,446","64,122,890,971","162,219,859,599","205,329,928,651","279,371,726,296","148,197,350,006","201,365,810,301","219,106,681,244","289,100,016,023","148,197,350,006","109,184,163,775","222,335,322,021","295,868,287,469","104,835,881,936",,"266,325,640,516","279,761,458,807"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,"67,651,321,875","71,477,522,845","51,315,561,538","48,801,499,765","103,732,073,308","48,432,547,765","23,651,954,377","45,851,927,014","72,054,491,649","114,868,097,821","62,393,551,323","64,260,140,869","150,954,102,613","186,578,545,981","166,471,054,365","276,620,513,637","225,136,055,217","360,943,338,439","91,702,215,331","91,755,841,716","175,046,219,370","184,702,952,571","82,019,942,517","87,682,732,130","102,966,793,981","162,560,395,265","55,130,300,909","30,678,050,994","101,637,922,296","70,310,286,266",,"42,948,188,715",,,"45,102,768,664","34,608,983,153","35,900,856,470","103,553,770,093","116,245,089,238","68,604,793,589","85,201,150,175","60,557,044,579","129,729,709,311",,"54,526,206,583","106,470,172,922","75,812,725,043","46,608,840,498","48,127,506,109","111,980,705,756","37,578,866,132","37,227,041,500","108,161,921,267","132,750,211,993","37,578,866,132","55,826,351,463","95,602,358,760","208,481,767,243","55,654,793,958","94,563,832,997","121,711,100,424","92,665,705,884","55,654,793,958","37,178,509,789","63,756,998,276","111,066,510,545","81,698,736,701",,"82,054,653,459","177,087,028,182"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,"1,535,208,319","13,140,924,513","1,830,332,273","2,316,005,588","4,518,994,392","14,612,305,517","4,287,600,869","10,771,977,956","6,456,112,956","9,231,790,900","6,095,574,032","10,474,796,871","7,701,946,613","11,947,707,514","17,606,873,784","50,570,338,589","9,905,868,992","44,040,559,650","29,600,644,483","28,576,126,555","13,879,362,296","25,938,818,720","13,949,996,171","24,325,442,577","6,889,521,341","26,236,589,369","12,785,823,633","16,936,488,782","9,439,310,078","16,015,933,748",,"17,959,578,296",,,"10,424,085,167","13,794,264,110","14,436,017,881","13,488,081,880","10,145,480,490","12,982,858,620","14,102,115,133","13,345,934,586","10,964,290,962",,"15,185,144,566","18,716,324,306","13,392,603,382","13,678,258,870","16,765,352,310","19,215,589,255","16,257,713,405","15,562,301,989","13,496,817,174","18,543,568,635","16,257,713,405","9,686,779,639","11,116,876,246","27,450,776,496","13,547,314,484","13,916,935,013","17,575,643,822","22,934,128,827","13,547,314,484","37,696,783,864","26,308,793,594","32,521,221,753","21,552,982,936",,"21,350,775,376","30,580,480,680"
7. Chi phí tài chính,,,,,,,,,,,"2,054,804,367",,,"1,281,585,383","1,045,199,176","1,163,624,111","2,245,541,488","7,200,633,490","4,130,629,698","167,694,604","4,003,176,881","2,659,032,555","859,911,842","1,328,458,877","1,922,544,445","2,206,180,555","721,897,368","-721,897,368",,"240,859,326","1,305,782,813","1,390,171,586","2,981,425,132","944,499,247","1,360,995,876","502,395,871","1,439,086,223","566,624,146","1,106,939,859","2,234,050,424",,"-3,189,295,623",,,"879,536,268","4,656,725,157","3,051,897,109","-809,545,579","2,351,157,902","5,198,435,903","3,669,474,671","653,321,148","2,269,267,124",,"2,537,702,801","4,190,109,257","2,439,587,243","12,553,087,484","6,410,506,268","1,687,823,958","4,466,303,440","5,766,711,145","3,620,733,678","848,465,745","4,466,303,440","2,546,385,091","1,369,996,915","947,523,421","809,286,861","335,966,909","152,346,712","722,137,336","809,286,861","245,995,364","825,706,112","2,734,608,484","2,193,373,133",,"3,367,770,189","3,657,047,916"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,"2,054,804,367",,,"1,281,585,383","1,045,199,176","1,163,624,111","2,245,541,488","7,200,633,490","4,130,629,698","167,694,604","4,003,176,881","2,659,032,555","859,911,842","1,328,458,877","1,922,544,445","2,206,180,555","721,897,368","-721,897,368",,"240,859,326","1,305,782,813","1,390,171,586","2,981,425,132","944,499,247","1,360,995,876","502,395,871","1,439,086,223","566,624,146","1,106,939,859","2,234,050,424",,"1,191,140,879",,,"521,007,265","440,056,201","839,257,804","4,368,933,255","2,078,406,779","799,977,487","2,941,185,406","1,864,547,970","2,207,820,859",,"1,808,957,792","511,161,475","2,376,188,418","6,250,896,490","4,468,672,364","4,853,912,617","4,319,823,396","4,549,980,131","3,553,451,162","1,905,302,980","4,319,823,396","1,295,723,769","945,627,188","570,005,533","439,723,486","345,517,421","78,029,475","97,970,218","439,723,486",,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,084,898,668","-2,525,424,634",,"-3,260,870,079",,"-2,814,408,240",,,"-8,047,803,618",,"-4,295,358,983",,"-9,211,882,442","-2,910,440,245","-5,591,882,494","-3,989,758,061","-9,723,239,346",,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,"2,380,663,823","6,365,357,957","1,910,964,358","1,688,857,805","4,658,288,640","2,940,839,893","869,045,996","1,774,328,171","1,091,993,437","2,595,482,635","972,621,664","2,666,347,008","3,593,764,693","4,988,209,197","3,234,881,907","5,157,906,721","4,345,636,607","4,886,684,979","3,893,766,371","2,532,528,217","2,881,887,379","7,768,543,378","2,668,026,311","2,934,067,527","4,416,585,174","7,083,379,622","3,250,783,289","786,971,036","3,917,031,065","8,601,233,186",,"3,150,105,469",,,"2,751,981,035","2,553,614,565","3,788,801,059","5,579,125,795","2,462,316,495","2,958,293,254","4,382,815,617","27,672,674,289","13,385,340,945",,"20,138,179,181","7,549,564,865","12,963,737,698","3,683,216,455","4,747,269,490","27,841,066,378","2,910,440,245","16,066,139,121","6,043,803,252","37,776,324,544","15,741,775,675","17,080,479,815","17,454,259,207","34,989,952,971","5,261,022,752","5,646,974,958","4,950,452,881","10,205,505,525","5,261,022,752","4,402,559,520","6,442,251,167","7,775,921,546","3,909,218,544",,"4,916,571,083","6,500,312,479"
