,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,467,623,544","133,212,259,868","125,520,573,155","169,899,494,750","121,137,798,470","105,675,852,350","135,045,120,435","197,943,685,758","173,540,412,511","339,965,013,845","291,569,292,073","353,167,170,243","303,831,904,978","301,587,335,886","353,409,230,810","534,494,882,117","304,691,590,021","320,033,799,019","313,167,430,980","442,729,426,912","570,161,003,170","505,666,934,459","521,524,754,366","495,880,143,407","548,461,842,707","479,482,001,564","565,912,510,859","568,774,007,788","739,214,916,619",,"543,139,233,330","555,327,531,103"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,467,623,544","133,212,259,868","125,520,573,155","169,899,494,750","121,137,798,470","105,675,852,350","135,045,120,435","197,943,685,758","173,540,412,511","339,965,013,845","291,569,292,073","353,167,170,243","303,831,904,978","301,587,335,886","353,409,230,810","534,494,882,117","304,691,590,021","320,033,799,019","313,167,430,980","442,729,426,912","570,161,003,170","505,666,934,459","521,524,754,366","495,880,143,407","548,461,842,707","479,482,001,564","565,912,510,859","568,774,007,788","739,214,916,619",,"543,139,233,330","555,327,531,103"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,245,107,317","61,820,517,738","53,730,479,550","70,309,330,411","52,852,870,702","44,569,088,752","64,948,952,903","94,393,432,234","72,894,686,636","158,994,635,786","123,614,367,682","151,643,239,666","122,914,404,471","127,697,712,108","160,752,497,182","325,841,411,890","129,742,063,573","127,686,725,481","131,960,814,405","224,259,454,911","222,961,874,194","281,034,251,817","302,639,305,085","275,197,970,537","235,603,084,142","217,826,788,207","272,927,632,589","316,171,065,016","321,118,871,630",,"305,803,618,965","349,563,904,310"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,222,516,227","71,391,742,130","71,790,093,605","99,590,164,339","68,284,927,768","61,106,763,598","70,096,167,532","103,550,253,524","100,645,725,875","180,970,378,059","167,954,924,391","201,523,930,577","180,917,500,507","173,889,623,778","192,656,733,628","208,653,470,227","174,949,526,448","192,347,073,538","181,206,616,575","218,469,972,001","347,199,128,976","224,632,682,642","218,885,449,281","220,682,172,870","312,858,758,565","261,655,213,357","292,984,878,270","252,602,942,772","418,096,044,989",,"237,335,614,365","205,763,626,793"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,098,033,237","4,343,794,940","4,587,228,048","5,964,284,324","5,075,620,540","4,522,669,661","1,877,790,285","7,970,818,025","7,890,240,024","5,776,960,673","5,717,793,005","6,001,019,437","11,826,655,498","4,616,994,912","7,084,877,314","7,033,111,520","4,402,136,653","7,653,771,080","17,476,472,971","8,125,309,996","7,644,859,335","7,879,129,432","174,560,359,045","23,836,079,348","11,244,550,311","13,657,341,857","12,778,504,230","62,921,057,280","9,379,344,534",,"10,192,254,821","9,347,533,906"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,277,274,882","6,303,980,652","8,624,277,406","5,904,083,344","5,828,893,266","6,171,826,221","6,665,285,549","22,471,898,198","31,047,879,196","59,462,064,879","78,237,542,912","88,083,819,771","90,956,664,588","86,254,650,596","102,153,048,073","86,976,897,756","79,292,354,782","91,886,577,638","85,941,637,378","151,278,258,563","146,342,476,495","155,045,357,835","177,621,560,654","178,078,749,997","190,121,994,935","213,329,804,949","251,784,579,483","225,732,248,150","245,541,068,704",,"230,597,066,787","156,053,657,470"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,250,629,743","6,122,735,938","5,947,774,980","5,900,820,679","5,774,719,466","6,168,961,789","6,635,931,337","21,577,790,002","33,259,180,411","51,048,003,548","76,549,120,828","93,109,527,749","90,137,366,376","85,421,616,479","88,177,850,844","83,758,892,223","78,188,018,080","88,725,485,749","83,335,010,937","133,117,840,967","145,298,468,965","145,123,268,928","146,607,010,583","155,733,736,251","178,129,526,093","205,923,515,326","236,448,106,715","221,110,697,765","241,715,610,003",,"224,016,050,556","156,555,108,658"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,383,444,607","12,705,441,531","3,229,536,439","5,305,188,570","-7,012,098,479","11,305,340,733","5,075,344,568","-2,631,297,577","-8,407,691,844","11,174,024,290","-554,693,467",,"-4,728,790,117","12,749,592,517"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,099,747","129,372,794","129,372,792","568,204,633",,,,"588,486,215",,,,"546,982,486","30,000,000","216,817,195","161,005,358","1,291,802,715","119,911,760","105,516,735","41,163,401","204,863,062","241,564,845",,"56,503,228","81,106,845","404,390,939","124,180,224","206,873,589","249,822,605","135,147,589",,,"25,000,000"
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,112,577,162","25,135,170,029","14,366,651,987","20,858,108,503","15,830,586,202","14,580,895,637","15,526,453,016","38,039,864,561","18,561,960,009","21,215,128,704","32,183,600,175","38,033,245,763","24,166,857,098","28,086,038,029","29,264,321,829","32,778,642,575","23,456,298,544","30,740,063,214","20,210,239,038","40,951,310,335","29,637,508,881","38,137,953,727","45,413,345,667","47,152,623,597","33,067,968,286","39,014,293,351","28,287,692,970","47,876,377,532","43,849,062,574",,"33,082,865,448","29,773,611,792"
