,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"82,710,106,959","86,471,436,421","115,955,417,269","119,100,089,320","90,247,959,334","199,095,423,811","106,019,609,755","111,643,061,552","115,783,006,470","115,806,231,978","90,183,755,648","128,121,559,591","106,446,307,802","106,736,720,078","115,310,323,122","128,961,415,009","115,757,306,519","144,121,698,342","145,569,841,074","157,180,218,668","99,361,910,598","95,407,072,582","97,867,865,543","123,374,904,168","118,980,228,635","173,248,722,192","187,669,077,089","293,009,891,228","190,482,471,768","237,836,185,840","315,460,770,149","250,430,689,064","250,613,253,813","180,131,880,789","190,352,972,626","272,422,778,981","169,575,208,710","384,248,428,486","260,956,060,974","293,569,104,516",,"297,995,354,810",,,"387,583,643,657","342,964,783,038","300,472,666,512","260,444,038,197","515,874,613,329","513,112,476,012","365,248,485,615","775,540,290,676","680,305,566,937","566,763,995,678","360,360,545,012","646,256,698,175","545,251,776,717","542,656,642,459","666,847,528,397","784,735,038,360","721,943,783,485","916,454,552,912","907,248,060,480","911,065,461,455","864,190,034,302",,"629,259,693,484","1,398,737,742,918","1,416,855,678,639","1,274,759,979,627","213,092,218,496","261,932,289,707","156,896,160,634","269,064,156,858","280,077,040,412","230,358,506,932","221,496,606,406","145,632,739,919","152,587,153,072","191,762,905,594"
2. Các khoản giảm trừ doanh thu,,"181,863,836",,,,,,"1,674,491,635",,,"281,148,496","457,277,800","90,000,000",,,"17,454,546","12,925,455",,,,,,,,,,,,,,,,,,,"75,442,500","83,432,500",,,,,,,,"999,258,402","14,435,165","5,313,017",,,,,,,,,,,,,,,,,,,,,,,"35,211,456",,,,,,,,"560,286,335",,"26,823,263"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"82,710,106,959","86,289,572,585","115,955,417,269","119,100,089,320","90,247,959,334","199,095,423,811","106,019,609,755","109,968,569,917","115,783,006,470","115,806,231,978","89,902,607,152","127,664,281,791","106,356,307,802","106,736,720,078","115,310,323,122","128,943,960,463","115,744,381,064","144,121,698,342","145,569,841,074","157,180,218,668","99,361,910,598","95,407,072,582","97,867,865,543","123,374,904,168","118,980,228,635","173,248,722,192","187,669,077,089","293,009,891,228","190,482,471,768","237,836,185,840","315,460,770,149","250,430,689,064","250,613,253,813","180,131,880,789","190,352,972,626","272,347,336,481","169,491,776,210","384,248,428,486","260,956,060,974","293,569,104,516",,"297,995,354,810",,,"386,584,385,255","342,950,347,873","300,467,353,495","260,444,038,197","515,874,613,329","513,112,476,012","365,248,485,615","775,540,290,676","680,305,566,937","566,763,995,678","360,360,545,012","646,256,698,175","545,251,776,717","542,656,642,459","666,847,528,397","784,735,038,360","721,943,783,485","916,454,552,912","907,248,060,480","911,065,461,455","864,190,034,302",,"629,259,693,484","1,398,737,742,918","1,416,855,678,639","1,274,724,768,171","213,092,218,496","261,932,289,707","156,896,160,634","269,064,156,858","280,077,040,412","230,358,506,932","221,496,606,406","145,072,453,584","152,587,153,072","191,736,082,331"
4. Giá vốn hàng bán,"75,472,708,240","78,357,056,074","103,230,480,719","106,021,041,065","81,797,312,091","178,851,333,346","95,729,394,182","96,606,918,181","102,503,235,649","103,487,471,209","80,549,820,754","113,657,769,245","94,730,611,567","95,560,284,723","101,706,903,305","109,646,207,184","98,986,010,755","122,199,107,103","122,176,783,728","124,837,021,783","81,836,079,513","81,608,917,442","78,849,841,637","100,362,895,078","89,809,047,934","137,164,288,073","156,988,191,992","252,911,900,504","151,826,428,228","204,809,777,771","275,562,116,472","207,956,577,382","206,592,728,401","152,339,220,753","163,424,169,036","252,249,122,937","143,619,352,635","341,384,389,266","214,058,338,913","225,764,750,507",,"244,172,991,024",,,"304,197,865,044","274,030,443,585","236,487,730,821","205,471,481,206","427,682,890,306","453,787,405,606","315,597,220,589","619,336,127,507","562,576,654,393","481,921,844,611","306,088,837,624","527,214,884,099","451,560,693,997","466,621,763,544","582,191,713,048","658,675,633,891","606,569,539,081","773,987,476,223","739,797,759,408","700,378,384,830","696,227,405,948",,"534,305,006,847","1,154,865,242,391","1,171,705,605,245","1,049,119,347,477","191,987,975,127","219,727,598,676","161,151,666,474","259,510,823,646","252,512,836,781","202,137,513,344","174,258,120,056","124,020,517,140","121,453,250,780","144,970,175,913"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"7,237,398,719","7,932,516,511","12,724,936,550","13,079,048,255","8,450,647,243","20,244,090,465","10,290,215,573","13,361,651,736","13,279,770,821","12,318,760,769","9,352,786,398","14,006,512,546","11,625,696,235","11,176,435,355","13,603,419,817","19,297,753,279","16,758,370,309","21,922,591,239","23,393,057,346","32,343,196,885","17,525,831,085","13,798,155,140","19,018,023,906","23,012,009,090","29,171,180,701","36,084,434,119","30,680,885,097","40,097,990,724","38,656,043,540","33,026,408,069","39,898,653,677","42,474,111,682","44,020,525,412","27,792,660,036","26,928,803,590","20,098,213,544","25,872,423,575","42,864,039,220","46,897,722,061","67,804,354,009",,"53,822,363,786",,,"82,386,520,211","68,919,904,288","63,979,622,674","54,972,556,991","88,191,723,023","59,325,070,406","49,651,265,026","156,204,163,169","117,728,912,544","84,842,151,067","54,271,707,388","119,041,814,076","93,691,082,720","76,034,878,915","84,655,815,349","126,059,404,469","115,374,244,404","142,467,076,689","167,450,301,072","210,687,076,625","167,962,628,354",,"94,954,686,637","243,872,500,527","245,150,073,394","225,605,420,694","21,104,243,369","42,204,691,031","-4,255,505,840","9,553,333,212","27,564,203,631","28,220,993,588","47,238,486,350","21,051,936,444","31,133,902,292","46,765,906,418"
6. Doanh thu hoạt động tài chính,"7,076,732","275,481,743","216,469,565","403,439,544","96,078,873","1,394,139,555","1,213,519,765","5,415,239,729","191,803,740","1,832,156,815","1,287,949,121","25,145,950,089","4,441,875,187","7,200,663,992","5,030,826,277","5,630,805,147","3,012,565,601","1,194,086,258","1,087,177,941","7,728,019,797","4,486,811,966","3,922,501,149","6,969,745,254","7,851,869,370","13,393,864,041","9,595,445,645","14,389,374,044","15,893,542,294","10,581,112,377","14,629,266,050","2,280,940,984","4,374,724,174","2,882,326,628","3,284,250,422","746,811,739","1,605,579,185","786,448,524","3,608,939,839","1,682,168,272","2,401,764,289",,"5,596,786,913",,,"5,025,608,046","8,305,114,934","1,498,794,834","6,253,335,429","5,218,831,640","8,090,799,089","2,430,711,044","4,964,322,055","5,707,120,021","8,574,584,946","16,051,897,064","19,539,600,079","4,600,077,668","15,895,544,015","7,510,572,968","5,130,968,428","12,390,652,599","20,750,169,023","11,115,395,867","18,238,508,102","14,359,423,235",,"28,795,272,971","27,554,893,426","37,147,867,110","57,247,180,688","269,117,911,457","83,337,859,300","27,386,604,013","40,736,987,577","14,203,687,221","27,871,496,572","8,382,978,726","20,107,266,962","21,768,885,233","20,556,287,594"
7. Chi phí tài chính,,,,,,,"261,409,979","478,891,219","284,308,363","263,510,101","286,470,188","211,739,557","446,866,630",,"1,072,143,641","1,041,473,452","104,622,261","400,271,572","562,153,808","925,230,369","946,868,819","337,097,597","648,429,813","579,554,068","1,314,169,273","3,032,716,126","3,425,165,408","9,584,926,090","5,634,163,932","10,413,985,625","5,644,122,992","8,575,173,173","6,270,985,932","6,822,303,788","4,648,355,044","7,736,369,327","4,496,287,286","5,552,619,123","5,581,071,697","5,087,416,530",,"13,850,855,752",,,"8,699,030,650","4,587,313,714","3,378,010,897","34,490,215,164","9,972,460,483","7,022,232,485","4,607,219,852","5,310,610,839","6,689,759,498","11,254,297,790","20,664,230,030","14,490,593,748","6,978,631,660","19,894,931,546","6,333,610,607","6,596,284,782","19,115,895,687","15,049,167,106","6,799,441,919","6,603,850,265","9,970,058,641",,"16,014,775,957","25,360,373,852","28,645,984,617","35,706,066,508","100,572,876,287","71,342,137,127","16,390,691,534","17,635,905,640","16,499,359,250","11,885,599,733","7,128,779,524","14,213,550,878","7,971,326,720","14,384,318,752"
- Trong đó: Chi phí lãi vay,,,,,,,"261,409,979","478,891,219","284,308,363","263,510,101","286,470,188","211,739,557","446,866,630",,"1,072,143,641","1,041,473,452","104,622,261","400,271,572","562,153,808","925,230,369","946,868,819","337,097,597","648,429,813","579,554,068","1,314,169,273","3,032,716,126","3,425,165,408","9,584,926,090","5,634,163,932","10,413,985,625","5,644,122,992","8,575,173,173","6,270,985,932","6,822,303,788","4,648,355,044","7,736,369,327","4,496,287,286","5,552,619,123","5,581,071,697","5,087,416,530",,"3,670,737,969",,,"3,048,429,907","3,267,601,904","2,775,865,619","3,462,057,035","3,112,524,242","3,319,393,916","3,321,204,512","4,113,521,145","3,511,475,112","5,105,163,632","4,674,126,104","5,768,991,206","4,652,645,839","6,199,995,657","3,807,824,894","5,252,423,676","3,646,439,675","4,498,543,652","2,974,854,089","3,629,926,368","2,930,957,464",,"3,776,620,826","5,133,368,278","3,580,930,165","4,732,791,836","7,322,961,864","5,317,365,140","3,238,240,275","3,056,245,065","2,123,252,792","1,001,265,673","774,033,189","981,097,029","329,218,668","54,039,763"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,964,969,441",,,,,"-20,680,382,067","-8,073,826,368",,"-8,073,826,366","-8,115,285,314","-8,073,826,365","-2,712,152,170","10,765,101,820","-20,435,212",,,,"-51,201,806",,"-25,434,179",,"-23,260,660"
9. Chi phí bán hàng,"2,152,470,391","2,305,062,687","3,490,795,389","3,219,299,777","2,331,304,819","5,306,513,037","3,060,172,793","3,198,910,577","2,975,668,598","2,863,563,360","2,516,125,690","3,096,372,587","3,364,533,003","2,807,198,088","3,026,895,859","4,090,264,041","3,087,275,727","3,448,350,328","3,563,618,269","5,043,064,330","2,516,540,532","2,179,161,855","2,150,253,172","3,860,283,079","3,657,465,372","4,581,340,871","1,966,787,786","3,561,982,356","5,915,589,935","3,861,430,672","5,935,772,889","5,778,398,364","7,642,957,004","2,607,254,690","2,438,010,471","2,966,613,440","1,694,942,183","6,054,644,526","5,897,057,863","8,445,513,845",,"5,113,473,001",,,"12,866,504,961","11,424,193,839","9,329,433,960","2,553,938,506","20,147,959,694","15,263,608,355","12,673,432,129","35,383,537,651","42,001,063,517","25,115,684,102","1,421,855,153","5,215,008,083","21,867,168,105","12,566,777,689","24,677,628,117","27,980,655,988","30,665,312,450","41,949,539,003","34,591,309,203","15,617,683,203","36,012,578,247",,"28,960,617,640","32,221,879,716","67,152,327,927","56,400,776,751","853,532,335","1,526,943,642","1,031,223,570","1,460,824,143","1,286,006,415","990,761,999","1,715,924,822","827,134,212","1,846,686,003","1,489,654,466"
