,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,212,793,311","59,270,041,740","59,061,733,132","99,181,719,797","87,826,932,115","122,178,423,330","78,368,374,581","93,750,307,459","109,484,490,315","197,941,257,639","164,959,279,891","188,579,439,945","189,353,734,625","248,672,590,862","219,398,254,059","274,036,831,747","206,663,929,885","233,877,609,300","238,142,027,926","227,576,862,512","286,858,223,416","356,756,635,750","411,662,992,555","437,898,819,318","492,694,035,672","528,339,710,188"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,484,000",,"31,034,600","43,073,000","6,210,000",,,"13,351,250","2,960,000","1,315,600","29,832,800",,"149,072,000",,,,,,,,,,,"125,600,450",
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,212,793,311","59,267,557,740","59,061,733,132","99,150,685,197","87,783,859,115","122,172,213,330","78,368,374,581","93,750,307,459","109,471,139,065","197,938,297,639","164,957,964,291","188,549,607,145","189,353,734,625","248,523,518,862","219,398,254,059","274,036,831,747","206,663,929,885","233,877,609,300","238,142,027,926","227,576,862,512","286,858,223,416","356,756,635,750","411,662,992,555","437,898,819,318","492,568,435,222","528,339,710,188"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,111,922,916","52,221,656,607","51,591,973,574","90,336,924,454","77,455,859,550","113,183,320,440","69,149,922,780","83,105,159,247","97,382,615,584","183,452,728,411","150,303,546,367","170,570,725,965","174,449,317,319","233,572,154,434","201,607,248,125","253,103,761,002","192,573,210,913","211,283,105,324","218,969,655,433","207,021,205,127","268,485,743,598","346,142,768,447","398,969,444,624","419,061,945,805","482,444,679,934","512,010,929,152"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100,870,395","7,045,901,133","7,469,759,558","8,813,760,743","10,327,999,565","8,988,892,890","9,218,451,801","10,645,148,212","12,088,523,481","14,485,569,228","14,654,417,924","17,978,881,180","14,904,417,306","14,951,364,428","17,791,005,934","20,933,070,745","14,090,718,972","22,594,503,976","19,172,372,493","20,555,657,385","18,372,479,818","10,613,867,303","12,693,547,931","18,836,873,513","10,123,755,288","16,328,781,036"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,481,485","108,664,604","403,989","92,035,277","291,289,379","561,480,340","383,587,257","349,437,165","290,776,770","321,738,116","124,025,105","80,073,536","108,271,029","97,971,666","222,501,357","361,436,369","296,316,094","1,174,124,519","549,392,368","2,805,269,749","2,943,791,044","1,495,162,144","1,481,752,289","2,830,147,981","3,510,682,000","2,549,714,698"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,061,280,334","2,014,623,077","1,893,307,831","2,655,395,584","2,981,920,859","2,878,800,382","2,927,951,072","2,947,680,131","3,272,116,989","3,857,586,521","3,366,114,962","3,757,908,165","3,579,942,282","4,005,138,039","4,312,284,429","5,549,501,256","3,215,229,206","7,640,488,620","5,482,788,895","9,351,846,093","17,305,991,086","7,145,072,086","5,414,747,227","5,490,922,311","6,283,340,270","9,602,275,922"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,061,280,334","2,014,623,077","1,893,307,831","2,655,395,584","2,981,920,859","2,878,800,382","2,725,037,627",,"3,272,116,989",,"3,338,920,054",,"3,551,083,944",,"4,312,284,429","9,676,024,551",,,"5,466,472,672",,,,"5,403,757,727","10,890,720,723","6,283,199,737","12,553,755,791"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"722,614,337",,"825,805,548",,"930,545,538",,"393,480,758",,"932,720,600",,"853,120,808",,"551,137,755",,"1,492,298,119"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649,740,355","1,039,602,858","651,831,018","829,723,396","736,307,988","603,891,253","551,370,556","518,609,207","721,249,089","807,587,327","958,416,701","838,820,190","613,226,807","792,614,869","681,209,719","756,868,457","483,798,634","772,048,368","686,336,736","651,228,504","729,323,474","577,149,123","508,391,931","1,979,189,264","2,103,652,486","1,096,053,321"
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,161,622,338","329,469,598","563,121,871","885,575,997","830,075,181","701,921,025","705,871,715","745,296,973","953,936,822","1,319,198,787","1,203,220,676","1,013,024,208","1,048,569,556","1,857,620,417","990,151,475","966,819,537","640,517,802","1,884,762,066","816,396,378","1,170,590,683","1,255,722,748","4,150,987,425","931,268,615","2,388,955,505","1,034,081,336","1,643,431,378"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,414,708,853","3,770,870,204","4,361,902,827","4,535,101,043","6,070,984,916","5,365,760,570","5,416,845,715","6,782,999,066","7,431,997,351","8,822,934,709","9,250,690,690","13,171,816,490","9,770,949,690","9,219,768,317","12,029,861,668","14,951,863,402","10,047,489,424","13,864,810,199","12,736,242,852","13,119,982,454","2,025,233,554","1,088,941,621","7,320,892,447","12,359,092,169","4,213,363,196","8,029,033,232"
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223,362,110","28,291,280",,"41,149,460,045","-231,561,107","-131,715,626","95,668,950","96,463,167","27,726,520","16,191,000","14,727,466","71,230,000","46,813,237","5,709,364,812","60,000","29,044",,"3,984",,"145,415","1,788,444,413","251,933,880","25,933,197","-20,506,669",,"5,464,167,840"
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,871,569","57,905,615","116,583,257","41,091,510,046","37,858,147","-251,080,137","183,036,313","36,562,460","149,630,167","6,566,083","6,952,258","892,091,614","19,998,001","9,796,209","740,816","156,295,579","66,556,444","11,940,661","235,551,892","82,976,705","22,881,185","157,207,914","1,916,616","34,973,294","256,256,605","5,293,443,708"
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"153,490,541","-29,614,335","-116,583,257","57,949,999","-269,419,254","119,364,511","-87,367,363","59,900,707","-121,903,647","9,624,917","7,775,208","-820,861,614","26,815,236","5,699,568,603","-680,816","-156,266,535","-66,556,444","-11,936,677","-235,551,892","-82,831,290","1,765,563,228","94,725,966","24,016,581","-55,479,963","-256,256,605","170,724,132"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,568,199,394","3,741,255,869","4,245,319,570","4,593,051,042","5,801,565,662","5,485,125,081","5,329,478,352","6,842,899,773","7,310,093,704","8,832,559,626","9,258,465,898","12,350,954,876","9,797,764,926","14,919,336,920","12,029,180,852","14,795,596,867","9,980,932,980","13,852,873,522","12,500,690,960","13,037,151,164","3,790,796,782","1,183,667,587","7,344,909,028","12,303,612,206","3,957,106,591","8,199,757,364"
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"713,703,545","785,621,068","871,748,986","938,463,095","1,164,927,943","990,576,001","1,102,373,886","1,444,256,020","1,491,944,774","1,837,425,142","1,853,083,631","2,504,086,431","1,959,552,986","2,918,050,555","2,405,984,333","2,804,269,381","2,009,497,884","2,823,778,552","2,837,703,762","2,437,203,513","540,518,258","991,511,167","1,481,826,969","2,383,266,316","758,859,447","1,789,273,445"
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-297,904,266"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,854,495,849","2,955,634,801","3,373,570,584","3,654,587,947","4,636,637,719","4,494,549,080","4,227,104,466","5,398,643,753","5,818,148,930","6,995,134,484","7,405,382,267","9,846,868,445","7,838,211,940","12,001,286,365","9,623,196,519","11,991,327,486","7,971,435,096","11,029,094,970","9,662,987,198","10,599,947,651","3,250,278,524","192,156,420","5,863,082,059","9,920,345,890","3,198,247,144","6,708,388,185"
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,854,495,849","2,726,551,345","3,090,936,923","3,317,577,089","4,124,772,462","4,177,583,272","4,017,378,619","5,115,328,973","5,453,084,748","6,552,862,087","6,967,246,623","9,443,808,483","7,404,799,897","11,309,157,111","8,657,050,328","10,629,526,986","6,712,067,966","10,021,411,127","9,253,753,820","9,775,606,837","2,228,639,619","-1,123,059,052","5,418,690,711","8,271,967,506","2,308,576,380","4,665,427,576"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,083,456","282,633,661","337,010,858","511,865,257","316,965,808","209,725,847","283,314,780","365,064,182","442,272,397","438,135,644","403,059,962","433,412,043","692,129,254","966,146,191","1,361,800,500","1,259,367,130","1,007,683,843","409,233,378","824,340,814","1,021,638,905","1,315,215,472","444,391,348","1,648,378,384","889,670,764","2,042,960,609"
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,309,332,371,360,223,,355,364,387,,332,541,288,,,280,,,,,82,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,
