,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"859,045,058,667","939,610,689,123","1,138,283,303,781","940,228,096,826","1,087,871,565,617","1,057,945,385,483","1,219,815,408,346","979,736,406,518","1,080,732,957,366","1,018,160,173,330","1,125,247,369,873","1,031,149,124,818","978,407,212,726","608,020,186,229","884,522,803,425","791,130,406,690","722,439,589,898","831,926,633,052","1,125,248,182,987","1,188,879,433,683","1,345,124,871,291","1,242,672,048,329","1,388,616,693,590","1,168,572,660,531","1,271,924,404,742","1,040,156,868,232","1,270,004,963,098","1,121,880,482,607","1,179,378,172,569","1,094,011,352,602","1,498,560,995,742","1,339,202,790,436"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,847,374","1,173,724,762","192,152,783","144,820,471","345,028,939","480,868,651","186,476,201","177,674,142","205,638,530","167,219,372","264,247,852","282,664,127","632,300,786","115,223,113","100,433,025","101,350,181","113,785,955","219,909,049","7,971,817","47,380,644","61,180,824","49,309,035","90,094,347","256,249,327","1,981,291,584","172,528,913","115,377,473","1,487,946,657","50,927,156","32,463,901","99,466,610","8,035,723,481"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,938,211,293","938,436,964,361","1,138,091,150,998","940,083,276,355","1,087,526,536,678","1,057,464,516,832","1,219,628,932,145","979,558,732,376","1,080,527,318,836","1,017,992,953,958","1,124,983,122,021","1,030,866,460,691","977,774,911,940","607,904,963,116","884,422,370,400","791,029,056,509","722,325,803,943","831,706,724,003","1,125,240,211,170","1,188,832,053,039","1,345,063,690,467","1,242,622,739,294","1,388,526,599,243","1,168,316,411,204","1,269,943,113,158","1,039,984,339,319","1,269,889,585,625","1,120,392,535,950","1,179,327,245,413","1,093,978,888,701","1,498,461,529,132","1,331,167,066,955"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"785,337,291,571","856,936,821,835","1,049,057,077,637","838,968,826,116","998,068,000,829","962,305,598,163","1,111,692,055,588","890,952,180,956","999,958,709,446","931,635,927,610","1,039,268,982,921","935,582,042,144","888,932,973,908","571,102,935,749","817,800,397,516","719,092,520,600","649,442,754,217","749,115,070,976","1,008,954,362,560","1,015,288,186,647","1,189,672,830,286","1,094,094,505,127","1,227,235,558,957","1,031,572,334,678","1,157,134,823,039","950,651,295,135","1,128,157,156,928","1,031,906,143,024","1,067,351,297,620","942,730,497,456","1,333,715,258,219","1,166,950,333,861"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,600,919,722","81,500,142,526","89,034,073,361","101,114,450,239","89,458,535,849","95,158,918,669","107,936,876,557","88,606,551,420","80,568,609,390","86,357,026,348","85,714,139,100","95,284,418,547","88,841,938,032","36,802,027,367","66,621,972,884","71,936,535,909","72,883,049,726","82,591,653,027","116,285,848,610","173,543,866,392","155,390,860,181","148,528,234,167","161,291,040,286","136,744,076,526","112,808,290,119","89,333,044,184","141,732,428,697","88,486,392,926","111,975,947,793","151,248,391,245","164,746,270,913","164,216,733,094"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,545,850,760","7,300,824,434","5,371,999,833","5,410,500,296","4,166,882,749","3,810,264,631","9,289,876,916","5,159,076,958","3,988,472,630","6,938,917,072","9,888,126,756","6,511,962,260","5,595,077,411","7,833,206,025","5,302,105,775","5,252,768,477","5,870,829,824","5,348,610,225","14,739,666,945","12,176,044,959","15,212,642,606","15,242,847,337","17,774,641,999","47,381,539,099","17,269,144,520","19,596,333,508","17,718,199,131","29,571,696,586","23,016,532,386","25,165,611,781","27,544,643,994","39,929,883,714"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,631,769,493","12,610,386,458","-5,028,237,871","9,982,052,712","12,219,497,222","15,134,197,696","26,432,376,426","13,652,939,784","10,088,217,270","14,195,291,745","9,849,985,502","8,124,834,814","14,415,699,268","5,827,274,079","5,571,000,222","3,979,305,548","6,652,186,683","4,899,479,784","7,575,696,867","8,374,799,188","9,628,519,486","14,515,749,249","14,068,326,832","42,606,295,179","14,176,418,005","16,749,249,081","18,000,998,038","20,460,144,580","16,193,842,463","22,128,159,408","22,598,986,006","23,165,097,209"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,733,155,686","11,109,121,335","8,981,095,392","9,543,192,260","8,664,484,966","10,227,658,545","10,436,728,810","11,229,081,689","9,546,815,524","10,386,910,941","8,548,804,302","7,744,442,514","6,542,864,808","5,977,948,181","4,853,717,179","4,624,383,204","4,005,483,993","4,582,624,277","4,260,235,820","4,548,255,311","4,543,926,819","5,224,517,789","5,803,028,805","9,129,425,216","9,019,309,594","9,508,066,787","9,187,484,885","10,804,823,541","8,761,567,596","9,795,750,391","10,528,470,453","10,806,586,692"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"395,517,149","-92,188,859","274,479,459","656,155,411","643,431,442","1,345,346,656","56,339,340","633,476,708","255,679,916","1,476,744,797","137,708,277","997,293,565","211,248,744","699,057,775","-81,768,974","812,793,701","701,704,651","1,124,020,941","222,817,555","351,164,348","369,097,644","840,109,580","213,471,638","421,807,741"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,645,087,313","33,248,200,343","28,538,731,751","26,499,396,089","23,254,884,039","20,811,106,396","23,025,172,914","20,457,570,833","19,800,651,961","20,443,269,852","23,845,994,497","23,568,790,035","20,152,237,810","14,849,037,489","23,461,690,500","22,569,271,321","19,854,663,107","26,222,882,152","37,753,292,941","35,512,819,548","33,586,280,052","36,457,497,448","33,757,180,294","23,849,338,400","20,409,678,196","18,438,156,491","24,408,499,002","20,849,362,578","24,804,518,150","26,435,421,122","31,488,818,969","26,762,974,612"
