,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"547,149,736,688","1,470,872,288,013","498,752,280,365","1,156,816,024,446","750,818,648,213","1,274,532,673,027","1,059,414,462,312","655,337,439,360","1,797,663,783,415","1,039,789,736,571","1,159,795,095,478","1,695,703,528,317","652,872,516,348","2,655,353,551,032","1,487,865,840,654","1,757,275,841,736","1,004,142,677,241","1,215,229,526,474","428,746,632,776","1,570,215,258,672","446,732,321,542","235,788,304,429","463,096,089,693","437,410,712,630","106,003,925,767","133,981,726,164"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"547,149,736,688","1,470,872,288,013","498,752,280,365","1,156,816,024,446","750,818,648,213","1,274,532,673,027","1,059,414,462,312","655,337,439,360","1,797,663,783,415","1,039,789,736,571","1,159,795,095,478","1,695,703,528,317","652,872,516,348","2,655,353,551,032","1,487,865,840,654","1,757,275,841,736","1,004,142,677,241","1,215,229,526,474","428,746,632,776","1,570,215,258,672","446,732,321,542","235,788,304,429","463,096,089,693","437,410,712,630","106,003,925,767","133,981,726,164"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"476,353,034,342","1,344,924,126,629","439,430,516,627","1,053,566,766,401","693,951,710,866","1,105,236,378,999","786,908,091,213","622,163,292,904","1,361,259,099,570","883,218,496,741","1,056,424,724,304","1,550,927,600,753","600,360,467,374","2,466,533,201,520","1,364,582,706,546","1,567,290,999,433","918,445,590,814","1,177,924,849,187","396,855,820,460","1,452,631,061,792","410,820,639,186","201,320,325,395","428,544,518,454","401,063,626,435","97,796,166,875","132,981,755,457"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,796,702,346","125,948,161,384","59,321,763,738","103,249,258,045","56,866,937,347","169,296,294,028","272,506,371,099","33,174,146,456","436,404,683,845","156,571,239,830","103,370,371,174","144,775,927,564","52,512,048,974","188,820,349,512","123,283,134,108","189,984,842,303","85,697,086,427","37,304,677,287","31,890,812,316","117,584,196,880","35,911,682,356","34,467,979,034","34,551,571,239","36,347,086,195","8,207,758,892","999,970,707"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"621,054,265","441,371,908","511,298,499","406,030,174","741,393,528","4,411,944,826","1,735,789,471","29,746,859,395","20,456,390,224","17,189,162,564","16,492,307,215","35,994,464,188","21,321,361,717","20,696,797,453","19,239,664,625","17,373,002,644","17,515,586,046","19,922,612,203","18,635,779,045","15,279,790,794","16,418,320,909","93,120,686,266","53,590,525,431","40,622,372,185","76,423,768,731","89,674,401,627"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,818,173,837","15,618,550,145","19,468,083,856","14,909,205,389","18,949,533,909","21,436,475,086","50,290,272,394","40,004,229,839","85,670,925,775","48,753,212,894","46,603,610,334","51,360,118,637","44,614,796,194","47,217,134,241","54,143,270,410","62,873,640,100","62,812,407,098","64,818,627,465","50,404,754,394","89,430,743,192","37,487,446,471","74,939,098,773","51,210,934,877","74,346,457,036","68,106,893,066","69,851,077,574"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,818,173,837","15,618,550,145","19,468,083,856","14,909,205,389","189,495,339,091","21,436,475,086","22,211,226,742","38,629,180,461","30,041,083,498","32,526,997,698","42,582,246,699","47,324,559,209","41,233,007,563","42,430,380,427","48,823,751,010","57,674,776,465","57,613,543,463","60,982,263,825","50,404,754,394","89,430,743,192","37,286,732,163","74,939,098,773","51,210,934,877","61,190,188,319","57,106,893,066","69,851,077,574"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"929,099,523","76,406,962","-82,542,789","1,396,840","29,344,536","-1,028,066,276",,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,651,376,019","2,319,748,062","92,413,882,799","24,229,778,575",,"2,356,769,136",,,,,,,,,,,,,,
