,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,542,980,970","711,892,336,283","554,026,462,597","1,004,070,942,203","151,569,230,914","374,529,057,563","291,504,307,840","1,451,683,814,897","228,008,667,491","334,203,360,895","358,007,940,447","662,727,832,485","627,623,119,624","293,997,082,677","529,208,835,745","643,232,348,547","354,505,975,224","329,935,002,702","356,372,278,266","250,883,797,030","77,707,335,485","588,420,282,072","200,435,966,870","631,640,562,382","100,393,167,255","688,970,398,267","485,799,790,143","297,347,943,643"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,784,857","18,953,255","99,400","12,430,800","2,112,660","488,440,409","123,506,168","303,431,252",,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,528,196,113","711,873,383,028","554,026,363,197","1,004,058,511,403","151,567,118,254","374,040,617,154","291,380,801,672","1,451,380,383,645","228,008,667,491","334,203,360,895","358,007,940,447","662,727,832,485","627,623,119,624","293,997,082,677","529,208,835,745","643,232,348,547","354,505,975,224","329,935,002,702","356,372,278,266","250,883,797,030","77,707,335,485","588,420,282,072","200,435,966,870","631,640,562,382","100,393,167,255","688,970,398,267","485,799,790,143","297,347,943,643"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,493,451,860","662,725,281,630","500,733,970,140","935,003,594,747","132,773,461,828","343,471,278,576","264,410,625,973","1,313,390,348,790","202,597,677,436","300,919,602,154","314,273,899,879","627,695,765,661","585,974,585,852","262,096,468,270","487,585,446,802","595,408,088,152","336,905,734,682","302,383,034,696","333,657,998,889","238,197,738,197","73,698,031,579","546,624,960,934","179,942,109,355","588,367,869,319","76,772,548,838","636,770,831,296","456,549,518,919","273,126,585,563"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,034,744,253","49,148,101,398","53,292,393,057","69,054,916,656","18,793,656,426","30,569,338,578","26,970,175,699","137,990,034,855","25,410,990,055","33,283,758,741","43,734,040,568","35,032,066,824","41,648,533,772","31,900,614,407","41,623,388,943","47,824,260,395","17,600,240,542","27,551,968,006","22,714,279,377","12,686,058,833","4,009,303,906","41,795,321,138","20,493,857,515","43,272,693,063","23,620,618,417","52,199,566,971","29,250,271,224","24,221,358,080"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,354,384,847","6,154,345,186","10,818,230,339","17,183,004,386","6,189,210,390","7,906,640,403","12,479,126,281","1,295,876,833","8,485,246,421","8,819,798,846","8,080,941,987","810,950,382","5,724,822,938","1,702,215,266","780,106,998","11,329,340,853","6,495,698,208","8,832,169,046","5,674,780,055","51,841,542,836","1,673,478,724","9,927,811,451","1,071,823,362","1,465,041,500","523,820,910","3,889,443,690","1,524,790,205","18,864,124,985"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,834,287,639","14,804,879,544","19,978,651,921","11,854,806,853","11,565,599,510","7,116,225,350","8,624,870,824","13,522,389,617","15,589,010,166","10,117,095,981","12,113,931,790","8,195,108,219","12,057,142,654","8,487,821,116","9,350,413,231","11,884,752,450","5,019,151,071","4,720,437,659","4,686,607,042","18,193,342,104","7,753,544,075","10,306,052,048","8,504,848,821","7,189,660,503","3,387,466,031","6,110,520,094","5,081,986,975","7,243,029,749"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,659,449,428","12,690,391,630","11,605,812,062","12,383,773,319","9,053,882,594","5,725,100,142","5,960,494,586","10,466,138,302","11,312,668,954","7,926,691,252","10,341,704,204","5,155,226,054","8,937,710,686","5,669,087,757","6,971,765,396","7,690,779,234","3,881,481,264","3,204,267,203","2,992,872,231","5,041,700,739","7,186,493,372","8,889,770,946","6,487,274,667","5,284,934,302","2,783,718,749","2,540,851,019","3,996,653,565","2,532,119,369"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-692,006,436","-1,295,925,170","193,103,848","912,714,070",,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275,863,552","508,125,739","303,948,278","6,070,752,330","2,151,157,725","6,628,926,587","4,819,715,762","27,811,026,555","3,150,017,551","4,808,372,883","6,630,885,607","1,387,424,571","5,940,208,530","5,114,992,831","12,657,082,072","-7,346,712,747","5,606,073,796","4,639,019,657","9,273,605,055","12,661,833,391","9,128,827,358","11,325,214,783","8,836,020,039","16,168,509,989","9,522,176,296","14,835,926,614","12,487,792,928","17,802,521,482"
