,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,"78,700,749,309","60,039,155,619","75,874,271,305","94,631,311,198","115,180,225,485","86,767,081,650","129,730,955,191","133,826,029,962","148,336,324,189","126,238,440,002","154,113,976,308","134,574,617,851","138,838,145,441","111,241,746,587","152,184,962,580","153,242,722,975","153,294,724,946","115,816,042,560","135,202,289,195","131,407,518,547","156,393,985,903","123,283,094,714","150,880,708,153","164,912,234,863","185,125,542,304",,"198,362,170,284",,,"180,136,674,662","224,529,421,689","236,771,145,544","208,365,796,374","240,582,358,695","276,914,466,824","227,190,141,296","354,076,208,057","252,546,929,761","271,169,842,625","253,038,414,324","392,978,273,002","296,591,448,332","292,034,419,279","253,391,905,436","475,380,199,312","296,229,063,430","397,616,293,732","202,858,382,231","426,228,609,200","247,540,220,406",,"80,363,953,338","235,382,351,577","261,820,364,607","283,985,568,019","155,958,433,262","157,385,220,103","113,538,629,117","183,229,547,023","117,347,386,188","138,290,612,467","42,474,360,178","150,298,011,952","89,466,836,726","119,035,967,646"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,"32,378,000",,,,,,,,,,,,"28,330,545","4,037,633",,,,,,,,,,,,,,"4,700,751,100",,,"405,319,200","47,672,800","287,492,485","12,450,000","6,964,400",,"1,282,105,375",,"20,188,000","376,826,000","79,845,500",,,,,,"43,190,000",,,,,,"2,494,000",,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,"78,700,749,309","60,039,155,619","75,874,271,305","94,631,311,198","115,180,225,485","86,767,081,650","129,730,955,191","133,826,029,962","148,303,946,189","126,238,440,002","154,113,976,308","134,574,617,851","138,838,145,441","111,241,746,587","152,184,962,580","153,242,722,975","153,294,724,946","115,816,042,560","135,202,289,195","131,407,518,547","156,365,655,358","123,279,057,081","150,880,708,153","164,912,234,863","185,125,542,304",,"198,362,170,284",,,"180,136,674,662","224,529,421,689","236,771,145,544","208,365,796,374","240,582,358,695","276,914,466,824","222,489,390,196","354,076,208,057","252,546,929,761","270,764,523,425","252,990,741,524","392,690,780,517","296,578,998,332","292,027,454,879","253,391,905,436","474,098,093,937","296,229,063,430","397,596,105,732","202,481,556,231","426,148,763,700","247,540,220,406",,"80,363,953,338","235,382,351,577","261,820,364,607","283,942,378,019","155,958,433,262","157,385,220,103","113,538,629,117","183,229,547,023","117,347,386,188","138,288,118,467","42,474,360,178","150,298,011,952","89,466,836,726","119,035,967,646"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,"46,828,622,409","35,650,662,456","48,333,428,548","55,443,341,183","65,218,702,358","48,686,637,564","76,011,277,251","78,231,660,411","101,013,090,312","74,678,311,204","97,531,575,460","84,931,916,937","86,420,151,754","73,445,266,442","96,591,075,681","99,326,811,910","105,913,438,187","74,554,048,354","87,090,744,847","82,774,867,978","102,667,863,777","85,409,638,943","96,409,065,870","101,296,728,392","120,623,308,604",,"126,382,443,788",,,"112,430,707,096","131,988,008,555","135,067,341,167","127,204,959,456","134,783,219,407","159,907,799,924","139,720,284,222","224,942,247,898","143,253,096,523","136,902,996,840","141,551,199,922","179,516,135,272","168,703,737,368","147,732,033,000","159,387,420,056","198,789,174,127","169,860,433,340","183,587,488,996","123,940,052,284","241,959,994,588","130,471,553,362",,"50,975,688,335","125,506,825,359","158,436,451,927","165,304,169,905","105,184,165,520","112,783,041,507","59,218,134,550","103,456,785,789","70,857,036,788","87,579,871,391","30,472,482,636","56,372,535,970","65,712,998,398","71,040,924,427"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,"31,872,126,900","24,388,493,163","27,540,842,757","39,187,970,015","49,961,523,127","38,080,444,086","53,719,677,940","55,594,369,551","47,290,855,877","51,560,128,798","56,582,400,848","49,642,700,914","52,417,993,687","37,796,480,145","55,593,886,899","53,915,911,065","47,381,286,759","41,261,994,206","48,111,544,348","48,632,650,569","53,697,791,581","37,869,418,138","54,471,642,283","63,615,506,471","64,502,233,700",,"71,979,726,496",,,"67,705,967,566","92,541,413,134","101,703,804,377","81,160,836,918","105,799,139,288","117,006,666,900","82,769,105,974","129,133,960,159","109,293,833,238","133,861,526,585","111,439,541,602","213,174,645,245","127,875,260,964","144,295,421,879","94,004,485,380","275,308,919,810","126,368,630,090","214,008,616,736","78,541,503,947","184,188,769,112","117,068,667,044",,"29,388,265,003","109,875,526,218","103,383,912,680","118,638,208,114","50,774,267,742","44,602,178,596","54,320,494,567","79,772,761,234","46,490,349,400","50,708,247,076","12,001,877,542","93,925,475,982","23,753,838,328","47,995,043,219"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,"3,755,182,026","1,181,762,529","1,307,828,074","907,942,564","3,880,225,688","1,668,610,566","1,857,705,733","3,326,595,924","2,697,959,527","7,774,754,926","3,888,837,883","1,084,901,043","2,374,662,391","1,702,301,356","1,260,049,382","874,173,251","654,178,431","920,608,074","906,561,012","-71,213,145","148,940,821","78,864,496","877,519,756","-115,996,333","873,087,656",,"1,189,514,621",,,"201,165,559","311,018,759","2,772,908,874","3,965,440,902","2,632,865,354","3,179,257,931","4,317,957,555","5,600,527,767","6,318,902,016","6,072,132,463","3,980,309,122","5,145,273,274","4,189,745,420","19,055,433,819","4,021,086,711","4,874,332,784","4,079,013,138","4,021,034,337","32,170,800,959","42,650,801,086","4,024,935,666",,"71,707,576,908","20,718,656,747","5,353,256,032","17,825,768,541","49,063,977,806","21,988,502,546","15,689,861,913","15,194,205,481","15,674,315,409","37,608,030,246","34,922,508,030","39,903,495,964","21,423,845,424","32,034,790,064"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"557,958,460",,,"-303,148,254",,,,,,"1,426,490,677","14,730,886,734","14,211,585,504","14,816,451,730","14,917,392,487","21,837,806,170","25,183,545,438","25,119,459,791","25,527,934,816","22,929,725,611","48,300,791,316","21,292,433,076",,"22,459,044,345","22,973,138,708","25,851,850,330","36,161,962,425","35,842,846,896","37,252,531,916","30,314,744,282","45,425,727,369","25,139,937,036","59,730,788,965","25,134,442,290","63,596,448,414","20,389,377,435","38,384,512,787"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,426,490,677","14,730,886,734","14,136,114,499","14,816,451,730","14,917,392,487","21,837,806,170","24,274,523,438","24,654,194,991","23,801,902,816","20,832,187,732","19,607,707,067","20,986,433,078",,"22,458,768,913","22,973,012,512","25,851,850,330","36,161,962,425","35,842,846,896","37,252,531,916","30,314,744,282","45,425,727,369","25,121,451,303","59,730,514,248","25,074,784,049","63,596,170,681","20,382,293,451","38,347,934,363"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-773,837,327","-1,262,120,139","-966,056,952","-1,693,430,422","-2,261,725,461","-1,588,714,703","-1,015,104,872","-926,042,678","-1,186,900,570","-1,211,512,196","-1,290,071,970",,"-1,388,304,970","-1,411,078,383","-1,058,635,850","438,536,451","-1,116,073,023","-475,077,276","190,745,573","9,610,365","1,781,277,549","479,886,963","3,438,682,388","5,693,208,221","11,166,784,497","13,934,714,567"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,"9,377,610,481","4,025,247,434","5,871,992,079","6,394,990,929","11,439,321,096","6,276,095,025","11,583,151,051","11,965,658,753","9,814,678,051","8,530,915,104","12,204,358,151","9,755,869,862","9,686,026,067","9,721,085,764","10,863,092,818","12,307,097,967","16,343,144,566","9,046,113,908","12,923,915,385","14,096,461,995","16,307,512,719","10,928,629,520","15,547,424,048","20,431,100,891","20,740,776,426",,"15,582,038,247",,,"15,444,903,527","16,647,644,630","15,601,968,391","13,198,434,847","15,766,106,104","13,604,695,596","16,595,882,306","14,507,331,393","14,649,767,730","14,716,943,025","13,238,968,542","31,774,380,476","26,126,999,896","15,398,576,287","12,112,901,397","35,957,500,271","19,159,870,399","35,644,718,637","9,803,382,803","24,334,966,329","16,494,352,303",,"5,023,074,948","11,249,421,061","13,499,957,574","14,661,680,369","5,931,526,735","6,602,969,292","6,109,336,696","2,290,340,477","1,267,767,934","3,312,323,672","1,218,066,340","7,128,494,968","3,569,498,823","2,476,704,837"
