,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,"1,463,640,123,005","896,541,000,000","1,225,513,000,000","1,416,684,000,000","2,150,839,000,000","1,338,940,000,000","2,878,255,000,000","1,454,632,000,000","2,906,116,000,000","1,605,084,000,000","2,559,050,000,000","2,701,124,000,000","3,709,992,000,000","1,575,226,000,000","2,779,714,000,000","3,274,033,000,000","4,477,016,000,000","2,753,803,000,000","4,189,433,000,000","4,056,217,000,000","5,347,123,000,000",,,,,"9,220,203,000,000","10,808,050,000,000","11,443,435,000,000","13,628,488,000,000","8,837,248,000,000","9,913,448,000,000","9,691,656,000,000","10,537,884,000,000","8,631,085,000,000","9,407,602,000,000","9,450,824,000,000","11,889,236,000,000","8,476,442,000,000","9,622,617,000,000","9,323,735,000,000","11,395,953,000,000","18,003,892,000,000","18,149,931,000,000","20,614,349,000,000","22,100,147,000,000","20,320,723,000,000","21,577,402,000,000","23,903,900,000,000","23,989,594,000,000","18,218,759,000,000","17,862,146,000,000","19,577,827,000,000","20,722,018,000,000","18,714,952,000,000","18,696,931,000,000","20,244,809,000,000","20,860,307,000,000","18,942,352,000,000",,"21,574,637,000,000","22,735,941,000,000"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,"110,556,232,224","34,165,000,000","8,673,000,000","11,730,000,000","50,404,000,000","13,018,000,000","39,629,000,000","47,269,000,000","95,257,000,000","67,531,000,000","34,728,000,000","27,995,000,000","55,581,000,000","41,240,000,000","43,621,000,000","39,019,000,000","39,576,000,000","38,790,000,000","65,493,000,000","62,296,000,000","91,361,000,000",,,,,"451,577,000,000","435,330,000,000","436,703,000,000","479,502,000,000","297,383,000,000","434,605,000,000","259,058,000,000","368,544,000,000","357,092,000,000","223,214,000,000","279,470,000,000","331,354,000,000","316,320,000,000","372,214,000,000","355,860,000,000","420,266,000,000","366,305,000,000","383,549,000,000","400,041,000,000","500,616,000,000","343,862,000,000","358,108,000,000","299,091,000,000","161,791,000,000","29,423,000,000","28,093,000,000","54,772,000,000","79,237,000,000","8,725,000,000","88,370,000,000","89,898,000,000","78,387,000,000","87,454,000,000",,"87,742,000,000","34,410,000,000"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,"1,353,083,890,781","862,376,000,000","1,216,840,000,000","1,404,954,000,000","2,100,435,000,000","1,325,922,000,000","2,838,626,000,000","1,407,363,000,000","2,810,859,000,000","1,537,553,000,000","2,524,322,000,000","2,673,129,000,000","3,654,411,000,000","1,533,986,000,000","2,736,093,000,000","3,235,014,000,000","4,437,440,000,000","2,715,013,000,000","4,123,940,000,000","3,993,921,000,000","5,255,762,000,000",,,,,"8,768,626,000,000","10,372,720,000,000","11,006,732,000,000","13,148,986,000,000","8,539,865,000,000","9,478,843,000,000","9,432,598,000,000","10,169,340,000,000","8,273,993,000,000","9,184,388,000,000","9,171,354,000,000","11,557,882,000,000","8,160,122,000,000","9,250,403,000,000","8,967,875,000,000","10,975,687,000,000","17,637,587,000,000","17,766,382,000,000","20,214,308,000,000","21,599,531,000,000","19,976,861,000,000","21,219,294,000,000","23,604,809,000,000","23,827,803,000,000","18,189,336,000,000","17,834,053,000,000","19,523,055,000,000","20,642,781,000,000","18,706,227,000,000","18,608,561,000,000","20,154,911,000,000","20,781,920,000,000","18,854,898,000,000",,"21,486,895,000,000","22,701,531,000,000"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,"860,603,087,266","539,753,000,000","686,730,000,000","794,252,000,000","1,166,754,000,000","758,816,000,000","1,658,410,000,000","784,106,000,000","1,557,412,000,000","978,495,000,000","1,486,209,000,000","1,588,558,000,000","2,124,107,000,000","1,026,687,000,000","1,624,772,000,000","1,840,616,000,000","2,450,158,000,000","1,632,394,000,000","2,578,841,000,000","2,362,782,000,000","2,914,991,000,000",,,,,"6,356,479,000,000","7,210,329,000,000","7,724,908,000,000","9,075,263,000,000","6,070,243,000,000","6,615,913,000,000","6,526,489,000,000","6,776,191,000,000","5,512,483,000,000","6,376,830,000,000","6,397,520,000,000","8,019,375,000,000","5,697,141,000,000","6,583,116,000,000","6,536,281,000,000","7,596,401,000,000","13,676,072,000,000","13,871,798,000,000","15,396,469,000,000","16,384,772,000,000","15,662,741,000,000","16,372,047,000,000","17,508,621,000,000","16,950,557,000,000","13,100,229,000,000","12,866,613,000,000","14,098,747,000,000","15,088,612,000,000","13,620,060,000,000","13,281,084,000,000","14,215,276,000,000","15,014,087,000,000","13,600,060,000,000",,"15,066,285,000,000","15,638,991,000,000"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,"492,480,803,515","322,623,000,000","530,110,000,000","610,702,000,000","933,681,000,000","567,106,000,000","1,180,216,000,000","623,257,000,000","1,253,447,000,000","559,058,000,000","1,038,113,000,000","1,084,571,000,000","1,530,304,000,000","507,299,000,000","1,111,321,000,000","1,394,398,000,000","1,987,282,000,000","1,082,619,000,000","1,545,099,000,000","1,631,139,000,000","2,340,771,000,000",,,,,"2,412,147,000,000","3,162,391,000,000","3,281,824,000,000","4,073,723,000,000","2,469,622,000,000","2,862,930,000,000","2,906,109,000,000","3,393,149,000,000","2,761,510,000,000","2,807,558,000,000","2,773,834,000,000","3,538,507,000,000","2,462,981,000,000","2,667,287,000,000","2,431,594,000,000","3,379,286,000,000","3,961,515,000,000","3,894,584,000,000","4,817,839,000,000","5,214,759,000,000","4,314,120,000,000","4,847,247,000,000","6,096,188,000,000","6,877,246,000,000","5,089,107,000,000","4,967,440,000,000","5,424,308,000,000","5,554,169,000,000","5,086,167,000,000","5,327,477,000,000","5,939,635,000,000","5,767,833,000,000","5,254,838,000,000",,"6,420,610,000,000","7,062,540,000,000"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,"81,108,321,347","65,360,000,000","71,023,000,000","90,315,000,000","1,772,924,000,000","186,891,000,000","469,904,000,000","399,691,000,000","311,706,000,000","361,606,000,000","194,532,000,000","128,542,000,000","123,604,000,000","139,756,000,000","87,361,000,000","92,349,000,000","344,655,000,000","193,308,000,000","79,159,000,000","80,324,000,000","1,218,176,000,000",,,,,"218,023,000,000","163,764,000,000","168,708,000,000","218,699,000,000","134,160,000,000","136,226,000,000","89,181,000,000","1,045,093,000,000","86,268,000,000","1,547,263,000,000","125,365,000,000","142,897,000,000","72,372,000,000","86,589,000,000","791,269,000,000","237,953,000,000","117,090,000,000","977,810,000,000","158,539,000,000","177,224,000,000","216,267,000,000","245,419,000,000","326,610,000,000","6,011,282,000,000","1,006,046,000,000","585,014,000,000","330,194,000,000","654,309,000,000","650,012,000,000","689,805,000,000","420,977,000,000","644,411,000,000","574,011,000,000",,"854,509,000,000","1,967,701,000,000"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,593,000,000","65,862,000,000",,"64,602,000,000","50,593,000,000",,,,"739,854,000,000",,,,,,,"733,046,000,000","729,138,000,000","860,218,000,000","968,824,000,000","922,609,000,000","926,011,000,000","776,747,000,000","1,070,217,000,000","781,390,000,000","791,154,000,000","840,287,000,000","678,083,000,000","529,303,000,000","556,823,000,000","594,563,000,000","519,873,000,000","783,077,000,000","1,076,091,000,000","1,277,077,000,000","1,420,426,000,000","1,382,728,000,000","1,396,712,000,000","1,366,192,000,000","1,560,899,000,000","1,296,138,000,000","1,576,125,000,000","1,666,642,000,000","1,822,737,000,000","1,989,427,000,000","2,139,281,000,000","2,386,183,000,000","1,614,622,000,000","1,899,341,000,000",,"2,032,036,000,000","1,917,003,000,000"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,593,000,000","65,862,000,000",,"64,602,000,000","50,593,000,000",,,,"739,854,000,000",,,,,,,"688,439,000,000","709,454,000,000","842,244,000,000","872,343,000,000","891,943,000,000","895,085,000,000","735,123,000,000","913,171,000,000","757,229,000,000","743,283,000,000","757,024,000,000","539,222,000,000","453,620,000,000","451,152,000,000","492,426,000,000","468,817,000,000","678,460,000,000","862,707,000,000","1,090,959,000,000","1,138,157,000,000","1,194,144,000,000","1,179,868,000,000","1,157,486,000,000","1,137,928,000,000","1,161,355,000,000","1,073,800,000,000","1,126,241,000,000","1,486,306,000,000","1,746,572,000,000","1,785,953,000,000","1,744,521,000,000","1,669,014,000,000","1,621,898,000,000",,"1,707,361,000,000","14,526,425,000,000"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,092,000,000","246,933,000,000","314,673,000,000","275,240,000,000","325,137,000,000","353,446,000,000","553,684,000,000","811,963,000,000","517,072,000,000","470,369,000,000","442,416,000,000","484,483,000,000","446,777,000,000","533,246,000,000","552,159,000,000","650,228,000,000","527,738,000,000","604,480,000,000","676,550,000,000","831,300,000,000","946,559,000,000","1,024,394,000,000","933,881,000,000","991,807,000,000","1,193,860,000,000","1,251,638,000,000","1,144,826,000,000","749,326,000,000","977,535,000,000","923,588,000,000","1,048,977,000,000","945,882,000,000","1,248,537,000,000",,"1,158,157,000,000","763,709,000,000"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,"214,311,612,999","187,227,000,000","187,001,000,000","224,588,000,000","352,969,000,000","176,128,000,000","384,890,000,000","232,243,000,000","391,464,000,000","224,387,000,000","302,172,000,000","376,479,000,000","413,496,000,000","345,967,000,000","386,078,000,000","591,193,000,000","658,349,000,000","618,254,000,000","721,649,000,000","641,790,000,000","883,144,000,000",,,,,"997,539,000,000","1,173,528,000,000","1,194,561,000,000","1,604,875,000,000","1,214,391,000,000","1,601,934,000,000","1,207,412,000,000","1,267,135,000,000","956,899,000,000","1,018,219,000,000","934,405,000,000","1,404,730,000,000","812,509,000,000","956,005,000,000","1,063,296,000,000","1,163,085,000,000","3,106,541,000,000","3,206,947,000,000","3,315,413,000,000","3,537,186,000,000","2,728,343,000,000","2,668,793,000,000","3,083,017,000,000","3,306,185,000,000","3,044,028,000,000","2,933,387,000,000","3,284,082,000,000","3,250,042,000,000","3,316,244,000,000","3,432,137,000,000","3,623,606,000,000","3,820,368,000,000","3,579,977,000,000",,"3,678,318,000,000","3,604,582,000,000"
