,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,832,081,873","160,173,011,890","139,739,552,387","102,550,506,208","65,625,164,898","202,792,221,319","125,870,572,264","129,831,483,304","58,384,946,669","114,335,017,426","154,914,647,318","279,930,979,661","210,963,844,842","320,707,544,412","269,374,777,594","268,821,682,883","290,833,757,364","346,762,462,608","282,265,006,693","294,481,988,390","304,017,444,448","491,350,123,448","413,189,911,399","420,787,416,877","314,329,364,941","494,701,729,761","559,758,157,678","450,276,602,955","406,850,842,747","456,656,297,768","512,088,282,817","378,959,532,973","312,201,329,290","448,008,853,485","360,079,731,797","338,222,194,660"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,535,530","498,892,586","1,416,433,689","328,820,729","2,387,560,506","100,264,119","2,330,284,200","5,762,774,363","1,887,314,550","1,236,012,818","14,376,180","4,188,379,390","1,805,168,517","429,074,420","5,225,338,690","20,344,428,684","2,392,360,635","147,569,890","3,994,485,468","2,105,861,550","65,993,008","2,078,998,810","3,111,719,933","7,479,259,789","7,001,961,894","3,523,139,511","12,681,447,149","29,289,362,587","4,403,095,885","10,900,065,104","4,872,017,015","1,914,236,690","1,539,404,832","7,021,407,925","1,808,889,620","10,325,747,068"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74,749,546,343","159,674,119,304","138,323,118,698","102,221,685,479","63,237,604,392","202,691,957,200","123,540,288,064","124,068,708,941","56,497,632,119","113,099,004,608","154,900,271,138","275,742,600,271","209,158,676,325","320,278,469,992","264,149,438,904","248,477,254,199","288,441,396,729","346,614,892,718","278,270,521,225","292,376,126,840","303,951,451,440","489,271,124,638","410,078,191,466","413,308,157,088","307,327,403,047","491,178,590,250","547,076,710,529","420,987,240,368","402,447,746,862","445,756,232,664","507,216,265,802","377,045,296,283","310,661,924,458","440,987,445,560","358,270,842,177","327,896,447,592"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,198,240,973","123,233,722,167","110,318,075,674","56,344,766,765","43,344,238,493","141,522,929,043","83,556,562,490","93,133,701,671","34,696,705,250","79,068,361,143","123,518,023,799","223,108,315,203","166,786,907,981","262,655,877,016","193,283,852,436","185,742,649,601","221,896,504,695","275,574,702,630","225,357,326,876","227,065,085,642","250,665,133,558","403,363,439,085","333,084,617,298","331,022,803,159","252,929,149,072","370,773,183,545","439,900,072,785","326,378,652,584","317,953,049,185","318,856,207,029","379,397,211,475","244,582,417,880","218,408,459,776","304,907,650,121","261,379,390,866","248,494,446,691"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,551,305,370","36,440,397,137","28,005,043,024","45,876,918,714","19,893,365,899","61,169,028,157","39,983,725,574","30,935,007,270","21,800,926,869","34,030,643,465","31,382,247,339","52,634,285,068","42,371,768,344","57,622,592,976","70,865,586,468","62,734,604,598","66,544,892,034","71,040,190,088","52,913,194,349","65,311,041,198","53,286,317,882","85,907,685,553","76,993,574,168","82,285,353,929","54,398,253,975","120,405,406,705","107,176,637,744","94,608,587,784","84,494,697,677","126,900,025,635","127,819,054,327","132,462,878,403","92,253,464,682","136,079,795,439","96,891,451,311","79,402,000,901"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,549,856,488","1,425,048,136","1,472,828,642","4,085,905,811","1,593,175,150","1,430,284,471","1,656,433,310","2,087,149,302","1,877,004,001","2,437,864,672","1,839,117,774","2,693,771,915","981,955,021","1,701,352,129","1,884,237,442","2,843,501,922","1,405,127,977","2,057,174,089","1,316,089,932","2,032,765,088","7,814,781,330","7,246,486,092","4,164,119,864","5,576,316,923","3,128,100,637","5,231,889,716","6,136,208,197","16,422,057,385","7,736,424,894","8,685,938,369","32,526,601,383","-13,151,528,826","5,861,172,939","8,506,271,951","8,718,915,072","11,825,454,894"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,143,034,668","7,162,395,865","1,699,416,704","5,213,138,195","1,859,337,390","3,705,076,273","1,837,083,458","4,034,289,271","2,239,451,225","6,075,313,100","6,253,505,217","6,101,489,475","6,995,671,970","12,868,952,350","8,042,371,678","11,525,043,894","7,006,156,187","14,968,956,201","12,528,166,654","13,837,721,555","12,306,688,517","11,323,750,236","8,469,818,535","10,445,642,423","6,810,445,498","12,111,545,070","8,262,115,928","23,990,833,700","12,038,730,388","21,072,933,749","16,489,575,769","24,887,242,640","12,019,555,859","19,899,471,676","18,328,745,446","15,136,088,192"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"842,886,206","1,198,942,391","1,369,813,097","1,798,443,834","1,493,713,460","2,863,813,426","2,700,780,758","2,125,031,207","2,204,006,004","4,833,059,703","5,422,039,095","4,778,963,157","6,878,997,198","8,094,066,837","7,153,852,100","8,653,526,530","6,296,885,703","10,674,640,442","10,972,162,136","12,263,646,090","10,213,730,586","9,540,359,617","7,082,871,337","5,307,581,868","5,906,063,789","6,322,619,374","5,057,972,854","8,566,123,565","9,637,214,459","13,003,552,362","12,478,947,792","12,333,994,248","10,596,895,673","11,601,013,372","13,903,536,967","13,111,970,219"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-77,636,005",,"-197,607,376","-138,599,869","-49,629,953","193,874,898","-240,227,856","-776,677,677","-34,373,312","-29,201,414","417,502,385","-638,779,920",,"206,598,697","-423,440,351","1,272,069,654","467,113,832","-382,294,311",,,,"-868,481,685",,"996,179,722",,"-1,015,388,796",,"240,639,362",,"-544,416,440","544,416,440",,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,341,957,233","8,245,541,598","4,148,186,229","11,098,539,091","5,851,234,880","12,683,131,543","8,648,409,165","6,716,974,938","6,822,682,631","7,423,964,050","9,823,834,020","22,590,117,044","18,603,052,420","23,064,627,518","36,215,864,985","32,531,345,352","33,216,712,252","17,561,271,837","15,671,570,806","30,901,363,270","26,874,228,796","39,677,879,850","42,852,864,591","39,303,795,242","32,129,700,831","63,956,850,356","50,225,201,802","43,808,209,253","35,049,083,176","23,932,583,993","47,350,533,001","29,313,051,971","33,441,482,190","40,677,394,084","26,231,555,259","21,291,140,597"
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,059,567,182","6,023,751,255","5,006,576,772","10,030,191,889","6,824,744,231","9,358,945,941","6,099,588,733","6,933,985,852","6,276,790,679","8,509,225,906","7,262,082,355","10,825,138,440","10,016,089,028","10,416,483,202","8,548,876,021","9,158,747,872","11,285,555,544","16,792,226,914","9,466,921,759","9,856,396,322","7,943,004,364","9,010,541,183","7,429,028,726","12,423,056,769","8,051,553,695","9,068,687,197","12,198,262,529","35,733,157,394","29,838,420,857","35,558,298,285","56,948,842,636","52,189,787,046","35,398,928,223","36,676,735,303","26,241,207,833","22,752,013,666"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,478,966,770","16,433,756,555","18,426,084,586","23,482,355,481","6,901,594,595","37,046,033,769","24,814,849,672","14,560,228,834","8,304,633,023","14,430,803,667","10,299,445,906","15,172,532,104","7,738,909,947","13,180,480,732","19,519,270,875","13,635,039,056","16,908,709,860","23,392,614,914","16,562,625,062","12,748,325,139","13,977,177,535","32,273,518,691","22,405,982,180","26,685,356,140","10,534,654,588","39,484,825,002","42,627,265,682","7,739,084,184","15,304,888,150","54,477,731,537","40,101,120,744","12,921,267,920","17,254,671,349","47,332,466,327","34,808,857,845","32,048,213,340"
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,786,799","66,218,272","17,926,849","34,858,387","1,978,685","180,634,573","230,955,027","2,254,295,048","24,850,013","2,178,126,786","36,100","3,037,624","23,380,209","271,988,300","26,180,322","760,158,233","471,341,115","337,957,614","1,755,376,310",,"77,970,166","1,860,185,785","2,992,707,420","317,891,485","1,317,875,200","1,436,422,440","1,390,587,076","15,783,388,125","693,890,013","1,050,215,400","11,575,756,759","11,402,789,159","461,596,524","30,032,520,784","1,009,084,716","2,161,713,516"
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,908,449","161,050,528","152,520,157","8,304,162","18,762,313","1,725,088,086","593,895,499","754,190,572","2,403,196,278","2,096,759,327","4,562,414","568,053,056","124,631,397","36,199,502","367,881,029","801,843,280","827,638,582","311,683,300","1,279,427,639","1,288,094,855","119,925,663","1,575,523,587","556,712,553","3,563,410,222","2,068,203,046","5,870,844,935","2,193,577,876","16,314,102,072","623,839,498","1,688,119,778","9,219,464,032","4,902,917,089","424,033,203","18,393,766,130","1,036,543,663","1,617,033,830"
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,878,350","-94,832,256","-134,593,308","26,554,225","-16,783,628","-1,544,453,513","-362,940,472","1,500,104,476","-2,378,346,265","81,367,459","-4,526,314","-565,015,432","-101,251,188","235,788,798","-341,700,707","-41,685,047","-356,297,467","26,274,314","475,948,671","-1,288,094,855","-41,955,497","284,662,198","2,435,994,867","-3,245,518,737","-750,327,846","-4,434,422,495","-802,990,800","-530,713,947","70,050,515","-637,904,378","2,356,292,727","6,499,872,070","37,563,321","11,638,754,654","-27,458,947","544,679,686"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,530,845,120","16,338,924,299","18,291,491,278","23,508,909,706","6,884,810,967","35,501,580,256","24,451,909,200","16,060,333,310","5,926,286,758","14,512,171,126","10,294,919,592","14,607,516,672","7,637,658,759","13,416,269,530","19,177,570,168","13,593,354,009","16,552,412,393","23,418,889,228","17,038,573,733","11,460,230,284","13,935,222,038","32,558,180,889","24,841,977,047","23,439,837,403","9,784,326,742","35,050,402,507","41,824,274,882","7,208,370,237","15,374,938,665","53,839,827,159","42,457,413,471","19,421,139,990","17,292,234,670","58,971,220,981","34,781,398,898","32,592,893,026"
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"540,720,754","2,363,750,158","1,076,788,256","2,180,926,805","1,861,503,102","3,743,773,854","5,787,307,226",,"553,200,000","1,528,669,022","290,079,647","1,195,280,005","404,403,469","1,592,888,340","2,645,747,695","-2,227,169,644","1,046,814,163","5,980,214,836","3,628,041,122","-935,493,865","2,366,937,287","4,187,380,229","4,314,209,063","1,291,489,700","1,444,003,582","5,476,048,768","6,272,361,618","-193,618,598","2,156,793,402","5,428,595,768","8,445,588,593","10,588,052,520","4,400,174,793","8,568,024,125","10,533,916,845","-802,436,562"
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264,228,390",,"132,374,076","38,736,778","270,882,904","620,253,554","59,460,037","626,252,983","324,374,502","-1,292,218,134",,"2,416,917,699","2,030,662,238","2,572,927,420","-1,419,110,629","-645,479,516","-696,901,176","-3,825,969,241","-117,938,134","-110,859,261","-31,106,106","-88,969,099",,"320,385,788",,"32,316,141",,"2,384,443,853","-158,224,517","130,234,334","-150,371,523","-5,196,657,884","-736,139,097","-737,067,014","-3,867,170,517","7,391,100,276"
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,725,895,976","13,975,174,141","17,082,328,946","21,289,246,123","4,752,424,961","31,137,552,848","18,605,141,937","15,434,080,327","5,048,712,256","14,275,720,238","10,004,839,945","10,995,318,968","5,202,593,052","9,250,453,770","17,950,933,102","16,466,003,169","16,202,499,406","21,264,643,633","13,528,470,745","12,506,583,410","11,599,390,857","28,459,769,759","20,527,767,984","21,827,961,915","8,340,323,160","29,542,037,598","35,551,913,264","5,017,544,982","13,376,369,780","48,280,997,057","34,162,196,401","14,029,745,354","13,628,198,974","51,140,263,870","28,114,652,570","26,004,229,312"
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,533,142,502","11,390,799,319","13,033,314,015","16,840,756,016","3,054,611,594","24,914,068,005","18,614,747,707","9,755,292,319","2,133,361,113","9,758,021,301","8,953,011,324","5,879,649,643","5,202,422,896","9,243,276,458","17,935,196,950","16,443,692,514","16,167,262,775","21,208,380,031","13,527,456,934","12,371,967,440","-4,190,422","28,409,531,155","20,480,744,279","21,802,996,694","8,333,670,736","29,501,446,201","35,474,398,042","5,014,770,527","13,320,152,495","48,226,083,672","34,048,524,284","14,044,585,319","13,608,631,016","51,061,093,534","28,057,320,620","25,969,823,999"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,192,753,475","2,584,374,822","4,049,014,931","4,448,490,107","1,697,813,367","6,223,484,843","-9,605,770","5,678,788,008","2,915,351,143","4,517,698,937","1,051,828,621","5,115,669,325","170,156","7,177,312","15,736,152","22,310,655","35,236,631","56,263,602","1,013,811","134,615,970","11,603,581,279","50,238,604","47,023,705","24,965,221","6,652,424","40,591,397","77,515,222","2,774,455","56,217,285","54,913,385","113,672,117","-14,839,965","19,567,958","79,170,335","57,331,950","34,405,313"
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,380,434,561,102,830,620,325,71,323,288,175,143,250,400,344,364,373,234,212,194,474,342,361,132,469,564,80,212,766,541,278,269,"1,010",551,498
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
