,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,451,514,699","260,668,517,783","311,827,630,885","368,182,393,591","258,971,656,119","198,426,907,991","288,959,617,573","319,036,532,430","492,309,907,336","532,711,522,439",,"570,631,906,389","549,671,128,599","534,304,483,365","646,974,132,090","661,259,937,287","542,116,450,807","495,612,002,308","490,137,454,822","515,434,968,295","445,528,985,742","504,427,699,645","550,956,469,486","597,813,317,579"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,020,080","5,116,563","37,790,628","162,405,818","175,923,570","23,402,427","12,728,879","1,024,320,034","3,890,471,218","1,057,553,986",,"2,020,848,896","1,369,947,393","1,415,283,364","2,429,962,653","3,830,177,563","133,267,450","1,423,892,272","1,296,054,751","1,162,903,606","282,787,072","381,389,378","244,596,792","912,246,570"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,448,494,619","260,663,401,220","311,789,840,257","368,019,987,773","258,795,732,549","198,403,505,564","288,946,888,694","318,012,212,396","488,419,436,118","531,653,968,453",,"568,611,057,493","548,301,181,206","532,889,200,001","644,544,169,437","657,429,759,724","541,983,183,357","494,188,110,036","488,841,400,071","514,272,064,689","445,246,198,670","504,046,310,267","550,711,872,694","596,901,071,009"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,846,366,140","232,332,817,908","262,514,329,875","319,591,538,298","214,059,782,494","175,386,759,595","236,862,726,404","262,574,424,837","417,003,476,126","448,036,818,377",,"458,776,227,132","433,731,766,479","445,677,686,273","541,486,282,723","548,103,945,551","449,835,637,893","433,035,581,245","426,852,928,834","426,933,968,500","357,747,805,851","406,055,182,471","443,597,326,789","498,728,156,440"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,602,128,479","28,330,583,312","49,275,510,382","48,428,449,475","44,735,950,055","23,016,745,969","52,084,162,290","55,437,787,559","71,415,959,992","83,617,150,076",,"109,834,830,361","114,569,414,727","87,211,513,728","103,057,886,714","109,325,814,173","92,147,545,464","61,152,528,791","61,988,471,237","87,338,096,189","87,498,392,819","97,991,127,796","107,114,545,905","98,172,914,569"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,673,545,669","4,050,921,424","4,853,483,139","4,281,305,389","2,050,891,016","1,868,810,012","1,060,706,469","711,399,371","15,976,297,074","12,697,701,947",,"1,936,675,867","19,252,518,028","2,968,258,605","9,584,669,094","17,056,793,366","6,994,938,571","10,520,432,477","6,996,051,236","11,757,884,730","8,272,232,856","10,095,735,725","4,565,004,433","9,093,227,183"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,496,942,557","2,958,651,818","7,261,299,255","7,599,142,046","8,329,177,043","9,236,377,281","9,435,323,907","8,969,972,887","20,657,901,418","6,743,332,428",,"13,239,749,297","10,748,312,622","12,779,955,122","11,937,193,492","23,327,300,836","13,852,821,056","15,534,486,055","10,257,083,912","10,519,969,630","5,134,833,639","6,304,512,596","6,677,099,279","14,382,802,228"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,495,233,995","2,383,262,609","3,891,912,949","6,779,501,676","8,327,246,184","8,988,963,717","9,416,924,165","8,164,202,362","12,337,562,600","14,185,986,818",,"10,031,160,252","10,147,065,669","11,119,262,646","10,149,791,926","12,152,113,393","12,951,156,589","13,777,495,337","10,091,376,466","9,122,297,998","4,910,584,381","5,384,067,368","5,872,380,664","5,036,542,772"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,264,835,755","-5,233,978,079","-6,007,127,987","-5,492,309,532",,"-18,083,706,198",,,,,"-922,410,927","932,470,859","-2,942,606,377","-3,107,096,248","-88,930,461","516,752,908","-428,516,112","-2,663,497,152","-40,049,292,732","-22,182,836,002"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,850,372,175","8,896,003,939","8,505,538,830","9,887,939,009","8,404,728,152","5,748,823,190","8,608,224,287","9,712,733,516","35,399,854,482","40,148,033,046",,"55,164,424,168","69,495,618,300","45,431,581,660","41,238,516,217","32,972,830,191","24,579,501,293","23,582,958,286","20,954,336,110","23,465,608,586","23,797,960,126","35,986,234,567","38,534,331,184","30,937,149,721"
