,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"553,788,609,690","590,258,299,657","432,326,606,044","455,238,159,652","776,922,287,491","904,131,991,460","795,881,090,215","504,651,498,598","849,125,929,102","435,214,770,986","898,042,403,349","790,983,976,097","549,189,467,940","778,430,731,329","867,836,863,989","1,173,635,482,004","1,129,834,154,965","1,497,065,786,592","1,469,296,710,592","1,531,591,197,011","1,384,621,191,768","1,459,040,899,623",,"1,322,226,851,327",,,"1,799,602,155,839","2,176,273,316,025","2,506,786,021,052","2,459,222,855,931","2,393,404,925,788","3,104,817,873,135","3,813,078,871,214","3,325,929,196,007","3,593,260,439,408","4,310,634,832,640","3,482,289,506,350","3,474,430,536,618","2,956,268,026,821","2,976,999,285,806","3,083,939,349,476","3,206,852,856,788","2,458,772,195,862","2,330,458,411,710","3,386,235,079,715","3,438,525,405,520","4,860,890,067,880","7,016,342,279,063","7,534,015,087,344","8,794,902,421,464","7,163,768,766,837","7,206,140,590,526","4,437,556,406,446","4,320,863,226,776","4,380,101,973,620","5,506,695,316,549","4,268,428,310,383","4,465,986,967,155","5,316,244,691,378",,"5,208,824,762,566","4,498,919,760,119"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,"519,973,472","177,638,490","73,042,217","79,539,264","222,810,186","968,349,371","1,569,304,420","6,944,607,098","733,734,070","6,399,336,124","5,136,621,905","1,115,007,149","927,131,697","970,673,489","1,910,158,999","3,162,896,610","618,586,468","3,291,942,661","2,044,449,826",,"937,390,168",,,"1,016,402,253","1,582,963,923","1,893,331,371","875,806,872","1,404,945,979","10,453,510,221","2,639,773,796","3,766,867,435","7,617,139,595","19,357,859,673","10,267,275,613","11,588,676,665","12,827,200,248","13,255,124,196","15,449,739,431","5,730,540,359","7,210,088,051","16,104,269,610","10,620,046,446","20,382,168,540","8,351,869,568","6,485,849,987","2,972,274,577","14,937,625,393","12,401,919,892","10,126,853,595","13,514,384,153","21,038,547,698","5,373,531,300","6,728,163,362","6,366,644,984","6,769,974,974","25,149,872,580",,"20,556,122,744","29,795,309,573"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"553,788,609,690","590,258,299,657","432,326,606,044","454,718,186,180","776,744,649,001","904,058,949,243","795,801,550,951","504,428,688,412","848,157,579,731","433,645,466,566","891,097,796,251","790,250,242,027","542,790,131,816","773,294,109,424","866,721,856,840","1,172,708,350,307","1,128,863,481,476","1,495,155,627,593","1,466,133,813,982","1,530,972,610,543","1,381,329,249,107","1,456,996,449,797",,"1,321,289,461,159",,,"1,798,585,753,586","2,174,690,352,102","2,504,892,689,681","2,458,347,049,059","2,391,999,979,809","3,094,364,362,914","3,810,439,097,418","3,322,162,328,572","3,585,643,299,813","4,291,276,972,967","3,472,022,230,737","3,462,841,859,953","2,943,440,826,573","2,963,744,161,610","3,068,489,610,045","3,201,122,316,429","2,451,562,107,811","2,314,354,142,100","3,375,615,033,269","3,418,143,236,980","4,852,538,198,312","7,009,856,429,076","7,531,042,812,767","8,779,964,796,071","7,151,366,846,945","7,196,013,736,931","4,424,042,022,293","4,299,824,679,078","4,374,728,442,320","5,499,967,153,187","4,262,061,665,399","4,459,216,992,181","5,291,094,818,798",,"5,188,268,639,822","4,469,124,450,546"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"505,936,396,625","524,438,466,165","375,756,326,473","386,377,738,124","707,749,067,626","842,082,712,193","712,647,158,280","455,870,889,110","808,684,259,434","397,083,128,434","841,318,001,165","737,374,862,595","536,006,114,515","759,881,094,599","775,490,950,881","1,087,716,951,592","1,076,919,525,404","1,425,790,346,340","1,393,744,055,981","1,442,911,306,783","1,305,635,183,395","1,375,756,787,620",,"1,207,116,852,933",,,"1,659,120,292,471","1,818,278,493,177","2,231,188,745,838","2,215,957,177,553","2,085,179,771,554","2,756,546,856,407","3,415,748,617,782","2,993,144,340,276","3,290,022,053,328","3,982,415,777,839","3,303,732,961,513","3,442,768,074,843","2,944,683,462,802","2,851,250,131,666","2,967,564,136,003","3,071,550,519,011","2,239,550,898,773","2,207,014,162,659","3,133,214,365,983","3,110,685,264,116","4,242,450,570,695","5,703,792,215,904","6,235,050,946,121","7,722,179,448,749","6,194,495,760,219","6,302,435,149,637","4,583,215,267,445","4,448,894,900,222","4,237,000,626,557","5,003,625,595,179","4,057,096,024,272","4,185,988,991,032","4,723,759,260,820",,"4,736,614,937,487","4,168,287,024,067"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"47,852,213,065","65,819,833,492","56,570,279,571","68,340,448,056","68,995,581,375","61,976,237,050","83,154,392,671","48,557,799,302","39,473,320,297","36,562,338,132","49,779,795,086","52,875,379,432","6,784,017,301","13,413,014,825","91,230,905,959","84,991,398,715","51,943,956,072","69,365,281,253","72,389,758,001","88,061,303,760","75,694,065,712","81,239,662,177",,"114,172,608,226",,,"139,465,461,115","356,411,858,925","273,703,943,843","242,389,871,506","306,820,208,255","337,817,506,507","394,690,479,636","329,017,988,296","295,621,246,485","308,861,195,128","168,289,269,224","20,073,785,110","-1,242,636,229","112,494,029,944","100,925,474,042","129,571,797,418","212,011,209,038","107,339,979,441","242,400,667,286","307,457,972,864","610,087,627,617","1,306,064,213,172","1,295,991,866,646","1,057,785,347,322","956,871,086,726","893,578,587,294","-159,173,245,152","-149,070,221,144","137,727,815,763","496,341,558,008","204,965,641,127","273,228,001,149","567,335,557,978",,"451,653,702,335","300,837,426,479"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"756,656,978","1,796,811,775","1,589,996,393","3,180,456,000","135,926,828","3,872,678,080","9,125,209,311","1,957,866,102","4,110,518,702","5,071,508,137","5,275,110,019","3,908,382,853","697,074,357","248,203,844","2,570,961,788","5,247,065,705","5,693,458,236","3,253,849,529","1,244,148,886","3,443,735,506","2,229,032,223","4,098,666,612",,"4,300,779,198",,,"28,660,912,850","28,162,574,374","21,582,940,276","32,071,054,720","44,127,021,236","24,704,312,828","25,350,603,789","21,245,224,664","18,235,132,321","20,740,191,783","40,626,686,518","18,055,665,923","8,770,464,737","38,938,905,714","29,551,277,178","101,802,574,764","8,019,624,851","42,752,790,206","21,160,883,152","25,186,427,168","17,383,907,187","37,186,007,675","38,905,795,528","105,742,725,476","73,120,003,389","108,414,103,827","74,327,941,483","47,023,523,656","57,452,250,950","50,563,899,339","78,951,019,759","43,411,372,094","65,679,178,568",,"59,674,381,380","101,646,683,642"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,790,619,995","42,188,836,036",,,"43,533,037,779","40,683,633,191","37,962,289,997","34,295,076,752","33,708,626,780","28,375,690,062","24,188,416,828","22,817,024,078",,"44,375,104,429",,,"49,165,859,199","59,672,360,760","60,792,340,406","127,294,852,519","97,521,076,799","88,902,136,076","93,956,712,507","97,730,977,836","87,243,639,820","111,476,063,354","116,195,115,098","115,461,002,979","53,513,786,848","84,520,946,519","64,988,820,295","144,091,158,965","91,917,636,407","70,569,616,480","72,580,004,194","54,222,519,998","71,604,878,698","86,240,937,059","108,013,966,130","131,606,438,903","123,055,976,764","157,478,513,874","121,698,121,213","100,748,640,703","127,520,973,994","125,622,517,438","84,476,610,485","88,534,877,688","121,011,798,297",,"118,030,840,311","168,118,465,366"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,790,619,995","42,188,836,036",,,"43,533,037,779","40,683,633,191","37,962,289,997","34,295,076,752","33,708,626,780","28,375,690,062","24,188,416,828","22,817,024,078",,"25,958,718,741",,,"26,846,167,627","29,243,229,323","27,156,205,373",,"52,736,014,124","67,565,625,593","70,897,213,154","76,655,805,761","80,723,933,596","82,013,831,707","84,775,773,508","91,110,747,828","49,226,239,283","65,409,946,791","60,237,388,091","134,259,263,610","57,172,519,731","60,206,094,512","55,969,428,573","49,016,154,685","47,487,113,910","44,562,454,900","71,197,769,813","67,990,918,978","73,513,836,145","44,879,195,044","60,419,906,077","83,653,297,514","93,246,436,050","79,919,116,379","59,987,821,992","59,526,460,043","48,546,962,649",,"48,770,950,134","67,377,079,938"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-75,882,715,986","-81,776,769,598","-68,544,750,405","-77,141,390,999","-79,816,706,118","-76,929,998,909","-90,791,104,459","-39,056,512,787","-57,706,871,317","-46,575,116,692",,"-61,983,064,653","-46,599,141,995","-74,705,320,565","-84,661,229,206","-173,254,732,801","-243,898,298,429","-464,548,053,692","-516,250,147,093",,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,"5,422,280,485","2,812,518,425","3,854,203,718","1,410,265,415","2,205,553,436","2,871,667,659","7,406,452,086","3,944,979,054","9,847,493,915","17,993,096,490","6,704,980,089","11,383,896,325","17,612,777,278","18,385,729,725","18,456,545,678","21,104,183,372",,"14,153,268,659",,,"29,194,031,008","30,439,432,456","47,476,699,130","54,609,927,947","48,255,481,787","16,320,552,222","17,563,848,840","21,165,175,075","18,740,860,848","22,351,712,794","17,752,597,077","19,360,177,919","17,055,390,535","17,508,179,731","18,176,426,267","66,905,139,058","18,981,461,539","23,109,825,621","24,602,829,371","25,214,454,317","26,957,245,863","36,425,644,915","38,963,277,742","20,374,620,333","295,266,961,673","539,881,807,920","212,636,317,563","152,435,907,574","82,586,227,747","213,674,359,614","137,519,856,266","175,337,450,932","291,743,408,313",,"282,723,696,011","191,801,561,496"
