,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,"169,406,005,372","54,336,377,334","61,598,733,188","43,687,798,916","330,888,171,974","6,376,275,481","64,502,276,114","53,170,608,471","311,452,947,257","19,839,068,799","277,982,599,017","434,814,491,269","641,034,346,481","27,244,021,542","469,444,113,986","324,037,519,298","579,291,813,560","93,806,036,398","183,751,262,720","100,975,718,742","199,398,883,774","363,167,968,414","121,346,733,231","136,115,610,604","194,597,635,065","71,776,633,736","148,770,283,946","72,702,570,611","151,414,351,421","40,911,478,485","59,140,179,267","58,663,926,332","65,257,184,273",,"102,240,068,681",,,"36,429,844,177","111,119,979,677","44,523,431,927","145,640,113,371","28,729,653,543","19,446,677,688","196,723,253,159","60,786,419,217","38,049,778,067","48,425,781,638","217,589,593,191","440,646,799,081","135,749,149,799","317,571,717,542","144,710,160,787","236,609,114,083","41,564,446,445","101,475,816,840","173,707,893,077","336,104,667,707","50,005,348,029","109,483,659,128","157,107,237,749",,"87,830,153,036",,"115,148,409,165","116,218,551,480","71,172,444,516","48,842,549,546","47,404,215,482","746,604,431,669","36,783,450,619","841,488,748,656","3,761,941,443","21,250,708,304"
2. Các khoản giảm trừ doanh thu,,,,,,,,"4,542,454,545",,"2,241,494,914","1,203,747,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,"164,863,550,827","54,336,377,334","59,357,238,274","42,484,051,325","330,888,171,974","6,376,275,481","64,502,276,114","53,170,608,471","311,452,947,257","19,839,068,799","277,982,599,017","434,814,491,269","641,034,346,481","27,244,021,542","469,444,113,986","324,037,519,298","579,291,813,560","93,806,036,398","183,751,262,720","100,975,718,742","199,398,883,774","363,167,968,414","121,346,733,231","136,115,610,604","194,597,635,065","71,776,633,736","148,770,283,946","72,702,570,611","151,414,351,421","40,911,478,485","59,140,179,267","58,663,926,332","65,257,184,273",,"102,240,068,681",,,"36,429,844,177","111,119,979,677","44,523,431,927","145,640,113,371","28,729,653,543","19,446,677,688","196,723,253,159","60,786,419,217","38,049,778,067","48,425,781,638","217,589,593,191","440,646,799,081","135,749,149,799","317,571,717,542","144,710,160,787","236,609,114,083","41,564,446,445","101,475,816,840","173,707,893,077","336,104,667,707","50,005,348,029","109,483,659,128","157,107,237,749",,"87,830,153,036",,"115,148,409,165","116,218,551,480","71,172,444,516","48,842,549,546","47,404,215,482","746,604,431,669","36,783,450,619","841,488,748,656","3,761,941,443","21,250,708,304"
4. Giá vốn hàng bán,,,,,,,,"60,709,206,334","41,628,364,133","43,785,850,827","24,746,743,122","161,206,725,161","6,006,507,699","19,446,234,891","44,689,041,391","182,528,374,319","11,362,553,726","160,405,372,285","176,557,790,462","315,786,040,390","25,276,586,110","156,291,727,041","208,847,649,159","249,625,170,442","46,449,570,387","143,352,292,914","84,328,444,708","173,933,095,069","330,080,603,021","101,909,066,792","109,154,251,058","153,226,531,898","60,547,233,794","117,970,217,331","55,005,566,650","110,997,455,968","34,068,424,469","46,925,786,211","46,572,981,957","43,793,149,268",,"70,375,466,591",,,"29,682,950,323","97,706,563,544","28,125,295,903","134,617,388,289","18,647,075,345","7,953,720,224","125,860,294,954","82,636,006,397","21,685,882,789","35,611,840,516","186,955,233,668","350,031,343,683","78,028,972,079","201,723,075,536","99,702,077,620","98,495,553,543","20,674,976,176","41,823,014,771","55,748,052,360","118,211,456,189","28,563,917,518","39,618,426,130","61,498,949,034",,"35,008,619,721",,"91,087,902,641","103,835,541,347","63,375,983,733","41,373,008,047","37,245,775,916","258,606,427,710","15,397,552,121","338,443,110,453","2,712,827,898","8,654,172,880"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,"104,154,344,493","12,708,013,201","15,571,387,447","17,737,308,203","169,681,446,813","369,767,782","45,056,041,223","8,481,567,080","128,924,572,938","8,476,515,073","117,577,226,732","258,256,700,807","325,248,306,091","1,967,435,432","313,152,386,945","115,189,870,139","329,666,643,118","47,356,466,011","40,398,969,806","16,647,274,034","25,465,788,705","33,087,365,393","19,437,666,439","26,961,359,546","41,371,103,167","11,229,399,942","30,800,066,615","17,697,003,961","40,416,895,453","6,843,054,016","12,214,393,056","12,090,944,375","21,464,035,005",,"31,864,602,090",,,"6,746,893,854","13,413,416,133","16,398,136,024","11,022,725,082","10,082,578,198","11,492,957,464","70,862,958,205","-21,849,587,180","16,363,895,278","12,813,941,122","30,634,359,523","90,615,455,398","57,720,177,720","115,848,642,006","45,008,083,167","138,113,560,540","20,889,470,269","59,652,802,069","117,959,840,717","217,893,211,518","21,441,430,511","69,865,232,998","95,608,288,715",,"52,821,533,315",,"24,060,506,524","12,383,010,133","7,796,460,783","7,469,541,499","10,158,439,566","487,998,003,959","21,385,898,498","503,045,638,203","1,049,113,545","12,596,535,424"
6. Doanh thu hoạt động tài chính,,,,,,,,"172,035,768","729,522,781","477,858,008","102,507,780","2,003,172,614","915,120,004","438,323,331","1,618,056,004","1,141,292,690","639,369,514","10,642,050,757","3,676,292,955","17,345,987,841","10,365,803,703","8,836,595,146","18,119,704,385","26,338,888,822","11,889,467,087","29,536,080,729","22,458,832,592","15,999,340,363","6,624,840,998","7,989,968,326","3,301,608,977","6,154,993,328","2,850,148,777","4,422,187,769","2,758,600,994","26,042,081,309","1,289,415,638","1,264,163,750","7,275,336,230","4,613,688,101",,"704,932,630",,,"192,101,567","451,004,950","11,889,356,527","58,901,220,154","173,353,523","247,079,571","138,008,494","81,362,840,012","143,889,512","967,690,228","324,391,709","1,899,714,049","565,830,844","1,174,494,348","794,441,095","721,467,474","82,847,710","728,769,729","1,555,916,388","1,331,508,232","949,682,142","2,628,729,640","919,220,032",,"223,762,431",,"17,659,211","2,395,144,519","12,991,511","12,441,565","585,139,479","1,705,259,849","3,826,124,725","8,038,564,683","15,339,202,682","20,107,279,919"
7. Chi phí tài chính,,,,,,,,,"38,910,931",,"13,200","322,574,139",,,"247,278,667","296,393,333",,"184,440,123","33,222,222","102,740,622","18,287,500","34,000,000",,"148,736,464","435,320,490","577,375,359","105,406,460","1,224,049,602","2,341,376,911","266,529,884",,"800,000",,,,,,,,,,"-142,895,522",,,"-1,318,961,925","220,637,274","993,434,774","2,083,186,995","1,564,795,116","-1,535,784,126","366,557,674","1,896,597,709","-616,016,384","-73,027,332","711,187,795","5,122,731,926","3,010,802,812","2,932,604,838",,,,"-1,742,405,480","-343,152,054","622,982,192","-1,009,412,329","362,465,753","-2,920,500,000",,,,"-1,786,913,333","64,900,000","-1,217,958,830","798,067,927","2,228,577,490","5,985,371,566","11,162,604,232",,"128,280,000","11,135,153,291"
- Trong đó: Chi phí lãi vay,,,,,,,,,"38,910,931",,"13,200","322,574,139",,,"247,278,667","296,393,333",,"184,440,123","33,222,222","102,740,622","18,287,500","34,000,000",,"148,736,464","435,320,490","577,375,359","105,406,460","1,224,049,602","2,341,376,911","266,529,884",,"800,000",,,,,,,,,,,,,,,,,,,,"1,071,893,514",,,"17,832,773",,"2,232,002,812","2,932,604,838",,,,"74,794,520","500,547,946",,"483,287,671","362,465,753",,,,,,,,"798,067,927","2,228,577,490","5,985,371,566","1,637,445,402",,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,363,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,"4,035,474,409","213,720,409",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,182,200,675",,,,"110,000,000","5,004,883,158","3,514,315,885","3,816,213,430","2,843,153,458","635,054,200","3,544,924,243","6,824,530,533","10,282,043,717","624,722,204","2,186,694,161","2,280,780,020",,"1,482,055,444",,"1,753,992,784","110,000,000","634,598,350","367,024,543","147,776,725","432,936,220","344,521,163","339,575,610","5,365,075","172,330,000"
