,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"474,254,251,065",,,"828,953,676,935",,"809,302,729,807",,,"652,208,813,225",,"527,492,572,796","905,740,303,771","567,071,376,162","816,215,652,559","919,619,739,080","859,492,949,619","855,954,953,640","1,589,943,067,751","1,132,352,131,640","1,507,247,763,694","1,285,719,366,883","1,735,823,974,584","1,252,696,695,836","1,568,060,090,159","1,369,666,180,868","1,170,417,976,026","1,643,811,975,209","2,472,081,179,601","1,548,344,223,645","2,991,189,086,624","3,131,207,777,266","2,145,676,751,179","1,477,928,426,506","1,518,001,721,175","3,005,929,612,627","2,338,543,727,609","1,505,169,970,816","1,472,311,398,690","2,220,330,694,643","2,605,228,519,802","2,164,822,178,202","3,090,767,498,726","2,232,107,020,546","2,540,069,116,378"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"474,254,251,065",,,"828,953,676,935",,"809,302,729,807",,,"652,208,813,225",,"527,492,572,796","905,740,303,771","567,071,376,162","816,215,652,559","919,619,739,080","859,492,949,619","855,954,953,640","1,589,943,067,751","1,132,352,131,640","1,507,247,763,694","1,285,719,366,883","1,735,823,974,584","1,252,696,695,836","1,568,060,090,159","1,369,666,180,868","1,170,417,976,026","1,643,811,975,209","2,472,081,179,601","1,548,344,223,645","2,991,189,086,624","3,131,207,777,266","2,145,676,751,179","1,477,928,426,506","1,518,001,721,175","3,005,929,612,627","2,338,543,727,609","1,505,169,970,816","1,472,311,398,690","2,220,330,694,643","2,605,228,519,802","2,164,822,178,202","3,090,767,498,726","2,232,107,020,546","2,540,069,116,378"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333,277,650,776",,,"713,662,418,934",,"692,224,887,390",,,"488,577,698,925",,"439,795,600,701","792,199,473,885","456,343,264,910","679,374,944,749","800,983,402,652","742,480,202,174","737,150,469,739","1,233,557,446,659","905,849,995,081","1,351,357,671,138","1,103,151,349,614","1,457,000,089,706","1,070,175,657,648","1,395,747,267,567","1,170,676,437,277","872,181,994,613","1,308,606,321,047","2,152,842,746,343","1,360,626,379,173","2,740,582,364,017","2,816,485,985,069","1,745,723,913,680","1,127,969,301,800","1,173,090,286,888","2,609,749,767,455","1,830,974,733,293","1,197,509,334,673","1,194,067,021,072","1,685,999,956,729","2,155,976,258,835","1,726,240,315,786","2,621,999,682,770","1,750,014,650,052","1,947,141,287,475"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"140,976,600,289",,,"115,291,258,001",,"117,077,842,416",,,"163,631,114,300",,"87,696,972,095","113,540,829,886","110,728,111,252","136,840,707,810","118,636,336,428","117,012,747,445","118,804,483,901","356,385,621,092","226,502,136,559","155,890,092,556","182,568,017,269","278,823,884,878","182,521,038,188","172,312,822,592","198,989,743,591","298,235,981,413","335,205,654,162","319,238,433,258","187,717,844,472","250,606,722,607","314,721,792,197","399,952,837,499","349,959,124,706","344,911,434,287","396,179,845,172","507,568,994,316","307,660,636,143","278,244,377,618","534,330,737,914","449,252,260,967","438,581,862,416","468,767,815,956","482,092,370,494","592,927,828,903"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,078,859,366",,,"2,221,048,004",,"2,679,332,312",,,"3,335,625,636",,"2,187,334,196","5,252,224,578","1,852,615,984","2,395,190,200","2,708,679,726","2,646,199,374","4,920,046,721","7,606,451,444","7,137,672,584","6,223,892,443","4,270,636,288","11,690,972,897","10,849,593,348","12,479,435,162","9,047,790,150","9,555,804,966","9,221,859,356","9,491,386,972","8,499,862,301","15,957,502,565","16,538,628,156","16,134,058,097","15,227,935,016","16,359,692,832","22,620,894,415","42,260,747,504","64,766,166,369","29,736,597,603","42,254,071,851","57,936,488,223","43,848,434,585","50,216,111,573","28,843,309,675","62,619,354,920"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,181,257,886",,,"2,499,692,314",,"3,876,949,176",,,"2,727,141,918",,"4,477,062,296","10,068,149,643","16,878,032,300","23,992,817,606","23,816,543,225","37,625,682,246","29,643,768,766","37,824,632,532","35,447,601,357","40,016,824,902","32,912,679,599","41,965,288,632","49,356,801,601","45,812,287,100","51,198,804,130","67,227,219,280","61,792,906,106","66,296,344,531","59,933,085,507","78,699,601,018","83,026,512,867","137,394,586,293","121,079,960,431","216,254,698,580","265,305,902,547","163,069,320,017","211,535,612,249","229,707,366,125","323,940,097,347","214,957,253,492","269,845,565,396","267,170,146,939","98,237,622,332","293,839,705,200"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,181,257,886",,,"2,499,692,314",,"3,712,860,048",,,"2,684,740,314",,"4,471,879,481","8,831,521,365","16,815,226,608","23,949,438,357","23,816,542,416","30,154,991,800","29,643,768,766","37,624,571,989","35,361,337,747","39,977,117,422","32,912,679,599","41,700,167,296","47,571,107,846","47,332,027,273","51,192,979,776","67,021,933,006","61,783,081,666","62,748,793,112","58,499,893,411","77,514,737,588","82,496,305,776","92,829,178,325","111,543,773,506","142,163,150,704","161,302,925,170","203,462,611,693","202,320,956,960","219,149,159,123","214,193,898,557","208,183,448,602","180,662,130,927","201,223,875,772","183,127,385,007","181,792,802,055"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-39,268,437,890","190,101,465","-6,038,622,607","-3,282,512,156","9,722,190,060","2,627,845,239","743,832,443","234,951,312","1,115,676,947",,"-19,307,049,423","-3,085,179,550","-11,974,472,971","1,584,552,923","2,074,392,943","644,365,826","13,740,434,893","15,693,536,669","38,462,294,150","20,083,715,642","11,513,901,380","6,354,586,599","4,443,529,021","-3,610,742,999","-17,952,763,417","3,819,620,957","-1,559,423,051","-4,423,585,606","3,740,770,909","49,270,354,459","-9,245,723,914","-13,034,829,977","-5,047,704,232"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,558,665,150",,,"8,059,675,320",,"8,232,335,411",,,"4,600,548,777",,"-3,926,017,240","-12,982,989,175","1,944,898,623","-8,980,802,506","3,845,528,455","-13,491,828,348","2,725,683,174","28,110,934,097","16,690,323,116","6,669,667,371","7,370,324,540","8,428,400,081","3,882,312,550","2,752,639,098","3,214,930,029","27,993,248,029","17,935,943,854","26,314,278,868","9,031,651,696","18,098,629,725","6,195,078,239","22,854,727,696","5,593,694,314","-1,906,589,723","-2,009,832,363","-10,186,732,097","-521,653,247","5,699,414,623","21,524,758,881","28,777,958,168","12,417,345,930","24,682,154,151","16,397,509,498","26,289,997,990"
