,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,"17,275,965,855","20,112,346,090","21,095,853,182","21,265,963,471","20,513,972,136","21,158,413,521","24,081,712,851",,"26,774,604,490","31,179,127,118","29,668,504,717","32,227,779,792","32,381,705,956","37,696,236,248","47,844,205,341","51,046,389,709","39,353,422,511","54,242,078,534","52,780,616,246","56,391,861,226","54,176,589,534","66,724,166,345","72,916,873,429","76,283,747,731",,"81,075,452,693",,,"86,426,689,245","99,990,009,802","109,309,603,916","126,190,598,601","112,899,710,728","128,654,724,957","132,926,802,744","143,018,281,363","148,925,138,627","172,556,438,890","165,032,548,596","180,004,106,003","170,449,564,025","175,253,871,301","185,491,138,966","210,343,677,857","168,724,192,713","170,975,320,253","218,680,843,012","235,207,345,778","216,313,392,370","251,973,478,996","210,140,096,605","214,086,239,466","233,546,841,168","295,928,619,954","275,530,765,618","262,539,217,770","227,404,583,567","304,628,506,367","300,322,486,358","334,881,390,192","313,494,535,492",,"332,791,074,373","369,259,044,353"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,"17,275,965,855","20,112,346,090","21,095,853,182","21,265,963,471","20,513,972,136","21,158,413,521","24,081,712,851",,"26,774,604,490","31,179,127,118","29,668,504,717","32,227,779,792","32,381,705,956","37,696,236,248","47,844,205,341","51,046,389,709","39,353,422,511","54,242,078,534","52,780,616,246","56,391,861,226","54,176,589,534","66,724,166,345","72,916,873,429","76,283,747,731",,"81,075,452,693",,,"86,426,689,245","99,990,009,802","109,309,603,916","126,190,598,601","112,899,710,728","128,654,724,957","132,926,802,744","143,018,281,363","148,925,138,627","172,556,438,890","165,032,548,596","180,004,106,003","170,449,564,025","175,253,871,301","185,491,138,966","210,343,677,857","168,724,192,713","170,975,320,253","218,680,843,012","235,207,345,778","216,313,392,370","251,973,478,996","210,140,096,605","214,086,239,466","233,546,841,168","295,928,619,954","275,530,765,618","262,539,217,770","227,404,583,567","304,628,506,367","300,322,486,358","334,881,390,192","313,494,535,492",,"332,791,074,373","369,259,044,353"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,"9,445,611,256","9,133,986,278","9,307,875,102","9,543,735,166","10,009,783,298","10,625,842,466","10,866,219,774",,"12,667,034,044","17,470,707,015","14,374,235,078","19,889,324,380","17,814,035,359","21,497,253,563","26,005,161,413","30,093,449,556","25,005,135,790","32,163,373,262","31,372,088,337","35,475,559,541","32,763,984,288","39,942,966,659","47,498,247,511","50,074,986,000",,"52,077,738,416",,,"57,858,129,297","67,996,927,249","71,767,528,633","90,065,117,023","77,303,461,240","88,219,836,505","90,252,547,636","109,326,478,518","106,804,028,961","119,707,683,456","110,921,419,414","129,720,614,152","114,794,472,963","120,441,550,995","124,358,034,015","151,425,039,574","114,014,365,916","117,022,426,121","148,617,375,119","165,919,199,544","149,393,249,519","170,462,005,427","147,888,357,415","156,566,365,145","155,670,251,392","186,452,488,295","178,194,670,547","181,980,874,424","145,509,477,800","197,813,052,223","181,811,475,510","213,274,150,003","189,179,629,683",,"204,770,635,064","241,228,360,379"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,"7,830,354,599","10,978,359,812","11,787,978,080","11,722,228,305","10,504,188,838","10,532,571,055","13,215,493,077",,"14,107,570,448","13,708,420,103","15,294,269,639","12,338,455,412","14,567,670,597","16,198,982,685","21,839,043,928","20,952,940,153","14,348,286,721","22,078,705,272","21,408,527,909","20,916,301,685","21,412,605,246","26,781,199,686","25,418,625,918","26,208,761,731",,"28,997,714,277",,,"28,568,559,948","31,993,082,553","37,542,075,283","36,125,481,578","35,596,249,488","40,434,888,452","42,674,255,108","33,691,802,845","42,121,109,666","52,848,755,434","54,111,129,182","50,283,491,851","55,655,091,062","54,812,320,306","61,133,104,951","58,918,638,283","54,709,826,797","53,952,894,132","70,063,467,893","69,288,146,234","66,920,142,851","81,511,473,569","62,251,739,190","57,519,874,321","77,876,589,776","109,476,131,659","97,336,095,071","80,558,343,346","81,895,105,767","106,815,454,144","118,511,010,848","121,607,240,189","124,314,905,809",,"128,020,439,309","128,030,683,974"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,"488,342,693","1,257,038,932","1,749,826,481","1,597,569,250","55,434,627","481,466,533","411,489,397",,"651,231,742","3,324,342,340","764,137,951","780,926,607","46,639,933","184,259,149","1,266,611,658","1,801,912,750","308,959,823","828,991,631","196,776,251","552,659,536","130,231,841","537,199,748","551,775,346","1,186,262,664",,"646,166,259",,,"961,770,976","967,829,025","1,654,097,948","324,550,879","203,686,001","2,463,494,682","494,252,689","1,202,725,182","965,985,065","1,341,572,957","920,706,627","700,946,724","811,995,927","2,313,808,824","1,140,580,612","1,734,654,910","1,507,573,990","4,338,404,114","1,245,232,368","2,325,852,324","767,139,935","5,093,584,224","1,677,041,902","3,496,958,127","882,316,471","6,522,291,457","1,980,682,332","6,403,957,229","1,729,987,460","12,185,596,391","2,370,336,056","9,548,640,655","2,341,115,290",,"2,386,487,142","10,245,617,532"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,"72,174,810","141,042,662","163,776,200",,"407,410,411","508,732,733","612,490,490","669,979,268","690,714,530","415,435,106","244,440,727","411,333,594","1,124,683,665","1,546,590,840","1,102,767,955","910,611,530","1,304,955,446","1,313,235,698","1,400,828,160","1,697,738,760",,"2,092,767,899",,,"5,020,214,335","5,003,293,382","4,967,612,762","4,755,914,974","4,167,110,329","4,423,442,484","4,192,529,668","6,138,973,197","4,476,149,389","5,314,336,972","5,546,595,671","5,770,146,276","4,833,302,718","5,338,162,063","4,622,487,373","4,925,173,200","4,033,558,139","4,331,477,823","3,814,195,607","3,758,178,876","2,821,524,916","3,424,560,234","2,822,408,238","3,484,969,564","3,310,853,721","4,061,815,975","3,181,466,970","3,749,944,905","3,111,421,897","3,014,352,743","2,265,941,343","2,490,073,078","1,692,291,048",,"1,565,981,331","1,864,415,124"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,"72,174,810","141,042,662","163,776,200",,"407,410,411","508,732,733","612,490,490","669,979,268","690,714,530","415,435,106","244,440,727","411,333,594","1,124,683,665","1,546,590,840","1,102,767,955","910,611,530","1,304,955,446","1,313,235,698","1,400,828,160","1,697,738,760",,"2,092,767,899",,,"4,931,024,335","5,003,293,382","4,795,053,479","4,755,914,929","4,166,977,899","4,423,442,484","4,192,529,668","6,135,476,794","4,441,061,222","5,314,336,972","5,546,595,671","5,767,912,593","4,832,167,218","5,337,287,063","4,620,390,786","4,920,637,864","4,033,558,139","4,331,477,823","3,655,275,607","3,749,271,940","2,821,524,916","3,424,560,234","2,822,408,238","3,453,796,783","3,310,853,721","4,061,815,975","3,181,466,970","3,747,314,355","3,111,421,897","3,014,352,743","2,265,941,343","2,486,286,171","1,683,921,706",,"1,562,934,867","1,845,589,495"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,"57,784,773","341,930,530","231,535,558","88,372,092","840,000","126,871,987","64,436,099",,"291,618,181","162,478,484","265,549,238","1,061,830,994","885,460,593","892,121,750","1,523,626,548","2,606,526,026","1,166,780,490","2,114,816,975","1,457,582,930","1,795,868,096","2,769,860,082","3,577,792,233","2,566,943,751","3,985,728,666",,"3,048,914,479",,,"2,571,349,602","2,522,257,833","2,572,832,060","4,672,540,849","3,073,444,191","2,623,390,700","3,511,869,678","6,264,749,285","3,143,677,350","3,784,397,412","2,643,048,023","5,127,854,395","3,691,130,592","4,728,855,658","4,798,326,806","6,802,591,335","6,210,086,824","3,724,705,207","4,005,422,222","5,871,807,804","5,757,496,518","3,281,940,056","2,822,353,815","6,613,622,778","2,944,787,387","3,469,287,048","3,549,868,475","9,681,807,042","2,898,887,494","4,524,709,117","5,814,987,953","7,996,408,450","7,349,185,318",,"3,637,607,460","7,385,071,971"
