,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,"230,430,897,889","431,888,267,888","839,473,787,954","1,033,122,023,532","1,405,447,673,449","1,438,548,276,682","1,307,032,709,611","1,289,990,559,513","1,867,515,092,585","3,841,337,536,898","1,774,499,963,165","2,078,303,378,727","2,189,629,237,539","4,606,972,519,876","2,598,905,394,039","2,829,442,644,060","2,506,099,226,006","4,773,303,664,136","2,928,823,120,523","2,955,150,470,616","2,416,673,968,406","2,936,527,512,990","2,488,400,025,031","2,615,665,284,295","2,802,878,027,334","2,774,942,073,625","3,008,090,999,900","3,162,911,875,338","2,574,498,439,950","3,154,956,802,996","2,954,233,893,485","3,087,136,811,825",,"2,932,284,584,662",,,"2,363,936,665,668","2,420,926,801,033","2,298,928,192,294","3,590,780,658,074","2,364,335,273,276","2,513,954,341,053","2,875,238,162,431","3,467,398,868,652","2,534,799,891,622","2,408,971,492,671","3,241,801,684,557",,"2,524,350,373,059","2,399,982,269,178","2,554,732,717,030","2,315,416,069,809","2,881,566,651,128","2,544,692,277,777","4,426,012,322,220","4,271,823,478,332","4,309,432,171,941","3,496,930,869,617","3,993,044,146,240","6,125,732,325,750","4,939,177,000,642","3,545,613,492,135","4,631,705,572,709","4,819,037,035,879","4,316,856,074,032","4,572,527,060,175","4,324,657,582,766","4,550,305,272,008","4,358,674,588,151","4,752,470,267,742","5,756,081,463,989","4,717,675,455,644"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,"283,265,382","8,176,273,627","14,918,491,366","20,400,338,677","16,309,881,005","14,743,899,203","62,515,035,335","31,999,641,474","73,794,841,498","65,979,293,464","54,676,131,085","24,650,586,217","77,204,115,206","34,172,584,695","38,849,967,079","27,622,662,303","78,110,678,139","121,593,214,021","135,046,673,359","80,160,871,237","67,127,193,909","60,272,322,742","89,412,168,833","49,784,217,237","63,920,033,142","68,657,005,858","49,394,856,991","23,646,630,939","34,143,382,199","60,419,997,903","68,526,147,341",,"64,850,402,871",,,"45,838,193,095","47,639,853,158","37,090,825,443","51,645,616,941","25,061,460,037","28,882,253,529","32,016,884,403","45,345,166,043","26,944,252,881","43,431,653,987","42,820,901,875",,"29,393,454,083","31,159,764,208","36,425,644,297","44,665,092,351","35,906,095,754","35,728,891,093","58,389,355,721","82,937,094,877","96,581,041,842","74,350,304,738","120,412,652,991","99,769,799,436","123,392,102,420","72,661,462,785","74,895,027,401","-16,102,859,724","71,083,103,153","68,991,487,846","70,391,438,427","68,085,653,879","89,634,379,046","78,527,809,500","102,795,132,110","100,875,965,272"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,"230,430,897,889","431,605,002,506","831,297,514,327","1,018,203,532,166","1,385,047,334,772","1,422,238,395,677","1,292,288,810,408","1,227,475,524,178","1,835,515,451,111","3,767,542,695,400","1,708,520,669,701","2,023,627,247,642","2,164,978,651,322","4,529,768,404,670","2,564,732,809,344","2,790,592,676,981","2,478,476,563,703","4,695,192,985,997","2,807,229,906,502","2,820,103,797,257","2,336,513,097,169","2,869,400,319,081","2,428,127,702,289","2,526,253,115,462","2,753,093,810,097","2,711,022,040,483","2,939,433,994,042","3,113,517,018,347","2,550,851,809,011","3,120,813,420,797","2,893,813,895,582","3,018,610,664,484",,"2,867,434,181,791",,,"2,318,098,472,573","2,373,286,947,875","2,261,837,366,851","3,539,135,041,133","2,339,273,813,239","2,485,072,087,524","2,843,221,278,028","3,422,053,702,609","2,507,855,638,741","2,365,539,838,684","3,198,980,782,682",,"2,494,956,918,976","2,368,822,504,970","2,518,307,072,733","2,270,750,977,458","2,845,660,555,374","2,508,963,386,684","4,367,622,966,499","4,188,886,383,455","4,212,851,130,099","3,422,580,564,879","3,872,631,493,249","6,025,962,526,314","4,815,784,898,222","3,472,952,029,350","4,556,810,545,308","4,835,139,895,603","4,245,772,970,879","4,503,535,572,329","4,254,266,144,339","4,482,219,618,129","4,269,040,209,105","4,673,942,458,242","5,653,286,331,879","4,616,799,490,372"
4. Giá vốn hàng bán,,,,,,,,,"194,201,313,851","395,256,765,797","767,673,571,408","936,810,838,767","1,258,759,806,769","1,296,627,553,490","1,184,732,853,368","1,109,663,678,726","1,694,649,870,679","3,468,659,804,836","1,599,027,745,969","1,847,596,608,393","1,987,236,317,574","4,176,678,927,531","2,368,940,392,677","2,478,110,588,918","2,199,180,018,897","4,198,307,145,334","2,543,129,673,791","2,532,257,383,068","2,138,319,242,999","2,666,316,090,181","2,246,920,114,755","2,299,201,623,788","2,586,938,748,889","2,516,887,904,633","2,758,393,643,904","2,915,116,854,683","2,408,876,599,054","2,879,027,558,939","2,686,873,794,625","2,753,022,849,137",,"2,633,359,835,922",,,"2,133,068,361,110","2,203,794,671,327","2,100,976,483,725","3,378,009,925,336","2,134,174,205,940","2,310,342,473,026","2,655,509,866,723","3,202,687,484,327","2,323,963,288,434","2,195,887,903,702","3,025,526,957,700",,"2,341,682,442,514","2,211,329,257,940","2,348,558,159,715","2,128,277,505,308","2,694,933,445,389","2,364,540,201,166","4,196,200,533,743","3,975,144,556,529","4,013,811,012,104","3,202,893,979,068","3,674,176,425,634","5,683,941,910,272","4,616,689,659,181","3,155,460,170,043","4,331,384,495,966","4,570,267,324,620","4,063,447,764,207","4,352,325,357,159","4,056,507,943,764","4,318,260,832,351","4,102,299,713,792","4,420,191,061,389","5,394,194,395,375","4,363,717,548,345"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,"36,229,584,038","36,348,236,709","63,623,942,919","81,392,693,399","126,287,528,003","125,610,842,187","107,555,957,040","117,811,845,451","140,865,580,432","298,882,890,564","109,492,923,732","176,030,639,249","177,742,333,748","353,089,477,139","195,792,416,667","312,482,088,063","279,296,544,806","496,885,840,663","264,100,232,711","287,846,414,189","198,193,854,170","203,084,228,900","181,207,587,534","227,051,491,674","166,155,061,208","194,134,135,850","181,040,350,138","198,400,163,664","141,975,209,957","241,785,861,858","206,940,100,957","265,587,815,347",,"234,074,345,869",,,"185,030,111,463","169,492,276,548","160,860,883,126","161,125,115,797","205,099,607,299","174,729,614,498","187,711,411,305","219,366,218,282","183,892,350,307","169,651,934,982","173,453,824,982",,"153,274,476,462","157,493,247,030","169,748,913,018","142,473,472,150","150,727,109,985","144,423,185,518","171,422,432,756","213,741,826,926","199,040,117,995","219,686,585,811","198,455,067,615","342,020,616,042","199,095,239,041","317,491,859,307","225,426,049,342","264,872,570,983","182,325,206,672","151,210,215,170","197,758,200,575","163,958,785,778","166,740,495,313","253,751,396,853","259,091,936,504","253,081,942,027"
6. Doanh thu hoạt động tài chính,,,,,,,,,"397,739,863","10,450,023,354","6,650,611,147","15,273,489,454","19,980,189,538","18,125,095,656","27,255,280,632","5,496,439,647","14,157,280,389","29,132,724,318","15,200,040,886","23,033,939,792","12,180,637,943","24,575,494,981","16,146,807,494","29,499,476,752","15,432,251,145","30,909,171,609","22,358,259,494","37,885,898,864","12,065,936,541","9,623,014,820","13,904,819,850","43,257,179,731","15,943,739,226","28,845,281,050","26,256,190,230","33,142,816,343","24,092,225,021","16,704,985,385","17,139,317,849","18,608,394,407",,"20,217,854,279",,,"11,042,447,220","18,383,934,560","17,809,071,888","22,910,156,655","16,797,068,986","14,831,132,435","22,524,579,737","20,378,360,907","18,794,546,472","20,600,232,012","13,892,977,946",,"8,630,071,455","9,616,670,447","9,711,683,186","10,683,240,206","9,805,346,690","10,758,755,746","8,875,024,798","14,400,789,766","11,861,713,198","23,619,513,469","20,300,886,744","34,175,235,763","45,912,235,800","24,125,875,866","31,689,511,232","64,082,055,188","63,747,790,179","94,975,916,795","68,965,971,170","73,196,052,718","31,996,719,468","44,261,140,671","60,464,493,981","45,719,344,332"
7. Chi phí tài chính,,,,,,,,,"2,179,570,404","2,224,245,245","11,561,621,230","9,693,933,639","15,082,773,313","27,047,900,968",,"25,801,832,076","17,631,694,570",,"20,419,713,085",,"25,569,770,510",,"26,550,652,300","35,885,294,264","37,911,438,142","74,963,084,497","36,883,274,898","45,190,564,591","25,161,457,796",,"26,756,337,054","21,764,361,780","19,976,584,541","27,034,228,190","28,385,645,425","23,164,468,111","36,510,184,672","25,991,571,108","35,392,091,788","31,019,926,596",,"33,252,996,479",,,"22,717,221,231","24,318,799,095","27,659,816,146","24,839,756,542","30,722,913,181","21,364,245,191","44,897,078,757","8,084,996,262","27,050,408,005","23,103,568,571","26,122,219,572",,"17,768,357,457","19,109,659,752","22,269,859,884","15,175,650,341","22,942,765,315","20,831,983,566","22,258,015,415","21,227,929,366","19,995,522,929","23,058,206,684","18,907,298,739","31,026,582,871","27,752,838,542","213,431,241,052","40,992,528,457","155,318,116,211","87,821,345,908","103,950,878,916","73,131,673,282","58,169,334,468","31,758,321,308","52,100,483,295","39,777,626,093","47,156,146,224"
- Trong đó: Chi phí lãi vay,,,,,,,,,"2,179,570,404","2,224,245,245","11,561,621,230","9,693,933,639","15,082,773,313","27,047,900,968",,"25,801,832,076","17,631,694,570",,"20,419,713,085",,"25,569,770,510",,"26,550,652,300","35,885,294,264","37,911,438,142","74,963,084,497","36,883,274,898","45,190,564,591","25,161,457,796",,"26,756,337,054","21,764,361,780","19,976,584,541","27,034,228,190","28,385,645,425","23,164,468,111","36,510,184,672","25,991,571,108","35,392,091,788","31,019,926,596",,"28,766,568,587",,,"19,332,884,570","26,546,475,186","21,613,192,598","24,115,934,795","27,460,181,008","21,445,186,011","32,071,190,570","7,793,070,577","26,144,453,976","21,464,256,798","20,506,725,822",,"16,747,172,775","17,900,557,576","17,898,647,924","15,589,249,344","19,777,051,150","16,796,445,889","20,612,708,298","20,612,708,298","18,684,802,718","22,016,736,405","21,758,099,091","23,271,887,862","25,677,116,661","32,791,926,205","34,040,616,239","67,696,757,711","71,078,571,566","84,845,681,966","62,497,000,026","-24,353,382,608","30,327,142,309","37,616,395,184","34,871,134,313","39,686,681,200"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,399,436",,,"-273,679,586","-290,806,421","-270,609,509","460,828,914","-115,096,875","-165,250,901","126,807,291","544,715,012","22,760,840","116,179,183","-634,240,880",,"99,802,034","-448,084,581","191,678,584","-277,814,387","-167,682,551","-204,865,357","-116,721,124","-444,169,145","-77,161,040,636","-1,184,691,889","681,790,457","-102,813,850","8,040,000","-3,093,427,106","-1,443,707,695","-2,936,695,743","-375,956,090","-477,877,184",,"-4,029,921,971",,"-2,827,435,004",,"-70,638,208"
9. Chi phí bán hàng,,,,,,,,,"29,060,158,140","24,184,475,974","37,158,376,110","38,639,347,254","66,276,894,987","83,670,907,264","56,545,668,947","78,400,142,758","86,683,965,516","143,939,021,925","23,373,115,497","72,414,304,056","57,618,461,100","142,430,085,451","58,863,867,186","95,828,377,994","40,483,818,789","96,459,581,950","69,902,206,039","128,457,281,578","55,809,894,562","59,271,429,084","67,545,973,084","78,625,608,882","40,318,149,006","56,463,363,496","58,490,145,201","62,730,875,098","62,108,159,660","88,539,864,469","78,530,191,846","95,538,634,630",,"71,039,864,290",,,"58,799,881,128","71,093,824,621","58,663,408,827","62,458,399,552","71,233,633,170","53,206,179,616","61,040,601,115","70,437,623,729","72,191,773,408","59,595,514,837","63,051,528,099",,"54,384,197,939","59,221,883,092","60,363,732,184","71,222,404,864","53,296,513,980","55,315,170,053","52,832,278,263","89,484,652,363","39,023,021,104","68,213,704,078","66,181,751,113","81,150,124,099","75,467,857,967","72,978,497,479","78,121,095,756","113,362,490,548","68,142,787,695","80,143,169,692","78,669,819,953","106,501,837,278","82,351,773,079","125,422,191,788","137,640,895,888","103,952,143,591"
