,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,"111,240,045,813","120,999,572,487","171,123,672,804","219,931,102,998","409,878,689,369","310,953,933,472","301,067,521,347","322,181,232,209","497,049,694,876","798,990,911,148","692,550,742,601","971,230,338,014","830,680,552,766","1,032,987,791,993","949,709,448,835","978,112,278,376","856,913,325,593","1,400,527,125,211","1,199,153,080,837","968,908,213,065","1,032,235,805,730","1,250,483,830,303","1,235,429,955,580","1,082,492,518,852","1,202,267,425,848","1,444,539,252,389","1,339,598,429,373","1,253,286,872,843","1,304,536,777,331","1,377,079,357,509",,"1,414,932,372,388",,,"1,533,691,042,774","1,737,110,444,490","1,602,141,230,266","1,918,530,769,138","1,652,046,740,045","1,368,927,736,995","1,424,790,319,956","1,681,437,956,308","1,782,250,741,100","1,998,985,042,786","1,735,979,770,055","1,922,886,083,606","1,862,480,064,799","2,211,852,389,319","1,743,011,821,281","1,916,227,537,325","1,578,004,181,773","1,829,483,562,644","1,855,602,541,939","2,207,821,996,002","1,716,779,969,614","1,872,872,847,008","1,679,694,222,010","2,080,390,554,137","2,021,670,305,561","2,265,369,741,687","2,330,409,323,175","2,438,717,376,497","2,043,025,345,033","2,097,836,504,718","2,550,624,878,780","2,752,789,548,230","2,536,110,744,923","2,994,386,325,912","2,934,145,679,514","3,347,909,360,831"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,"386,730",,"3,351,544",,"2,111,429","33,273,068","1,865,640","932,305","499,858","52,962,500",,,,,"620,240",,"142,177,595","40,254,794","78,918,100","116,577,851","95,626,435","98,157,950","96,962,494","116,781,600","94,147,900","88,237,070","90,251,680",,,,,,,,"747,676,768",,,,,,,"9,440,700",,,"736,364",,,,,,,,,,,,,,,,,,,"4,060,587","338,993,420",,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,"111,240,045,813","120,999,572,487","171,123,672,804","219,930,716,268","409,878,689,369","310,950,581,928","301,067,521,347","322,179,120,780","497,016,421,808","798,989,045,508","692,549,810,296","971,229,838,156","830,627,590,266","1,032,987,791,993","949,709,448,835","978,112,278,376","856,913,325,593","1,400,526,504,971","1,199,153,080,837","968,766,035,470","1,032,195,550,936","1,250,404,912,203","1,235,313,377,729","1,082,396,892,417","1,202,169,267,898","1,444,442,289,895","1,339,481,647,773","1,253,192,724,943","1,304,448,540,261","1,376,989,105,829",,"1,414,932,372,388",,,"1,533,691,042,774","1,737,110,444,490","1,602,141,230,266","1,917,783,092,370","1,652,046,740,045","1,368,927,736,995","1,424,790,319,956","1,681,437,956,308","1,782,250,741,100","1,998,985,042,786","1,735,970,329,355","1,922,886,083,606","1,862,480,064,799","2,211,851,652,955","1,743,011,821,281","1,916,227,537,325","1,578,004,181,773","1,829,483,562,644","1,855,602,541,939","2,207,821,996,002","1,716,779,969,614","1,872,872,847,008","1,679,694,222,010","2,080,390,554,137","2,021,670,305,561","2,265,369,741,687","2,330,409,323,175","2,438,717,376,497","2,043,025,345,033","2,097,836,504,718","2,550,624,878,780","2,752,789,548,230","2,536,106,684,336","2,994,047,332,492","2,934,145,679,514","3,347,909,360,831"
4. Giá vốn hàng bán,,,,,,,,,,,"87,831,927,728","101,090,731,302","139,701,952,126","185,278,305,018","308,181,040,666","259,233,061,182","286,278,049,243","340,616,796,260","460,165,952,951","686,766,021,207","601,130,864,808","846,197,412,256","771,443,003,651","941,457,031,035","857,603,636,558","891,414,940,956","765,899,412,814","1,271,253,232,003","1,057,052,591,767","927,109,075,434","900,474,427,560","1,106,321,515,834","1,117,253,489,704","920,187,926,899","1,099,596,487,079","1,260,191,380,091","1,228,703,058,281","1,116,976,872,787","1,225,366,623,543","1,184,845,595,506",,"1,226,631,027,358",,,"1,383,686,695,801","1,520,026,070,632","1,416,912,724,317","1,714,463,193,770","1,464,683,755,293","1,243,770,115,409","1,244,156,048,795","1,367,385,656,896","1,551,594,112,867","1,806,473,630,001","1,523,436,760,042","1,537,297,371,863","1,587,795,926,914","1,909,349,327,136","1,466,065,532,886","1,590,749,899,398","1,352,286,517,451","1,578,214,466,988","1,569,579,664,121","1,875,722,926,578","1,459,109,170,260","1,510,124,872,969","1,397,376,175,155","1,751,754,586,511","1,730,214,242,868","1,824,132,785,790","1,915,674,928,626","2,000,336,045,050","1,716,546,096,816","1,619,140,720,566","2,034,848,320,582","2,251,545,460,721","2,010,158,740,068","2,296,035,081,948","2,302,352,706,362","2,771,630,749,095"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,"23,408,118,085","19,908,841,185","31,421,720,678","34,652,411,250","101,697,648,703","51,717,520,746","14,789,472,104","-18,437,675,480","36,850,468,857","112,223,024,301","91,418,945,488","125,032,425,900","59,184,586,615","91,530,760,958","92,105,812,277","86,697,337,420","91,013,912,779","129,273,272,968","142,100,489,070","41,656,960,036","131,721,123,376","144,083,396,369","118,059,888,025","162,208,965,518","102,572,780,819","184,250,909,804","110,778,589,492","136,215,852,156","79,081,916,718","192,143,510,323",,"188,301,345,030",,,"150,004,346,973","217,084,373,858","185,228,505,949","203,319,898,600","187,362,984,752","125,157,621,586","180,634,271,161","314,052,299,412","230,656,628,233","192,511,412,785","212,533,569,313","385,588,711,743","274,684,137,885","302,502,325,819","276,946,288,395","325,477,637,927","225,717,664,322","251,269,095,656","286,022,877,818","332,099,069,424","257,670,799,354","362,747,974,039","282,318,046,855","328,635,967,626","291,456,062,693","441,236,955,897","414,734,394,549","438,381,331,447","326,479,248,217","478,695,784,152","515,776,558,198","501,244,087,509","525,947,944,268","698,012,250,544","631,792,973,152","576,278,611,736"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,"2,824,130,423","9,939,356,759","11,241,925,585","36,748,145,255","21,225,805,885","25,591,450,206","59,125,740,629","24,509,719,763","22,746,827,789","20,537,708,563","24,312,381,344","37,645,512,429","38,171,936,926","95,465,283,921","42,908,643,658","75,469,738,973","107,226,619,285","85,502,893,722","34,962,343,871","45,816,971,887","32,617,894,156","41,960,078,360","23,739,810,547","48,593,737,371","43,102,492,128","37,536,858,736","31,048,447,437","51,099,152,483","39,896,639,796","34,654,947,095",,"32,163,158,673",,,"47,056,222,281","29,030,862,750","35,559,094,281","46,962,968,725","54,352,399,968","42,326,687,816","38,293,491,923","51,577,755,513","34,107,752,696","81,426,415,745","44,239,770,364","82,825,285,367","43,213,841,414","82,113,217,578","48,007,084,397","64,492,139,396","21,990,105,024","107,912,373,399","35,422,801,675","129,081,616,801","39,190,995,132","43,641,855,980","33,806,090,643","64,196,233,513","37,434,680,699","41,431,030,399","53,188,653,190","88,345,783,519","89,901,507,919","97,413,470,353","91,426,270,703","94,505,337,675","61,634,730,453","67,173,795,890","72,555,456,736","100,995,866,937"
7. Chi phí tài chính,,,,,,,,,,,"14,505,071,611","11,069,081,507","14,990,821,357","21,755,678,351","37,888,822,023","18,962,811,272","30,151,036,098","22,333,388,416","11,932,204,608","24,978,340,804","27,558,143,338","34,951,837,910","39,170,087,900","29,565,658,040","38,473,595,308","49,095,338,031","36,977,211,015","37,707,917,499","31,509,220,752","34,754,378,307","33,899,438,640","24,748,513,471","25,045,091,773","22,021,408,940","23,833,750,702","32,971,773,374","22,164,986,341","26,343,293,019","22,627,290,565","20,557,950,786",,"53,935,710,297",,,"36,108,982,422","28,131,491,899","31,153,207,535","54,355,350,238","39,184,679,441","38,028,558,690","41,752,716,070","40,791,552,168","37,954,934,197","35,055,098,197","62,837,029,348","42,332,707,779","50,174,425,980","44,329,640,772","53,875,535,049","44,569,475,000","78,188,011,136","37,012,658,028","39,730,294,715","34,239,356,393","45,711,344,047","18,866,030,138","47,027,503,133","46,325,072,913","49,960,048,182","72,895,115,021","102,140,196,989","82,217,965,535","81,473,678,228","88,768,817,317","161,584,447,603","137,779,572,972","138,668,884,060","149,417,012,257","103,088,933,917","173,150,494,379"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,"14,505,071,611","11,069,081,507","14,990,821,357","21,755,678,351","37,888,822,023","18,962,811,272","30,151,036,098","22,333,388,416","11,932,204,608","24,978,340,804","27,558,143,338","34,951,837,910","39,170,087,900","29,565,658,040","38,473,595,308","49,095,338,031","36,977,211,015","37,707,917,499","31,509,220,752","34,754,378,307","33,899,438,640","24,748,513,471","25,045,091,773","22,021,408,940","23,833,750,702","32,971,773,374","22,164,986,341","26,343,293,019","22,627,290,565","20,557,950,786",,"24,527,969,012",,,"28,900,299,529","30,718,693,955","28,215,343,945","35,693,409,657","36,543,191,884","36,618,069,776","39,259,548,349","39,146,822,540","32,263,744,301","25,155,241,245","39,200,225,533","24,969,708,854","46,214,304,915","25,547,534,859","38,691,579,864","42,858,891,742","49,706,615,788","30,872,106,854","36,999,038,727","19,494,438,571","30,329,788,097","28,064,851,831","42,705,598,492","43,234,606,861","43,339,646,432","49,405,007,516","69,491,674,597","75,892,157,490","69,943,507,313","77,843,454,135","88,298,988,822","107,334,637,132","107,622,010,624","98,678,386,144","96,780,245,745","112,075,418,334"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,043,394,622",,,"6,052,018,899","4,071,454,051","7,760,821,220","7,802,130,184","6,608,657,452","5,989,382,459","7,493,366,960","6,839,860,007","8,994,414,158","6,091,442,579","7,554,945,392","9,600,420,250","-3,011,026,839","14,165,631,151","9,447,921,214","9,169,134,086","-2,050,624,260","14,064,504,848","7,865,856,947","5,881,698,582","-3,421,870,069","12,480,931,593","1,153,008,319","10,915,811,772",,"13,098,491,288","6,472,883,466","8,293,128,440","-3,183,638,111","6,374,881,920","5,305,307,798","7,908,663,231","2,663,974,299","9,026,660,236","2,271,603,740","3,030,393,313"
9. Chi phí bán hàng,,,,,,,,,,,,"18,098,182","313,000,905","306,953,450","156,984,239","296,112,493","864,648,433","1,078,178,680","1,011,996,436","554,446,261","1,103,218,105","1,351,855,120","1,104,818,967","951,250,052","990,126,046","684,677,820","877,494,210","5,764,220,701","1,380,816,214","1,492,839,811","974,357,500","3,205,832,918","1,096,392,490","2,396,945,752","2,130,108,743","5,795,336,014","661,132,281","2,340,983,574","1,944,355,096","1,057,717,809",,"2,251,226,032",,,"1,746,743,553","1,742,494,928","1,827,805,649","3,315,591,064","1,263,334,703","1,787,000,086","1,053,652,992","4,498,360,448","1,999,065,475","1,491,890,302","3,143,136,421","3,450,366,246","49,001,371,278","2,725,638,772","3,362,219,685","4,160,546,042","46,980,496,038","2,343,505,099","3,394,675,126","5,780,584,074","52,987,966,836","2,394,791,234","2,455,929,620","2,219,994,951","2,396,566,895","2,434,625,419","2,897,777,966","5,144,960,020","56,959,572,627","2,816,389,515","4,161,217,002","3,224,917,452","2,833,534,839","3,579,939,267","4,206,619,578","5,966,012,798"
