,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,"64,076,090,249","189,464,169,966","18,434,109,734","218,350,889,698","472,204,235,927","11,993,631,535","31,163,648,686","147,857,802,125","54,669,178,321","248,732,509,733","88,381,171,961","42,199,690,328","59,766,261,252","1,227,408,527,935","119,937,834,631","111,659,782,387","37,192,647,804","686,533,250,126","41,959,845,900","196,060,069,571","161,474,769,630","124,033,617,005",,"61,551,618,133",,,"82,966,888,938","181,726,718,712","586,028,911,574","737,663,243,000","268,804,965,718","299,316,355,574","117,565,165,700","130,676,824,215","350,985,363,042","86,458,783,981","82,451,671,259","213,061,345,732","377,894,733,024","195,550,252,066","115,640,368,787","169,392,692,741","81,337,628,004","946,729,914,901","539,769,185,203","300,087,073,592","346,714,097,507","203,549,425,412",,"276,225,039,997","134,836,770,538","516,783,508,042","525,076,188,282","97,312,518,917","165,792,095,069","44,920,227,864","66,872,776,633","154,902,496,873","38,741,795,833","26,477,004,955","178,285,563,300","485,753,720,305"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,"30,400,000",,,"1,919,998,400",,,,,"1,004,796,000",,,,"663,863,636",,,,,,"827,925,000",,,,,,,,,,,,,,,,,"10,745,850",,,,,,,,,,,,,,,,,"133,328,864",,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,"64,076,090,249","189,464,169,966","18,434,109,734","218,350,889,698","472,204,235,927","11,963,231,535","31,163,648,686","147,857,802,125","52,749,179,921","248,732,509,733","88,381,171,961","42,199,690,328","59,766,261,252","1,226,403,731,935","119,937,834,631","111,659,782,387","37,192,647,804","685,869,386,490","41,959,845,900","196,060,069,571","161,474,769,630","124,033,617,005",,"60,723,693,133",,,"82,966,888,938","181,726,718,712","586,028,911,574","737,663,243,000","268,804,965,718","299,316,355,574","117,565,165,700","130,676,824,215","350,985,363,042","86,458,783,981","82,451,671,259","213,061,345,732","377,894,733,024","195,550,252,066","115,629,622,937","169,392,692,741","81,337,628,004","946,729,914,901","539,769,185,203","300,087,073,592","346,714,097,507","203,549,425,412",,"276,225,039,997","134,836,770,538","516,783,508,042","525,076,188,282","97,312,518,917","165,792,095,069","44,920,227,864","66,872,776,633","154,769,168,009","38,741,795,833","26,477,004,955","178,285,563,300","485,753,720,305"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,"60,087,867,467","154,253,623,721","15,877,959,376","105,094,216,868","322,491,186,864","10,089,698,704","18,534,770,462","117,180,350,953","46,499,623,408","233,887,986,586","79,096,464,965","29,009,755,249","40,582,104,391","1,156,792,025,715","106,153,672,651","81,078,077,342","26,063,485,705","691,209,877,486","31,606,011,453","196,053,621,813","126,234,416,593","114,811,323,562",,"54,122,500,580",,,"75,842,698,139","178,198,528,126","607,205,864,881","663,695,592,375","243,897,363,113","251,592,604,421","105,467,115,989","114,430,335,419","289,510,187,165","75,129,954,437","70,714,498,181","175,650,331,476","356,527,395,188","158,841,058,690","72,523,573,666","151,107,085,500","62,952,919,195","859,814,100,486","448,665,743,912","201,719,710,935","273,238,434,069","159,218,325,669",,"212,858,758,640","107,972,751,289","470,178,003,372","495,821,287,787","62,890,728,911","149,523,206,748","39,474,266,809","45,182,819,921","114,928,658,779","32,844,638,271","32,303,617,292","150,240,162,053","328,629,885,915"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,"3,988,222,782","35,210,546,245","2,556,150,358","113,256,672,830","149,713,049,063","1,873,532,831","12,628,878,224","30,677,451,172","6,249,556,513","14,844,523,147","9,284,706,996","13,189,935,079","19,184,156,861","69,611,706,220","13,784,161,980","30,581,705,045","11,129,162,099","-5,340,490,996","10,353,834,447","6,447,758","35,240,353,037","9,222,293,443",,"6,601,192,553",,,"7,124,190,799","3,528,190,586","-21,176,953,307","73,967,650,625","24,907,602,605","47,723,751,153","12,098,049,711","16,246,488,796","61,475,175,877","11,328,829,544","11,737,173,078","37,411,014,256","21,367,337,836","36,709,193,376","43,106,049,271","18,285,607,241","18,384,708,809","86,915,814,415","91,103,441,291","98,367,362,657","73,475,663,438","44,331,099,743",,"63,366,281,357","26,864,019,249","46,605,504,670","29,254,900,495","34,421,790,006","16,268,888,321","5,445,961,055","21,689,956,712","39,840,509,230","5,897,157,562","-5,826,612,337","28,045,401,247","157,123,834,390"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,"84,113,267,186","196,672,919,351","6,747,081,864","32,376,231,481","161,524,851,765","47,486,220,215","40,328,518,294","50,191,399,902","2,135,873,180","2,182,491,684","13,036,736,371","21,880,836,160","1,393,844,146","1,481,041,953","90,516,357","134,545,320","323,964,723","2,032,611,629","702,528,090","125,272,432","25,483,013","915,122,607,031",,"1,154,310,858",,,"442,129,166","74,662,626,831","31,635,621,065","1,082,726,586","187,512,583","205,916,392,958","201,437,092,682","37,969,329,073","887,723,289","22,323,779,506","1,693,114,963","22,975,528,388","1,496,974,747","11,439,068,522","330,312,103","7,213,104,765","35,976,930,796","18,426,426,177","46,994,705","-12,314,342,026","11,536,744","804,538,628",,"10,335,396","41,054,373","684,712,858","10,012,594,654","50,185,637","-65,201,713","676,091,567","16,805,192","5,457,008","6,424,254,242","2,711,826","159,807,949","19,087,798"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,"3,001,347,441","10,282,451,281","649,973,151","25,107,187,485","1,220,929,445","8,770,205,316","7,037,449,160","38,598,609,584","-18,392,989,246","102,882,657,882","29,081,523,143","29,017,496,235","11,055,487,888","49,394,094,517","5,120,330,606","-57,950,727,342","6,363,386,724","-5,652,709,267","5,973,563,763","4,152,277,873","5,166,350,089","6,451,781,576",,"2,731,467,230",,,"4,429,005,064","39,237,389,319","16,698,022,027","31,315,890,505","8,422,165,726","-20,880,842,208","2,444,758,548","5,493,261,656","3,581,096,953","9,518,903,430","6,923,872,434","10,890,293,011","10,425,512,596","537,205,566","33,024,714,804","10,504,237,366","11,857,688,573","11,016,964,488","12,363,365,649","11,092,746,205","10,034,321,208","10,307,477,873",,"10,466,588,606","6,941,185,904","12,793,060,796","9,867,660,726","27,747,456,374","10,758,247,578","11,130,592,542","11,100,976,591","13,874,618,325","9,026,538,143","8,435,054,436","8,105,123,246","11,109,149,595"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,"3,001,347,441","10,282,451,281","649,973,151","25,107,187,485","1,220,929,445","8,770,205,316","7,037,449,160","38,598,609,584","-18,392,989,246","102,882,657,882","29,081,523,143","29,017,496,235","11,055,487,888","49,394,094,517","5,120,330,606","-57,950,727,342","6,363,386,724","-5,652,709,267","5,973,563,763","4,152,277,873","5,166,350,089","6,451,781,576",,"2,731,467,230",,,"4,347,636,972","10,117,011,076","-17,400,212,738","-31,068,214,004","8,402,271,126","-5,235,219,823","4,317,548,675","6,242,417,152","3,579,081,748","9,015,872,063","6,395,736,228","11,492,222,007","10,452,512,596",,"33,021,793,277","10,504,237,366","11,854,988,101","4,704,914,702","12,363,365,649","11,041,974,379","10,030,132,331","10,175,973,230",,"10,466,279,026","6,933,909,404","12,793,060,796","9,857,625,408","27,644,246,002","10,758,221,305","11,026,419,011","11,100,954,912","13,858,079,283","9,026,069,256","8,378,888,388","8,103,285,085","11,110,418,092"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-220,214,223","-172,302,862","-114,862,031","-415,098,821","-160,598,356","-157,843,449","-91,864,366","-72,430,278","-105,588,983","471,488,563","-88,512,251","-51,625,372","-121,831,899","-57,621,917",,"-19,102,308","-13,050,853","-28,613,766","-353,186,084","-76,941,524","-76,603,198","-185,901,527","-39,933,823","3,195,383,240","1,486,365,057","-135,957","-168,519","-2,636,015,940"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,"550,376,951","812,036,339","219,779,226","438,799,697","833,050,716","461,261,431","650,184,967","2,124,067,851","679,517,574","678,987,610","531,776,316","1,406,129,521","4,836,729,614","8,229,353,619","6,299,799,658","-4,414,891,741","4,599,104,648","430,404,312","1,342,120,044","111,248,661","1,575,938,175","12,846,723,925",,"394,216,843",,,"487,314,733","2,633,675,363","19,926,706,377","7,925,364,918","723,944,125","3,719,280,165","6,465,363,160","1,179,876,942","86,006,855","191,317,240","139,242,000","1,409,241,025","335,538,000","5,779,199,178","13,741,055,736","1,900,153,161","8,022,503,965","71,103,922,390","50,137,067,487","21,474,487,242","23,964,390,613","15,320,839,206",,"5,738,612,761","1,278,323,971","2,504,154,585","1,013,355,474","12,996,528,628","1,503,141,586","856,661,697","450,000,000","-437,525,765","321,651,409",,"87,327,809","32,825,288,075"
