,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,212,252,107",,,"110,858,171,995","125,757,796,854","125,701,713,608","119,817,971,163","129,593,069,929","172,335,005,274","125,791,910,384","124,485,988,492","154,615,868,048","189,592,834,021","187,092,440,694","186,557,532,235","180,289,625,276","225,241,992,710","191,282,526,588","206,141,326,355","212,706,180,160","210,372,298,715","203,709,134,394","207,859,051,267","216,570,423,058","332,464,829,067","422,823,437,216","339,367,026,206","232,445,853,968","313,965,368,211","308,322,436,796","215,001,732,248","196,321,166,095","220,223,644,462","280,394,728,639","245,564,037,984","275,643,500,190",,"296,197,381,791","258,787,815,167"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"584,621,868",,,"134,924,263","697,076,046","44,036,135","1,125,110,529",,"122,131,442","55,225,438","386,869,176",,"2,247,818","23,124,517","535,196,456","533,244,010","371,042,882","267,826,673","2,427,197,956","630,416,225","154,772,560","1,087,563,809","2,079,402,098","30,113,274",,,"396,982,929","28,490,000","412,776,000","2,356,500","230,594,332",,"834,920,660","607,220,614","2,475,852,785","532,350,502",,"1,027,016,891","3,782,990,689"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,627,630,239",,,"110,723,247,732","125,060,720,808","125,657,677,473","118,692,860,634","129,593,069,929","172,212,873,832","125,736,684,946","124,099,119,316","154,615,868,048","189,590,586,203","187,069,316,177","186,022,335,779","179,756,381,266","224,870,949,828","191,014,699,915","203,714,128,399","212,075,763,935","210,217,526,155","202,621,570,585","205,779,649,169","216,540,309,784","332,464,829,067","422,823,437,216","338,970,043,277","232,417,363,968","313,552,592,211","308,320,080,296","214,771,137,916","196,321,166,095","219,388,723,802","279,787,508,025","243,088,185,199","275,111,149,688",,"295,170,364,900","255,004,824,478"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,045,824,215",,,"82,356,396,757","89,557,508,622","93,659,821,557","89,063,261,777","98,963,431,679","124,226,355,484","96,861,089,670","89,137,605,021","118,010,131,258","136,626,152,332","147,303,716,521","135,235,310,314","140,308,480,319","162,260,611,504","152,541,748,345","155,372,314,456","166,402,546,701","154,741,525,878","152,800,495,059","153,623,692,891","159,803,348,761","209,737,765,862","232,081,805,396","237,338,300,366","192,907,833,412","268,493,029,667","257,629,324,623","172,650,669,076","156,718,515,756","168,389,189,047","217,031,576,266","182,727,072,524","210,526,578,554",,"232,320,608,770","190,546,050,281"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,581,806,024",,,"28,366,850,975","35,503,212,186","31,997,855,916","29,629,598,857","30,629,638,250","47,986,518,348","28,875,595,276","34,961,514,295","36,605,736,790","52,964,433,871","39,765,599,656","50,787,025,465","39,447,900,947","62,610,338,324","38,472,951,570","48,341,813,943","45,673,217,234","55,476,000,277","49,821,075,526","52,155,956,278","56,736,961,023","122,727,063,205","190,741,631,820","101,631,742,911","39,509,530,556","45,059,562,544","50,690,755,673","42,120,468,840","39,602,650,339","50,999,534,755","62,755,931,759","60,361,112,675","64,584,571,134",,"62,849,756,130","64,458,774,197"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,416,770,776",,,"1,247,845,598","3,228,740,087","542,888,651","10,624,976,594","-305,603,296","4,847,675,453","898,009,520","9,834,737,657","-397,489,240","6,264,209,148","360,301,680","4,036,698,649","452,267,111","4,188,592,685","1,298,741,444","6,044,708,121","400,402,702","7,031,141,896","8,191,760,408","3,515,936,201","2,652,444,808","6,029,605,532","4,879,613,047","4,771,941,594","4,550,129,360","5,670,339,130","10,124,338,318","6,974,216,534","5,879,778,475","10,761,355,501","6,761,635,631","5,366,821,355","3,554,177,775",,"3,488,019,521","5,453,513,123"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,301,275",,,"3,770,499","148,099,168","389,165,199","2,620,876","2,439,274","2,794,419","1,002,793,684","253,718,546","105,914,290","1,922,858,229","823,553,929","2,044,926,490","-88,873,098","68,344,470","9,231,279","251,218,003","21,442,597","192,550,349","-65,483,326","79,079,274","-20,233,046","26,014,125","352,834,304","314,658,840","4,575,303","978,922","16,130,946","818,716,811","-12,001,358","-8,599,244","823,288,394","4,383,104,263","4,759,416,385",,"5,728,057,043","4,637,015,320"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294,723,242",,,,,,,"226,930,763","1,016,584,793","999,168,744",,,,,,,,,,,,,,,,,,,"823,288,394","4,260,098,801","4,759,416,385",,"4,706,754,798","4,637,015,320"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"823,667,629","823,667,629",,"-659,264,464",,"300,320,440",,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,196,193,491",,,"3,531,295,957","3,256,901,784","3,222,959,688","4,380,498,328","3,759,104,617","3,652,826,290","3,276,113,344","3,914,887,839","3,044,205,760","4,550,169,606","3,445,093,990","4,332,051,808","3,209,572,848","3,758,545,322","3,469,393,294","2,630,289,477","2,000,320,218","2,110,744,570","2,150,426,963","2,786,345,043","2,057,944,172","2,546,224,330","2,333,927,539","3,825,792,633","2,475,854,219","3,205,218,383","2,892,253,808","2,963,173,470","2,914,440,203","3,336,287,054","4,004,531,519","5,421,960,945","3,996,888,308",,"4,501,176,696","4,753,885,348"
